では	接続詞,*,*,*,*,*,では,デハ,デワ,i
まで	助詞,副助詞,*,*,*,*,まで,マデ,マデ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
、	記号,読点,*,*,*,*,、,、,、,s
芭蕉	名詞,一般,*,*,*,*,芭蕉,バショウ,バショー,s
記念	名詞,サ変接続,*,*,*,*,記念,キネン,キネン,s
館	名詞,一般,*,*,*,*,館,カン,カン,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
学芸	名詞,一般,*,*,*,*,学芸,ガクゲイ,ガクゲイ,s
員	名詞,接尾,一般,*,*,*,員,イン,イン,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
まし	助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
えー	フィラー,*,*,*,*,*,えー,エー,エー,s
、	記号,読点,*,*,*,*,、,、,、,s
まあ	フィラー,一般,*,*,*,*,まあ,マア,マー,s
この	連体詞,*,*,*,*,*,この,コノ,コノ,s
時期	名詞,副詞可能,*,*,*,*,時期,ジキ,ジキ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
、	記号,読点,*,*,*,*,、,、,、,s
五月	名詞,副詞可能,*,*,*,*,五月,ゴガツ,ゴガツ,s
と	助詞,格助詞,一般,*,*,*,と,ト,ト,s
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,ユウ,ユー,s
の	名詞,非自立,一般,*,*,*,の,ノ,ノ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
、	記号,読点,*,*,*,*,、,、,、,s
たくさん	副詞,一般,*,*,*,*,たくさん,タクサン,タクサン,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
お客	名詞,一般,*,*,*,*,お客,オキャク,オキャク,s
さん	名詞,接尾,人名,*,*,*,さん,サン,サン,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
来	動詞,自立,*,*,カ変・来ル,連用形,来る,キ,キ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
くれ	動詞,非自立,*,*,一段・クレル,連用形,くれる,クレ,クレ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,s
ので	助詞,接続助詞,*,*,*,*,ので,ノデ,ノデ,s
、	記号,読点,*,*,*,*,、,、,、,s
芭蕉	名詞,一般,*,*,*,*,芭蕉,バショウ,バショー,s
さん	名詞,接尾,人名,*,*,*,さん,サン,サン,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
、	記号,読点,*,*,*,*,、,、,、,s
功績	名詞,一般,*,*,*,*,功績,コウセキ,コーセキ,s
、	記号,読点,*,*,*,*,、,、,、,s
あるいは	接続詞,*,*,*,*,*,あるいは,アルイハ,アルイワ,s
芭蕉	名詞,一般,*,*,*,*,芭蕉,バショウ,バショー,s
さん	名詞,接尾,人名,*,*,*,さん,サン,サン,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
書き	動詞,自立,*,*,五段・カ行イ音便,連用形,書く,カキ,カキ,s
まし	助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
、	記号,読点,*,*,*,*,、,、,、,s
筆跡	名詞,一般,*,*,*,*,筆跡,ヒッセキ,ヒッセキ,s
、	記号,読点,*,*,*,*,、,、,、,s
そういう	連体詞,*,*,*,*,*,そういう,ソウイウ,ソーユウ,s
もの	名詞,非自立,一般,*,*,*,もの,モノ,モノ,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
、	記号,読点,*,*,*,*,、,、,、,s
こう	副詞,助詞類接続,*,*,*,*,こう,コウ,コー,s
見	動詞,自立,*,*,一段,連用形,見る,ミ,ミ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
いただい	動詞,非自立,*,*,五段・カ行イ音便,連用タ接続,いただく,イタダイ,イタダイ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
芭蕉	名詞,一般,*,*,*,*,芭蕉,バショウ,バショー,s
さん	名詞,接尾,人名,*,*,*,さん,サン,サン,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
すごい	形容詞,自立,*,*,形容詞・アウオ段,基本形,すごい,スゴイ,スゴイ,s
人	名詞,一般,*,*,*,*,人,ヒト,ヒト,s
やっ	助動詞,*,*,*,特殊・ヤ,連用タ接続,や,ヤッ,ヤッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
、	記号,読点,*,*,*,*,、,、,、,s
そういう	連体詞,*,*,*,*,*,そういう,ソウイウ,ソーユウ,s
こと	名詞,非自立,一般,*,*,*,こと,コト,コト,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
、	記号,読点,*,*,*,*,、,、,、,s
みなさん	名詞,代名詞,一般,*,*,*,みなさん,ミナサン,ミナサン,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
知っ	動詞,自立,*,*,五段・ラ行,連用タ接続,知る,シッ,シッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
いただく	動詞,非自立,*,*,五段・カ行イ音便,基本形,いただく,イタダク,イタダク,s
そういう	連体詞,*,*,*,*,*,そういう,ソウイウ,ソーユウ,s
事	名詞,一般,*,*,*,*,事,コト,コト,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
私	名詞,代名詞,一般,*,*,*,私,ワタシ,ワタシ,s
たち	名詞,接尾,一般,*,*,*,たち,タチ,タチ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
仕事	名詞,サ変接続,*,*,*,*,仕事,シゴト,シゴト,s
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
はい	感動詞,*,*,*,*,*,はい,ハイ,ハイ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
えー	フィラー,*,*,*,*,*,えー,エー,エー,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
不景気	名詞,形容動詞語幹,*,*,*,*,不景気,フケイキ,フケイキ,i
など	助詞,副助詞,*,*,*,*,など,ナド,ナド,i
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,i
影響	名詞,サ変接続,*,*,*,*,影響,エイキョウ,エイキョー,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
あり	動詞,自立,*,*,五段・ラ行,連用形,ある,アリ,アリ,i
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,i
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,s
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,s
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ,s
、	記号,読点,*,*,*,*,、,、,、,s
三	名詞,数,*,*,*,*,三,サン,サン,s
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン,s
前	名詞,副詞可能,*,*,*,*,前,マエ,マエ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
東日本	名詞,固有名詞,地域,一般,*,*,東日本,ヒガシニッポン,ヒガシニッポン,s
大震災	名詞,一般,*,*,*,*,大震災,ダイシンサイ,ダイシンサイ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
あり	動詞,自立,*,*,五段・ラ行,連用形,ある,アリ,アリ,s
まし	助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
それから	接続詞,*,*,*,*,*,それから,ソレカラ,ソレカラ,s
、	記号,読点,*,*,*,*,、,、,、,s
やっぱり	副詞,一般,*,*,*,*,やっぱり,ヤッパリ,ヤッパリ,s
世	名詞,一般,*,*,*,*,世,ヨ,ヨ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
中	名詞,非自立,副詞可能,*,*,*,中,ナカ,ナカ,s
自体	名詞,一般,*,*,*,*,自体,ジタイ,ジタイ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
非常	名詞,形容動詞語幹,*,*,*,*,非常,ヒジョウ,ヒジョー,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
景気	名詞,一般,*,*,*,*,景気,ケイキ,ケイキ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
悪く	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,悪い,ワルク,ワルク,s
なっ	動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
き	動詞,非自立,*,*,カ変・クル,連用形,くる,キ,キ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
上	名詞,非自立,副詞可能,*,*,*,上,ウエ,ウエ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
、	記号,読点,*,*,*,*,、,、,、,s
少子化	名詞,一般,*,*,*,*,少子化,ショウシカ,ショーシカ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
傾向	名詞,一般,*,*,*,*,傾向,ケイコウ,ケイコー,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
あり	動詞,自立,*,*,五段・ラ行,連用形,ある,アリ,アリ,s
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,s
ので	助詞,接続助詞,*,*,*,*,ので,ノデ,ノデ,s
、	記号,読点,*,*,*,*,、,、,、,s
私	名詞,代名詞,一般,*,*,*,私,ワタシ,ワタシ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
、	記号,読点,*,*,*,*,、,、,、,s
十	名詞,数,*,*,*,*,十,ジュウ,ジュー,s
五	名詞,数,*,*,*,*,五,ゴ,ゴ,s
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン,s
、	記号,読点,*,*,*,*,、,、,、,s
二	名詞,数,*,*,*,*,二,ニ,ニ,s
十	名詞,数,*,*,*,*,十,ジュウ,ジュー,s
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン,s
前	名詞,副詞可能,*,*,*,*,前,マエ,マエ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
観光	名詞,サ変接続,*,*,*,*,観光,カンコウ,カンコー,s
客	名詞,接尾,助数詞,*,*,*,客,キャク,キャク,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
見	動詞,自立,*,*,一段,連用形,見る,ミ,ミ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
き	動詞,非自立,*,*,カ変・クル,連用形,くる,キ,キ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
人数	名詞,一般,*,*,*,*,人数,ニンズウ,ニンズー,s
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ,s
すれ	動詞,自立,*,*,サ変・スル,仮定形,する,スレ,スレ,s
ば	助詞,接続助詞,*,*,*,*,ば,バ,バ,s
、	記号,読点,*,*,*,*,、,、,、,s
現在	名詞,副詞可能,*,*,*,*,現在,ゲンザイ,ゲンザイ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
状況	名詞,一般,*,*,*,*,状況,ジョウキョウ,ジョーキョー,s
と	助詞,格助詞,一般,*,*,*,と,ト,ト,s
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,ユウ,ユー,s
の	名詞,非自立,一般,*,*,*,の,ノ,ノ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
、	記号,読点,*,*,*,*,、,、,、,s
三	名詞,数,*,*,*,*,三,サン,サン,s
分の	名詞,接尾,助数詞,*,*,*,分の,ブンノ,ブンノ,s
一	名詞,数,*,*,*,*,一,イチ,イチ,s
ぐらい	助詞,副助詞,*,*,*,*,ぐらい,グライ,グライ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
なっ	動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
い	動詞,非自立,*,*,一段,連用形,いる,イ,イ,s
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,s
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
もう	副詞,一般,*,*,*,*,もう,モウ,モー,i
ちょっと	副詞,助詞類接続,*,*,*,*,ちょっと,チョット,チョット,i
、	記号,読点,*,*,*,*,、,、,、,i
敬語	名詞,一般,*,*,*,*,敬語,ケイゴ,ケイゴ,i
なし	形容詞,自立,*,*,形容詞・アウオ段,文語基本形,ない,ナシ,ナシ,i
で	助詞,接続助詞,*,*,*,*,で,デ,デ,i
、	記号,読点,*,*,*,*,、,、,、,i
い	動詞,自立,*,*,一段,連用形,いる,イ,イ,i
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,i
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,i
そういう	連体詞,*,*,*,*,*,そういう,ソウイウ,ソーユウ,i
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,i
なし	助動詞,*,*,*,特殊・ナイ,文語基本形,ない,ナシ,ナシ,i
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
普通	名詞,形容動詞語幹,*,*,*,*,普通,フツウ,フツー,i
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
なっ	動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
る	動詞,非自立,*,*,一段,基本形,る,ル,ル,s
わ	助詞,終助詞,*,*,*,*,わ,ワ,ワ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
なっ	動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
る	動詞,非自立,*,*,一段,基本形,る,ル,ル,i
わ	助詞,終助詞,*,*,*,*,わ,ワ,ワ,i
で	助詞,終助詞,*,*,*,*,で,デ,デ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
はい	感動詞,*,*,*,*,*,はい,ハイ,ハイ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
えー	フィラー,*,*,*,*,*,えー,エー,エー,i
、	記号,読点,*,*,*,*,、,、,、,i
働き	名詞,一般,*,*,*,*,働き,ハタラキ,ハタラキ,i
始め	動詞,自立,*,*,一段,連用形,始める,ハジメ,ハジメ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
の	名詞,非自立,一般,*,*,*,の,ノ,ノ,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
何	名詞,代名詞,一般,*,*,*,何,ナニ,ナニ,i
歳	名詞,接尾,助数詞,*,*,*,歳,サイ,サイ,i
ぐらい	助詞,副助詞,*,*,*,*,ぐらい,グライ,グライ,i
やっ	助動詞,*,*,*,特殊・ヤ,連用タ接続,や,ヤッ,ヤッ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
初めて	副詞,一般,*,*,*,*,初めて,ハジメテ,ハジメテ,s
働い	動詞,自立,*,*,五段・カ行イ音便,連用タ接続,働く,ハタライ,ハタライ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
の	名詞,非自立,一般,*,*,*,の,ノ,ノ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
二	名詞,数,*,*,*,*,二,ニ,ニ,s
十	名詞,数,*,*,*,*,十,ジュウ,ジュー,s
二	名詞,数,*,*,*,*,二,ニ,ニ,s
歳	名詞,接尾,助数詞,*,*,*,歳,サイ,サイ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
二	名詞,数,*,*,*,*,二,ニ,ニ,i
十	名詞,数,*,*,*,*,十,ジュウ,ジュー,i
二	名詞,数,*,*,*,*,二,ニ,ニ,i
歳	名詞,接尾,助数詞,*,*,*,歳,サイ,サイ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
大学	名詞,一般,*,*,*,*,大学,ダイガク,ダイガク,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
卒業	名詞,サ変接続,*,*,*,*,卒業,ソツギョウ,ソツギョー,i
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,i
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
大学	名詞,一般,*,*,*,*,大学,ダイガク,ダイガク,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
卒業	名詞,サ変接続,*,*,*,*,卒業,ソツギョウ,ソツギョー,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
すぐ	副詞,助詞類接続,*,*,*,*,すぐ,スグ,スグ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
芭蕉	名詞,一般,*,*,*,*,芭蕉,バショウ,バショー,s
記念	名詞,サ変接続,*,*,*,*,記念,キネン,キネン,s
館	名詞,一般,*,*,*,*,館,カン,カン,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
勤め	動詞,自立,*,*,一段,連用形,勤める,ツトメ,ツトメ,s
、	記号,読点,*,*,*,*,、,、,、,s
勤め	動詞,自立,*,*,一段,連用形,勤める,ツトメ,ツトメ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
そんな	連体詞,*,*,*,*,*,そんな,ソンナ,ソンナ,i
意識	名詞,サ変接続,*,*,*,*,意識,イシキ,イシキ,i
し	動詞,自立,*,*,サ変・スル,未然形,する,シ,シ,i
なく	助動詞,*,*,*,特殊・ナイ,連用テ接続,ない,ナク,ナク,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
も	助詞,係助詞,*,*,*,*,も,モ,モ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
関西	名詞,固有名詞,地域,一般,*,*,関西,カンサイ,カンサイ,s
弁	名詞,接尾,一般,*,*,*,弁,ベン,ベン,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
出や	動詞,自立,*,*,一段,未然形・や挿入,出る,デヤ,デヤ,s
へん	名詞,非自立,一般,*,*,*,へん,ヘン,ヘン,s
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,s
、	記号,読点,*,*,*,*,、,、,、,s
そんな	連体詞,*,*,*,*,*,そんな,ソンナ,ソンナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
初任	名詞,一般,*,*,*,*,初任,ショニン,ショニン,i
給	名詞,接尾,一般,*,*,*,給,キュウ,キュー,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
何	名詞,代名詞,一般,*,*,*,何,ナニ,ナニ,i
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,i
使っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,使う,ツカッ,ツカッ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
初任	名詞,一般,*,*,*,*,初任,ショニン,ショニン,s
給	名詞,接尾,一般,*,*,*,給,キュウ,キュー,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
今	名詞,副詞可能,*,*,*,*,今,イマ,イマ,s
でも	助詞,副助詞,*,*,*,*,でも,デモ,デモ,s
覚え	動詞,自立,*,*,一段,連用形,覚える,オボエ,オボエ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
っ	感動詞,*,*,*,*,*,っ,ッ,ッ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
、	記号,読点,*,*,*,*,、,、,、,s
五	名詞,数,*,*,*,*,五,ゴ,ゴ,s
万	名詞,数,*,*,*,*,万,マン,マン,s
六	名詞,数,*,*,*,*,六,ロク,ロク,s
千	名詞,数,*,*,*,*,千,セン,セン,s
円	名詞,接尾,助数詞,*,*,*,円,エン,エン,s
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,s
、	記号,読点,*,*,*,*,、,、,、,s
父親	名詞,一般,*,*,*,*,父親,チチオヤ,チチオヤ,s
と	助詞,並立助詞,*,*,*,*,と,ト,ト,s
母親	名詞,一般,*,*,*,*,母親,ハハオヤ,ハハオヤ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
、	記号,読点,*,*,*,*,、,、,、,s
いくらか	副詞,一般,*,*,*,*,いくらか,イクラカ,イクラカ,s
忘れ	動詞,自立,*,*,一段,連用形,忘れる,ワスレ,ワスレ,s
まし	助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
が	助詞,接続助詞,*,*,*,*,が,ガ,ガ,s
、	記号,読点,*,*,*,*,、,、,、,s
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
うち	名詞,代名詞,一般,*,*,*,うち,ウチ,ウチ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
いくらか	副詞,一般,*,*,*,*,いくらか,イクラカ,イクラカ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
、	記号,読点,*,*,*,*,、,、,、,s
四	名詞,数,*,*,*,*,四,ヨン,ヨン,s
年間	名詞,接尾,助数詞,*,*,*,年間,ネンカン,ネンカン,s
、	記号,読点,*,*,*,*,、,、,、,s
大学	名詞,一般,*,*,*,*,大学,ダイガク,ダイガク,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
仕送り	名詞,サ変接続,*,*,*,*,仕送り,シオクリ,シオクリ,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
