どこ	名詞,代名詞,一般,*,*,*,どこ,ドコ,ドコ,i
踊っ	動詞,自立,*,*,五段・ラ行,連用タ接続,踊る,オドッ,オドッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
いる	動詞,非自立,*,*,一段,基本形,いる,イル,イル,s
姿	名詞,一般,*,*,*,*,姿,スガタ,スガタ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
形	名詞,一般,*,*,*,*,形,カタチ,カタチ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
せんべい	名詞,一般,*,*,*,*,せんべい,センベイ,センベイ,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
福地山	名詞,固有名詞,一般,*,*,*,福地山,フクジヤマ,フクジヤマ,s
せんべい	名詞,一般,*,*,*,*,せんべい,センベイ,センベイ,s
踊り	動詞,自立,*,*,五段・ラ行,連用形,踊る,オドリ,オドリ,s
せんべい	名詞,一般,*,*,*,*,せんべい,センベイ,センベイ,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
どっち	名詞,代名詞,一般,*,*,*,どっち,ドッチ,ドッチ,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
忘れ	動詞,自立,*,*,一段,連用形,忘れる,ワスレ,ワスレ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
、	記号,読点,*,*,*,*,、,、,、,s
茶色	名詞,一般,*,*,*,*,茶色,チャイロ,チャイロ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
平べったい	形容詞,自立,*,*,形容詞・アウオ段,基本形,平べったい,ヒラベッタイ,ヒラベッタイ,s
煎餅	名詞,一般,*,*,*,*,煎餅,センベイ,センベイ,s
、	記号,読点,*,*,*,*,、,、,、,s
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,s
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,s
、	記号,読点,*,*,*,*,、,、,、,s
なん	名詞,代名詞,一般,*,*,*,なん,ナン,ナン,s
やっ	助動詞,*,*,*,特殊・ヤ,連用タ接続,や,ヤッ,ヤッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
っけ	助詞,終助詞,*,*,*,*,っけ,ッケ,ッケ,s
炭酸	名詞,一般,*,*,*,*,炭酸,タンサン,タンサン,s
煎餅	名詞,一般,*,*,*,*,煎餅,センベイ,センベイ,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
炭酸	名詞,一般,*,*,*,*,炭酸,タンサン,タンサン,i
せんべい	名詞,一般,*,*,*,*,せんべい,センベイ,センベイ,i
有馬	名詞,固有名詞,人名,姓,*,*,有馬,アリマ,アリマ,i
温泉	名詞,一般,*,*,*,*,温泉,オンセン,オンセン,i
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,i
やつ	名詞,代名詞,一般,*,*,*,やつ,ヤツ,ヤツ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
有馬	名詞,固有名詞,人名,姓,*,*,有馬,アリマ,アリマ,s
温泉	名詞,一般,*,*,*,*,温泉,オンセン,オンセン,s
行っ	動詞,自立,*,*,五段・カ行促音便,連用タ接続,行く,イッ,イッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
こと	名詞,非自立,一般,*,*,*,こと,コト,コト,s
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
行っ	動詞,自立,*,*,五段・カ行促音便,連用タ接続,行く,イッ,イッ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
こと	名詞,非自立,一般,*,*,*,こと,コト,コト,i
あり	動詞,自立,*,*,五段・ラ行,連用形,ある,アリ,アリ,i
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
え	感動詞,*,*,*,*,*,え,エ,エ,s
、	記号,読点,*,*,*,*,、,、,、,s
ど	接頭詞,名詞接続,*,*,*,*,ど,ド,ド,s
やっ	助動詞,*,*,*,特殊・ヤ,連用タ接続,や,ヤッ,ヤッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
よかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,よい,ヨカッ,ヨカッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
よかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,よい,ヨカッ,ヨカッ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
、	記号,読点,*,*,*,*,、,、,、,i
あの	連体詞,*,*,*,*,*,あの,アノ,アノ,i
家	名詞,一般,*,*,*,*,家,イエ,イエ,i
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ,i
ちかく	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,ちかい,チカク,チカク,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
、	記号,読点,*,*,*,*,、,、,、,i
で	接続詞,*,*,*,*,*,で,デ,デ,i
、	記号,読点,*,*,*,*,、,、,、,i
車	名詞,一般,*,*,*,*,車,クルマ,クルマ,i
で	助詞,格助詞,一般,*,*,*,で,デ,デ,i
けっこう	副詞,一般,*,*,*,*,けっこう,ケッコウ,ケッコー,i
すぐ	副詞,助詞類接続,*,*,*,*,すぐ,スグ,スグ,i
行ける	動詞,自立,*,*,一段,基本形,行ける,イケル,イケル,i
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,i
行き	動詞,自立,*,*,五段・カ行促音便,連用形,行く,イキ,イキ,i
やすい	形容詞,非自立,*,*,形容詞・アウオ段,基本形,やすい,ヤスイ,ヤスイ,i
し	助詞,接続助詞,*,*,*,*,し,シ,シ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
へー	感動詞,*,*,*,*,*,へー,ヘー,ヘー,s
何分	副詞,一般,*,*,*,*,何分,ナニブン,ナニブン,s
ぐらい	助詞,副助詞,*,*,*,*,ぐらい,グライ,グライ,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
四	名詞,数,*,*,*,*,四,ヨン,ヨン,i
十	名詞,数,*,*,*,*,十,ジュウ,ジュー,i
分	名詞,接尾,助数詞,*,*,*,分,フン,フン,i
ぐらい	助詞,副助詞,*,*,*,*,ぐらい,グライ,グライ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
四	名詞,数,*,*,*,*,四,ヨン,ヨン,s
十	名詞,数,*,*,*,*,十,ジュウ,ジュー,s
分	名詞,接尾,助数詞,*,*,*,分,フン,フン,s
ぐらい	助詞,副助詞,*,*,*,*,ぐらい,グライ,グライ,s
、	記号,読点,*,*,*,*,、,、,、,s
友達	名詞,一般,*,*,*,*,友達,トモダチ,トモダチ,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
と	助詞,並立助詞,*,*,*,*,と,ト,ト,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,i
、	記号,読点,*,*,*,*,、,、,、,i
有馬	名詞,固有名詞,人名,姓,*,*,有馬,アリマ,アリマ,i
温泉	名詞,一般,*,*,*,*,温泉,オンセン,オンセン,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
あれ	名詞,代名詞,一般,*,*,*,あれ,アレ,アレ,i
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,i
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,i
、	記号,読点,*,*,*,*,、,、,、,i
家族	名詞,一般,*,*,*,*,家族,カゾク,カゾク,i
と	助詞,格助詞,一般,*,*,*,と,ト,ト,i
しか	助詞,係助詞,*,*,*,*,しか,シカ,シカ,i
行っ	動詞,自立,*,*,五段・カ行促音便,連用タ接続,行く,イッ,イッ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
こと	名詞,非自立,一般,*,*,*,こと,コト,コト,i
ない	形容詞,自立,*,*,形容詞・アウオ段,基本形,ない,ナイ,ナイ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
何人	名詞,一般,*,*,*,*,何人,ナニビト,ナニビト,s
家族	名詞,一般,*,*,*,*,家族,カゾク,カゾク,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
三	名詞,数,*,*,*,*,三,サン,サン,i
人	名詞,接尾,一般,*,*,*,人,ニン,ニン,i
家族	名詞,一般,*,*,*,*,家族,カゾク,カゾク,i
、	記号,読点,*,*,*,*,、,、,、,i
何人	名詞,一般,*,*,*,*,何人,ナニビト,ナニビト,i
家族	名詞,一般,*,*,*,*,家族,カゾク,カゾク,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
えっと	フィラー,*,*,*,*,*,えっと,エット,エット,s
、	記号,読点,*,*,*,*,、,、,、,s
お父さん	名詞,一般,*,*,*,*,お父さん,オトウサン,オトーサン,s
お母さん	名詞,一般,*,*,*,*,お母さん,オカアサン,オカーサン,s
お	接頭詞,名詞接続,*,*,*,*,お,オ,オ,s
兄ちゃん	名詞,一般,*,*,*,*,兄ちゃん,ニイチャン,ニーチャン,s
お	接頭詞,名詞接続,*,*,*,*,お,オ,オ,s
姉ちゃん	名詞,一般,*,*,*,*,姉ちゃん,ネエチャン,ネーチャン,s
私	名詞,代名詞,一般,*,*,*,私,ワタシ,ワタシ,s
お	接頭詞,名詞接続,*,*,*,*,お,オ,オ,s
兄ちゃん	名詞,一般,*,*,*,*,兄ちゃん,ニイチャン,ニーチャン,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
一番	名詞,副詞可能,*,*,*,*,一番,イチバン,イチバン,s
うえ	名詞,非自立,副詞可能,*,*,*,うえ,ウエ,ウエ,s
で	助詞,接続助詞,*,*,*,*,で,デ,デ,s
お	接頭詞,名詞接続,*,*,*,*,お,オ,オ,s
姉ちゃん	名詞,一般,*,*,*,*,姉ちゃん,ネエチャン,ネーチャン,s
真ん中	名詞,一般,*,*,*,*,真ん中,マンナカ,マンナカ,s
で	助詞,接続助詞,*,*,*,*,で,デ,デ,s
一番	名詞,副詞可能,*,*,*,*,一番,イチバン,イチバン,s
下	名詞,接尾,一般,*,*,*,下,カ,カ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
私	名詞,代名詞,一般,*,*,*,私,ワタシ,ワタシ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
一番	名詞,副詞可能,*,*,*,*,一番,イチバン,イチバン,i
下	名詞,接尾,一般,*,*,*,下,カ,カ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
え	感動詞,*,*,*,*,*,え,エ,エ,i
、	記号,読点,*,*,*,*,、,、,、,i
じゃあ	接続詞,*,*,*,*,*,じゃあ,ジャア,ジャー,i
めっちゃ	副詞,一般,*,*,*,*,めっちゃ,メッチャ,メッチャ,i
甘えん坊	名詞,一般,*,*,*,*,甘えん坊,アマエンボウ,アマエンボー,i
気質	名詞,一般,*,*,*,*,気質,キシツ,キシツ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,s
、	記号,読点,*,*,*,*,、,、,、,s
でも	接続詞,*,*,*,*,*,でも,デモ,デモ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
一番	名詞,副詞可能,*,*,*,*,一番,イチバン,イチバン,i
可愛がら	動詞,自立,*,*,五段・ラ行,未然形,可愛がる,カワイガラ,カワイガラ,i
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
感じ	名詞,一般,*,*,*,*,感じ,カンジ,カンジ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
、	記号,読点,*,*,*,*,、,、,、,s
一番	名詞,副詞可能,*,*,*,*,一番,イチバン,イチバン,s
上	名詞,非自立,副詞可能,*,*,*,上,ウエ,ウエ,s
、	記号,読点,*,*,*,*,、,、,、,s
てか	接続詞,*,*,*,*,*,てか,テカ,テカ,s
、	記号,読点,*,*,*,*,、,、,、,s
真ん中	名詞,一般,*,*,*,*,真ん中,マンナカ,マンナカ,s
と	助詞,格助詞,一般,*,*,*,と,ト,ト,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
五	名詞,数,*,*,*,*,五,ゴ,ゴ,s
個	名詞,接尾,助数詞,*,*,*,個,コ,コ,s
離れ	動詞,自立,*,*,一段,連用形,離れる,ハナレ,ハナレ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
上	名詞,非自立,副詞可能,*,*,*,上,ウエ,ウエ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
八	名詞,数,*,*,*,*,八,ハチ,ハチ,s
個	名詞,接尾,助数詞,*,*,*,個,コ,コ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
まあ	フィラー,一般,*,*,*,*,まあ,マア,マー,s
、	記号,読点,*,*,*,*,、,、,、,s
そんな	連体詞,*,*,*,*,*,そんな,ソンナ,ソンナ,s
、	記号,読点,*,*,*,*,、,、,、,s
けっこう	名詞,サ変接続,*,*,*,*,けっこう,ケッコウ,ケッコー,s
差	名詞,接尾,助数詞,*,*,*,差,サ,サ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
結構	副詞,一般,*,*,*,*,結構,ケッコウ,ケッコー,i
差	名詞,一般,*,*,*,*,差,サ,サ,i
、	記号,読点,*,*,*,*,、,、,、,i
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
じゃあ	接続詞,*,*,*,*,*,じゃあ,ジャア,ジャー,i
、	記号,読点,*,*,*,*,、,、,、,i
みんな	名詞,代名詞,一般,*,*,*,みんな,ミンナ,ミンナ,i
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,i
可愛がら	動詞,自立,*,*,五段・ラ行,未然形,可愛がる,カワイガラ,カワイガラ,i
れる	動詞,接尾,*,*,一段,基本形,れる,レル,レル,i
感じ	名詞,一般,*,*,*,*,感じ,カンジ,カンジ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
たまに	副詞,一般,*,*,*,*,たまに,タマニ,タマニ,s
、	記号,読点,*,*,*,*,、,、,、,s
けんか	名詞,一般,*,*,*,*,けんか,ケンカ,ケンカ,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
普段	名詞,副詞可能,*,*,*,*,普段,フダン,フダン,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
そんな	連体詞,*,*,*,*,*,そんな,ソンナ,ソンナ,s
、	記号,読点,*,*,*,*,、,、,、,s
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
負ける	動詞,自立,*,*,一段,基本形,負ける,マケル,マケル,s
し	助詞,接続助詞,*,*,*,*,し,シ,シ,s
けんか	名詞,一般,*,*,*,*,けんか,ケンカ,ケンカ,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
絶対	名詞,副詞可能,*,*,*,*,絶対,ゼッタイ,ゼッタイ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
あー	フィラー,*,*,*,*,*,あー,アー,アー,i
EOS
口げんか	名詞,一般,*,*,*,*,口げんか,クチゲンカ,クチゲンカ,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
絶対	副詞,一般,*,*,*,*,絶対,ゼッタイ,ゼッタイ,s
勝た	動詞,自立,*,*,五段・タ行,未然形,勝つ,カタ,カタ,s
れ	動詞,接尾,*,*,一段,未然形,れる,レ,レ,s
へん	助動詞,*,*,*,特殊・ナイ,基本形,へん,ヘン,ヘン,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
でも	接続詞,*,*,*,*,*,でも,デモ,デモ,i
お母さん	名詞,一般,*,*,*,*,お母さん,オカアサン,オカーサン,i
と	助詞,並立助詞,*,*,*,*,と,ト,ト,i
お父さん	名詞,一般,*,*,*,*,お父さん,オトウサン,オトーサン,i
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,i
愛	名詞,一般,*,*,*,*,愛,アイ,アイ,i
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,i
一番	名詞,副詞可能,*,*,*,*,一番,イチバン,イチバン,i
強い	形容詞,自立,*,*,形容詞・アウオ段,基本形,強い,ツヨイ,ツヨイ,i
の	名詞,非自立,一般,*,*,*,の,ノ,ノ,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
けんか	名詞,サ変接続,*,*,*,*,けんか,ケンカ,ケンカ,s
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル,s
とき	名詞,非自立,副詞可能,*,*,*,とき,トキ,トキ,s
よく	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,よい,ヨク,ヨク,s
味方	名詞,サ変接続,*,*,*,*,味方,ミカタ,ミカタ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
なっ	動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
くれ	動詞,非自立,*,*,一段・クレル,連用形,くれる,クレ,クレ,s
やすい	形容詞,非自立,*,*,形容詞・アウオ段,基本形,やすい,ヤスイ,ヤスイ,s
、	記号,読点,*,*,*,*,、,、,、,s
なら	動詞,自立,*,*,五段・ラ行,未然形,なる,ナラ,ナラ,s
れ	動詞,接尾,*,*,一段,未然形,れる,レ,レ,s
やすい	形容詞,自立,*,*,形容詞・アウオ段,基本形,やすい,ヤスイ,ヤスイ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
敵	名詞,一般,*,*,*,*,敵,テキ,テキ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
なる	動詞,自立,*,*,五段・ラ行,基本形,なる,ナル,ナル,s
こと	名詞,非自立,一般,*,*,*,こと,コト,コト,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
味方	名詞,サ変接続,*,*,*,*,味方,ミカタ,ミカタ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
ほう	名詞,非自立,一般,*,*,*,ほう,ホウ,ホー,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
多い	形容詞,自立,*,*,形容詞・アウオ段,基本形,多い,オオイ,オーイ,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
、	記号,読点,*,*,*,*,、,、,、,s
やっぱ	副詞,一般,*,*,*,*,やっぱ,ヤッパ,ヤッパ,s
、	記号,読点,*,*,*,*,、,、,、,s
こう	副詞,助詞類接続,*,*,*,*,こう,コウ,コー,s
弱く	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,弱い,ヨワク,ヨワク,s
見える	動詞,自立,*,*,一段,基本形,見える,ミエル,ミエル,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
まあ	フィラー,*,*,*,*,*,まあ,マア,マー,s
まあ	フィラー,*,*,*,*,*,まあ,マア,マー,s
、	記号,読点,*,*,*,*,、,、,、,s
みたい	名詞,非自立,形容動詞語幹,*,*,*,みたい,ミタイ,ミタイ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
えっ	感動詞,*,*,*,*,*,えっ,エッ,エッ,s
、	記号,読点,*,*,*,*,、,、,、,s
一人っ子	名詞,一般,*,*,*,*,一人っ子,ヒトリッコ,ヒトリッコ,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
一人っ子	名詞,一般,*,*,*,*,一人っ子,ヒトリッコ,ヒトリッコ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
ふーん	感動詞,*,*,*,*,*,ふーん,フーン,フーン,s
、	記号,読点,*,*,*,*,、,、,、,s
え	感動詞,*,*,*,*,*,え,エ,エ,s
、	記号,読点,*,*,*,*,、,、,、,s
じゃあ	接続詞,*,*,*,*,*,じゃあ,ジャア,ジャー,s
、	記号,読点,*,*,*,*,、,、,、,s
私	名詞,代名詞,一般,*,*,*,私,ワタシ,ワタシ,s
あれ	名詞,代名詞,一般,*,*,*,あれ,アレ,アレ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
ねん	助詞,終助詞,*,*,*,*,ねん,ネン,ネン,s
、	記号,読点,*,*,*,*,、,、,、,s
共同	名詞,サ変接続,*,*,*,*,共同,キョウドウ,キョードー,s
やっ	助動詞,*,*,*,特殊・ヤ,連用タ接続,や,ヤッ,ヤッ,s
てん	助動詞,*,*,*,特殊・タ,基本形,た,テン,テン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
部屋	名詞,一般,*,*,*,*,部屋,ヘヤ,ヘヤ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
お	接頭詞,名詞接続,*,*,*,*,お,オ,オ,s
姉ちゃん	名詞,一般,*,*,*,*,姉ちゃん,ネエチャン,ネーチャン,s
と	助詞,並立助詞,*,*,*,*,と,ト,ト,s
、	記号,読点,*,*,*,*,、,、,、,s
お	接頭詞,名詞接続,*,*,*,*,お,オ,オ,s
姉ちゃん	名詞,一般,*,*,*,*,姉ちゃん,ネエチャン,ネーチャン,s
と	助詞,格助詞,一般,*,*,*,と,ト,ト,s
私	名詞,代名詞,一般,*,*,*,私,ワタシ,ワタシ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
部屋	名詞,一般,*,*,*,*,部屋,ヘヤ,ヘヤ,s
みたい	名詞,非自立,形容動詞語幹,*,*,*,みたい,ミタイ,ミタイ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
え	感動詞,*,*,*,*,*,え,エ,エ,i
、	記号,読点,*,*,*,*,、,、,、,i
二人	名詞,一般,*,*,*,*,二人,フタリ,フタリ,i
部屋	名詞,一般,*,*,*,*,部屋,ヘヤ,ヘヤ,i
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,i
こと	名詞,非自立,一般,*,*,*,こと,コト,コト,i
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,s
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,s
、	記号,読点,*,*,*,*,、,、,、,s
え	感動詞,*,*,*,*,*,え,エ,エ,s
、	記号,読点,*,*,*,*,、,、,、,s
でも	接続詞,*,*,*,*,*,でも,デモ,デモ,s
三	名詞,数,*,*,*,*,三,サン,サン,s
人	名詞,接尾,助数詞,*,*,*,人,ニン,ニン,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
ちょっと	副詞,助詞類接続,*,*,*,*,ちょっと,チョット,チョット,s
つらい	形容詞,自立,*,*,形容詞・アウオ段,基本形,つらい,ツライ,ツライ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,s
二人	名詞,一般,*,*,*,*,二人,フタリ,フタリ,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
一人	名詞,一般,*,*,*,*,一人,ヒトリ,ヒトリ,s
みたい	名詞,非自立,形容動詞語幹,*,*,*,みたい,ミタイ,ミタイ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ベッド	名詞,一般,*,*,*,*,ベッド,ベッド,ベッド,i
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
ベッド	名詞,一般,*,*,*,*,ベッド,ベッド,ベッド,s
