はい	感動詞,*,*,*,*,*,はい,ハイ,ハイ,i
よく	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,よい,ヨク,ヨク,s
怪我	名詞,サ変接続,*,*,*,*,怪我,ケガ,ケガ,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
き	動詞,非自立,*,*,カ変・クル,連用形,くる,キ,キ,s
まし	助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ほお	感動詞,*,*,*,*,*,ほお,ホオ,ホオ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
例えば	接続詞,*,*,*,*,*,例えば,タトエバ,タトエバ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
えーっと	フィラー,*,*,*,*,*,えーっと,エーット,エーット,s
、	記号,読点,*,*,*,*,、,、,、,s
まあ	フィラー,一般,*,*,*,*,まあ,マア,マー,s
小1	名詞,一般,*,*,*,*,小1,ショウイチ,ショーイチ,s
ぐらい	助詞,副助詞,*,*,*,*,ぐらい,グライ,グライ,s
ん	助詞,格助詞,一般,*,*,*,ん,ン,ン,s
とき	名詞,非自立,副詞可能,*,*,*,とき,トキ,トキ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
、	記号,読点,*,*,*,*,、,、,、,s
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
、	記号,読点,*,*,*,*,、,、,、,s
おじいちゃん	名詞,一般,*,*,*,*,おじいちゃん,オジイチャン,オジーチャン,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
スクーター	名詞,一般,*,*,*,*,スクーター,スクーター,スクーター,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
乗っ	動詞,自立,*,*,五段・ラ行,連用タ接続,乗る,ノッ,ノッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
落ち	動詞,自立,*,*,一段,連用形,落ちる,オチ,オチ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
腰	名詞,一般,*,*,*,*,腰,コシ,コシ,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
怪我	名詞,サ変接続,*,*,*,*,怪我,ケガ,ケガ,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
まし	助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
おー	感動詞,*,*,*,*,*,おー,オー,オー,i
事故	名詞,一般,*,*,*,*,事故,ジコ,ジコ,i
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,i
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
あと	名詞,一般,*,*,*,*,あと,アト,アト,s
、	記号,読点,*,*,*,*,、,、,、,s
小6	名詞,一般,*,*,*,*,小6,ショウロク,ショーロク,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
小5	名詞,一般,*,*,*,*,小5,ショウゴ,ショーゴ,s
ん	助詞,格助詞,一般,*,*,*,ん,ン,ン,s
時	名詞,非自立,副詞可能,*,*,*,時,トキ,トキ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
、	記号,読点,*,*,*,*,、,、,、,s
ブランコ	名詞,一般,*,*,*,*,ブランコ,ブランコ,ブランコ,s
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ,s
落ち	動詞,自立,*,*,一段,連用形,落ちる,オチ,オチ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
頭	名詞,一般,*,*,*,*,頭,アタマ,アタマ,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
打ち	動詞,自立,*,*,五段・タ行,連用形,打つ,ウチ,ウチ,s
まし	助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
伝説	名詞,一般,*,*,*,*,伝説,デンセツ,デンセツ,i
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,i
作っ	動詞,自立,*,*,五段・ラ行,連用タ接続,作る,ツクッ,ツクッ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
る	動詞,非自立,*,*,一段,基本形,る,ル,ル,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
う	フィラー,*,*,*,*,*,う,ウ,ウ,s
、	記号,読点,*,*,*,*,、,、,、,s
うん	感動詞,*,*,*,*,*,うん,ウン,ウン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
じゃあ	接続詞,*,*,*,*,*,じゃあ,ジャア,ジャー,i
そういう	連体詞,*,*,*,*,*,そういう,ソウイウ,ソーユウ,i
それ	名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,i
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,i
、	記号,読点,*,*,*,*,、,、,、,i
それら	名詞,代名詞,一般,*,*,*,それら,ソレラ,ソレラ,i
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,i
経	動詞,自立,*,*,一段,連用形,経る,ヘ,ヘ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
、	記号,読点,*,*,*,*,、,、,、,i
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,i
の	助詞,終助詞,*,*,*,*,の,ノ,ノ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
えっと	フィラー,*,*,*,*,*,えっと,エット,エット,s
、	記号,読点,*,*,*,*,、,、,、,s
丈夫	名詞,形容動詞語幹,*,*,*,*,丈夫,ジョウブ,ジョーブ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
なっ	動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
なるほど	感動詞,*,*,*,*,*,なるほど,ナルホド,ナルホド,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
じゃあ	接続詞,*,*,*,*,*,じゃあ,ジャア,ジャー,i
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,i
丈夫	名詞,形容動詞語幹,*,*,*,*,丈夫,ジョウブ,ジョーブ,i
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,i
体	名詞,一般,*,*,*,*,体,カラダ,カラダ,i
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,i
持っ	動詞,自立,*,*,五段・タ行,連用タ接続,持つ,モッ,モッ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
、	記号,読点,*,*,*,*,、,、,、,i
どんな	連体詞,*,*,*,*,*,どんな,ドンナ,ドンナ,i
学生	名詞,一般,*,*,*,*,学生,ガクセイ,ガクセイ,i
生活	名詞,サ変接続,*,*,*,*,生活,セイカツ,セイカツ,i
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,i
送り	動詞,自立,*,*,五段・ラ行,連用形,送る,オクリ,オクリ,i
まし	助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
僕	名詞,代名詞,一般,*,*,*,僕,ボク,ボク,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
まあ	フィラー,一般,*,*,*,*,まあ,マア,マー,s
、	記号,読点,*,*,*,*,、,、,、,s
部活	名詞,一般,*,*,*,*,部活,ブカツ,ブカツ,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
頑張っ	動詞,自立,*,*,五段・ラ行,連用タ接続,頑張る,ガンバッ,ガンバッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
、	記号,読点,*,*,*,*,、,、,、,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
部活	名詞,一般,*,*,*,*,部活,ブカツ,ブカツ,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
何	名詞,代名詞,一般,*,*,*,何,ナニ,ナニ,i
部	名詞,接尾,助数詞,*,*,*,部,ブ,ブ,i
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
えっと	フィラー,*,*,*,*,*,えっと,エット,エット,s
、	記号,読点,*,*,*,*,、,、,、,s
テニス	名詞,一般,*,*,*,*,テニス,テニス,テニス,s
部	名詞,接尾,助数詞,*,*,*,部,ブ,ブ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
おー	感動詞,*,*,*,*,*,おー,オー,オー,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
じゃあ	接続詞,*,*,*,*,*,じゃあ,ジャア,ジャー,i
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,i
中学	名詞,一般,*,*,*,*,中学,チュウガク,チューガク,i
入っ	動詞,自立,*,*,五段・ラ行,連用タ接続,入る,ハイッ,ハイッ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
、	記号,読点,*,*,*,*,、,、,、,i
テニス	名詞,一般,*,*,*,*,テニス,テニス,テニス,i
部	名詞,接尾,助数詞,*,*,*,部,ブ,ブ,i
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,i
チョイス	名詞,一般,*,*,*,*,チョイス,チョイス,チョイス,i
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
理由	名詞,一般,*,*,*,*,理由,リユウ,リユー,i
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,i
何	名詞,代名詞,一般,*,*,*,何,ナニ,ナニ,i
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
ま	フィラー,*,*,*,*,*,ま,マ,マ,s
あー	フィラー,*,*,*,*,*,あー,アー,アー,s
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
周り	名詞,一般,*,*,*,*,周り,マワリ,マワリ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
、	記号,読点,*,*,*,*,、,、,、,s
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
野球	名詞,一般,*,*,*,*,野球,ヤキュウ,ヤキュー,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
サッカー	名詞,一般,*,*,*,*,サッカー,サッカー,サッカー,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
小学校	名詞,一般,*,*,*,*,小学校,ショウガッコウ,ショーガッコー,s
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ,s
やっ	動詞,自立,*,*,五段・ラ行,連用タ接続,やる,ヤッ,ヤッ,s
とっ	動詞,非自立,*,*,五段・ラ行,連用タ接続・縮約形,て＋おる,トッ,トッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
、	記号,読点,*,*,*,*,、,、,、,s
まー	フィラー,*,*,*,*,*,まー,マー,マー,s
、	記号,読点,*,*,*,*,、,、,、,s
僕	名詞,代名詞,一般,*,*,*,僕,ボク,ボク,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
やっ	動詞,自立,*,*,五段・ラ行,連用タ接続,やる,ヤッ,ヤッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
へんかっ	助動詞,*,*,*,特殊・ナイ,連用タ接続,へん,ヘンカッ,ヘンカッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
、	記号,読点,*,*,*,*,、,、,、,s
みんな	名詞,代名詞,一般,*,*,*,みんな,ミンナ,ミンナ,s
やっ	動詞,自立,*,*,五段・ラ行,連用タ接続,やる,ヤッ,ヤッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
へん	助動詞,*,*,*,特殊・ナイ,基本形,へん,ヘン,ヘン,s
テニス	名詞,一般,*,*,*,*,テニス,テニス,テニス,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
思	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,思う,オモ,オモ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
おー	感動詞,*,*,*,*,*,おー,オー,オー,i
なるほど	感動詞,*,*,*,*,*,なるほど,ナルホド,ナルホド,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
じゃあ	接続詞,*,*,*,*,*,じゃあ,ジャア,ジャー,i
実際	副詞,助詞類接続,*,*,*,*,実際,ジッサイ,ジッサイ,i
やっ	動詞,自立,*,*,五段・ラ行,連用タ接続,やる,ヤッ,ヤッ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
み	動詞,非自立,*,*,一段,連用形,みる,ミ,ミ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
ど	助詞,接続助詞,*,*,*,*,ど,ド,ド,i
やっ	助動詞,*,*,*,特殊・ヤ,連用タ接続,や,ヤッ,ヤッ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
えっと	フィラー,*,*,*,*,*,えっと,エット,エット,s
まあ	フィラー,一般,*,*,*,*,まあ,マア,マー,s
、	記号,読点,*,*,*,*,、,、,、,s
いっちゃん	名詞,副詞可能,*,*,*,*,いっちゃん,イッチャン,イッチャン,s
最初	名詞,一般,*,*,*,*,最初,サイショ,サイショ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
、	記号,読点,*,*,*,*,、,、,、,s
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
一	名詞,数,*,*,*,*,一,イチ,イチ,s
年生	名詞,接尾,助数詞,*,*,*,年生,ネンセイ,ネンセイ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
中	名詞,非自立,副詞可能,*,*,*,中,ナカ,ナカ,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
コート	名詞,一般,*,*,*,*,コート,コート,コート,s
入れ	動詞,自立,*,*,一段,連用形,入れる,イレ,イレ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
し	助詞,接続助詞,*,*,*,*,し,シ,シ,s
、	記号,読点,*,*,*,*,、,、,、,s
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
、	記号,読点,*,*,*,*,、,、,、,s
三	名詞,数,*,*,*,*,三,サン,サン,s
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン,s
、	記号,読点,*,*,*,*,、,、,、,s
二	名詞,数,*,*,*,*,二,ニ,ニ,s
年生	名詞,接尾,助数詞,*,*,*,年生,ネンセイ,ネンセイ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
なっ	動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
キャプテン	名詞,一般,*,*,*,*,キャプテン,キャプテン,キャプテン,s
やっ	動詞,自立,*,*,五段・ラ行,連用タ接続,やる,ヤッ,ヤッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
まあ	フィラー,一般,*,*,*,*,まあ,マア,マー,s
ほんま	副詞,一般,*,*,*,*,ほんま,ホンマ,ホンマ,s
よかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,よい,ヨカッ,ヨカッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
と	助詞,格助詞,一般,*,*,*,と,ト,ト,s
思う	動詞,自立,*,*,五段・ワ行促音便,基本形,思う,オモウ,オモウ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
えー	フィラー,*,*,*,*,*,えー,エー,エー,i
、	記号,読点,*,*,*,*,、,、,、,i
すごい	形容詞,自立,*,*,形容詞・アウオ段,基本形,すごい,スゴイ,スゴイ,i
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
なるほど	感動詞,*,*,*,*,*,なるほど,ナルホド,ナルホド,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
じゃあ	接続詞,*,*,*,*,*,じゃあ,ジャア,ジャー,i
もう	副詞,一般,*,*,*,*,もう,モウ,モー,i
、	記号,読点,*,*,*,*,、,、,、,i
めっちゃ	副詞,一般,*,*,*,*,めっちゃ,メッチャ,メッチャ,i
部活	名詞,一般,*,*,*,*,部活,ブカツ,ブカツ,i
で	助詞,格助詞,一般,*,*,*,で,デ,デ,i
活躍	名詞,サ変接続,*,*,*,*,活躍,カツヤク,カツヤク,i
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,i
まくっ	動詞,非自立,*,*,五段・ラ行,連用タ接続,まくる,マクッ,マクッ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,i
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
まあ	フィラー,一般,*,*,*,*,まあ,マア,マー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
へえー	感動詞,*,*,*,*,*,へえー,ヘエー,ヘー,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
じゃあ	接続詞,*,*,*,*,*,じゃあ,ジャア,ジャー,i
、	記号,読点,*,*,*,*,、,、,、,i
部活	名詞,一般,*,*,*,*,部活,ブカツ,ブカツ,i
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,i
やっ	動詞,自立,*,*,五段・ラ行,連用タ接続,やる,ヤッ,ヤッ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
き	動詞,非自立,*,*,カ変・クル,連用形,くる,キ,キ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
、	記号,読点,*,*,*,*,、,、,、,i
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,i
、	記号,読点,*,*,*,*,、,、,、,i
面白かっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,面白い,オモシロカッ,オモシロカッ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,i
、	記号,読点,*,*,*,*,、,、,、,i
印象	名詞,一般,*,*,*,*,印象,インショウ,インショー,i
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,i
残っ	動詞,自立,*,*,五段・ラ行,連用タ接続,残る,ノコッ,ノコッ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
る	動詞,非自立,*,*,一段,基本形,る,ル,ル,i
エピソード	名詞,一般,*,*,*,*,エピソード,エピソード,エピソード,i
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,i
なんか	助詞,副助詞,*,*,*,*,なんか,ナンカ,ナンカ,i
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,i
ん	助詞,終助詞,*,*,*,*,ん,ン,ン,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
えー	フィラー,*,*,*,*,*,えー,エー,エー,s
、	記号,読点,*,*,*,*,、,、,、,s
なん	名詞,代名詞,一般,*,*,*,なん,ナン,ナン,s
やろ	助動詞,*,*,*,特殊・ヤ,未然形,や,ヤロ,ヤロ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
まあ	フィラー,一般,*,*,*,*,まあ,マア,マー,s
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
新人	名詞,一般,*,*,*,*,新人,シンジン,シンジン,s
戦	名詞,接尾,助数詞,*,*,*,戦,セン,セン,s
ん	助詞,格助詞,一般,*,*,*,ん,ン,ン,s
時	名詞,非自立,副詞可能,*,*,*,時,トキ,トキ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
、	記号,読点,*,*,*,*,、,、,、,s
ほんま	副詞,一般,*,*,*,*,ほんま,ホンマ,ホンマ,s
、	記号,読点,*,*,*,*,、,、,、,s
あと	名詞,一般,*,*,*,*,あと,アト,アト,s
2	名詞,数,*,*,*,*,*,*,*,s
、	記号,読点,*,*,*,*,、,、,、,s
3	名詞,数,*,*,*,*,*,*,*,s
点	名詞,接尾,助数詞,*,*,*,点,テン,テン,s
取ら	動詞,自立,*,*,五段・ラ行,未然形,取る,トラ,トラ,s
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
負け	動詞,自立,*,*,一段,未然形,負ける,マケ,マケ,s
やっ	助動詞,*,*,*,特殊・ヤ,連用タ接続,や,ヤッ,ヤッ,s
てん	助動詞,*,*,*,特殊・タ,基本形,た,テン,テン,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
、	記号,読点,*,*,*,*,、,、,、,s
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
ペア	名詞,一般,*,*,*,*,ペア,ペア,ペア,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
子	名詞,一般,*,*,*,*,子,コ,コ,s
と	助詞,並立助詞,*,*,*,*,と,ト,ト,s
声	名詞,一般,*,*,*,*,声,コエ,コエ,s
出し	動詞,自立,*,*,五段・サ行,連用形,出す,ダシ,ダシ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
、	記号,読点,*,*,*,*,、,、,、,s
絶対	副詞,一般,*,*,*,*,絶対,ゼッタイ,ゼッタイ,s
