四	名詞,数,*,*,*,*,四,ヨン,ヨン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
そ	副詞,助詞類接続・短音化,*,*,*,*,そう,ソ,ソ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
、	記号,読点,*,*,*,*,、,、,、,s
ただ	接続詞,*,*,*,*,*,ただ,タダ,タダ,s
おじいちゃん	名詞,一般,*,*,*,*,おじいちゃん,オジイチャン,オジーチャン,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
、	記号,読点,*,*,*,*,、,、,、,s
あの	連体詞,*,*,*,*,*,あの,アノ,アノ,s
大阪	名詞,固有名詞,地域,一般,*,*,大阪,オオサカ,オーサカ,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
、	記号,読点,*,*,*,*,、,、,、,s
食堂	名詞,一般,*,*,*,*,食堂,ショクドウ,ショクドー,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
さかい	助詞,接続助詞,*,*,*,*,さかい,サカイ,サカイ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
、	記号,読点,*,*,*,*,、,、,、,s
それで	接続詞,*,*,*,*,*,それで,ソレデ,ソレデ,s
お	接頭詞,形容詞接続,*,*,*,*,お,オ,オ,s
うどん	名詞,一般,*,*,*,*,うどん,ウドン,ウドン,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
出汁	名詞,一般,*,*,*,*,出汁,ダシ,ダシ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
取り	動詞,自立,*,*,五段・ラ行,連用形,取る,トリ,トリ,s
方	名詞,接尾,一般,*,*,*,方,カタ,カタ,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
、	記号,読点,*,*,*,*,、,、,、,s
教え	動詞,自立,*,*,一段,連用形,教える,オシエ,オシエ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
もらっ	動詞,非自立,*,*,五段・ワ行促音便,連用タ接続,もらう,モラッ,モラッ,s
てー	助詞,接続助詞,*,*,*,*,て,テー,テー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
それで	接続詞,*,*,*,*,*,それで,ソレデ,ソレデ,s
やり	動詞,自立,*,*,五段・ラ行,連用形,やる,ヤリ,ヤリ,s
始め	動詞,非自立,*,*,一段,連用形,始める,ハジメ,ハジメ,s
てん	助動詞,*,*,*,特殊・タ,基本形,た,テン,テン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
もー	感動詞,*,*,*,*,*,もー,モオ,モー,s
、	記号,読点,*,*,*,*,、,、,、,s
ほんまに	副詞,一般,*,*,*,*,ほんまに,ホンマニ,ホンマニ,s
、	記号,読点,*,*,*,*,、,、,、,s
もー	感動詞,*,*,*,*,*,もー,モオ,モー,s
、	記号,読点,*,*,*,*,、,、,、,s
お客	名詞,一般,*,*,*,*,お客,オキャク,オキャク,s
さん	名詞,接尾,人名,*,*,*,さん,サン,サン,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
次	名詞,一般,*,*,*,*,次,ツギ,ツギ,s
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ,s
次	名詞,一般,*,*,*,*,次,ツギ,ツギ,s
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ,s
入っ	動詞,自立,*,*,五段・ラ行,連用タ接続,入る,ハイッ,ハイッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
き	動詞,非自立,*,*,カ変・クル,連用形,くる,キ,キ,s
はん	動詞,非自立,*,*,五段・ラ行撥音便,基本形,はる,ハン,ハン,s
ねん	助詞,終助詞,*,*,*,*,ねん,ネン,ネン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ほんまに	副詞,一般,*,*,*,*,ほんまに,ホンマニ,ホンマニ,s
、	記号,読点,*,*,*,*,、,、,、,s
もー	感動詞,*,*,*,*,*,もー,モオ,モー,s
、	記号,読点,*,*,*,*,、,、,、,s
自分	名詞,一般,*,*,*,*,自分,ジブン,ジブン,s
、	記号,読点,*,*,*,*,、,、,、,s
私	名詞,代名詞,一般,*,*,*,私,ワタシ,ワタシ,s
ら	名詞,接尾,一般,*,*,*,ら,ラ,ラ,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
お腹	名詞,一般,*,*,*,*,お腹,オナカ,オナカ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
減っ	動詞,自立,*,*,五段・ラ行,連用タ接続,減る,ヘッ,ヘッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
くる	動詞,非自立,*,*,カ変・クル,基本形,くる,クル,クル,s
やん	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤン,ヤン,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
だんだん	副詞,助詞類接続,*,*,*,*,だんだん,ダンダン,ダンダン,s
、	記号,読点,*,*,*,*,、,、,、,s
朝	名詞,副詞可能,*,*,*,*,朝,アサ,アサ,s
早よう	形容詞,自立,*,*,形容詞・アウオ段ウ音便,連用テ接続,早い,ハヨウ,ハヨー,s
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ,s
やっ	動詞,自立,*,*,五段・ラ行,連用タ接続,やる,ヤッ,ヤッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
る	動詞,非自立,*,*,一段,基本形,る,ル,ル,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ほな	接続詞,*,*,*,*,*,ほな,ホナ,ホナ,s
っ	感動詞,*,*,*,*,*,っ,ッ,ッ,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
、	記号,読点,*,*,*,*,、,、,、,s
もー	感動詞,*,*,*,*,*,もー,モオ,モー,s
、	記号,読点,*,*,*,*,、,、,、,s
どう	副詞,助詞類接続,*,*,*,*,どう,ドウ,ドー,s
しよ	動詞,自立,*,*,サ変・スル,未然ウ接続,する,シヨ,シヨ,s
、	記号,読点,*,*,*,*,、,、,、,s
もー	感動詞,*,*,*,*,*,もー,モオ,モー,s
、	記号,読点,*,*,*,*,、,、,、,s
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
、	記号,読点,*,*,*,*,、,、,、,s
閉めよ	動詞,自立,*,*,一段,未然ウ接続,閉める,シメヨ,シメヨ,s
う	助動詞,*,*,*,不変化型,基本形,う,ウ,ウ,s
かしら	助詞,終助詞,*,*,*,*,かしら,カシラ,カシラ,s
思う	動詞,自立,*,*,五段・ワ行促音便,基本形,思う,オモウ,オモー,s
ぐらい	助詞,副助詞,*,*,*,*,ぐらい,グライ,グライ,s
忙しかっ	形容詞,自立,*,*,形容詞・イ段,連用タ接続,忙しい,イソガシカッ,イソガシカッ,s
てー	助詞,接続助詞,*,*,*,*,て,テー,テー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
もー	感動詞,*,*,*,*,*,もー,モオ,モー,s
、	記号,読点,*,*,*,*,、,、,、,s
お客	名詞,一般,*,*,*,*,お客,オキャク,オキャク,s
さん	名詞,接尾,人名,*,*,*,さん,サン,サン,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
切れん	動詞,自立,*,*,一段撥音便,基本形,切れる,キレン,キレン,s
の	名詞,非自立,一般,*,*,*,の,ノ,ノ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
二	名詞,数,*,*,*,*,二,ニ,ニ,s
時	名詞,接尾,助数詞,*,*,*,時,ジ,ジ,s
頃	名詞,接尾,副詞可能,*,*,*,頃,ゴロ,ゴロ,s
やっ	助動詞,*,*,*,特殊・ヤ,連用タ接続,や,ヤッ,ヤッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
あー	フィラー,*,*,*,*,*,あー,アー,アー,i
、	記号,読点,*,*,*,*,、,、,、,i
もう	副詞,一般,*,*,*,*,もう,モウ,モー,i
ランチ	名詞,一般,*,*,*,*,ランチ,ランチ,ランチ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
うーん	感動詞,*,*,*,*,*,うーん,ウーン,ウーン,s
、	記号,読点,*,*,*,*,、,、,、,s
うーん	感動詞,*,*,*,*,*,うーん,ウーン,ウーン,s
、	記号,読点,*,*,*,*,、,、,、,s
それから	接続詞,*,*,*,*,*,それから,ソレカラ,ソレカラ,s
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
、	記号,読点,*,*,*,*,、,、,、,s
私	名詞,代名詞,一般,*,*,*,私,ワタシ,ワタシ,s
ら	名詞,接尾,一般,*,*,*,ら,ラ,ラ,s
ごはん	名詞,一般,*,*,*,*,ごはん,ゴハン,ゴハン,s
食べ	動詞,自立,*,*,一段,連用形,食べる,タベ,タベ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
また	接続詞,*,*,*,*,*,また,マタ,マタ,s
夕方	名詞,副詞可能,*,*,*,*,夕方,ユウガタ,ユーガタ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
仕込み	名詞,一般,*,*,*,*,仕込み,シコミ,シコミ,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
てー	助詞,接続助詞,*,*,*,*,て,テー,テー,s
、	記号,読点,*,*,*,*,、,、,、,s
あのー	フィラー,*,*,*,*,*,あのー,アノー,アノー,s
なん	名詞,代名詞,一般,*,*,*,なん,ナン,ナン,s
ちゅう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,イウ,チュー,s
の	助詞,終助詞,*,*,*,*,の,ノ,ノ,s
、	記号,読点,*,*,*,*,、,、,、,s
ほて	接続詞,*,*,*,*,*,ほて,ホテ,ホテ,s
、	記号,読点,*,*,*,*,、,、,、,s
子供	名詞,一般,*,*,*,*,子供,コドモ,コドモ,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
ほったらかし	動詞,自立,*,*,五段・サ行,連用形,ほったらかす,ホッタラカシ,ホッタラカシ,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
かわいそう	名詞,形容動詞語幹,*,*,*,*,かわいそう,カワイソウ,カワイソー,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
かすみ	名詞,固有名詞,人名,名,*,*,かすみ,カスミ,カスミ,s
さん	名詞,接尾,人名,*,*,*,さん,サン,サン,s
やら	助詞,副助詞,*,*,*,*,やら,ヤラ,ヤラ,s
ほったらかし	動詞,自立,*,*,五段・サ行,連用形,ほったらかす,ホッタラカシ,ホッタラカシ,s
や	助詞,終助詞,*,*,*,*,や,ヤ,ヤ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
もー	感動詞,*,*,*,*,*,もー,モオ,モー,s
なあ	感動詞,*,*,*,*,*,なー,ナア,ナー,s
、	記号,読点,*,*,*,*,、,、,、,s
ほて	接続詞,*,*,*,*,*,ほて,ホテ,ホテ,s
あと	名詞,一般,*,*,*,*,あと,アト,アト,s
、	記号,読点,*,*,*,*,、,、,、,s
あれ	名詞,代名詞,一般,*,*,*,あれ,アレ,アレ,s
やん	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤン,ヤン,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
二人	名詞,一般,*,*,*,*,二人,フタリ,フタリ,s
面倒	名詞,一般,*,*,*,*,面倒,メンドウ,メンドー,s
見	動詞,自立,*,*,一段,連用形,見る,ミ,ミ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
ま	感動詞,*,*,*,*,*,ま,マ,マ,s
、	記号,読点,*,*,*,*,、,、,、,s
長女	名詞,一般,*,*,*,*,長女,チョウジョ,チョージョ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
んー	フィラー,*,*,*,*,*,んー,ンー,ンー,s
、	記号,読点,*,*,*,*,、,、,、,s
一生懸命	名詞,副詞可能,*,*,*,*,一生懸命,イッショウケンメイ,イッショーケンメイ,s
面倒	名詞,一般,*,*,*,*,面倒,メンドウ,メンドー,s
見	動詞,自立,*,*,一段,連用形,見る,ミ,ミ,s
はっ	動詞,非自立,*,*,五段・ラ行,連用タ接続,はる,ハッ,ハッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
それ	名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
よう	副詞,一般,*,*,*,*,よう,ヨウ,ヨー,i
聞く	動詞,自立,*,*,五段・カ行イ音便,基本形,聞く,キク,キク,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
よう	形容詞,自立,*,*,形容詞・アウオ段ウ音便,連用テ接続,よい,ヨウ,ヨー,s
聞く	動詞,自立,*,*,五段・カ行イ音便,基本形,聞く,キク,キク,s
やろ	助動詞,*,*,*,特殊・ヤ,未然形,や,ヤロ,ヤロ,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
「	記号,括弧開,*,*,*,*,「,「,「,s
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
嫌	名詞,形容動詞語幹,*,*,*,*,嫌,イヤ,イヤ,s
やー	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤア,ヤー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
」	記号,括弧閉,*,*,*,*,」,」,」,s
言う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,言う,ユウ,ユー,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ほし	動詞,自立,*,*,五段・サ行,連用形,ほす,ホシ,ホシ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
「	記号,括弧開,*,*,*,*,「,「,「,s
絶対	副詞,一般,*,*,*,*,絶対,ゼッタイ,ゼッタイ,s
自分	名詞,一般,*,*,*,*,自分,ジブン,ジブン,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
、	記号,読点,*,*,*,*,、,、,、,s
あのー	フィラー,*,*,*,*,*,あのー,アノー,アノー,s
、	記号,読点,*,*,*,*,、,、,、,s
商売人	名詞,一般,*,*,*,*,商売人,ショウバイニン,ショーバイニン,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
とこ	名詞,一般,*,*,*,*,とこ,トコ,トコ,s
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
結婚	名詞,サ変接続,*,*,*,*,結婚,ケッコン,ケッコン,s
せえ	動詞,自立,*,*,サ変・スル,未然形・長音化,する,セエ,セー,s
へん	助動詞,*,*,*,特殊・ナイ,基本形,へん,ヘン,ヘン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
」	記号,括弧閉,*,*,*,*,」,」,」,s
言う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,言う,ユウ,ユー,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
はっ	動詞,非自立,*,*,五段・ラ行,連用タ接続,はる,ハッ,ハッ,s
てん	助動詞,*,*,*,特殊・タ,基本形,た,テン,テン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
あー	フィラー,*,*,*,*,*,あー,アー,アー,i
、	記号,読点,*,*,*,*,、,、,、,i
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,i
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
へー	感動詞,*,*,*,*,*,へー,ヘー,ヘー,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
自分	名詞,一般,*,*,*,*,自分,ジブン,ジブン,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
ほら	感動詞,*,*,*,*,*,ほら,ホラ,ホラ,s
ものすご	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,ものすごい,モノスゴ,モノスゴ,s
辛い	形容詞,自立,*,*,形容詞・アウオ段,基本形,辛い,ツライ,ツライ,s
思い	名詞,一般,*,*,*,*,思い,オモイ,オモイ,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
さかい	助詞,接続助詞,*,*,*,*,さかい,サカイ,サカイ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
せ	副詞,助詞類接続・短音化,*,*,*,*,そう,セ,セ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
し	助詞,接続助詞,*,*,*,*,し,シ,シ,s
、	記号,読点,*,*,*,*,、,、,、,s
「	記号,括弧開,*,*,*,*,「,「,「,s
サラリーマン	名詞,一般,*,*,*,*,サラリーマン,サラリーマン,サラリーマン,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
人	名詞,一般,*,*,*,*,人,ヒト,ヒト,s
と	助詞,格助詞,一般,*,*,*,と,ト,ト,s
結婚	名詞,サ変接続,*,*,*,*,結婚,ケッコン,ケッコン,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
たい	助動詞,*,*,*,特殊・タイ,基本形,たい,タイ,タイ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
」	記号,括弧閉,*,*,*,*,」,」,」,s
言う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,言う,ユウ,ユー,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
え	感動詞,*,*,*,*,*,え,エ,エ,s
、	記号,読点,*,*,*,*,、,、,、,s
そんな	連体詞,*,*,*,*,*,そんな,ソンナ,ソンナ,s
の	名詞,非自立,一般,*,*,*,の,ノ,ノ,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
なー	助詞,終助詞,*,*,*,*,なー,ナー,ナー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,s
、	記号,読点,*,*,*,*,、,、,、,s
そんなん	名詞,一般,副詞可能,*,*,*,そんなん,ソンナン,ソンナン,s
やっ	助動詞,*,*,*,特殊・ヤ,連用タ接続,や,ヤッ,ヤッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
もー	感動詞,*,*,*,*,*,もー,モオ,モー,s
とにかく	副詞,一般,*,*,*,*,とにかく,トニカク,トニカク,s
忙しかっ	形容詞,自立,*,*,形容詞・イ段,連用タ接続,忙しい,イソガシカッ,イソガシカッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
なあ	助詞,終助詞,*,*,*,*,なあ,ナア,ナー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
んー	フィラー,*,*,*,*,*,んー,ンー,ンー,s
、	記号,読点,*,*,*,*,、,、,、,s
ほて	接続詞,*,*,*,*,*,ほて,ホテ,ホテ,s
、	記号,読点,*,*,*,*,、,、,、,s
電話	名詞,一般,*,*,*,*,電話,デンワ,デンワ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
掛かる	動詞,自立,*,*,五段・ラ行,基本形,掛かる,カカル,カカル,s
わ	助詞,終助詞,*,*,*,*,わ,ワ,ワ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
なあ	助詞,終助詞,*,*,*,*,なあ,ナア,ナー,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
出前	名詞,一般,*,*,*,*,出前,デマエ,デマエ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
電話	名詞,一般,*,*,*,*,電話,デンワ,デンワ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
掛かる	動詞,自立,*,*,五段・ラ行,基本形,掛かる,カカル,カカル,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
んー	フィラー,*,*,*,*,*,んー,ンー,ンー,s
、	記号,読点,*,*,*,*,、,、,、,s
もー	感動詞,*,*,*,*,*,もー,モオ,モー,s
ほんで	接続詞,*,*,*,*,*,ほんで,ホンデ,ホンデ,s
、	記号,読点,*,*,*,*,、,、,、,s
従業	名詞,サ変接続,*,*,*,*,従業,ジュウギョウ,ジューギョー,s
員	名詞,接尾,一般,*,*,*,員,イン,イン,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
、	記号,読点,*,*,*,*,、,、,、,s
一番	名詞,副詞可能,*,*,*,*,一番,イチバン,イチバン,s
最初	名詞,一般,*,*,*,*,最初,サイショ,サイショ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
、	記号,読点,*,*,*,*,、,、,、,s
