一本	名詞,固有名詞,地域,一般,*,*,一本,イッポン,イッポン,s
？	記号,一般,*,*,*,*,？,？,？,i
EOS
せ	副詞,助詞類接続・短音化,*,*,*,*,そう,セ,セ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
、	記号,読点,*,*,*,*,、,、,、,s
いろんな	連体詞,*,*,*,*,*,いろんな,イロンナ,イロンナ,s
もの	名詞,非自立,一般,*,*,*,もの,モノ,モノ,s
乾燥	名詞,サ変接続,*,*,*,*,乾燥,カンソウ,カンソー,s
させ	動詞,自立,*,*,一段,連用形,させる,サセ,サセ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
、	記号,読点,*,*,*,*,、,、,、,s
ほんで	接続詞,*,*,*,*,*,ほんで,ホンデ,ホンデ,s
袋	名詞,一般,*,*,*,*,袋,フクロ,フクロ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
入っ	動詞,自立,*,*,五段・ラ行,連用タ接続,入る,ハイッ,ハイッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
百姓	名詞,一般,*,*,*,*,百姓,ヒャクショウ,ヒャクショー,s
屋	名詞,接尾,一般,*,*,*,屋,ヤ,ヤ,s
さん	名詞,接尾,人名,*,*,*,さん,サン,サン,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
、	記号,読点,*,*,*,*,、,、,、,s
買う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,買う,コウ,コー,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
き	動詞,非自立,*,*,カ変・クル,連用形,くる,キ,キ,s
よっ	動詞,非自立,*,*,五段・ラ行,連用タ接続,よる,ヨッ,ヨッ,s
てん	助動詞,*,*,*,特殊・タ,基本形,た,テン,テン,s
、	記号,読点,*,*,*,*,、,、,、,s
そん	連体詞,*,*,*,*,*,その,ソン,ソン,s
中	名詞,非自立,副詞可能,*,*,*,中,ナカ,ナカ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
かずのこ	名詞,一般,*,*,*,*,かずのこ,カズノコ,カズノコ,s
なんか	助詞,副助詞,*,*,*,*,なんか,ナンカ,ナンカ,s
はい	動詞,自立,*,*,五段・カ行イ音便,連用タ接続,はく,ハイ,ハイ,s
とっ	動詞,非自立,*,*,五段・ラ行,連用タ接続・縮約形,て＋おる,トッ,トッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
もったいな	感動詞,*,*,*,*,*,もったいな,モッタイナ,モッタイナ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
、	記号,読点,*,*,*,*,、,、,、,s
ほんで	接続詞,*,*,*,*,*,ほんで,ホンデ,ホンデ,s
今	名詞,副詞可能,*,*,*,*,今,イマ,イマ,s
と	助詞,格助詞,一般,*,*,*,と,ト,ト,s
全然	副詞,助詞類接続,*,*,*,*,全然,ゼンゼン,ゼンゼン,s
違う	動詞,自立,*,*,五段・ワ行促音便,基本形,違う,チガウ,チガウ,s
あんな	連体詞,*,*,*,*,*,あんな,アンナ,アンナ,s
もん	助詞,終助詞,*,*,*,*,もん,モン,モン,s
、	記号,読点,*,*,*,*,、,、,、,s
なあ	助詞,終助詞,*,*,*,*,なあ,ナア,ナー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
お正月	名詞,一般,*,*,*,*,お正月,オショウガツ,オショーガツ,i
くらい	助詞,副助詞,*,*,*,*,くらい,クライ,クライ,i
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,i
しか	助詞,係助詞,*,*,*,*,しか,シカ,シカ,i
食べ	動詞,自立,*,*,一段,未然形,食べる,タベ,タベ,i
られ	動詞,接尾,*,*,一段,未然形,られる,ラレ,ラレ,i
へん	助動詞,*,*,*,特殊・ナイ,基本形,へん,ヘン,ヘン,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
食べ	動詞,自立,*,*,一段,未然形,食べる,タベ,タベ,s
られ	動詞,接尾,*,*,一段,未然形,られる,ラレ,ラレ,s
へん	助動詞,*,*,*,特殊・ナイ,基本形,へん,ヘン,ヘン,s
ぐらい	助詞,副助詞,*,*,*,*,ぐらい,グライ,グライ,s
やろ	助動詞,*,*,*,特殊・ヤ,未然形,や,ヤロ,ヤロ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
それ	名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
、	記号,読点,*,*,*,*,、,、,、,s
そんなん	名詞,一般,副詞可能,*,*,*,そんなん,ソンナン,ソンナン,s
中	名詞,非自立,副詞可能,*,*,*,中,ナカ,ナカ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
入っ	動詞,自立,*,*,五段・ラ行,連用タ接続,入る,ハイッ,ハイッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
あの	フィラー,*,*,*,*,*,あの,アノ,アノ,s
、	記号,読点,*,*,*,*,、,、,、,s
袋	名詞,一般,*,*,*,*,袋,フクロ,フクロ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
入っ	動詞,自立,*,*,五段・ラ行,連用タ接続,入る,ハイッ,ハイッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
、	記号,読点,*,*,*,*,、,、,、,s
紙袋	名詞,一般,*,*,*,*,紙袋,カミブクロ,カミブクロ,s
、	記号,読点,*,*,*,*,、,、,、,s
紙	名詞,一般,*,*,*,*,紙,カミ,カミ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
袋	名詞,一般,*,*,*,*,袋,フクロ,フクロ,s
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,ユウ,ユー,s
の	助詞,終助詞,*,*,*,*,の,ノ,ノ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
あの	連体詞,*,*,*,*,*,あの,アノ,アノ,s
中	名詞,非自立,副詞可能,*,*,*,中,ナカ,ナカ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
入っ	動詞,自立,*,*,五段・ラ行,連用タ接続,入る,ハイッ,ハイッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
のう	助詞,終助詞,*,*,*,*,のう,ノウ,ノー,s
、	記号,読点,*,*,*,*,、,、,、,s
でも	接続詞,*,*,*,*,*,でも,デモ,デモ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
結構	副詞,一般,*,*,*,*,結構,ケッコウ,ケッコー,s
食べ	動詞,自立,*,*,一段,連用形,食べる,タベ,タベ,s
られる	動詞,接尾,*,*,一段,基本形,られる,ラレル,ラレル,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
ぞ	助詞,終助詞,*,*,*,*,ぞ,ゾ,ゾ,s
、	記号,読点,*,*,*,*,、,、,、,s
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
時分	名詞,一般,*,*,*,*,時分,ジブン,ジブン,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
やつ	名詞,代名詞,一般,*,*,*,やつ,ヤツ,ヤツ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
の	助詞,終助詞,*,*,*,*,の,ノ,ノ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
え	感動詞,*,*,*,*,*,え,エ,エ,i
、	記号,読点,*,*,*,*,、,、,、,i
だって	接続詞,*,*,*,*,*,だって,ダッテ,ダッテ,i
、	記号,読点,*,*,*,*,、,、,、,i
かずのこ	名詞,一般,*,*,*,*,かずのこ,カズノコ,カズノコ,i
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,i
栄養	名詞,一般,*,*,*,*,栄養,エイヨウ,エイヨー,i
たっぷり	副詞,助詞類接続,*,*,*,*,たっぷり,タップリ,タップリ,i
じゃ	助動詞,*,*,*,特殊・ジャ,未然形,じゃ,ジャ,ジャ,i
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,i
、	記号,読点,*,*,*,*,、,、,、,i
卵	名詞,一般,*,*,*,*,卵,タマゴ,タマゴ,i
だ	助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,i
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
ああ	感動詞,*,*,*,*,*,ああ,アア,アー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
かずのこ	名詞,一般,*,*,*,*,かずのこ,カズノコ,カズノコ,i
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,i
何	名詞,代名詞,一般,*,*,*,何,ナニ,ナニ,i
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,i
子	名詞,一般,*,*,*,*,子,コ,コ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
何	名詞,代名詞,一般,*,*,*,何,ナニ,ナニ,s
やっ	助動詞,*,*,*,特殊・ヤ,連用タ接続,や,ヤッ,ヤッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
かい	助詞,終助詞,*,*,*,*,かい,カイ,カイ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
たらこ	名詞,固有名詞,一般,*,*,*,たらこ,タラコ,タラコ,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
たら	名詞,一般,*,*,*,*,たら,タラ,タラ,i
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,i
子	名詞,一般,*,*,*,*,子,コ,コ,i
EOS
あの	フィラー,*,*,*,*,*,あの,アノ,アノ,s
、	記号,読点,*,*,*,*,、,、,、,s
かずのこ	名詞,一般,*,*,*,*,かずのこ,カズノコ,カズノコ,s
いう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,いう,ユウ,ユー,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
あれ	名詞,代名詞,一般,*,*,*,あれ,アレ,アレ,s
と	助詞,格助詞,一般,*,*,*,と,ト,ト,s
ちゃう	動詞,自立,*,*,五段・特殊,基本形,ちゃう,チャウ,チャウ,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
かい	助詞,終助詞,*,*,*,*,かい,カイ,カイ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
、	記号,読点,*,*,*,*,、,、,、,s
鮭	名詞,一般,*,*,*,*,鮭,サケ,サケ,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
それ	名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,i
イクラ	名詞,一般,*,*,*,*,イクラ,イクラ,イクラ,i
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
イクラ	名詞,一般,*,*,*,*,イクラ,イクラ,イクラ,s
と	助詞,並立助詞,*,*,*,*,と,ト,ト,s
イクラ	名詞,一般,*,*,*,*,イクラ,イクラ,イクラ,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,s
けども	助詞,接続助詞,*,*,*,*,けども,ケドモ,ケドモ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
イクラ	名詞,一般,*,*,*,*,イクラ,イクラ,イクラ,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
シャケ	名詞,一般,*,*,*,*,シャケ,シャケ,シャケ,i
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,i
子	名詞,一般,*,*,*,*,子,コ,コ,i
EOS
あの	フィラー,*,*,*,*,*,あの,アノ,アノ,s
、	記号,読点,*,*,*,*,、,、,、,s
寿司	名詞,一般,*,*,*,*,寿司,スシ,スシ,s
屋	名詞,接尾,一般,*,*,*,屋,ヤ,ヤ,s
行っ	動詞,自立,*,*,五段・カ行促音便,連用タ接続,行く,イッ,イッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
、	記号,読点,*,*,*,*,、,、,、,s
筋子	名詞,一般,*,*,*,*,筋子,スジコ,スジコ,s
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,ユウ,ユー,s
の	名詞,非自立,一般,*,*,*,の,ノ,ノ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,s
やん	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤン,ヤン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
あれ	名詞,代名詞,一般,*,*,*,あれ,アレ,アレ,s
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
、	記号,読点,*,*,*,*,、,、,、,s
マス	名詞,一般,*,*,*,*,マス,マス,マス,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
子	名詞,一般,*,*,*,*,子,コ,コ,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
、	記号,読点,*,*,*,*,、,、,、,s
知ら	動詞,自立,*,*,五段・ラ行,未然形,知る,シラ,シラ,s
ん	助動詞,*,*,*,特殊・ナイ,基本形,ん,ン,ン,s
わ	助詞,終助詞,*,*,*,*,わ,ワ,ワ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
鮭	名詞,一般,*,*,*,*,鮭,サケ,サケ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
子	名詞,一般,*,*,*,*,子,コ,コ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
で	接続詞,*,*,*,*,*,で,デ,デ,i
、	記号,読点,*,*,*,*,、,、,、,i
ほぐし	動詞,自立,*,*,五段・サ行,連用形,ほぐす,ホグシ,ホグシ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,i
の	名詞,非自立,一般,*,*,*,の,ノ,ノ,i
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,i
筋子	名詞,一般,*,*,*,*,筋子,スジコ,スジコ,i
じゃ	助動詞,*,*,*,特殊・ジャ,未然形,じゃ,ジャ,ジャ,i
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
筋子	名詞,一般,*,*,*,*,筋子,スジコ,スジコ,i
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,i
あの	連体詞,*,*,*,*,*,あの,アノ,アノ,i
細かい	形容詞,自立,*,*,形容詞・アウオ段,基本形,細かい,コマカイ,コマカイ,i
つぶつぶ	名詞,一般,*,*,*,*,つぶつぶ,ツブツブ,ツブツブ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,s
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ニシン	名詞,一般,*,*,*,*,ニシン,ニシン,ニシン,i
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,i
子	名詞,一般,*,*,*,*,子,コ,コ,i
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,i
何	名詞,代名詞,一般,*,*,*,何,ナニ,ナニ,i
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,i
っけ	助詞,終助詞,*,*,*,*,っけ,ッケ,ッケ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
ニシン	名詞,一般,*,*,*,*,ニシン,ニシン,ニシン,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
知ら	動詞,自立,*,*,五段・ラ行,未然形,知る,シラ,シラ,s
ん	助動詞,*,*,*,特殊・ナイ,基本形,ん,ン,ン,s
なあ	助詞,終助詞,*,*,*,*,なあ,ナア,ナー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
気	名詞,一般,*,*,*,*,気,キ,キ,i
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,i
なる	動詞,自立,*,*,五段・ラ行,基本形,なる,ナル,ナル,i
わ	助詞,終助詞,*,*,*,*,わ,ワ,ワ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
女	名詞,一般,*,*,*,*,女,オンナ,オンナ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
人	名詞,一般,*,*,*,*,人,ヒト,ヒト,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
聞い	動詞,自立,*,*,五段・カ行イ音便,連用タ接続,聞く,キイ,キイ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
もらわ	動詞,非自立,*,*,五段・ワ行促音便,未然形,もらう,モラワ,モラワ,s
な	助動詞,*,*,*,特殊・ナイ,仮定形・縮約形,な,ナ,ナ,s
しゃあない	形容詞,自立,*,*,形容詞・アウオ段,基本形,しゃあない,シャアナイ,シャーナイ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
私	名詞,代名詞,一般,*,*,*,私,ワタシ,ワタシ,i
も	助詞,係助詞,*,*,*,*,も,モ,モ,i
女	名詞,一般,*,*,*,*,女,オンナ,オンナ,i
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,i
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,i
なあ	助詞,終助詞,*,*,*,*,なあ,ナア,ナー,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
買いもん	名詞,一般,*,*,*,*,買いもん,カイモン,カイモン,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
よう	形容詞,自立,*,*,形容詞・アウオ段ウ音便,連用テ接続,よい,ヨウ,ヨー,s
行く	動詞,自立,*,*,五段・カ行促音便,基本形,行く,イク,イク,s
人	名詞,一般,*,*,*,*,人,ヒト,ヒト,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
スーパー	名詞,一般,*,*,*,*,スーパー,スーパー,スーパー,s
行っ	動詞,自立,*,*,五段・カ行促音便,連用タ接続,行く,イッ,イッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
ずーっと	副詞,一般,*,*,*,*,ずーっと,ズーット,ズーット,s
調べ	動詞,自立,*,*,一段,連用形,調べる,シラベ,シラベ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
下調べ	名詞,サ変接続,*,*,*,*,下調べ,シタシラベ,シタシラベ,s
いう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,いう,ユウ,ユー,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
あれ	名詞,代名詞,一般,*,*,*,あれ,アレ,アレ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
けども	助詞,接続助詞,*,*,*,*,けども,ケドモ,ケドモ,s
、	記号,読点,*,*,*,*,、,、,、,s
魚屋	名詞,一般,*,*,*,*,魚屋,サカナヤ,サカナヤ,s
さん	名詞,接尾,人名,*,*,*,さん,サン,サン,s
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ,s
八百屋	名詞,一般,*,*,*,*,八百屋,ヤオヤ,ヤオヤ,s
さん	名詞,接尾,人名,*,*,*,さん,サン,サン,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
いろんな	連体詞,*,*,*,*,*,いろんな,イロンナ,イロンナ,s
所	名詞,非自立,副詞可能,*,*,*,所,トコロ,トコロ,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
売っ	動詞,自立,*,*,五段・ラ行,連用タ接続,売る,ウッ,ウッ,s
とっ	動詞,非自立,*,*,五段・ラ行,連用タ接続・縮約形,て＋おる,トッ,トッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
