お願い	名詞,サ変接続,*,*,*,*,お願い,オネガイ,オネガイ,i
。	記号,句点,*,*,*,*,。,。,。,s
EOS
だって	接続詞,*,*,*,*,*,だって,ダッテ,ダッテ,i
けっこう	副詞,一般,*,*,*,*,けっこう,ケッコウ,ケッコー,i
ゴテゴテ	副詞,一般,*,*,*,*,ゴテゴテ,ゴテゴテ,ゴテゴテ,i
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,i
で	助詞,終助詞,*,*,*,*,で,デ,デ,i
おばあちゃん	名詞,一般,*,*,*,*,おばあちゃん,オバアチャン,オバアチャン,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
あ	感動詞,*,*,*,*,*,あ,ア,ア,s
、	記号,読点,*,*,*,*,、,、,、,s
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
なんか	助詞,副助詞,*,*,*,*,なんか,ナンカ,ナンカ,i
も	助詞,係助詞,*,*,*,*,も,モ,モ,i
前	名詞,副詞可能,*,*,*,*,前,マエ,マエ,i
言っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,言う,ユッ,ユッ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
みんな	名詞,代名詞,一般,*,*,*,みんな,ミンナ,ミンナ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
言わ	動詞,自立,*,*,五段・ワ行促音便,未然形,言う,ユワ,ユワ,s
れる	動詞,接尾,*,*,一段,基本形,れる,レル,レル,s
言わ	動詞,自立,*,*,五段・ワ行促音便,未然形,言う,ユワ,ユワ,s
れる	動詞,接尾,*,*,一段,基本形,れる,レル,レル,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ゴテゴテ	副詞,一般,*,*,*,*,ゴテゴテ,ゴテゴテ,ゴテゴテ,i
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,i
なー	助詞,終助詞,*,*,*,*,なー,ナー,ナー,i
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,i
言っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,言う,ユッ,ユッ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
おばあちゃん	名詞,一般,*,*,*,*,おばあちゃん,オバアチャン,オバアチャン,i
ずっと	副詞,一般,*,*,*,*,ずっと,ズット,ズット,i
大阪	名詞,固有名詞,地域,一般,*,*,大阪,オオサカ,オーサカ,i
住ん	動詞,自立,*,*,五段・マ行,連用タ接続,住む,スン,スン,i
でん	動詞,非自立,*,*,一段撥音便,基本形,でる,デン,デン,i
の	助詞,終助詞,*,*,*,*,の,ノ,ノ,i
じゃあ	接続詞,*,*,*,*,*,じゃあ,ジャア,ジャー,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
昔	名詞,副詞可能,*,*,*,*,昔,ムカシ,ムカシ,i
ずっと	副詞,一般,*,*,*,*,ずっと,ズット,ズット,i
大阪	名詞,固有名詞,地域,一般,*,*,大阪,オオサカ,オーサカ,i
やっ	助動詞,*,*,*,特殊・ヤ,連用タ接続,や,ヤッ,ヤッ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
えっと	フィラー,*,*,*,*,*,えっと,エット,エット,s
、	記号,読点,*,*,*,*,、,、,、,s
ずっと	副詞,一般,*,*,*,*,ずっと,ズット,ズット,s
大阪	名詞,固有名詞,地域,一般,*,*,大阪,オオサカ,オーサカ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
生まれ	動詞,自立,*,*,一段,連用形,生まれる,ウマレ,ウマレ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
生まれ	動詞,自立,*,*,一段,連用形,生まれる,ウマレ,ウマレ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
育っ	動詞,自立,*,*,五段・タ行,連用タ接続,育つ,ソダッ,ソダッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
学校	名詞,一般,*,*,*,*,学校,ガッコウ,ガッコー,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
大阪	名詞,固有名詞,地域,一般,*,*,大阪,オオサカ,オーサカ,s
、	記号,読点,*,*,*,*,、,、,、,s
ぜーんぶ	副詞,一般,*,*,*,*,ぜーんぶ,ゼーンブ,ゼーンブ,s
大阪	名詞,固有名詞,地域,一般,*,*,大阪,オオサカ,オーサカ,s
、	記号,読点,*,*,*,*,、,、,、,s
結婚	名詞,サ変接続,*,*,*,*,結婚,ケッコン,ケッコン,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
あのー	フィラー,*,*,*,*,*,あのー,アノー,アノー,s
、	記号,読点,*,*,*,*,、,、,、,s
郊外	名詞,一般,*,*,*,*,郊外,コウガイ,コーガイ,s
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ,s
住ん	動詞,自立,*,*,五段・マ行,連用タ接続,住む,スン,スン,s
だ	助動詞,*,*,*,特殊・タ,基本形,だ,ダ,ダ,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
え	感動詞,*,*,*,*,*,え,エ,エ,i
、	記号,読点,*,*,*,*,、,、,、,i
で	接続詞,*,*,*,*,*,で,デ,デ,i
、	記号,読点,*,*,*,*,、,、,、,i
もうすぐ	副詞,一般,*,*,*,*,もうすぐ,モウスグ,モースグ,i
奈良	名詞,固有名詞,地域,一般,*,*,奈良,ナラ,ナラ,i
来	動詞,自立,*,*,カ変・来ル,連用形,来る,キ,キ,i
たん	助動詞,*,*,*,特殊・タ,基本形,たん,タン,タン,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
えーっと	フィラー,*,*,*,*,*,えーっと,エーット,エーット,s
、	記号,読点,*,*,*,*,、,、,、,s
いろいろ	副詞,助詞類接続,*,*,*,*,いろいろ,イロイロ,イロイロ,s
と	助詞,副詞化,*,*,*,*,と,ト,ト,s
引っ越し	名詞,サ変接続,*,*,*,*,引っ越し,ヒッコシ,ヒッコシ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
何	名詞,代名詞,一般,*,*,*,何,ナニ,ナニ,s
回	名詞,接尾,助数詞,*,*,*,回,カイ,カイ,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
やっ	助動詞,*,*,*,特殊・ヤ,連用タ接続,や,ヤッ,ヤッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
あー	フィラー,*,*,*,*,*,あー,アー,アー,i
、	記号,読点,*,*,*,*,、,、,、,i
そ	副詞,助詞類接続・短音化,*,*,*,*,そう,ソ,ソ,i
やっ	助動詞,*,*,*,特殊・ヤ,連用タ接続,や,ヤッ,ヤッ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
っけ	助詞,終助詞,*,*,*,*,っけ,ッケ,ッケ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
言っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,言う,ユッ,ユッ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
だから	接続詞,*,*,*,*,*,だから,ダカラ,ダカラ,s
一番	名詞,副詞可能,*,*,*,*,一番,イチバン,イチバン,s
最初	名詞,一般,*,*,*,*,最初,サイショ,サイショ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
、	記号,読点,*,*,*,*,、,、,、,s
あのー	フィラー,*,*,*,*,*,あのー,アノー,アノー,s
、	記号,読点,*,*,*,*,、,、,、,s
あれ	名詞,代名詞,一般,*,*,*,あれ,アレ,アレ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
あのー	フィラー,*,*,*,*,*,あのー,アノー,アノー,s
、	記号,読点,*,*,*,*,、,、,、,s
瓢箪山	名詞,固有名詞,地域,一般,*,*,瓢箪山,ヒョウタンヤマ,ヒョータンヤマ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,i
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,i
、	記号,読点,*,*,*,*,、,、,、,i
へー	感動詞,*,*,*,*,*,へー,ヘー,ヘー,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
東大阪	名詞,固有名詞,地域,一般,*,*,東大阪,ヒガシオオサカ,ヒガシオーサカ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
おじいちゃん	名詞,一般,*,*,*,*,おじいちゃん,オジイチャン,オジーチャン,i
と	助詞,格助詞,一般,*,*,*,と,ト,ト,i
結婚	名詞,サ変接続,*,*,*,*,結婚,ケッコン,ケッコン,i
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
最初	名詞,副詞可能,*,*,*,*,最初,サイショ,サイショ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
最初	名詞,一般,*,*,*,*,最初,サイショ,サイショ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
あの	連体詞,*,*,*,*,*,あの,アノ,アノ,s
おばあちゃん	名詞,一般,*,*,*,*,おばあちゃん,オバアチャン,オバアチャン,s
とこ	名詞,非自立,副詞可能,*,*,*,とこ,トコ,トコ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
家	名詞,一般,*,*,*,*,家,イエ,イエ,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
一緒	名詞,サ変接続,*,*,*,*,一緒,イッショ,イッショ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
住ん	動詞,自立,*,*,五段・マ行,連用タ接続,住む,スン,スン,s
で	助詞,接続助詞,*,*,*,*,で,デ,デ,s
てん	助動詞,*,*,*,特殊・タ,基本形,た,テン,テン,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
、	記号,読点,*,*,*,*,、,、,、,s
出	動詞,自立,*,*,一段,連用形,出る,デ,デ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
ほんで	接続詞,*,*,*,*,*,ほんで,ホンデ,ホンデ,s
瓢箪山	名詞,固有名詞,地域,一般,*,*,瓢箪山,ヒョウタンヤマ,ヒョータンヤマ,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
住ん	動詞,自立,*,*,五段・マ行,連用タ接続,住む,スン,スン,s
で	助詞,接続助詞,*,*,*,*,で,デ,デ,s
、	記号,読点,*,*,*,*,、,、,、,s
それから	接続詞,*,*,*,*,*,それから,ソレカラ,ソレカラ,s
千代田	名詞,一般,*,*,*,*,千代田,チヨダ,チヨダ,s
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ,s
行っ	動詞,自立,*,*,五段・カ行促音便,連用タ接続,行く,イッ,イッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
河内長野	名詞,固有名詞,地域,一般,*,*,河内長野,カワチナガノ,カワチナガノ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
千代田	名詞,一般,*,*,*,*,千代田,チヨダ,チヨダ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
全然	副詞,助詞類接続,*,*,*,*,全然,ゼンゼン,ゼンゼン,i
わから	動詞,自立,*,*,五段・ラ行,未然形,わかる,ワカラ,ワカラ,i
ん	助動詞,*,*,*,特殊・ナイ,基本形,ん,ン,ン,i
わ	助詞,終助詞,*,*,*,*,わ,ワ,ワ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
河内長野	名詞,固有名詞,地域,一般,*,*,河内長野,カワチナガノ,カワチナガノ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
方	名詞,非自立,一般,*,*,*,方,ホウ,ホー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
堺	名詞,固有名詞,地域,一般,*,*,堺,サカイ,サカイ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
高野	名詞,一般,*,*,*,*,高野,コウヤ,コーヤ,s
線	名詞,接尾,助数詞,*,*,*,線,セン,セン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
そっち	名詞,代名詞,一般,*,*,*,そっち,ソッチ,ソッチ,s
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ,s
い	動詞,自立,*,*,一段,連用形,いる,イ,イ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
んで	接続詞,*,*,*,*,*,んで,ンデ,ンデ,s
、	記号,読点,*,*,*,*,、,、,、,s
また	副詞,助詞類接続,*,*,*,*,また,マタ,マタ,s
帰っ	動詞,自立,*,*,五段・ラ行,連用タ接続,帰る,カエッ,カエッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
き	動詞,非自立,*,*,カ変・クル,連用形,くる,キ,キ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
山本	名詞,固有名詞,地域,一般,*,*,山本,ヤマモト,ヤマモト,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
住ん	動詞,自立,*,*,五段・マ行,連用タ接続,住む,スン,スン,s
でん	動詞,非自立,*,*,一段撥音便,基本形・縮約形,て＋いる,デン,デン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
山本	名詞,固有名詞,地域,一般,*,*,山本,ヤマモト,ヤマモト,i
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
近鉄	名詞,固有名詞,一般,*,*,*,近鉄,キンテツ,キンテツ,s
山本	名詞,固有名詞,地域,一般,*,*,山本,ヤマモト,ヤマモト,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
あー	フィラー,*,*,*,*,*,あー,アー,アー,i
、	記号,読点,*,*,*,*,、,、,、,i
はい	感動詞,*,*,*,*,*,はい,ハイ,ハイ,i
はい	感動詞,*,*,*,*,*,はい,ハイ,ハイ,i
試合	名詞,サ変接続,*,*,*,*,試合,シアイ,シアイ,i
で	助詞,格助詞,一般,*,*,*,で,デ,デ,i
行っ	動詞,自立,*,*,五段・カ行促音便,連用タ接続,行く,イッ,イッ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
わ	助詞,終助詞,*,*,*,*,わ,ワ,ワ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
あ	感動詞,*,*,*,*,*,あ,ア,ア,s
、	記号,読点,*,*,*,*,、,、,、,s
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
高安	名詞,固有名詞,人名,姓,*,*,高安,タカヤス,タカヤス,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
手前	名詞,一般,*,*,*,*,手前,テマエ,テマエ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
、	記号,読点,*,*,*,*,、,、,、,s
うん	感動詞,*,*,*,*,*,うん,ウン,ウン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
山本	名詞,固有名詞,地域,一般,*,*,山本,ヤマモト,ヤマモト,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
住ん	動詞,自立,*,*,五段・マ行,連用タ接続,住む,スン,スン,s
でー	助詞,終助詞,*,*,*,*,で,デー,デー,s
、	記号,読点,*,*,*,*,、,、,、,s
で	接続詞,*,*,*,*,*,で,デ,デ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
真菅	名詞,固有名詞,一般,*,*,*,真菅,マスガ,マスガ,s
て	助詞,格助詞・縮約形,引用,*,*,*,って,テ,テ,s
また	副詞,助詞類接続,*,*,*,*,また,マタ,マタ,s
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
八木	名詞,固有名詞,地域,一般,*,*,八木,ヤギ,ヤギ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
ちょっと	副詞,助詞類接続,*,*,*,*,ちょっと,チョット,チョット,s
手前	名詞,一般,*,*,*,*,手前,テマエ,テマエ,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
あー	フィラー,*,*,*,*,*,あー,アー,アー,i
、	記号,読点,*,*,*,*,、,、,、,i
そんなに	副詞,一般,*,*,*,*,そんなに,ソンナニ,ソンナニ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
引っ越し	動詞,自立,*,*,五段・サ行,連用形,引っ越す,ヒッコシ,ヒッコシ,s
てん	助動詞,*,*,*,特殊・タ,基本形,た,テン,テン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
そこ	名詞,代名詞,一般,*,*,*,そこ,ソコ,ソコ,s
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ,s
家	名詞,一般,*,*,*,*,家,イエ,イエ,s
建て	動詞,自立,*,*,一段,連用形,建てる,タテ,タテ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
山本	名詞,固有名詞,地域,一般,*,*,山本,ヤマモト,ヤマモト,s
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ,s
家	名詞,一般,*,*,*,*,家,イエ,イエ,s
建て	動詞,自立,*,*,一段,連用形,建てる,タテ,タテ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
んで	接続詞,*,*,*,*,*,んで,ンデ,ンデ,s
ちょっと	副詞,助詞類接続,*,*,*,*,ちょっと,チョット,チョット,s
狭い	形容詞,自立,*,*,形容詞・アウオ段,基本形,狭い,セマイ,セマイ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
真菅	名詞,固有名詞,一般,*,*,*,真菅,マスガ,マスガ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
ちょっと	副詞,助詞類接続,*,*,*,*,ちょっと,チョット,チョット,s
広い	形容詞,自立,*,*,形容詞・アウオ段,基本形,広い,ヒロイ,ヒロイ,s
とこ	名詞,一般,*,*,*,*,とこ,トコ,トコ,s
行っ	動詞,自立,*,*,五段・カ行促音便,連用タ接続,行く,イッ,イッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
んで	接続詞,*,*,*,*,*,んで,ンデ,ンデ,s
そこ	名詞,代名詞,一般,*,*,*,そこ,ソコ,ソコ,s
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ,s
今度	名詞,副詞可能,*,*,*,*,今度,コンド,コンド,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
みさ	名詞,固有名詞,人名,名,*,*,みさ,ミサ,ミサ,s
ちゃん	名詞,接尾,人名,*,*,*,ちゃん,チャン,チャン,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
あのー	フィラー,*,*,*,*,*,あのー,アノー,アノー,s
、	記号,読点,*,*,*,*,、,、,、,s
中学	名詞,一般,*,*,*,*,中学,チュウガク,チューガク,s
行く	動詞,自立,*,*,五段・カ行促音便,基本形,行く,イク,イク,s
の	名詞,非自立,一般,*,*,*,の,ノ,ノ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
附属	名詞,サ変接続,*,*,*,*,附属,フゾク,フゾク,s
やっ	助動詞,*,*,*,特殊・ヤ,連用タ接続,や,ヤッ,ヤッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
、	記号,読点,*,*,*,*,、,、,、,s
奈良	名詞,固有名詞,地域,一般,*,*,奈良,ナラ,ナラ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
教育	名詞,サ変接続,*,*,*,*,教育,キョウイク,キョーイク,s
大	名詞,接尾,一般,*,*,*,大,ダイ,ダイ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
付属	名詞,サ変接続,*,*,*,*,付属,フゾク,フゾク,s
やっ	助動詞,*,*,*,特殊・ヤ,連用タ接続,や,ヤッ,ヤッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
遠い	形容詞,自立,*,*,形容詞・アウオ段,基本形,遠い,トオイ,トーイ,s
ん	助詞,終助詞,*,*,*,*,ん,ン,ン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
え	感動詞,*,*,*,*,*,え,エ,エ,i
、	記号,読点,*,*,*,*,、,、,、,i
先に	副詞,一般,*,*,*,*,先に,サキニ,サキニ,i
じゃあ	接続詞,*,*,*,*,*,じゃあ,ジャア,ジャー,i
