何	名詞,代名詞,一般,*,*,*,何,ナニ,ナニ,s
市立	名詞,一般,*,*,*,*,市立,シリツ,シリツ,s
北	名詞,一般,*,*,*,*,北,キタ,キタ,s
手島	名詞,固有名詞,一般,*,*,*,手島,テシマ,テシマ,s
中学校	名詞,一般,*,*,*,*,中学校,チュウガッコウ,チューガッコー,s
、	記号,読点,*,*,*,*,、,、,、,s
そこ	名詞,代名詞,一般,*,*,*,そこ,ソコ,ソコ,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
卒業	名詞,サ変接続,*,*,*,*,卒業,ソツギョウ,ソツギョー,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
高校	名詞,一般,*,*,*,*,高校,コウコウ,コーコー,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
私立	名詞,一般,*,*,*,*,私立,シリツ,シリツ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
梅花	名詞,固有名詞,地域,一般,*,*,梅花,バイカ,バイカ,s
高校	名詞,一般,*,*,*,*,高校,コウコウ,コーコー,s
外国語科	名詞,一般,*,*,*,*,外国語科,外国語科,外国語科,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
行っ	動詞,自立,*,*,五段・カ行促音便,連用タ接続,行く,イッ,イッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
で	接続詞,*,*,*,*,*,で,デ,デ,s
三	名詞,数,*,*,*,*,三,サン,サン,s
年生	名詞,接尾,助数詞,*,*,*,年生,ネンセイ,ネンセイ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
時	名詞,非自立,副詞可能,*,*,*,時,トキ,トキ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
一	名詞,数,*,*,*,*,一,イチ,イチ,s
年間	名詞,接尾,助数詞,*,*,*,年間,ネンカン,ネンカン,s
アメリカ	名詞,固有名詞,地域,一般,*,*,アメリカ,アメリカ,アメリカ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
留学	名詞,サ変接続,*,*,*,*,留学,リュウガク,リューガク,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
まし	助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
んで	接続詞,*,*,*,*,*,んで,ンデ,ンデ,s
、	記号,読点,*,*,*,*,、,、,、,s
帰っ	動詞,自立,*,*,五段・ラ行,連用タ接続,帰る,カエッ,カエッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
き	動詞,非自立,*,*,カ変・クル,連用形,くる,キ,キ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
大学	名詞,一般,*,*,*,*,大学,ダイガク,ダイガク,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
神戸女学院大学	名詞,固有名詞,一般,*,*,*,神戸女学院大学,コウベジョガクインダイガク,コーベジョガクインダイガク,s
英文	名詞,一般,*,*,*,*,英文,エイブン,エイブン,s
科	名詞,接尾,一般,*,*,*,科,カ,カ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
入学	名詞,サ変接続,*,*,*,*,入学,ニュウガク,ニューガク,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
で	接続詞,*,*,*,*,*,で,デ,デ,s
四	名詞,数,*,*,*,*,四,ヨン,ヨン,s
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン,s
後	接頭詞,名詞接続,*,*,*,*,後,ゴ,ゴ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
卒業	名詞,サ変接続,*,*,*,*,卒業,ソツギョウ,ソツギョー,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
えっと	フィラー,*,*,*,*,*,えっと,エット,エット,s
、	記号,読点,*,*,*,*,、,、,、,s
会社	名詞,一般,*,*,*,*,会社,カイシャ,カイシャ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
就職	名詞,サ変接続,*,*,*,*,就職,シュウショク,シューショク,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
まし	助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
、	記号,読点,*,*,*,*,、,、,、,s
一	名詞,数,*,*,*,*,一,イチ,イチ,s
年間	名詞,接尾,助数詞,*,*,*,年間,ネンカン,ネンカン,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
やめ	動詞,自立,*,*,一段,連用形,やめる,ヤメ,ヤメ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
結婚	名詞,サ変接続,*,*,*,*,結婚,ケッコン,ケッコン,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
旦那	名詞,一般,*,*,*,*,旦那,ダンナ,ダンナ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
付い	動詞,自立,*,*,五段・カ行イ音便,連用タ接続,付く,ツイ,ツイ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
アメリカ	名詞,固有名詞,地域,一般,*,*,アメリカ,アメリカ,アメリカ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
行き	動詞,自立,*,*,五段・カ行促音便,連用形,行く,イキ,イキ,s
まし	助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
で	接続詞,*,*,*,*,*,で,デ,デ,s
、	記号,読点,*,*,*,*,、,、,、,s
アメリカ	名詞,固有名詞,地域,一般,*,*,アメリカ,アメリカ,アメリカ,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
えっと	フィラー,*,*,*,*,*,えっと,エット,エット,s
二	名詞,数,*,*,*,*,二,ニ,ニ,s
年間	名詞,接尾,助数詞,*,*,*,年間,ネンカン,ネンカン,s
過ごし	動詞,自立,*,*,五段・サ行,連用形,過ごす,スゴシ,スゴシ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
で	接続詞,*,*,*,*,*,で,デ,デ,s
、	記号,読点,*,*,*,*,、,、,、,s
また	接続詞,*,*,*,*,*,また,マタ,マタ,s
日本	名詞,固有名詞,地域,一般,*,*,日本,ニッポン,ニッポン,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
帰っ	動詞,自立,*,*,五段・ラ行,連用タ接続,帰る,カエッ,カエッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
き	動詞,非自立,*,*,カ変・クル,連用形,くる,キ,キ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
えー	フィラー,*,*,*,*,*,えー,エー,エー,s
、	記号,読点,*,*,*,*,、,、,、,s
あと	名詞,一般,*,*,*,*,あと,アト,アト,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
主婦	名詞,一般,*,*,*,*,主婦,シュフ,シュフ,s
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
、	記号,読点,*,*,*,*,、,、,、,s
子供	名詞,一般,*,*,*,*,子供,コドモ,コドモ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
できる	動詞,自立,*,*,一段,基本形,できる,デキル,デキル,s
まで	助詞,副助詞,*,*,*,*,まで,マデ,マデ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
英語	名詞,一般,*,*,*,*,英語,エイゴ,エイゴ,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
教える	動詞,自立,*,*,一段,基本形,教える,オシエル,オシエル,s
専門	名詞,一般,*,*,*,*,専門,センモン,センモン,s
学校	名詞,一般,*,*,*,*,学校,ガッコウ,ガッコー,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
英語	名詞,一般,*,*,*,*,英語,エイゴ,エイゴ,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
教え	動詞,自立,*,*,一段,連用形,教える,オシエ,オシエ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
い	動詞,非自立,*,*,一段,連用形,いる,イ,イ,s
まし	助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
で	接続詞,*,*,*,*,*,で,デ,デ,s
、	記号,読点,*,*,*,*,、,、,、,s
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
時	名詞,非自立,副詞可能,*,*,*,時,トキ,トキ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
神戸	名詞,固有名詞,地域,一般,*,*,神戸,コウベ,コーベ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
須磨	名詞,固有名詞,地域,一般,*,*,須磨,スマ,スマ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
住ん	動詞,自立,*,*,五段・マ行,連用タ接続,住む,スン,スン,s
で	助詞,接続助詞,*,*,*,*,で,デ,デ,s
い	動詞,非自立,*,*,一段,連用形,いる,イ,イ,s
まし	助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
それで	接続詞,*,*,*,*,*,それで,ソレデ,ソレデ,s
、	記号,読点,*,*,*,*,、,、,、,s
えーと	フィラー,*,*,*,*,*,えーと,エート,エート,s
妊娠	名詞,サ変接続,*,*,*,*,妊娠,ニンシン,ニンシン,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
ので	助詞,接続助詞,*,*,*,*,ので,ノデ,ノデ,s
仕事	名詞,サ変接続,*,*,*,*,仕事,シゴト,シゴト,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
やめ	動詞,自立,*,*,一段,連用形,やめる,ヤメ,ヤメ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
出産	名詞,サ変接続,*,*,*,*,出産,シュッサン,シュッサン,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
それで	接続詞,*,*,*,*,*,それで,ソレデ,ソレデ,s
、	記号,読点,*,*,*,*,、,、,、,s
えっと	フィラー,*,*,*,*,*,えっと,エット,エット,s
神戸	名詞,固有名詞,地域,一般,*,*,神戸,コウベ,コーベ,s
市	名詞,接尾,地域,*,*,*,市,シ,シ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
西	名詞,一般,*,*,*,*,西,ニシ,ニシ,s
区	名詞,接尾,助数詞,*,*,*,区,ク,ク,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
ほう	名詞,非自立,一般,*,*,*,ほう,ホウ,ホー,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
マンション	名詞,一般,*,*,*,*,マンション,マンション,マンション,s
買っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,買う,カッ,カッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
引っ越し	動詞,自立,*,*,五段・サ行,連用形,引っ越す,ヒッコシ,ヒッコシ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
しばらく	副詞,助詞類接続,*,*,*,*,しばらく,シバラク,シバラク,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
主婦	名詞,一般,*,*,*,*,主婦,シュフ,シュフ,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
い	動詞,非自立,*,*,一段,連用形,いる,イ,イ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
二人	名詞,一般,*,*,*,*,二人,フタリ,フタリ,s
目	名詞,接尾,一般,*,*,*,目,メ,メ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
子供	名詞,一般,*,*,*,*,子供,コドモ,コドモ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
でき	動詞,自立,*,*,一段,連用形,できる,デキ,デキ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
で	接続詞,*,*,*,*,*,で,デ,デ,s
、	記号,読点,*,*,*,*,、,、,、,s
下	名詞,一般,*,*,*,*,下,シタ,シタ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
子	名詞,一般,*,*,*,*,子,コ,コ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
三	名詞,数,*,*,*,*,三,サン,サン,s
歳	名詞,接尾,助数詞,*,*,*,歳,サイ,サイ,s
ぐらい	助詞,副助詞,*,*,*,*,ぐらい,グライ,グライ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
時	名詞,非自立,副詞可能,*,*,*,時,トキ,トキ,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
、	記号,読点,*,*,*,*,、,、,、,s
えー	フィラー,*,*,*,*,*,えー,エー,エー,s
、	記号,読点,*,*,*,*,、,、,、,s
家	名詞,一般,*,*,*,*,家,イエ,イエ,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
英語	名詞,一般,*,*,*,*,英語,エイゴ,エイゴ,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
教える	動詞,自立,*,*,一段,基本形,教える,オシエル,オシエル,s
仕事	名詞,サ変接続,*,*,*,*,仕事,シゴト,シゴト,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
始め	動詞,自立,*,*,一段,連用形,始める,ハジメ,ハジメ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
始め	動詞,自立,*,*,一段,連用形,始める,ハジメ,ハジメ,s
まし	助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
で	接続詞,*,*,*,*,*,で,デ,デ,s
、	記号,読点,*,*,*,*,、,、,、,s
六	名詞,数,*,*,*,*,六,ロク,ロク,s
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン,s
ぐらい	助詞,副助詞,*,*,*,*,ぐらい,グライ,グライ,s
えっと	フィラー,*,*,*,*,*,えっと,エット,エット,s
家	名詞,一般,*,*,*,*,家,イエ,イエ,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
教える	動詞,自立,*,*,一段,基本形,教える,オシエル,オシエル,s
仕事	名詞,サ変接続,*,*,*,*,仕事,シゴト,シゴト,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
後	名詞,副詞可能,*,*,*,*,後,アト,アト,s
また	接続詞,*,*,*,*,*,また,マタ,マタ,s
、	記号,読点,*,*,*,*,、,、,、,s
アメリカ	名詞,固有名詞,地域,一般,*,*,アメリカ,アメリカ,アメリカ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
行か	動詞,自立,*,*,五段・カ行促音便,未然形,行く,イカ,イカ,s
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,s
と	助詞,接続助詞,*,*,*,*,と,ト,ト,s
いけ	動詞,非自立,*,*,一段,未然形,いける,イケ,イケ,s
なく	助動詞,*,*,*,特殊・ナイ,連用テ接続,ない,ナク,ナク,s
なっ	動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
ので	助詞,接続助詞,*,*,*,*,ので,ノデ,ノデ,s
、	記号,読点,*,*,*,*,、,、,、,s
え	感動詞,*,*,*,*,*,え,エ,エ,s
、	記号,読点,*,*,*,*,、,、,、,s
アメリカ	名詞,固有名詞,地域,一般,*,*,アメリカ,アメリカ,アメリカ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
家族	名詞,一般,*,*,*,*,家族,カゾク,カゾク,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
三	名詞,数,*,*,*,*,三,サン,サン,s
年間	名詞,接尾,助数詞,*,*,*,年間,ネンカン,ネンカン,s
行っ	動詞,自立,*,*,五段・カ行促音便,連用タ接続,行く,イッ,イッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
駐在	名詞,サ変接続,*,*,*,*,駐在,チュウザイ,チューザイ,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
まし	助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
時	名詞,非自立,副詞可能,*,*,*,時,トキ,トキ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
えっと	フィラー,*,*,*,*,*,えっと,エット,エット,s
、	記号,読点,*,*,*,*,、,、,、,s
むこう	名詞,一般,*,*,*,*,むこう,ムコウ,ムコー,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
なに	名詞,代名詞,一般,*,*,*,なに,ナニ,ナニ,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
せ	動詞,自立,*,*,サ変・スル,未然形特殊,する,セ,セ,s
ず	助動詞,*,*,*,特殊・ヌ,連用ニ接続,ぬ,ズ,ズ,s
主婦	名詞,一般,*,*,*,*,主婦,シュフ,シュフ,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
で	接続詞,*,*,*,*,*,で,デ,デ,s
、	記号,読点,*,*,*,*,、,、,、,s
帰っ	動詞,自立,*,*,五段・ラ行,連用タ接続,帰る,カエッ,カエッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
き	動詞,非自立,*,*,カ変・クル,連用形,くる,キ,キ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
えーと	フィラー,*,*,*,*,*,えーと,エート,エート,s
、	記号,読点,*,*,*,*,、,、,、,s
芦屋	名詞,固有名詞,地域,一般,*,*,芦屋,アシヤ,アシヤ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
、	記号,読点,*,*,*,*,、,、,、,s
えーと	フィラー,*,*,*,*,*,えーと,エート,エート,s
、	記号,読点,*,*,*,*,、,、,、,s
家	名詞,一般,*,*,*,*,家,イエ,イエ,s
、	記号,読点,*,*,*,*,、,、,、,s
引っ越し	動詞,自立,*,*,五段・サ行,連用形,引っ越す,ヒッコシ,ヒッコシ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
芦屋	名詞,固有名詞,地域,一般,*,*,芦屋,アシヤ,アシヤ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
住ん	動詞,自立,*,*,五段・マ行,連用タ接続,住む,スン,スン,s
で	助詞,接続助詞,*,*,*,*,で,デ,デ,s
る	動詞,非自立,*,*,一段,基本形,る,ル,ル,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,s
