始め	動詞,自立,*,*,一段,連用形,始める,ハジメ,ハジメ,i
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
共学	名詞,一般,*,*,*,*,共学,キョウガク,キョーガク,i
やっ	助動詞,*,*,*,特殊・ヤ,連用タ接続,や,ヤッ,ヤッ,i
たん	助動詞,*,*,*,特殊・タ,基本形,たん,タン,タン,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
小	名詞,一般,*,*,*,*,小,ショウ,ショー,s
中	名詞,非自立,副詞可能,*,*,*,中,ナカ,ナカ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
共学	名詞,一般,*,*,*,*,共学,キョウガク,キョーガク,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
、	記号,読点,*,*,*,*,、,、,、,s
でも	接続詞,*,*,*,*,*,でも,デモ,デモ,s
高校	名詞,一般,*,*,*,*,高校,コウコウ,コーコー,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
完全	名詞,形容動詞語幹,*,*,*,*,完全,カンゼン,カンゼン,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
女子高	名詞,一般,*,*,*,*,女子高,ジョシコウ,ジョシコー,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
、	記号,読点,*,*,*,*,、,、,、,s
やから	接続詞,*,*,*,*,*,やから,ヤカラ,ヤカラ,s
、	記号,読点,*,*,*,*,、,、,、,s
あんまり	副詞,助詞類接続,*,*,*,*,あんまり,アンマリ,アンマリ,s
高校	名詞,一般,*,*,*,*,高校,コウコウ,コーコー,s
と	助詞,並立助詞,*,*,*,*,と,ト,ト,s
変わら	動詞,自立,*,*,五段・ラ行,未然形,変わる,カワラ,カワラ,s
ん	助動詞,*,*,*,特殊・ナイ,基本形,ん,ン,ン,s
感じ	名詞,一般,*,*,*,*,感じ,カンジ,カンジ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
じゃあ	接続詞,*,*,*,*,*,じゃあ,ジャア,ジャー,i
さ	助詞,終助詞,*,*,*,*,さ,サ,サ,i
、	記号,読点,*,*,*,*,、,、,、,i
女子高	名詞,一般,*,*,*,*,女子高,ジョシコウ,ジョシコー,i
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,i
ええ	形容詞,自立,*,*,形容詞・イイ,基本形,いい,エエ,エー,i
とこ	名詞,一般,*,*,*,*,とこ,トコ,トコ,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
女子高	名詞,一般,*,*,*,*,女子高,ジョシコウ,ジョシコー,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
いい	形容詞,自立,*,*,形容詞・イイ,基本形,いい,イイ,イー,s
ところ	名詞,非自立,副詞可能,*,*,*,ところ,トコロ,トコロ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
、	記号,読点,*,*,*,*,、,、,、,s
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
、	記号,読点,*,*,*,*,、,、,、,s
なん	名詞,代名詞,一般,*,*,*,なん,ナン,ナン,s
やろ	助動詞,*,*,*,特殊・ヤ,未然形,や,ヤロ,ヤロ,s
、	記号,読点,*,*,*,*,、,、,、,s
男	名詞,一般,*,*,*,*,男,オトコ,オトコ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
人	名詞,一般,*,*,*,*,人,ヒト,ヒト,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
目	名詞,非自立,一般,*,*,*,目,メ,メ,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
全然	副詞,助詞類接続,*,*,*,*,全然,ゼンゼン,ゼンゼン,s
みんな	名詞,代名詞,一般,*,*,*,みんな,ミンナ,ミンナ,s
気	名詞,一般,*,*,*,*,気,キ,キ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
しい	動詞,自立,*,*,サ変・スル,未然形・長音化,する,シイ,シー,s
ひん	助動詞,*,*,*,特殊・ナイ,基本形・母音調和,へん,ヒン,ヒン,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
、	記号,読点,*,*,*,*,、,、,、,s
めっちゃ	副詞,一般,*,*,*,*,めっちゃ,メッチャ,メッチャ,s
みんな	名詞,代名詞,一般,*,*,*,みんな,ミンナ,ミンナ,s
オープン	名詞,形容動詞語幹,*,*,*,*,オープン,オープン,オープン,s
、	記号,読点,*,*,*,*,、,、,、,s
自分	名詞,一般,*,*,*,*,自分,ジブン,ジブン,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
さらけだし	動詞,自立,*,*,五段・サ行,連用形,さらけだす,サラケダシ,サラケダシ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
る	動詞,非自立,*,*,一段,基本形,る,ル,ル,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,ユウ,ユー,s
感じ	名詞,一般,*,*,*,*,感じ,カンジ,カンジ,s
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
めっちゃ	副詞,一般,*,*,*,*,めっちゃ,メッチャ,メッチャ,s
さらけだし	動詞,自立,*,*,五段・サ行,連用形,さらけだす,サラケダシ,サラケダシ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
る	動詞,非自立,*,*,一段,基本形,る,ル,ル,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
どんな	連体詞,*,*,*,*,*,どんな,ドンナ,ドンナ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
例えば	接続詞,*,*,*,*,*,例えば,タトエバ,タトエバ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
例えば	接続詞,*,*,*,*,*,例えば,タトエバ,タトエバ,s
、	記号,読点,*,*,*,*,、,、,、,s
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
、	記号,読点,*,*,*,*,、,、,、,s
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
、	記号,読点,*,*,*,*,、,、,、,s
なん	名詞,代名詞,一般,*,*,*,なん,ナン,ナン,s
やろ	助動詞,*,*,*,特殊・ヤ,未然形,や,ヤロ,ヤロ,s
、	記号,読点,*,*,*,*,、,、,、,s
体育	名詞,一般,*,*,*,*,体育,タイイク,タイイク,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
着替える	動詞,自立,*,*,一段,基本形,着替える,キガエル,キガエル,s
時	名詞,非自立,副詞可能,*,*,*,時,トキ,トキ,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
、	記号,読点,*,*,*,*,、,、,、,s
ほんまに	副詞,一般,*,*,*,*,ほんまに,ホンマニ,ホンマニ,s
、	記号,読点,*,*,*,*,、,、,、,s
先生	名詞,一般,*,*,*,*,先生,センセイ,センセイ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
前	名詞,副詞可能,*,*,*,*,前,マエ,マエ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
おっ	動詞,自立,*,*,五段・ラ行,連用タ接続,おる,オッ,オッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
全然	副詞,助詞類接続,*,*,*,*,全然,ゼンゼン,ゼンゼン,s
気	名詞,一般,*,*,*,*,気,キ,キ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
せえ	動詞,自立,*,*,サ変・スル,未然形・長音化,する,セエ,セー,s
へん	助動詞,*,*,*,特殊・ナイ,基本形,へん,ヘン,ヘン,s
感じ	名詞,一般,*,*,*,*,感じ,カンジ,カンジ,s
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,s
、	記号,読点,*,*,*,*,、,、,、,s
バッて	副詞,一般,*,*,*,*,バッて,バッテ,バッテ,s
脱い	動詞,自立,*,*,五段・ガ行,連用タ接続,脱ぐ,ヌイ,ヌイ,s
じゃう	動詞,非自立,*,*,五段・ワ行促音便,基本形,じゃう,ジャウ,ジャウ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
男	名詞,一般,*,*,*,*,男,オトコ,オトコ,i
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,i
先生	名詞,一般,*,*,*,*,先生,センセイ,センセイ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
男	名詞,一般,*,*,*,*,男,オトコ,オトコ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
先生	名詞,一般,*,*,*,*,先生,センセイ,センセイ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
やばい	形容詞,自立,*,*,形容詞・アウオ段,基本形,やばい,ヤバイ,ヤバイ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,s
、	記号,読点,*,*,*,*,、,、,、,s
だから	接続詞,*,*,*,*,*,だから,ダカラ,ダカラ,s
先生	名詞,一般,*,*,*,*,先生,センセイ,センセイ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
、	記号,読点,*,*,*,*,、,、,、,s
「	記号,括弧開,*,*,*,*,「,「,「,s
ちょっと	副詞,助詞類接続,*,*,*,*,ちょっと,チョット,チョット,s
、	記号,読点,*,*,*,*,、,、,、,s
まだ	副詞,助詞類接続,*,*,*,*,まだ,マダ,マダ,s
脱が	動詞,自立,*,*,五段・ガ行,未然形,脱ぐ,ヌガ,ヌガ,s
ん	助動詞,*,*,*,特殊・ナイ,基本形,ん,ン,ン,s
とい	動詞,非自立,*,*,五段・カ行イ音便,連用タ接続・縮約形,て＋おく,トイ,トイ,s
てー	助詞,接続助詞,*,*,*,*,て,テー,テー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
」	記号,括弧閉,*,*,*,*,」,」,」,s
みたい	名詞,非自立,形容動詞語幹,*,*,*,みたい,ミタイ,ミタイ,s
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,s
感じ	名詞,一般,*,*,*,*,感じ,カンジ,カンジ,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
言っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,言う,ユッ,ユッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
ササッて	副詞,一般,*,*,*,*,ササッて,ササッテ,ササッテ,s
出	動詞,自立,*,*,一段,連用形,出る,デ,デ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
いく	動詞,非自立,*,*,五段・カ行促音便,基本形,いく,イク,イク,s
の	名詞,非自立,一般,*,*,*,の,ノ,ノ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
いつも	副詞,一般,*,*,*,*,いつも,イツモ,イツモ,s
やっ	助動詞,*,*,*,特殊・ヤ,連用タ接続,や,ヤッ,ヤッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
え	感動詞,*,*,*,*,*,え,エ,エ,i
、	記号,読点,*,*,*,*,、,、,、,i
男	名詞,一般,*,*,*,*,男,オトコ,オトコ,i
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,i
先生	名詞,一般,*,*,*,*,先生,センセイ,センセイ,i
そんなん	名詞,一般,副詞可能,*,*,*,そんなん,ソンナン,ソンナン,i
、	記号,読点,*,*,*,*,、,、,、,i
やばく	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,やばい,ヤバク,ヤバク,i
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,s
、	記号,読点,*,*,*,*,、,、,、,s
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
廊下	名詞,一般,*,*,*,*,廊下,ロウカ,ローカ,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
カーテン	名詞,一般,*,*,*,*,カーテン,カーテン,カーテン,s
つけ	動詞,自立,*,*,一段,連用形,つける,ツケ,ツケ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
くれ	動詞,非自立,*,*,一段・クレル,連用形,くれる,クレ,クレ,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
いい	形容詞,自立,*,*,形容詞・イイ,基本形,いい,イイ,イー,s
のに	助詞,接続助詞,*,*,*,*,のに,ノニ,ノニ,s
、	記号,読点,*,*,*,*,、,、,、,s
普通	名詞,形容動詞語幹,*,*,*,*,普通,フツウ,フツー,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
ガラス	名詞,一般,*,*,*,*,ガラス,ガラス,ガラス,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
窓	名詞,一般,*,*,*,*,窓,マド,マド,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
し	助詞,接続助詞,*,*,*,*,し,シ,シ,s
、	記号,読点,*,*,*,*,、,、,、,s
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
みんな	名詞,代名詞,一般,*,*,*,みんな,ミンナ,ミンナ,s
男	名詞,一般,*,*,*,*,男,オトコ,オトコ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
先生	名詞,一般,*,*,*,*,先生,センセイ,センセイ,s
背	名詞,一般,*,*,*,*,背,セ,セ,s
高い	形容詞,自立,*,*,形容詞・アウオ段,基本形,高い,タカイ,タカイ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
半分	名詞,副詞可能,*,*,*,*,半分,ハンブン,ハンブン,s
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ,s
下	名詞,一般,*,*,*,*,下,シタ,シタ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
曇り	動詞,自立,*,*,五段・ラ行,連用形,曇る,クモリ,クモリ,s
ガラス	名詞,一般,*,*,*,*,ガラス,ガラス,ガラス,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
、	記号,読点,*,*,*,*,、,、,、,s
上	名詞,非自立,副詞可能,*,*,*,上,ウエ,ウエ,s
透明	名詞,形容動詞語幹,*,*,*,*,透明,トウメイ,トーメイ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
、	記号,読点,*,*,*,*,、,、,、,s
チラッて	副詞,一般,*,*,*,*,チラッて,チラッテ,チラッテ,s
横	名詞,一般,*,*,*,*,横,ヨコ,ヨコ,s
見	動詞,自立,*,*,一段,連用形,見る,ミ,ミ,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
、	記号,読点,*,*,*,*,、,、,、,s
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
丸見え	名詞,一般,*,*,*,*,丸見え,マルミエ,マルミエ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
やばい	形容詞,自立,*,*,形容詞・アウオ段,基本形,やばい,ヤバイ,ヤバイ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
みんな	名詞,代名詞,一般,*,*,*,みんな,ミンナ,ミンナ,s
全然	副詞,助詞類接続,*,*,*,*,全然,ゼンゼン,ゼンゼン,s
そんなん	名詞,一般,副詞可能,*,*,*,そんなん,ソンナン,ソンナン,s
気	名詞,一般,*,*,*,*,気,キ,キ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
なかっ	助動詞,*,*,*,特殊・ナイ,連用タ接続,ない,ナカッ,ナカッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
、	記号,読点,*,*,*,*,、,、,、,s
入学	名詞,サ変接続,*,*,*,*,入学,ニュウガク,ニューガク,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
最初	名詞,一般,*,*,*,*,最初,サイショ,サイショ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
方	名詞,非自立,一般,*,*,*,方,ホウ,ホー,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
やっぱり	副詞,一般,*,*,*,*,やっぱり,ヤッパリ,ヤッパリ,s
、	記号,読点,*,*,*,*,、,、,、,s
めっちゃ	副詞,一般,*,*,*,*,めっちゃ,メッチャ,メッチャ,s
気	名詞,一般,*,*,*,*,気,キ,キ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
「	記号,括弧開,*,*,*,*,「,「,「,s
うわ	感動詞,*,*,*,*,*,うわ,ウワ,ウワ,s
、	記号,読点,*,*,*,*,、,、,、,s
見	動詞,自立,*,*,一段,連用形,見る,ミ,ミ,s
られ	動詞,接尾,*,*,一段,連用形,られる,ラレ,ラレ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
―	記号,一般,*,*,*,*,―,―,―,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
」	記号,括弧閉,*,*,*,*,」,」,」,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
みんな	名詞,代名詞,一般,*,*,*,みんな,ミンナ,ミンナ,s
めっちゃ	副詞,一般,*,*,*,*,めっちゃ,メッチャ,メッチャ,s
言う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,言う,ユウ,ユー,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
卒業	名詞,サ変接続,*,*,*,*,卒業,ソツギョウ,ソツギョー,s
前	名詞,副詞可能,*,*,*,*,前,マエ,マエ,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
なっ	動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
、	記号,読点,*,*,*,*,、,、,、,s
ほんまに	副詞,一般,*,*,*,*,ほんまに,ホンマニ,ホンマニ,s
三	名詞,数,*,*,*,*,三,サン,サン,s
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン,s
前	名詞,副詞可能,*,*,*,*,前,マエ,マエ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
あれ	名詞,代名詞,一般,*,*,*,あれ,アレ,アレ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
なん	名詞,代名詞,一般,*,*,*,なん,ナン,ナン,s
やっ	助動詞,*,*,*,特殊・ヤ,連用タ接続,や,ヤッ,ヤッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
やろ	助動詞,*,*,*,特殊・ヤ,未然形,や,ヤロ,ヤロ,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,ユウ,ユー,s
ぐらい	助詞,副助詞,*,*,*,*,ぐらい,グライ,グライ,s
全然	副詞,助詞類接続,*,*,*,*,全然,ゼンゼン,ゼンゼン,s
みんな	名詞,代名詞,一般,*,*,*,みんな,ミンナ,ミンナ,s
気	名詞,一般,*,*,*,*,気,キ,キ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
なくっ	助動詞,*,*,*,特殊・ナイ,連用テ接続,ない,ナクッ,ナクッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
終わっ	動詞,自立,*,*,五段・ラ行,連用タ接続,終わる,オワッ,オワッ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
る	動詞,非自立,*,*,一段,基本形,る,ル,ル,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
じゃあ	接続詞,*,*,*,*,*,じゃあ,ジャア,ジャー,i
さ	助詞,終助詞,*,*,*,*,さ,サ,サ,i
