緊張	名詞,サ変接続,*,*,*,*,緊張,キンチョウ,キンチョー,s
韓国	名詞,固有名詞,地域,国,*,*,韓国,カンコク,カンコク,s
と	助詞,格助詞,一般,*,*,*,と,ト,ト,s
近かっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,近い,チカカッ,チカカッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
し	助詞,接続助詞,*,*,*,*,し,シ,シ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
英語	名詞,一般,*,*,*,*,英語,エイゴ,エイゴ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
嫌い	名詞,形容動詞語幹,*,*,*,*,嫌い,キライ,キライ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
ねん	助詞,終助詞,*,*,*,*,ねん,ネン,ネン,s
俺	名詞,代名詞,一般,*,*,*,俺,オレ,オレ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
あ	感動詞,*,*,*,*,*,あ,ア,ア,i
、	記号,読点,*,*,*,*,、,、,、,i
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,i
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
でも	接続詞,*,*,*,*,*,でも,デモ,デモ,s
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
外国	名詞,一般,*,*,*,*,外国,ガイコク,ガイコク,s
語	名詞,接尾,助数詞,*,*,*,語,ゴ,ゴ,s
一	名詞,数,*,*,*,*,一,イチ,イチ,s
個	名詞,接尾,助数詞,*,*,*,個,コ,コ,s
学ん	動詞,自立,*,*,五段・バ行,連用タ接続,学ぶ,マナン,マナン,s
で	助詞,接続助詞,*,*,*,*,で,デ,デ,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
自分	名詞,一般,*,*,*,*,自分,ジブン,ジブン,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
成長	名詞,サ変接続,*,*,*,*,成長,セイチョウ,セイチョー,s
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
思う	動詞,自立,*,*,五段・ワ行促音便,基本形,思う,オモウ,オモウ,s
やん	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤン,ヤン,s
、	記号,読点,*,*,*,*,、,、,、,s
色んな	連体詞,*,*,*,*,*,色んな,イロンナ,イロンナ,s
人	名詞,一般,*,*,*,*,人,ヒト,ヒト,s
と	助詞,格助詞,一般,*,*,*,と,ト,ト,s
喋れる	動詞,自立,*,*,一段,基本形,喋れる,シャベレル,シャベレル,s
し	助詞,接続助詞,*,*,*,*,し,シ,シ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
だから	接続詞,*,*,*,*,*,だから,ダカラ,ダカラ,s
、	記号,読点,*,*,*,*,、,、,、,s
近かっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,近い,チカカッ,チカカッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
し	助詞,接続助詞,*,*,*,*,し,シ,シ,s
、	記号,読点,*,*,*,*,、,、,、,s
費用	名詞,一般,*,*,*,*,費用,ヒヨウ,ヒヨー,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
韓国	名詞,固有名詞,地域,国,*,*,韓国,カンコク,カンコク,s
と	助詞,格助詞,一般,*,*,*,と,ト,ト,s
そんなに	副詞,一般,*,*,*,*,そんなに,ソンナニ,ソンナニ,s
変わら	動詞,自立,*,*,五段・ラ行,未然形,変わる,カワラ,カワラ,s
なかっ	助動詞,*,*,*,特殊・ナイ,連用タ接続,ない,ナカッ,ナカッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
し	助詞,接続助詞,*,*,*,*,し,シ,シ,s
、	記号,読点,*,*,*,*,、,、,、,s
やから	接続詞,*,*,*,*,*,やから,ヤカラ,ヤカラ,s
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
気軽い	形容詞,自立,*,*,形容詞・アウオ段,基本形,気軽い,キガルイ,キガルイ,s
気持ち	名詞,一般,*,*,*,*,気持ち,キモチ,キモチ,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
来	動詞,自立,*,*,カ変・来ル,連用形,来る,キ,キ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
え	感動詞,*,*,*,*,*,え,エ,エ,i
、	記号,読点,*,*,*,*,、,、,、,i
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン,i
好き	名詞,形容動詞語幹,*,*,*,*,好き,スキ,スキ,i
やっ	助動詞,*,*,*,特殊・ヤ,連用タ接続,や,ヤッ,ヤッ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
もと	名詞,一般,*,*,*,*,もと,モト,モト,i
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
いや	感動詞,*,*,*,*,*,いや,イヤ,イヤ,s
、	記号,読点,*,*,*,*,、,、,、,s
好き嫌い	名詞,一般,*,*,*,*,好き嫌い,スキキライ,スキキライ,s
、	記号,読点,*,*,*,*,、,、,、,s
ふつう	名詞,形容動詞語幹,*,*,*,*,ふつう,フツウ,フツー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
近い	形容詞,自立,*,*,形容詞・アウオ段,基本形,近い,チカイ,チカイ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
正直	名詞,一般,*,*,*,*,正直,ショウジキ,ショージキ,s
言っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,言う,イッ,イッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
方	名詞,非自立,一般,*,*,*,方,ホウ,ホー,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
いい	形容詞,自立,*,*,形容詞・イイ,基本形,いい,イイ,イー,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ふつう	名詞,形容動詞語幹,*,*,*,*,ふつう,フツウ,フツー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
まあまあ	副詞,一般,*,*,*,*,まあまあ,マアマア,マーマー,s
そこ	名詞,代名詞,一般,*,*,*,そこ,ソコ,ソコ,s
まで	助詞,副助詞,*,*,*,*,まで,マデ,マデ,s
韓国	名詞,固有名詞,地域,国,*,*,韓国,カンコク,カンコク,s
でも	助詞,副助詞,*,*,*,*,でも,デモ,デモ,s
いっぱい	副詞,一般,*,*,*,*,いっぱい,イッパイ,イッパイ,s
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
アニメ	名詞,一般,*,*,*,*,アニメ,アニメ,アニメ,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
企業	名詞,一般,*,*,*,*,企業,キギョウ,キギョー,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
何	名詞,代名詞,一般,*,*,*,何,ナニ,ナニ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
好き	名詞,形容動詞語幹,*,*,*,*,好き,スキ,スキ,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
、	記号,読点,*,*,*,*,、,、,、,s
俺	名詞,代名詞,一般,*,*,*,俺,オレ,オレ,s
そんな	連体詞,*,*,*,*,*,そんな,ソンナ,ソンナ,s
の	名詞,非自立,一般,*,*,*,の,ノ,ノ,s
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
全く	副詞,助詞類接続,*,*,*,*,全く,マッタク,マッタク,s
なく	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,ない,ナク,ナク,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
でも	接続詞,*,*,*,*,*,でも,デモ,デモ,s
嫌い	名詞,形容動詞語幹,*,*,*,*,嫌い,キライ,キライ,s
、	記号,読点,*,*,*,*,、,、,、,s
EOS
来	動詞,自立,*,*,カ変・来ル,連用形,来る,キ,キ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
こと	名詞,非自立,一般,*,*,*,こと,コト,コト,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
来	動詞,自立,*,*,カ変・来ル,連用形,来る,キ,キ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
こと	名詞,非自立,一般,*,*,*,こと,コト,コト,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,s
、	記号,読点,*,*,*,*,、,、,、,s
旅行	名詞,サ変接続,*,*,*,*,旅行,リョコウ,リョコー,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ああ	感動詞,*,*,*,*,*,ああ,アア,アー,i
、	記号,読点,*,*,*,*,、,、,、,i
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,i
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
でも	接続詞,*,*,*,*,*,でも,デモ,デモ,s
それ	名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
、	記号,読点,*,*,*,*,、,、,、,s
留学	名詞,サ変接続,*,*,*,*,留学,リュウガク,リューガク,s
決め	動詞,自立,*,*,一段,連用形,決める,キメ,キメ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
どんな	連体詞,*,*,*,*,*,どんな,ドンナ,ドンナ,s
国	名詞,一般,*,*,*,*,国,クニ,クニ,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
見	動詞,自立,*,*,一段,連用形,見る,ミ,ミ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
み	動詞,非自立,*,*,一段,連用形,みる,ミ,ミ,s
たい	助動詞,*,*,*,特殊・タイ,基本形,たい,タイ,タイ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
で	接続詞,*,*,*,*,*,で,デ,デ,i
、	記号,読点,*,*,*,*,、,、,、,i
来	動詞,自立,*,*,カ変・来ル,連用形,来る,キ,キ,i
たん	助動詞,*,*,*,特殊・タ,基本形,たん,タン,タン,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,s
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,s
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
来	動詞,自立,*,*,カ変・来ル,連用形,来る,キ,キ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
だけ	助詞,副助詞,*,*,*,*,だけ,ダケ,ダケ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
し	助詞,接続助詞,*,*,*,*,し,シ,シ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
だから	接続詞,*,*,*,*,*,だから,ダカラ,ダカラ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
大した	連体詞,*,*,*,*,*,大した,タイシタ,タイシタ,s
理由	名詞,一般,*,*,*,*,理由,リユウ,リユー,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,i
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
でも	接続詞,*,*,*,*,*,でも,デモ,デモ,i
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,i
セヨン	名詞,固有名詞,人名,名,*,*,セヨン,セヨン,セヨン,i
くん	名詞,接尾,人名,*,*,*,くん,クン,クン,i
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ,i
話	名詞,サ変接続,*,*,*,*,話,ハナシ,ハナシ,i
聞い	動詞,自立,*,*,五段・カ行イ音便,連用タ接続,聞く,キイ,キイ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,i
、	記号,読点,*,*,*,*,、,、,、,i
あの	フィラー,*,*,*,*,*,あの,アノ,アノ,i
、	記号,読点,*,*,*,*,、,、,、,i
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,i
兵役	名詞,一般,*,*,*,*,兵役,ヘイエキ,ヘイエキ,i
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ,i
来	動詞,自立,*,*,カ変・来ル,連用形,来る,キ,キ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
みたい	名詞,非自立,形容動詞語幹,*,*,*,みたい,ミタイ,ミタイ,i
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,s
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,s
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,s
、	記号,読点,*,*,*,*,、,、,、,s
終わらせ	動詞,自立,*,*,一段,連用形,終わらせる,オワラセ,オワラセ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
来	動詞,自立,*,*,カ変・来ル,連用形,来る,キ,キ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
兵役	名詞,一般,*,*,*,*,兵役,ヘイエキ,ヘイエキ,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
会社	名詞,一般,*,*,*,*,会社,カイシャ,カイシャ,i
、	記号,読点,*,*,*,*,、,、,、,i
会社	名詞,一般,*,*,*,*,会社,カイシャ,カイシャ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
違う	感動詞,*,*,*,*,*,違う,チャウ,チャウ,s
違う	感動詞,*,*,*,*,*,違う,チャウ,チャウ,s
、	記号,読点,*,*,*,*,、,、,、,s
普通	副詞,助詞類接続,*,*,*,*,普通,フツウ,フツー,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
、	記号,読点,*,*,*,*,、,、,、,s
あの	フィラー,*,*,*,*,*,あの,アノ,アノ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
軍隊	名詞,一般,*,*,*,*,軍隊,グンタイ,グンタイ,i
みたい	名詞,非自立,形容動詞語幹,*,*,*,みたい,ミタイ,ミタイ,i
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,s
、	記号,読点,*,*,*,*,、,、,、,s
軍隊	名詞,一般,*,*,*,*,軍隊,グンタイ,グンタイ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,s
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ああ	感動詞,*,*,*,*,*,ああ,アア,アー,i
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,i
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
えー	フィラー,*,*,*,*,*,えー,エー,エー,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,i
会社	名詞,一般,*,*,*,*,会社,カイシャ,カイシャ,i
で	助詞,格助詞,一般,*,*,*,で,デ,デ,i
勤め	動詞,自立,*,*,一段,連用形,勤める,ツトメ,ツトメ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,i
人	名詞,一般,*,*,*,*,人,ヒト,ヒト,i
も	助詞,係助詞,*,*,*,*,も,モ,モ,i
いる	動詞,自立,*,*,一段,基本形,いる,イル,イル,i
みたい	名詞,非自立,形容動詞語幹,*,*,*,みたい,ミタイ,ミタイ,i
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
ああ	感動詞,*,*,*,*,*,ああ,アア,アー,s
いる	動詞,自立,*,*,一段,基本形,いる,イル,イル,s
いる	動詞,自立,*,*,一段,基本形,いる,イル,イル,s
いる	動詞,自立,*,*,一段,基本形,いる,イル,イル,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
いる	動詞,自立,*,*,一段,基本形,いる,イル,イル,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
俺	名詞,代名詞,一般,*,*,*,俺,オレ,オレ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
普通	副詞,助詞類接続,*,*,*,*,普通,フツウ,フツー,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,i
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,i
、	記号,読点,*,*,*,*,、,、,、,i
しんどい	形容詞,自立,*,*,形容詞・アウオ段,基本形,しんどい,シンドイ,シンドイ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
しんどい	形容詞,自立,*,*,形容詞・アウオ段,基本形,しんどい,シンドイ,シンドイ,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
なあ	助詞,終助詞,*,*,*,*,なあ,ナア,ナー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
だって	接続詞,*,*,*,*,*,だって,ダッテ,ダッテ,i
2	名詞,数,*,*,*,*,*,*,*,i
年間	名詞,接尾,助数詞,*,*,*,年間,ネンカン,ネンカン,i
やん	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤン,ヤン,i
なあ	助詞,終助詞,*,*,*,*,なあ,ナア,ナー,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ,s
21	名詞,数,*,*,*,*,*,*,*,s
か月	名詞,接尾,助数詞,*,*,*,か月,カゲツ,カゲツ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
だって	接続詞,*,*,*,*,*,だって,ダッテ,ダッテ,i
あの	フィラー,*,*,*,*,*,あの,アノ,アノ,i
、	記号,読点,*,*,*,*,、,、,、,i
芸能人	名詞,一般,*,*,*,*,芸能人,ゲイノウジン,ゲイノージン,i
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,i
人	名詞,一般,*,*,*,*,人,ヒト,ヒト,i
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,i
も	助詞,係助詞,*,*,*,*,も,モ,モ,i
行く	動詞,自立,*,*,五段・カ行促音便,基本形,行く,イク,イク,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
もん	助詞,終助詞,*,*,*,*,もん,モン,モン,i
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
行く	動詞,自立,*,*,五段・カ行促音便,基本形,行く,イク,イク,s
行く	動詞,自立,*,*,五段・カ行促音便,基本形,行く,イク,イク,s
行く	動詞,自立,*,*,五段・カ行促音便,基本形,行く,イク,イク,s
行く	動詞,自立,*,*,五段・カ行促音便,基本形,行く,イク,イク,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
凄い	形容詞,自立,*,*,形容詞・アウオ段,基本形,凄い,スゴイ,スゴイ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
みんな	名詞,代名詞,一般,*,*,*,みんな,ミンナ,ミンナ,s
行っ	動詞,自立,*,*,五段・カ行促音便,連用タ接続,行く,イッ,イッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
る	動詞,非自立,*,*,一段,基本形,る,ル,ル,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
それ	名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,i
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,i
普通	名詞,形容動詞語幹,*,*,*,*,普通,フツウ,フツー,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
それ	名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
普通	名詞,形容動詞語幹,*,*,*,*,普通,フツウ,フツー,s
よ	助詞,終助詞,*,*,*,*,よ,ヨ,ヨ,s
、	記号,読点,*,*,*,*,、,、,、,s
普通	名詞,形容動詞語幹,*,*,*,*,普通,フツウ,フツー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン,i
ない	形容詞,自立,*,*,形容詞・アウオ段,基本形,ない,ナイ,ナイ,i
もん	助詞,終助詞,*,*,*,*,もん,モン,モン,i
なあ	助詞,終助詞,*,*,*,*,なあ,ナア,ナー,i
、	記号,読点,*,*,*,*,、,、,、,i
そんな	連体詞,*,*,*,*,*,そんな,ソンナ,ソンナ,i
の	名詞,非自立,一般,*,*,*,の,ノ,ノ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
ない	形容詞,自立,*,*,形容詞・アウオ段,基本形,ない,ナイ,ナイ,s
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,s
、	記号,読点,*,*,*,*,、,、,、,s
