出身	名詞,一般,*,*,*,*,出身,シュッシン,シュッシン,i
どん	連体詞,*,*,*,*,*,どん,ドン,ドン,i
ぐらい	助詞,副助詞,*,*,*,*,ぐらい,グライ,グライ,i
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,i
期間	名詞,一般,*,*,*,*,期間,キカン,キカン,i
住ん	動詞,自立,*,*,五段・マ行,連用タ接続,住む,スン,スン,i
どっ	動詞,非自立,*,*,五段・ラ行,連用タ接続・縮約形,て＋おる,ドッ,ドッ,i
たん	助動詞,*,*,*,特殊・タ,基本形,たん,タン,タン,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
蔚山	名詞,固有名詞,地域,一般,*,*,蔚山,ウルサン,ウルサン,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
生まれ	動詞,自立,*,*,一段,連用形,生まれる,ウマレ,ウマレ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
十	名詞,数,*,*,*,*,十,ジュウ,ジュー,s
八	名詞,数,*,*,*,*,八,ハチ,ハチ,s
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン,s
住ん	動詞,自立,*,*,五段・マ行,連用タ接続,住む,スン,スン,s
で	助詞,接続助詞,*,*,*,*,で,デ,デ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
えーと	フィラー,*,*,*,*,*,えーと,エート,エート,i
、	記号,読点,*,*,*,*,、,、,、,i
両親	名詞,一般,*,*,*,*,両親,リョウシン,リョーシン,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
どこ	名詞,代名詞,一般,*,*,*,どこ,ドコ,ドコ,i
で	助詞,格助詞,一般,*,*,*,で,デ,デ,i
生まれ	名詞,一般,*,*,*,*,生まれ,ウマレ,ウマレ,i
育っ	動詞,自立,*,*,五段・タ行,連用タ接続,育つ,ソダッ,ソダッ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,i
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,i
分かる	動詞,自立,*,*,五段・ラ行,基本形,分かる,ワカル,ワカル,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
両親	名詞,一般,*,*,*,*,両親,リョウシン,リョーシン,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
蔚山	名詞,固有名詞,地域,一般,*,*,蔚山,ウルサン,ウルサン,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
生まれ	動詞,自立,*,*,一段,連用形,生まれる,ウマレ,ウマレ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
だ	助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
、	記号,読点,*,*,*,*,、,、,、,s
あの	フィラー,*,*,*,*,*,あの,アノ,アノ,s
、	記号,読点,*,*,*,*,、,、,、,s
ずっと	副詞,一般,*,*,*,*,ずっと,ズット,ズット,s
外国	名詞,一般,*,*,*,*,外国,ガイコク,ガイコク,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
ソウル	名詞,固有名詞,地域,一般,*,*,ソウル,ソウル,ソウル,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
住ん	動詞,自立,*,*,五段・マ行,連用タ接続,住む,スン,スン,s
で	助詞,接続助詞,*,*,*,*,で,デ,デ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
、	記号,読点,*,*,*,*,、,、,、,s
あんまり	副詞,助詞類接続,*,*,*,*,あんまり,アンマリ,アンマリ,s
なまり	名詞,一般,*,*,*,*,なまり,ナマリ,ナマリ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
使わ	動詞,自立,*,*,五段・ワ行促音便,未然形,使う,ツカワ,ツカワ,s
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,s
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
やっぱり	副詞,一般,*,*,*,*,やっぱり,ヤッパリ,ヤッパリ,i
日本語	名詞,一般,*,*,*,*,日本語,ニホンゴ,ニホンゴ,i
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,i
方言	名詞,一般,*,*,*,*,方言,ホウゲン,ホーゲン,i
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,i
みたい	名詞,非自立,形容動詞語幹,*,*,*,みたい,ミタイ,ミタイ,i
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,i
、	記号,読点,*,*,*,*,、,、,、,i
韓国	名詞,固有名詞,地域,国,*,*,韓国,カンコク,カンコク,i
語	名詞,接尾,助数詞,*,*,*,語,ゴ,ゴ,i
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,i
も	助詞,係助詞,*,*,*,*,も,モ,モ,i
なまり	名詞,一般,*,*,*,*,なまり,ナマリ,ナマリ,i
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,i
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,i
ん	助詞,終助詞,*,*,*,*,ん,ン,ン,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,s
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ちょっと	副詞,助詞類接続,*,*,*,*,ちょっと,チョット,チョット,s
面白い	形容詞,自立,*,*,形容詞・アウオ段,基本形,面白い,オモシロイ,オモシロイ,s
の	名詞,非自立,一般,*,*,*,の,ノ,ノ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
東京	名詞,固有名詞,地域,一般,*,*,東京,トウキョウ,トーキョー,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
話	名詞,サ変接続,*,*,*,*,話,ハナシ,ハナシ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
まま	名詞,非自立,副詞可能,*,*,*,まま,ママ,ママ,s
続く	動詞,自立,*,*,五段・カ行イ音便,基本形,続く,ツヅク,ツズク,s
、	記号,読点,*,*,*,*,、,、,、,s
音	名詞,一般,*,*,*,*,音,オト,オト,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,s
みたい	名詞,非自立,形容動詞語幹,*,*,*,みたい,ミタイ,ミタイ,s
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,s
そんな	連体詞,*,*,*,*,*,そんな,ソンナ,ソンナ,s
感じ	名詞,一般,*,*,*,*,感じ,カンジ,カンジ,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
ソウル	名詞,固有名詞,地域,一般,*,*,ソウル,ソウル,ソウル,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
そんな	連体詞,*,*,*,*,*,そんな,ソンナ,ソンナ,s
感じ	名詞,一般,*,*,*,*,感じ,カンジ,カンジ,s
だ	助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
、	記号,読点,*,*,*,*,、,、,、,s
蔚山	名詞,固有名詞,地域,一般,*,*,蔚山,ウルサン,ウルサン,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
めっちゃ	副詞,一般,*,*,*,*,めっちゃ,メッチャ,メッチャ,s
なんか	助詞,副助詞,*,*,*,*,なんか,ナンカ,ナンカ,s
、	記号,読点,*,*,*,*,、,、,、,s
ちょっと	副詞,助詞類接続,*,*,*,*,ちょっと,チョット,チョット,s
何	名詞,代名詞,一般,*,*,*,何,ナニ,ナニ,s
と	助詞,格助詞,一般,*,*,*,と,ト,ト,s
言う	動詞,自立,*,*,五段・ワ行促音便,基本形,言う,イウ,イウ,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
、	記号,読点,*,*,*,*,、,、,、,s
アクセント	名詞,一般,*,*,*,*,アクセント,アクセント,アクセント,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
酷い	形容詞,自立,*,*,形容詞・アウオ段,基本形,酷い,ヒドイ,ヒドイ,s
と	助詞,接続助詞,*,*,*,*,と,ト,ト,s
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,イウ,イウ,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
、	記号,読点,*,*,*,*,、,、,、,s
それも	接続詞,*,*,*,*,*,それも,ソレモ,ソレモ,s
あっ	動詞,自立,*,*,五段・ラ行,連用タ接続,ある,アッ,アッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
蔚山	名詞,固有名詞,地域,一般,*,*,蔚山,ウルサン,ウルサン,s
弁	名詞,接尾,一般,*,*,*,弁,ベン,ベン,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
単語	名詞,一般,*,*,*,*,単語,タンゴ,タンゴ,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
ちょっと	副詞,助詞類接続,*,*,*,*,ちょっと,チョット,チョット,s
だけ	助詞,副助詞,*,*,*,*,だけ,ダケ,ダケ,s
違う	動詞,自立,*,*,五段・ワ行促音便,基本形,違う,チガウ,チガウ,s
し	助詞,接続助詞,*,*,*,*,し,シ,シ,s
、	記号,読点,*,*,*,*,、,、,、,s
発音	名詞,サ変接続,*,*,*,*,発音,ハツオン,ハツオン,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
違う	動詞,自立,*,*,五段・ワ行促音便,基本形,違う,チガウ,チガウ,s
し	助詞,接続助詞,*,*,*,*,し,シ,シ,s
、	記号,読点,*,*,*,*,、,、,、,s
意味	名詞,サ変接続,*,*,*,*,意味,イミ,イミ,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
時々	副詞,一般,*,*,*,*,時々,トキドキ,トキドキ,s
ちょっと	副詞,助詞類接続,*,*,*,*,ちょっと,チョット,チョット,s
違う	動詞,自立,*,*,五段・ワ行促音便,基本形,違う,チガウ,チガウ,s
みたい	名詞,非自立,形容動詞語幹,*,*,*,みたい,ミタイ,ミタイ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
えーと	フィラー,*,*,*,*,*,えーと,エート,エート,i
じゃあ	接続詞,*,*,*,*,*,じゃあ,ジャア,ジャー,i
、	記号,読点,*,*,*,*,、,、,、,i
親	名詞,一般,*,*,*,*,親,オヤ,オヤ,i
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,i
しつけ	動詞,自立,*,*,一段,連用形,しつける,シツケ,シツケ,i
とか	動詞,非自立,*,*,五段・カ行イ音便,未然形・縮約形,て＋おく,トカ,トカ,i
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,i
厳しかっ	形容詞,自立,*,*,形容詞・イ段,連用タ接続,厳しい,キビシカッ,キビシカッ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
厳しい	形容詞,自立,*,*,形容詞・イ段,基本形,厳しい,キビシイ,キビシイ,s
と	助詞,接続助詞,*,*,*,*,と,ト,ト,s
言え	動詞,自立,*,*,五段・ワ行促音便,仮定形,言う,イエ,イエ,s
ば	助詞,接続助詞,*,*,*,*,ば,バ,バ,s
厳しかっ	形容詞,自立,*,*,形容詞・イ段,連用タ接続,厳しい,キビシカッ,キビシカッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
、	記号,読点,*,*,*,*,、,、,、,s
まあ	フィラー,一般,*,*,*,*,まあ,マア,マー,s
、	記号,読点,*,*,*,*,、,、,、,s
あんまり	副詞,助詞類接続,*,*,*,*,あんまり,アンマリ,アンマリ,s
そんな	連体詞,*,*,*,*,*,そんな,ソンナ,ソンナ,s
厳しく	形容詞,自立,*,*,形容詞・イ段,連用テ接続,厳しい,キビシク,キビシク,s
なかっ	助動詞,*,*,*,特殊・ナイ,連用タ接続,ない,ナカッ,ナカッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
気	名詞,非自立,一般,*,*,*,気,キ,キ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
えっ	感動詞,*,*,*,*,*,えっ,エッ,エッ,i
、	記号,読点,*,*,*,*,、,、,、,i
それ	名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
お父さん	名詞,一般,*,*,*,*,お父さん,オトウサン,オトーサン,i
も	助詞,係助詞,*,*,*,*,も,モ,モ,i
お母さん	名詞,一般,*,*,*,*,お母さん,オカアサン,オカーサン,i
も	助詞,係助詞,*,*,*,*,も,モ,モ,i
両方	名詞,一般,*,*,*,*,両方,リョウホウ,リョーホー,i
とも	助詞,副助詞,*,*,*,*,とも,トモ,トモ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
あー	フィラー,*,*,*,*,*,あー,アー,アー,s
、	記号,読点,*,*,*,*,、,、,、,s
お父さん	名詞,一般,*,*,*,*,お父さん,オトウサン,オトーサン,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
ほう	名詞,非自立,一般,*,*,*,ほう,ホウ,ホー,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
ちょっと	副詞,助詞類接続,*,*,*,*,ちょっと,チョット,チョット,s
甘い	形容詞,自立,*,*,形容詞・アウオ段,基本形,甘い,アマイ,アマイ,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
お母さん	名詞,一般,*,*,*,*,お母さん,オカアサン,オカーサン,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
これ	名詞,代名詞,一般,*,*,*,これ,コレ,コレ,s
やっ	動詞,自立,*,*,五段・ラ行,連用タ接続,やる,ヤッ,ヤッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
あれ	名詞,代名詞,一般,*,*,*,あれ,アレ,アレ,s
やっ	動詞,自立,*,*,五段・ラ行,連用タ接続,やる,ヤッ,ヤッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
ばんばん	副詞,一般,*,*,*,*,ばんばん,バンバン,バンバン,s
言う	動詞,自立,*,*,五段・ワ行促音便,基本形,言う,イウ,イウ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
、	記号,読点,*,*,*,*,、,、,、,s
お父さん	名詞,一般,*,*,*,*,お父さん,オトウサン,オトーサン,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
ほう	名詞,非自立,一般,*,*,*,ほう,ホウ,ホー,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
もっと	副詞,一般,*,*,*,*,もっと,モット,モット,s
厳しく	形容詞,自立,*,*,形容詞・イ段,連用テ接続,厳しい,キビシク,キビシク,s
なかっ	助動詞,*,*,*,特殊・ナイ,連用タ接続,ない,ナカッ,ナカッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
かも	助詞,副助詞,*,*,*,*,かも,カモ,カモ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,i
さ	助詞,終助詞,*,*,*,*,さ,サ,サ,i
、	記号,読点,*,*,*,*,、,、,、,i
門限	名詞,一般,*,*,*,*,門限,モンゲン,モンゲン,i
みたい	名詞,非自立,形容動詞語幹,*,*,*,みたい,ミタイ,ミタイ,i
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,i
感じ	名詞,一般,*,*,*,*,感じ,カンジ,カンジ,i
で	助詞,格助詞,一般,*,*,*,で,デ,デ,i
さあ	感動詞,*,*,*,*,*,さあ,サア,サー,i
、	記号,読点,*,*,*,*,、,、,、,i
親	名詞,一般,*,*,*,*,親,オヤ,オヤ,i
と	助詞,格助詞,一般,*,*,*,と,ト,ト,i
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,i
間	名詞,一般,*,*,*,*,間,マ,マ,i
で	助詞,格助詞,一般,*,*,*,で,デ,デ,i
ルール	名詞,一般,*,*,*,*,ルール,ルール,ルール,i
みたい	名詞,非自立,形容動詞語幹,*,*,*,みたい,ミタイ,ミタイ,i
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,i
、	記号,読点,*,*,*,*,、,、,、,i
なかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,ない,ナカッ,ナカッ,i
たん	助動詞,*,*,*,特殊・タ,基本形,たん,タン,タン,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
あっ	動詞,自立,*,*,五段・ラ行,連用タ接続,ある,アッ,アッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
あっ	動詞,自立,*,*,五段・ラ行,連用タ接続,ある,アッ,アッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
門限	名詞,一般,*,*,*,*,門限,モンゲン,モンゲン,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
あっ	動詞,自立,*,*,五段・ラ行,連用タ接続,ある,アッ,アッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
中学校	名詞,一般,*,*,*,*,中学校,チュウガッコウ,チューガッコー,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
ぐらい	助詞,副助詞,*,*,*,*,ぐらい,グライ,グライ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
暗く	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,暗い,クラク,クラク,s
なる	動詞,自立,*,*,五段・ラ行,基本形,なる,ナル,ナル,s
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
瞬間	名詞,副詞可能,*,*,*,*,瞬間,シュンカン,シュンカン,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
門限	名詞,一般,*,*,*,*,門限,モンゲン,モンゲン,s
だっ	助動詞,*,*,*,特殊・ダ,連用タ接続,だ,ダッ,ダッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
、	記号,読点,*,*,*,*,、,、,、,s
暗く	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,暗い,クラク,クラク,s
なる	動詞,自立,*,*,五段・ラ行,基本形,なる,ナル,ナル,s
前	名詞,副詞可能,*,*,*,*,前,マエ,マエ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
家	名詞,一般,*,*,*,*,家,イエ,イエ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
戻っ	動詞,自立,*,*,五段・ラ行,連用タ接続,戻る,モドッ,モドッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
めっちゃ	副詞,一般,*,*,*,*,めっちゃ,メッチャ,メッチャ,s
言わ	動詞,自立,*,*,五段・ワ行促音便,未然形,言う,イワ,イワ,s
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
今	名詞,副詞可能,*,*,*,*,今,イマ,イマ,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
十	名詞,数,*,*,*,*,十,ジュウ,ジュー,s
時	名詞,接尾,助数詞,*,*,*,時,ジ,ジ,s
ぐらい	助詞,副助詞,*,*,*,*,ぐらい,グライ,グライ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
なっ	動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
電話	名詞,サ変接続,*,*,*,*,電話,デンワ,デンワ,s
めっちゃ	副詞,一般,*,*,*,*,めっちゃ,メッチャ,メッチャ,s
来	動詞,自立,*,*,カ変・来ル,連用形,来る,キ,キ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
ちょっと	副詞,助詞類接続,*,*,*,*,ちょっと,チョット,チョット,s
嫌	名詞,形容動詞語幹,*,*,*,*,嫌,イヤ,イヤ,s
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,s
気	名詞,非自立,一般,*,*,*,気,キ,キ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
今	名詞,副詞可能,*,*,*,*,今,イマ,イマ,i
も	助詞,係助詞,*,*,*,*,も,モ,モ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
今	名詞,副詞可能,*,*,*,*,今,イマ,イマ,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
時差	名詞,一般,*,*,*,*,時差,ジサ,ジサ,i
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,i
さあ	感動詞,*,*,*,*,*,さあ,サア,サー,i
、	記号,読点,*,*,*,*,、,、,、,i
ない	名詞,代名詞,一般,*,*,*,ない,ナイ,ナイ,i
ん	助詞,終助詞,*,*,*,*,ん,ン,ン,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
時差	名詞,一般,*,*,*,*,時差,ジサ,ジサ,i
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,i
どの	連体詞,*,*,*,*,*,どの,ドノ,ドノ,i
