お願い	名詞,サ変接続,*,*,*,*,お願い,オネガイ,オネガイ,i
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
省	名詞,一般,*,*,*,*,省,ショウ,ショー,s
と	助詞,格助詞,一般,*,*,*,と,ト,ト,s
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,ユウ,ユー,s
名前	名詞,一般,*,*,*,*,名前,ナマエ,ナマエ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
千	名詞,数,*,*,*,*,千,セン,セン,i
湖	名詞,接尾,助数詞,*,*,*,湖,コ,コ,i
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,i
省	名詞,一般,*,*,*,*,省,ショウ,ショー,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
千	名詞,数,*,*,*,*,千,セン,セン,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
あの	フィラー,*,*,*,*,*,あの,アノ,アノ,s
この	連体詞,*,*,*,*,*,この,コノ,コノ,s
千	名詞,数,*,*,*,*,千,セン,セン,s
と	助詞,並立助詞,*,*,*,*,と,ト,ト,s
湖	名詞,一般,*,*,*,*,湖,ミズウミ,ミズウミ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
湖	名詞,一般,*,*,*,*,湖,ミズウミ,ミズウミ,s
あの	連体詞,*,*,*,*,*,あの,アノ,アノ,s
湖	名詞,一般,*,*,*,*,湖,ミズウミ,ミズウミ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
うん	感動詞,*,*,*,*,*,うん,ウン,ウン,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
千	名詞,数,*,*,*,*,千,セン,セン,s
湖	名詞,接尾,助数詞,*,*,*,湖,コ,コ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
省	名詞,一般,*,*,*,*,省,ショウ,ショー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
えー	フィラー,*,*,*,*,*,えー,エー,エー,i
、	記号,読点,*,*,*,*,、,、,、,i
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,i
何	名詞,代名詞,一般,*,*,*,何,ナニ,ナニ,i
て	助詞,格助詞・縮約形,引用,*,*,*,って,テ,テ,i
言う	動詞,自立,*,*,五段・ワ行促音便,基本形,言う,ユウ,ユー,i
ん	助詞,終助詞,*,*,*,*,ん,ン,ン,i
、	記号,読点,*,*,*,*,、,、,、,i
世界	名詞,一般,*,*,*,*,世界,セカイ,セカイ,i
遺産	名詞,一般,*,*,*,*,遺産,イサン,イサン,i
みたい	名詞,非自立,形容動詞語幹,*,*,*,みたい,ミタイ,ミタイ,i
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,i
なっ	動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
たり	助詞,並立助詞,*,*,*,*,たり,タリ,タリ,i
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル,i
の	助詞,終助詞,*,*,*,*,の,ノ,ノ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
それ	名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
、	記号,読点,*,*,*,*,、,、,、,s
なら	動詞,自立,*,*,五段・ラ行,未然形,なる,ナラ,ナラ,s
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
なー	助詞,終助詞,*,*,*,*,なー,ナー,ナー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
なっ	動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,i
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,i
、	記号,読点,*,*,*,*,、,、,、,i
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,i
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
じゃ	接続詞,*,*,*,*,*,じゃ,ジャ,ジャ,i
、	記号,読点,*,*,*,*,、,、,、,i
えっと	フィラー,*,*,*,*,*,えっと,エット,エット,i
、	記号,読点,*,*,*,*,、,、,、,i
なんで	副詞,一般,*,*,*,*,なんで,ナンデ,ナンデ,i
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン,i
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,i
来よ	動詞,自立,*,*,カ変・来ル,未然ウ接続,来る,コヨ,コヨ,i
う	助動詞,*,*,*,不変化型,基本形,う,ウ,ウ,i
と	助詞,格助詞,一般,*,*,*,と,ト,ト,i
思っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,思う,オモッ,オモッ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
なんで	副詞,一般,*,*,*,*,なんで,ナンデ,ナンデ,i
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン,i
、	記号,読点,*,*,*,*,、,、,、,i
留学	名詞,サ変接続,*,*,*,*,留学,リュウガク,リューガク,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
うん	感動詞,*,*,*,*,*,うん,ウン,ウン,s
、	記号,読点,*,*,*,*,、,、,、,s
前	名詞,副詞可能,*,*,*,*,前,マエ,マエ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
、	記号,読点,*,*,*,*,、,、,、,s
実際	副詞,助詞類接続,*,*,*,*,実際,ジッサイ,ジッサイ,s
、	記号,読点,*,*,*,*,、,、,、,s
あの	連体詞,*,*,*,*,*,あの,アノ,アノ,s
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
一	名詞,数,*,*,*,*,一,イチ,イチ,s
回	名詞,接尾,助数詞,*,*,*,回,カイ,カイ,s
あの	連体詞,*,*,*,*,*,あの,アノ,アノ,s
研修	名詞,サ変接続,*,*,*,*,研修,ケンシュウ,ケンシュー,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
うん	感動詞,*,*,*,*,*,うん,ウン,ウン,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
あの	連体詞,*,*,*,*,*,あの,アノ,アノ,s
一	名詞,数,*,*,*,*,一,イチ,イチ,s
年間	名詞,接尾,助数詞,*,*,*,年間,ネンカン,ネンカン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
うん	感動詞,*,*,*,*,*,うん,ウン,ウン,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
うんー	感動詞,*,*,*,*,*,うんー,ウンー,ウンー,s
、	記号,読点,*,*,*,*,、,、,、,s
あの	連体詞,*,*,*,*,*,あの,アノ,アノ,s
愛知	名詞,固有名詞,地域,一般,*,*,愛知,アイチ,アイチ,s
県	名詞,接尾,地域,*,*,*,県,ケン,ケン,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
蒲郡	名詞,固有名詞,地域,一般,*,*,蒲郡,ガマゴオリ,ガマゴーリ,s
市	名詞,接尾,地域,*,*,*,市,シ,シ,s
で	助詞,終助詞,*,*,*,*,で,デ,デ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
うん	感動詞,*,*,*,*,*,うん,ウン,ウン,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
一	名詞,数,*,*,*,*,一,イチ,イチ,s
年間	名詞,接尾,助数詞,*,*,*,年間,ネンカン,ネンカン,s
働い	動詞,自立,*,*,五段・カ行イ音便,連用タ接続,働く,ハタライ,ハタライ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン,s
の	助詞,終助詞,*,*,*,*,の,ノ,ノ,s
、	記号,読点,*,*,*,*,、,、,、,s
うーん	感動詞,*,*,*,*,*,うーん,ウーン,ウーン,s
空気	名詞,一般,*,*,*,*,空気,クウキ,クーキ,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
いい	形容詞,自立,*,*,形容詞・イイ,基本形,いい,イイ,イー,s
し	助詞,接続助詞,*,*,*,*,し,シ,シ,s
、	記号,読点,*,*,*,*,、,、,、,s
あの	連体詞,*,*,*,*,*,あの,アノ,アノ,s
生活	名詞,サ変接続,*,*,*,*,生活,セイカツ,セイカツ,s
スピード	名詞,一般,*,*,*,*,スピード,スピード,スピード,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
好き	名詞,形容動詞語幹,*,*,*,*,好き,スキ,スキ,s
で	助詞,終助詞,*,*,*,*,で,デ,デ,s
、	記号,読点,*,*,*,*,、,、,、,s
で	接続詞,*,*,*,*,*,で,デ,デ,s
、	記号,読点,*,*,*,*,、,、,、,s
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
一	名詞,数,*,*,*,*,一,イチ,イチ,s
回	名詞,接尾,助数詞,*,*,*,回,カイ,カイ,s
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン,s
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ,s
行き	動詞,自立,*,*,五段・カ行促音便,連用形,行く,イキ,イキ,s
たい	助動詞,*,*,*,特殊・タイ,基本形,たい,タイ,タイ,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
なー	助詞,終助詞,*,*,*,*,なー,ナー,ナー,s
と	助詞,格助詞,一般,*,*,*,と,ト,ト,s
思っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,思う,オモッ,オモッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
で	接続詞,*,*,*,*,*,で,デ,デ,s
、	記号,読点,*,*,*,*,、,、,、,s
留学生	名詞,一般,*,*,*,*,留学生,リュウガクセイ,リューガクセイ,s
として	助詞,格助詞,連語,*,*,*,として,トシテ,トシテ,s
、	記号,読点,*,*,*,*,、,、,、,s
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
一	名詞,数,*,*,*,*,一,イチ,イチ,s
回	名詞,接尾,助数詞,*,*,*,回,カイ,カイ,s
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
来	動詞,自立,*,*,カ変・来ル,連用形,来る,キ,キ,s
まし	助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
じゃ	接続詞,*,*,*,*,*,じゃ,ジャ,ジャ,i
、	記号,読点,*,*,*,*,、,、,、,i
普通	名詞,形容動詞語幹,*,*,*,*,普通,フツウ,フツー,i
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,i
、	記号,読点,*,*,*,*,、,、,、,i
えっとー	フィラー,*,*,*,*,*,えっとー,エットオ,エットー,i
働い	動詞,自立,*,*,五段・カ行イ音便,連用タ接続,働く,ハタライ,ハタライ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
、	記号,読点,*,*,*,*,、,、,、,i
一	名詞,数,*,*,*,*,一,イチ,イチ,i
回	名詞,接尾,助数詞,*,*,*,回,カイ,カイ,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
中国	名詞,固有名詞,地域,国,*,*,中国,チュウゴク,チューゴク,i
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,i
戻っ	動詞,自立,*,*,五段・ラ行,連用タ接続,戻る,モドッ,モドッ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
はい	感動詞,*,*,*,*,*,はい,ハイ,ハイ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
で	接続詞,*,*,*,*,*,で,デ,デ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
一	名詞,数,*,*,*,*,一,イチ,イチ,s
回	名詞,接尾,助数詞,*,*,*,回,カイ,カイ,s
、	記号,読点,*,*,*,*,、,、,、,s
あのー	フィラー,*,*,*,*,*,あのー,アノー,アノー,s
、	記号,読点,*,*,*,*,、,、,、,s
留学生	名詞,一般,*,*,*,*,留学生,リュウガクセイ,リューガクセイ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
試験	名詞,サ変接続,*,*,*,*,試験,シケン,シケン,i
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,i
うけ	動詞,自立,*,*,一段,連用形,うける,ウケ,ウケ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
はい	感動詞,*,*,*,*,*,はい,ハイ,ハイ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
じゃ	接続詞,*,*,*,*,*,じゃ,ジャ,ジャ,i
、	記号,読点,*,*,*,*,、,、,、,i
もう	副詞,一般,*,*,*,*,もう,モウ,モー,i
実際	副詞,助詞類接続,*,*,*,*,実際,ジッサイ,ジッサイ,i
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン,i
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,i
来	動詞,自立,*,*,カ変・来ル,連用形,来る,キ,キ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
何	名詞,代名詞,一般,*,*,*,何,ナニ,ナニ,i
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン,i
ぐらい	助詞,副助詞,*,*,*,*,ぐらい,グライ,グライ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
うん	感動詞,*,*,*,*,*,うん,ウン,ウン,s
、	記号,読点,*,*,*,*,、,、,、,s
五	名詞,数,*,*,*,*,五,ゴ,ゴ,s
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
五	名詞,数,*,*,*,*,五,ゴ,ゴ,i
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン,i
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
なあ	助詞,終助詞,*,*,*,*,なあ,ナア,ナー,s
、	記号,読点,*,*,*,*,、,、,、,s
うん	感動詞,*,*,*,*,*,うん,ウン,ウン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,i
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
仕事	名詞,サ変接続,*,*,*,*,仕事,シゴト,シゴト,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
一	名詞,数,*,*,*,*,一,イチ,イチ,s
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン,s
と	助詞,並立助詞,*,*,*,*,と,ト,ト,s
日本語	名詞,一般,*,*,*,*,日本語,ニホンゴ,ニホンゴ,s
学校	名詞,一般,*,*,*,*,学校,ガッコウ,ガッコー,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
一	名詞,数,*,*,*,*,一,イチ,イチ,s
年	名詞,接尾,一般,*,*,*,年,ネン,ネン,s
半	名詞,接尾,一般,*,*,*,半,ハン,ハン,s
と	助詞,格助詞,一般,*,*,*,と,ト,ト,s
今	名詞,副詞可能,*,*,*,*,今,イマ,イマ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
、	記号,読点,*,*,*,*,、,、,、,s
あのー	フィラー,*,*,*,*,*,あのー,アノー,アノー,s
、	記号,読点,*,*,*,*,、,、,、,s
大学	名詞,一般,*,*,*,*,大学,ダイガク,ダイガク,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
三	名詞,数,*,*,*,*,三,サン,サン,s
年生	名詞,接尾,助数詞,*,*,*,年生,ネンセイ,ネンセイ,s
だ	助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
、	記号,読点,*,*,*,*,、,、,、,s
五	名詞,数,*,*,*,*,五,ゴ,ゴ,s
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン,s
ぐらい	助詞,副助詞,*,*,*,*,ぐらい,グライ,グライ,s
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,s
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
そうか	感動詞,*,*,*,*,*,そうか,ソウカ,ソーカ,i
、	記号,読点,*,*,*,*,、,、,、,i
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,i
仕事	名詞,サ変接続,*,*,*,*,仕事,シゴト,シゴト,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,i
どんな	連体詞,*,*,*,*,*,どんな,ドンナ,ドンナ,i
仕事	名詞,サ変接続,*,*,*,*,仕事,シゴト,シゴト,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
あー	フィラー,*,*,*,*,*,あー,アー,アー,s
、	記号,読点,*,*,*,*,、,、,、,s
仕事	名詞,サ変接続,*,*,*,*,仕事,シゴト,シゴト,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
一応	副詞,助詞類接続,*,*,*,*,一応,イチオウ,イチオー,s
あの	連体詞,*,*,*,*,*,あの,アノ,アノ,s
ホテル	名詞,一般,*,*,*,*,ホテル,ホテル,ホテル,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
接客	名詞,サ変接続,*,*,*,*,接客,セッキャク,セッキャク,s
、	記号,読点,*,*,*,*,、,、,、,s
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
あのー	フィラー,*,*,*,*,*,あのー,アノー,アノー,s
、	記号,読点,*,*,*,*,、,、,、,s
中国	名詞,固有名詞,地域,国,*,*,中国,チュウゴク,チューゴク,s
、	記号,読点,*,*,*,*,、,、,、,s
あの	連体詞,*,*,*,*,*,あの,アノ,アノ,s
時	名詞,非自立,副詞可能,*,*,*,時,トキ,トキ,s
、	記号,読点,*,*,*,*,、,、,、,s
中国	名詞,固有名詞,地域,国,*,*,中国,チュウゴク,チューゴク,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
観光	名詞,サ変接続,*,*,*,*,観光,カンコウ,カンコー,s
客	名詞,接尾,助数詞,*,*,*,客,キャク,キャク,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
結構	副詞,一般,*,*,*,*,結構,ケッコウ,ケッコー,s
多い	形容詞,自立,*,*,形容詞・アウオ段,基本形,多い,オオイ,オーイ,s
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,s
ので	助詞,接続助詞,*,*,*,*,ので,ノデ,ノデ,s
、	記号,読点,*,*,*,*,、,、,、,s
で	接続詞,*,*,*,*,*,で,デ,デ,s
、	記号,読点,*,*,*,*,、,、,、,s
中国	名詞,固有名詞,地域,国,*,*,中国,チュウゴク,チューゴク,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
お客	名詞,一般,*,*,*,*,お客,オキャク,オキャク,s
さん	名詞,接尾,人名,*,*,*,さん,サン,サン,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
対し	動詞,自立,*,*,五段・サ行,連用形,対す,タイシ,タイシ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
接客	名詞,サ変接続,*,*,*,*,接客,セッキャク,セッキャク,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,i
時	名詞,非自立,副詞可能,*,*,*,時,トキ,トキ,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
日本語	名詞,一般,*,*,*,*,日本語,ニホンゴ,ニホンゴ,i
ほぼ	副詞,一般,*,*,*,*,ほぼ,ホボ,ホボ,i
喋ら	動詞,自立,*,*,五段・ラ行,未然形,喋る,シャベラ,シャベラ,i
なかっ	助動詞,*,*,*,特殊・ナイ,連用タ接続,ない,ナカッ,ナカッ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
喋っ	動詞,自立,*,*,五段・ラ行,連用タ接続,喋る,シャベッ,シャベッ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
時	名詞,非自立,副詞可能,*,*,*,時,トキ,トキ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
今	名詞,副詞可能,*,*,*,*,今,イマ,イマ,s
より	助詞,格助詞,一般,*,*,*,より,ヨリ,ヨリ,s
そんなに	副詞,一般,*,*,*,*,そんなに,ソンナニ,ソンナニ,s
いい	形容詞,自立,*,*,形容詞・イイ,基本形,いい,イイ,イー,s
じゃ	助動詞,*,*,*,特殊・ジャ,未然形,じゃ,ジャ,ジャ,s
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,s
と	助詞,格助詞,一般,*,*,*,と,ト,ト,s
