木村	名詞,固有名詞,人名,姓,*,*,木村,キムラ,キムラ,s
歯医者	名詞,一般,*,*,*,*,歯医者,ハイシャ,ハイシャ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
、	記号,読点,*,*,*,*,、,、,、,s
受付	名詞,サ変接続,*,*,*,*,受付,ウケツケ,ウケツケ,s
助手	名詞,一般,*,*,*,*,助手,ジョシュ,ジョシュ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
歯科	名詞,一般,*,*,*,*,歯科,シカ,シカ,s
助手	名詞,一般,*,*,*,*,助手,ジョシュ,ジョシュ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
受付	名詞,サ変接続,*,*,*,*,受付,ウケツケ,ウケツケ,s
と	助詞,並立助詞,*,*,*,*,と,ト,ト,s
、	記号,読点,*,*,*,*,、,、,、,s
歯科	名詞,一般,*,*,*,*,歯科,シカ,シカ,s
、	記号,読点,*,*,*,*,、,、,、,s
歯医者	名詞,一般,*,*,*,*,歯医者,ハイシャ,ハイシャ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
先生	名詞,一般,*,*,*,*,先生,センセイ,センセイ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
助手	名詞,一般,*,*,*,*,助手,ジョシュ,ジョシュ,s
、	記号,読点,*,*,*,*,、,、,、,s
業	名詞,一般,*,*,*,*,業,ワザ,ワザ,s
、	記号,読点,*,*,*,*,、,、,、,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
やっ	動詞,自立,*,*,五段・ラ行,連用タ接続,やる,ヤッ,ヤッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
受付	名詞,サ変接続,*,*,*,*,受付,ウケツケ,ウケツケ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
、	記号,読点,*,*,*,*,、,、,、,s
要は	副詞,一般,*,*,*,*,要は,ヨウハ,ヨーワ,s
電話	名詞,サ変接続,*,*,*,*,電話,デンワ,デンワ,s
番	名詞,接尾,助数詞,*,*,*,番,バン,バン,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
、	記号,読点,*,*,*,*,、,、,、,s
お金	名詞,一般,*,*,*,*,お金,オカネ,オカネ,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
、	記号,読点,*,*,*,*,、,、,、,s
そんな	連体詞,*,*,*,*,*,そんな,ソンナ,ソンナ,s
感じ	名詞,一般,*,*,*,*,感じ,カンジ,カンジ,s
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,s
、	記号,読点,*,*,*,*,、,、,、,s
助手	名詞,一般,*,*,*,*,助手,ジョシュ,ジョシュ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
なんか	助詞,副助詞,*,*,*,*,なんか,ナンカ,ナンカ,s
、	記号,読点,*,*,*,*,、,、,、,s
なん	名詞,代名詞,一般,*,*,*,なん,ナン,ナン,s
やろ	助動詞,*,*,*,特殊・ヤ,未然形,や,ヤロ,ヤロ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
、	記号,読点,*,*,*,*,、,、,、,s
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
、	記号,読点,*,*,*,*,、,、,、,s
あの	フィラー,*,*,*,*,*,あの,アノ,アノ,s
、	記号,読点,*,*,*,*,、,、,、,s
と	助詞,接続助詞,*,*,*,*,と,ト,ト,s
、	記号,読点,*,*,*,*,、,、,、,s
薬	名詞,一般,*,*,*,*,薬,クスリ,クスリ,s
作っ	動詞,自立,*,*,五段・ラ行,連用タ接続,作る,ツクッ,ツクッ,s
たり	助詞,並立助詞,*,*,*,*,たり,タリ,タリ,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
、	記号,読点,*,*,*,*,、,、,、,s
機材	名詞,一般,*,*,*,*,機材,キザイ,キザイ,s
用意	名詞,サ変接続,*,*,*,*,用意,ヨウイ,ヨーイ,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
たり	助詞,並立助詞,*,*,*,*,たり,タリ,タリ,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
、	記号,読点,*,*,*,*,、,、,、,s
レントゲン	名詞,一般,*,*,*,*,レントゲン,レントゲン,レントゲン,s
作っ	動詞,自立,*,*,五段・ラ行,連用タ接続,作る,ツクッ,ツクッ,s
たり	助詞,並立助詞,*,*,*,*,たり,タリ,タリ,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
いろいろ	副詞,助詞類接続,*,*,*,*,いろいろ,イロイロ,イロイロ,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
それから	接続詞,*,*,*,*,*,それから,ソレカラ,ソレカラ,s
、	記号,読点,*,*,*,*,、,、,、,s
それと	接続詞,*,*,*,*,*,それと,ソレト,ソレト,s
、	記号,読点,*,*,*,*,、,、,、,s
家庭	名詞,一般,*,*,*,*,家庭,カテイ,カテイ,s
教師	名詞,一般,*,*,*,*,教師,キョウシ,キョーシ,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
家庭	名詞,一般,*,*,*,*,家庭,カテイ,カテイ,i
教師	名詞,一般,*,*,*,*,教師,キョウシ,キョーシ,i
誰	名詞,代名詞,一般,*,*,*,誰,ダレ,ダレ,i
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,i
やっ	動詞,自立,*,*,五段・ラ行,連用タ接続,やる,ヤッ,ヤッ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
たん	助動詞,*,*,*,特殊・タ,基本形,たん,タン,タン,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
家庭	名詞,一般,*,*,*,*,家庭,カテイ,カテイ,s
教師	名詞,一般,*,*,*,*,教師,キョウシ,キョーシ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
、	記号,読点,*,*,*,*,、,、,、,s
中１	名詞,一般,*,*,*,*,中１,チュウイチ,チューイチ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
男の子	名詞,一般,*,*,*,*,男の子,オトコノコ,オトコノコ,s
と	助詞,並立助詞,*,*,*,*,と,ト,ト,s
、	記号,読点,*,*,*,*,、,、,、,s
小学校	名詞,一般,*,*,*,*,小学校,ショウガッコウ,ショーガッコー,s
、	記号,読点,*,*,*,*,、,、,、,s
あの	連体詞,*,*,*,*,*,あの,アノ,アノ,s
子	名詞,一般,*,*,*,*,子,コ,コ,s
何	名詞,代名詞,一般,*,*,*,何,ナニ,ナニ,s
年生	名詞,接尾,助数詞,*,*,*,年生,ネンセイ,ネンセイ,s
やっ	助動詞,*,*,*,特殊・ヤ,連用タ接続,や,ヤッ,ヤッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
やろ	助動詞,*,*,*,特殊・ヤ,未然形,や,ヤロ,ヤロ,s
、	記号,読点,*,*,*,*,、,、,、,s
三	名詞,数,*,*,*,*,三,サン,サン,s
年生	名詞,接尾,助数詞,*,*,*,年生,ネンセイ,ネンセイ,s
ぐらい	助詞,副助詞,*,*,*,*,ぐらい,グライ,グライ,s
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
やろ	助動詞,*,*,*,特殊・ヤ,未然形,や,ヤロ,ヤロ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
あの	連体詞,*,*,*,*,*,あの,アノ,アノ,s
子	名詞,一般,*,*,*,*,子,コ,コ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
三	名詞,数,*,*,*,*,三,サン,サン,s
年生	名詞,接尾,助数詞,*,*,*,年生,ネンセイ,ネンセイ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
うち	名詞,代名詞,一般,*,*,*,うち,ウチ,ウチ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
めっちゃ	副詞,一般,*,*,*,*,めっちゃ,メッチャ,メッチャ,s
すごい	形容詞,自立,*,*,形容詞・アウオ段,基本形,すごい,スゴイ,スゴイ,s
、	記号,読点,*,*,*,*,、,、,、,s
たぶん	副詞,一般,*,*,*,*,たぶん,タブン,タブン,s
お父さん	名詞,一般,*,*,*,*,お父さん,オトウサン,オトーサン,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
おじいちゃん	名詞,一般,*,*,*,*,おじいちゃん,オジイチャン,オジーチャン,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
教授	名詞,一般,*,*,*,*,教授,キョウジュ,キョージュ,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
医者	名詞,一般,*,*,*,*,医者,イシャ,イシャ,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
どっち	名詞,代名詞,一般,*,*,*,どっち,ドッチ,ドッチ,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
で	助詞,終助詞,*,*,*,*,で,デ,デ,s
、	記号,読点,*,*,*,*,、,、,、,s
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
めっちゃ	副詞,一般,*,*,*,*,めっちゃ,メッチャ,メッチャ,s
お	接頭詞,名詞接続,*,*,*,*,お,オ,オ,s
金持ち	名詞,一般,*,*,*,*,金持ち,カネモチ,カネモチ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
家	名詞,一般,*,*,*,*,家,イエ,イエ,s
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
子	名詞,一般,*,*,*,*,子,コ,コ,s
めっちゃ	副詞,一般,*,*,*,*,めっちゃ,メッチャ,メッチャ,s
習っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,習う,ナラッ,ナラッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
家庭	名詞,一般,*,*,*,*,家庭,カテイ,カテイ,s
教師	名詞,一般,*,*,*,*,教師,キョウシ,キョーシ,s
プラス	名詞,一般,*,*,*,*,プラス,プラス,プラス,s
くもん	名詞,固有名詞,組織,*,*,*,くもん,クモン,クモン,s
と	助詞,並立助詞,*,*,*,*,と,ト,ト,s
、	記号,読点,*,*,*,*,、,、,、,s
ECC	名詞,固有名詞,組織,*,*,*,ECC,ECC,ECC,s
と	助詞,並立助詞,*,*,*,*,と,ト,ト,s
、	記号,読点,*,*,*,*,、,、,、,s
スイミング	名詞,一般,*,*,*,*,スイミング,スイミング,スイミング,s
と	助詞,並立助詞,*,*,*,*,と,ト,ト,s
、	記号,読点,*,*,*,*,、,、,、,s
演劇	名詞,一般,*,*,*,*,演劇,エンゲキ,エンゲキ,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
何	名詞,代名詞,一般,*,*,*,何,ナニ,ナニ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
毎日	名詞,副詞可能,*,*,*,*,毎日,マイニチ,マイニチ,s
なんか	助詞,副助詞,*,*,*,*,なんか,ナンカ,ナンカ,s
あっ	動詞,自立,*,*,五段・ラ行,連用タ接続,ある,アッ,アッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
言っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,言う,イッ,イッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
めっちゃ	副詞,一般,*,*,*,*,めっちゃ,メッチャ,メッチャ,i
賢い	形容詞,自立,*,*,形容詞・アウオ段,基本形,賢い,カシコイ,カシコイ,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
ちゃう	動詞,自立,*,*,五段・特殊,基本形,ちゃう,チャウ,チャウ,i
ん	助詞,終助詞,*,*,*,*,ん,ン,ン,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
んー	フィラー,*,*,*,*,*,んー,ンー,ンー,s
、	記号,読点,*,*,*,*,、,、,、,s
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
、	記号,読点,*,*,*,*,、,、,、,s
賢い	形容詞,自立,*,*,形容詞・アウオ段,基本形,賢い,カシコイ,カシコイ,s
、	記号,読点,*,*,*,*,、,、,、,s
いや	感動詞,*,*,*,*,*,いや,イヤ,イヤ,s
でも	接続詞,*,*,*,*,*,でも,デモ,デモ,s
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
微妙	名詞,形容動詞語幹,*,*,*,*,微妙,ビミョウ,ビミョー,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
賢く	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,賢い,カシコク,カシコク,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
なかっ	助動詞,*,*,*,特殊・ナイ,連用タ接続,ない,ナカッ,ナカッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
だから	接続詞,*,*,*,*,*,だから,ダカラ,ダカラ,i
やる	動詞,自立,*,*,五段・ラ行,基本形,やる,ヤル,ヤル,i
、	記号,読点,*,*,*,*,、,、,、,i
みたい	名詞,非自立,形容動詞語幹,*,*,*,みたい,ミタイ,ミタイ,i
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,s
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,s
、	記号,読点,*,*,*,*,、,、,、,s
さらに	接続詞,*,*,*,*,*,さらに,サラニ,サラニ,s
プラス	名詞,一般,*,*,*,*,プラス,プラス,プラス,s
みたい	名詞,非自立,形容動詞語幹,*,*,*,みたい,ミタイ,ミタイ,s
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
やっ	動詞,自立,*,*,五段・ラ行,連用タ接続,やる,ヤッ,ヤッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
毎日	名詞,副詞可能,*,*,*,*,毎日,マイニチ,マイニチ,s
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,s
みたい	名詞,非自立,形容動詞語幹,*,*,*,みたい,ミタイ,ミタイ,s
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,s
感じ	名詞,一般,*,*,*,*,感じ,カンジ,カンジ,s
やっ	助動詞,*,*,*,特殊・ヤ,連用タ接続,や,ヤッ,ヤッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
へー	感動詞,*,*,*,*,*,へー,ヘー,ヘー,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
おもしろかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,おもしろい,オモシロカッ,オモシロカッ,i
たん	助動詞,*,*,*,特殊・タ,基本形,たん,タン,タン,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
うん	感動詞,*,*,*,*,*,うん,ウン,ウン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
でも	接続詞,*,*,*,*,*,でも,デモ,デモ,s
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
そこ	名詞,代名詞,一般,*,*,*,そこ,ソコ,ソコ,s
行っ	動詞,自立,*,*,五段・カ行促音便,連用タ接続,行く,イッ,イッ,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
、	記号,読点,*,*,*,*,、,、,、,s
絶対	副詞,一般,*,*,*,*,絶対,ゼッタイ,ゼッタイ,s
お母さん	名詞,一般,*,*,*,*,お母さん,オカアサン,オカーサン,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
毎回	名詞,副詞可能,*,*,*,*,毎回,マイカイ,マイカイ,s
手作り	名詞,一般,*,*,*,*,手作り,テヅクリ,テズクリ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
お菓子	名詞,一般,*,*,*,*,お菓子,オカシ,オカシ,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
作っ	動詞,自立,*,*,五段・ラ行,連用タ接続,作る,ツクッ,ツクッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
くれ	動詞,非自立,*,*,一段・クレル,連用形,くれる,クレ,クレ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
、	記号,読点,*,*,*,*,、,、,、,s
うお	感動詞,*,*,*,*,*,うお,ウオ,ウオ,s
やっ	助動詞,*,*,*,特殊・ヤ,連用タ接続,や,ヤッ,ヤッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
わ	助詞,終助詞,*,*,*,*,わ,ワ,ワ,s
、	記号,読点,*,*,*,*,、,、,、,s
みたい	名詞,非自立,形容動詞語幹,*,*,*,みたい,ミタイ,ミタイ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
最初	名詞,副詞可能,*,*,*,*,最初,サイショ,サイショ,s
行っ	動詞,自立,*,*,五段・カ行促音便,連用タ接続,行く,イッ,イッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
日	名詞,非自立,副詞可能,*,*,*,日,ヒ,ヒ,s
、	記号,読点,*,*,*,*,、,、,、,s
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
子	名詞,一般,*,*,*,*,子,コ,コ,s
真由	名詞,固有名詞,人名,名,*,*,真由,マユ,マユ,s
ちゃん	名詞,接尾,人名,*,*,*,ちゃん,チャン,チャン,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,イウ,ユー,s
ねん	助詞,終助詞,*,*,*,*,ねん,ネン,ネン,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
真由	名詞,固有名詞,人名,名,*,*,真由,マユ,マユ,s
ちゃん	名詞,接尾,人名,*,*,*,ちゃん,チャン,チャン,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
部屋	名詞,一般,*,*,*,*,部屋,ヘヤ,ヘヤ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
時計	名詞,一般,*,*,*,*,時計,トケイ,トケイ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
実は	副詞,一般,*,*,*,*,実は,ジツハ,ジツワ,s
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
五分	名詞,一般,*,*,*,*,五分,ゴブ,ゴブ,s
ぐらい	助詞,副助詞,*,*,*,*,ぐらい,グライ,グライ,s
早かっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,早い,ハヤカッ,ハヤカッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,イウ,ユー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
なん	名詞,代名詞,一般,*,*,*,なん,ナン,ナン,s
、	記号,読点,*,*,*,*,、,、,、,s
自分	名詞,一般,*,*,*,*,自分,ジブン,ジブン,s
チェック	名詞,一般,*,*,*,*,チェック,チェック,チェック,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
へんかっ	助動詞,*,*,*,特殊・ナイ,連用タ接続,へん,ヘンカッ,ヘンカッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
、	記号,読点,*,*,*,*,、,、,、,s
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
終わり	動詞,自立,*,*,五段・ラ行,連用形,終わる,オワリ,オワリ,s
や	助詞,終助詞,*,*,*,*,や,ヤ,ヤ,s
と	助詞,格助詞,一般,*,*,*,と,ト,ト,s
思っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,思う,オモッ,オモッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
あのー	フィラー,*,*,*,*,*,あのー,アノー,アノー,s
終わり	動詞,自立,*,*,五段・ラ行,連用形,終わる,オワリ,オワリ,s
まし	助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
台所	名詞,一般,*,*,*,*,台所,ダイドコロ,ダイドコロ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
行っ	動詞,自立,*,*,五段・カ行促音便,連用タ接続,行く,イッ,イッ,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
お母さん	名詞,一般,*,*,*,*,お母さん,オカアサン,オカーサン,s
めっちゃ	副詞,一般,*,*,*,*,めっちゃ,メッチャ,メッチャ,s
揚げ物	名詞,一般,*,*,*,*,揚げ物,アゲモノ,アゲモノ,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
とっ	動詞,非自立,*,*,五段・ラ行,連用タ接続・縮約形,て＋おる,トッ,トッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
たぶん	副詞,一般,*,*,*,*,たぶん,タブン,タブン,s
なんか	助詞,副助詞,*,*,*,*,なんか,ナンカ,ナンカ,s
、	記号,読点,*,*,*,*,、,、,、,s
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
、	記号,読点,*,*,*,*,、,、,、,s
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
作っ	動詞,自立,*,*,五段・ラ行,連用タ接続,作る,ツクッ,ツクッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
くれ	動詞,非自立,*,*,一段・クレル,連用形,くれる,クレ,クレ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
