普通	名詞,形容動詞語幹,*,*,*,*,普通,フツウ,フツー,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
わ	助詞,終助詞,*,*,*,*,わ,ワ,ワ,s
、	記号,読点,*,*,*,*,、,、,、,s
一部	名詞,副詞可能,*,*,*,*,一部,イチブ,イチブ,s
上場	名詞,サ変接続,*,*,*,*,上場,ジョウジョウ,ジョージョー,s
ゆう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,いう,ユウ,ユー,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
おっきい	形容詞,自立,*,*,形容詞・イ段,基本形,おっきい,オッキイ,オッキイ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
思	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,思う,オモ,オモ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
でも	接続詞,*,*,*,*,*,でも,デモ,デモ,s
従業	名詞,サ変接続,*,*,*,*,従業,ジュウギョウ,ジューギョー,s
員	名詞,接尾,一般,*,*,*,員,イン,イン,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
八	名詞,数,*,*,*,*,八,ハチ,ハチ,s
百	名詞,数,*,*,*,*,百,ヒャク,ヒャク,s
人	名詞,接尾,助数詞,*,*,*,人,ニン,ニン,s
くらい	助詞,副助詞,*,*,*,*,くらい,クライ,クライ,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
、	記号,読点,*,*,*,*,、,、,、,s
本社	名詞,一般,*,*,*,*,本社,ホンシャ,ホンシャ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
姫路	名詞,固有名詞,地域,一般,*,*,姫路,ヒメジ,ヒメジ,s
やっ	助動詞,*,*,*,特殊・ヤ,連用タ接続,や,ヤッ,ヤッ,s
たん	助動詞,*,*,*,特殊・タ,基本形,たん,タン,タン,s
よ	助詞,終助詞,*,*,*,*,よ,ヨ,ヨ,s
、	記号,読点,*,*,*,*,、,、,、,s
本社	名詞,一般,*,*,*,*,本社,ホンシャ,ホンシャ,s
姫路	名詞,固有名詞,一般,*,*,*,姫路,ヒメジ,ヒメジ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
し	助詞,接続助詞,*,*,*,*,し,シ,シ,s
、	記号,読点,*,*,*,*,、,、,、,s
一部	名詞,副詞可能,*,*,*,*,一部,イチブ,イチブ,s
上場	名詞,サ変接続,*,*,*,*,上場,ジョウジョウ,ジョージョー,s
いう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,いう,ユウ,ユー,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
ええ	形容詞,自立,*,*,形容詞・イイ,基本形,いい,エエ,エー,s
やん	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤン,ヤン,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
一部	名詞,副詞可能,*,*,*,*,一部,イチブ,イチブ,s
上場	名詞,サ変接続,*,*,*,*,上場,ジョウジョウ,ジョージョー,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
で	助詞,終助詞,*,*,*,*,で,デ,デ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
、	記号,読点,*,*,*,*,、,、,、,s
大	接頭詞,名詞接続,*,*,*,*,大,ダイ,ダイ,s
企業	名詞,一般,*,*,*,*,企業,キギョウ,キギョー,s
やん	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤン,ヤン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
でー	助詞,終助詞,*,*,*,*,で,デー,デー,s
、	記号,読点,*,*,*,*,、,、,、,s
業種	名詞,一般,*,*,*,*,業種,ギョウシュ,ギョーシュ,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
鉄鋼	名詞,一般,*,*,*,*,鉄鋼,テッコウ,テッコー,s
やっ	助動詞,*,*,*,特殊・ヤ,連用タ接続,や,ヤッ,ヤッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
、	記号,読点,*,*,*,*,、,、,、,s
鉄鋼	名詞,一般,*,*,*,*,鉄鋼,テッコウ,テッコー,s
やっ	助動詞,*,*,*,特殊・ヤ,連用タ接続,や,ヤッ,ヤッ,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
俺	名詞,代名詞,一般,*,*,*,俺,オレ,オレ,s
頭	名詞,接尾,助数詞,*,*,*,頭,トウ,トー,s
悪い	形容詞,自立,*,*,形容詞・アウオ段,基本形,悪い,ワルイ,ワルイ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
鉄	名詞,一般,*,*,*,*,鉄,テツ,テツ,s
くらい	助詞,副助詞,*,*,*,*,くらい,クライ,クライ,s
やっ	助動詞,*,*,*,特殊・ヤ,連用タ接続,や,ヤッ,ヤッ,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
できる	動詞,自立,*,*,一段,基本形,できる,デキル,デキル,s
やろ	助動詞,*,*,*,特殊・ヤ,未然形,や,ヤロ,ヤロ,s
言う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,言う,ユウ,ユー,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
コンピュータ	名詞,一般,*,*,*,*,コンピュータ,コンピュータ,コンピュータ,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
あんな	連体詞,*,*,*,*,*,あんな,アンナ,アンナ,s
もん	名詞,非自立,一般,*,*,*,もん,モン,モン,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
全然	副詞,助詞類接続,*,*,*,*,全然,ゼンゼン,ゼンゼン,s
わけ	名詞,非自立,一般,*,*,*,わけ,ワケ,ワケ,s
わから	動詞,自立,*,*,五段・ラ行,未然形,わかる,ワカラ,ワカラ,s
ん	助動詞,*,*,*,特殊・ナイ,基本形,ん,ン,ン,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
、	記号,読点,*,*,*,*,、,、,、,s
鉄	名詞,一般,*,*,*,*,鉄,テツ,テツ,s
くらい	助詞,副助詞,*,*,*,*,くらい,クライ,クライ,s
やっ	助動詞,*,*,*,特殊・ヤ,連用タ接続,や,ヤッ,ヤッ,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
溶かし	動詞,自立,*,*,五段・サ行,連用形,溶かす,トカシ,トカシ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
固める	動詞,自立,*,*,一段,基本形,固める,カタメル,カタメル,s
だけ	助詞,副助詞,*,*,*,*,だけ,ダケ,ダケ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
、	記号,読点,*,*,*,*,、,、,、,s
できる	動詞,自立,*,*,一段,基本形,できる,デキル,デキル,s
やろ	助動詞,*,*,*,特殊・ヤ,未然形,や,ヤロ,ヤロ,s
う	助動詞,*,*,*,不変化型,基本形,う,ウ,ウ,s
思	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,思う,オモ,オモ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
やっ	動詞,自立,*,*,五段・ラ行,連用タ接続,やる,ヤッ,ヤッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
へー	感動詞,*,*,*,*,*,へー,ヘー,ヘー,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
じゃ	接続詞,*,*,*,*,*,じゃ,ジャ,ジャ,i
、	記号,読点,*,*,*,*,、,、,、,i
最初	名詞,副詞可能,*,*,*,*,最初,サイショ,サイショ,i
入っ	動詞,自立,*,*,五段・ラ行,連用タ接続,入る,ハイッ,ハイッ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
とき	名詞,非自立,副詞可能,*,*,*,とき,トキ,トキ,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
どんな	連体詞,*,*,*,*,*,どんな,ドンナ,ドンナ,i
感じ	名詞,一般,*,*,*,*,感じ,カンジ,カンジ,i
やっ	助動詞,*,*,*,特殊・ヤ,連用タ接続,や,ヤッ,ヤッ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
仕事	名詞,サ変接続,*,*,*,*,仕事,シゴト,シゴト,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
仕事	名詞,サ変接続,*,*,*,*,仕事,シゴト,シゴト,s
最初	名詞,副詞可能,*,*,*,*,最初,サイショ,サイショ,s
入っ	動詞,自立,*,*,五段・ラ行,連用タ接続,入る,ハイッ,ハイッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
とき	名詞,非自立,副詞可能,*,*,*,とき,トキ,トキ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
、	記号,読点,*,*,*,*,、,、,、,s
あの	フィラー,*,*,*,*,*,あの,アノ,アノ,s
なあ	助詞,終助詞,*,*,*,*,なあ,ナア,ナー,s
、	記号,読点,*,*,*,*,、,、,、,s
んー	フィラー,*,*,*,*,*,んー,ンー,ンー,s
、	記号,読点,*,*,*,*,、,、,、,s
なん	名詞,代名詞,一般,*,*,*,なん,ナン,ナン,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
、	記号,読点,*,*,*,*,、,、,、,s
あの	フィラー,*,*,*,*,*,あの,アノ,アノ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
、	記号,読点,*,*,*,*,、,、,、,s
なん	名詞,代名詞,一般,*,*,*,なん,ナン,ナン,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
あの	連体詞,*,*,*,*,*,あの,アノ,アノ,s
研修	名詞,サ変接続,*,*,*,*,研修,ケンシュウ,ケンシュー,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
自衛隊	名詞,固有名詞,組織,*,*,*,自衛隊,ジエイタイ,ジエイタイ,s
研修	名詞,サ変接続,*,*,*,*,研修,ケンシュウ,ケンシュー,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
一	名詞,数,*,*,*,*,一,イチ,イチ,s
週間	名詞,接尾,助数詞,*,*,*,週間,シュウカン,シューカン,s
くらい	助詞,副助詞,*,*,*,*,くらい,クライ,クライ,s
行っ	動詞,自立,*,*,五段・カ行促音便,連用タ接続,行く,イッ,イッ,s
たり	助詞,並立助詞,*,*,*,*,たり,タリ,タリ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
自衛隊	名詞,固有名詞,組織,*,*,*,自衛隊,ジエイタイ,ジエイタイ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
自衛隊	名詞,固有名詞,組織,*,*,*,自衛隊,ジエイタイ,ジエイタイ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
、	記号,読点,*,*,*,*,、,、,、,s
研修	名詞,サ変接続,*,*,*,*,研修,ケンシュウ,ケンシュー,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
、	記号,読点,*,*,*,*,、,、,、,s
あと	名詞,一般,*,*,*,*,あと,アト,アト,s
身体	名詞,一般,*,*,*,*,身体,カラダ,カラダ,s
障がい者	名詞,一般,*,*,*,*,障がい者,障ガイ者,障ガイ者,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
施設	名詞,サ変接続,*,*,*,*,施設,シセツ,シセツ,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
一	名詞,数,*,*,*,*,一,イチ,イチ,s
か月	名詞,接尾,助数詞,*,*,*,か月,カゲツ,カゲツ,s
くらい	助詞,副助詞,*,*,*,*,くらい,クライ,クライ,s
行っ	動詞,自立,*,*,五段・カ行促音便,連用タ接続,行く,イッ,イッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
、	記号,読点,*,*,*,*,、,、,、,s
毎日	名詞,副詞可能,*,*,*,*,毎日,マイニチ,マイニチ,s
通う	動詞,自立,*,*,五段・ワ行促音便,基本形,通う,カヨウ,カヨウ,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
、	記号,読点,*,*,*,*,、,、,、,s
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
相手	名詞,一般,*,*,*,*,相手,アイテ,アイテ,s
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル,s
やん	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤン,ヤン,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
一緒	名詞,サ変接続,*,*,*,*,一緒,イッショ,イッショ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
こう	副詞,助詞類接続,*,*,*,*,こう,コウ,コー,s
身体	名詞,一般,*,*,*,*,身体,カラダ,カラダ,s
障がい者	名詞,一般,*,*,*,*,障がい者,障ガイ者,障ガイ者,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
人	名詞,一般,*,*,*,*,人,ヒト,ヒト,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
一生懸命	名詞,副詞可能,*,*,*,*,一生懸命,イッショウケンメイ,イッショーケンメイ,s
働き	動詞,自立,*,*,五段・カ行イ音便,連用形,働く,ハタラキ,ハタラキ,s
よる	動詞,非自立,*,*,五段・ラ行,基本形,よる,ヨル,ヨル,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
、	記号,読点,*,*,*,*,、,、,、,s
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
二十歳	名詞,一般,*,*,*,*,二十歳,ハタチ,ハタチ,s
過ぎ	動詞,自立,*,*,一段,連用形,過ぎる,スギ,スギ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
よう	名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー,s
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,s
人	名詞,一般,*,*,*,*,人,ヒト,ヒト,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
行き	動詞,自立,*,*,五段・カ行促音便,連用形,行く,イキ,イキ,s
よう	動詞,非自立,*,*,五段・ラ行ウ音便,連用タ接続,よる,ヨウ,ヨー,s
とこ	名詞,一般,*,*,*,*,とこ,トコ,トコ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
、	記号,読点,*,*,*,*,、,、,、,s
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
できる	動詞,自立,*,*,一段,基本形,できる,デキル,デキル,s
よう	名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー,s
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,s
こと	名詞,非自立,一般,*,*,*,こと,コト,コト,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
一緒	名詞,サ変接続,*,*,*,*,一緒,イッショ,イッショ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
働き	動詞,自立,*,*,五段・カ行イ音便,連用形,働く,ハタラキ,ハタラキ,s
よる	動詞,非自立,*,*,五段・ラ行,基本形,よる,ヨル,ヨル,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
、	記号,読点,*,*,*,*,、,、,、,s
一緒	名詞,サ変接続,*,*,*,*,一緒,イッショ,イッショ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
なっ	動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
こう	副詞,助詞類接続,*,*,*,*,こう,コウ,コー,s
会話	名詞,サ変接続,*,*,*,*,会話,カイワ,カイワ,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
たり	助詞,並立助詞,*,*,*,*,たり,タリ,タリ,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
よっ	動詞,非自立,*,*,五段・ラ行,連用タ接続,よる,ヨッ,ヨッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ま	感動詞,*,*,*,*,*,ま,マ,マ,s
、	記号,読点,*,*,*,*,、,、,、,s
それ	名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
、	記号,読点,*,*,*,*,、,、,、,s
まあ	副詞,一般,*,*,*,*,まあ,マア,マー,s
、	記号,読点,*,*,*,*,、,、,、,s
研修	名詞,サ変接続,*,*,*,*,研修,ケンシュウ,ケンシュー,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
で	助詞,接続助詞,*,*,*,*,で,デ,デ,s
ええ	形容詞,自立,*,*,形容詞・イイ,基本形,いい,エエ,エー,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
、	記号,読点,*,*,*,*,、,、,、,s
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
あと	名詞,一般,*,*,*,*,あと,アト,アト,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
、	記号,読点,*,*,*,*,、,、,、,s
せ	副詞,助詞類接続・短音化,*,*,*,*,そう,セ,セ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
、	記号,読点,*,*,*,*,、,、,、,s
今	名詞,副詞可能,*,*,*,*,今,イマ,イマ,s
思っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,思う,オモッ,オモッ,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
配属	名詞,サ変接続,*,*,*,*,配属,ハイゾク,ハイゾク,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
なっ	動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
あ	感動詞,*,*,*,*,*,あ,ア,ア,s
、	記号,読点,*,*,*,*,、,、,、,s
でも	接続詞,*,*,*,*,*,でも,デモ,デモ,s
、	記号,読点,*,*,*,*,、,、,、,s
つまら	動詞,自立,*,*,五段・ラ行,未然形,つまる,ツマラ,ツマラ,s
ん	助動詞,*,*,*,特殊・ナイ,基本形,ん,ン,ン,s
仕事	名詞,サ変接続,*,*,*,*,仕事,シゴト,シゴト,s
しか	助詞,係助詞,*,*,*,*,しか,シカ,シカ,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
なかっ	助動詞,*,*,*,特殊・ナイ,連用タ接続,ない,ナカッ,ナカッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
、	記号,読点,*,*,*,*,、,、,、,s
最初	名詞,一般,*,*,*,*,最初,サイショ,サイショ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
なんどい	感動詞,*,*,*,*,*,なんどい,ナンドイ,ナンドイ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
こんな	連体詞,*,*,*,*,*,こんな,コンナ,コンナ,s
楽勝	名詞,サ変接続,*,*,*,*,楽勝,ラクショウ,ラクショー,s
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
かい	助詞,終助詞,*,*,*,*,かい,カイ,カイ,s
、	記号,読点,*,*,*,*,、,、,、,s
思っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,思う,オモッ,オモッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
、	記号,読点,*,*,*,*,、,、,、,s
楽勝	名詞,サ変接続,*,*,*,*,楽勝,ラクショウ,ラクショー,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
で	助詞,終助詞,*,*,*,*,で,デ,デ,s
、	記号,読点,*,*,*,*,、,、,、,s
初め	名詞,非自立,副詞可能,*,*,*,初め,ハジメ,ハジメ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
うち	名詞,代名詞,一般,*,*,*,うち,ウチ,ウチ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
、	記号,読点,*,*,*,*,、,、,、,s
やっぱり	副詞,一般,*,*,*,*,やっぱり,ヤッパリ,ヤッパリ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
そんなに	副詞,一般,*,*,*,*,そんなに,ソンナニ,ソンナニ,s
急	名詞,一般,*,*,*,*,急,キュウ,キュー,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
あれこれ	名詞,代名詞,一般,*,*,*,あれこれ,アレコレ,アレコレ,s
やれ	動詞,自立,*,*,五段・ラ行,命令ｅ,やる,ヤレ,ヤレ,s
、	記号,読点,*,*,*,*,、,、,、,s
