はい	感動詞,*,*,*,*,*,はい,ハイ,ハイ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
で	接続詞,*,*,*,*,*,で,デ,デ,s
、	記号,読点,*,*,*,*,、,、,、,s
高校	名詞,一般,*,*,*,*,高校,コウコウ,コーコー,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
2	名詞,数,*,*,*,*,*,*,*,s
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン,s
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,s
、	記号,読点,*,*,*,*,、,、,、,s
2	名詞,数,*,*,*,*,*,*,*,s
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン,s
行っ	動詞,自立,*,*,五段・カ行促音便,連用タ接続,行く,イッ,イッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
退学	名詞,サ変接続,*,*,*,*,退学,タイガク,タイガク,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
で	接続詞,*,*,*,*,*,で,デ,デ,s
、	記号,読点,*,*,*,*,、,、,、,s
それから	接続詞,*,*,*,*,*,それから,ソレカラ,ソレカラ,s
ずっと	副詞,一般,*,*,*,*,ずっと,ズット,ズット,s
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
仕事	名詞,サ変接続,*,*,*,*,仕事,シゴト,シゴト,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
方	名詞,非自立,一般,*,*,*,方,ホウ,ホー,s
一	名詞,数,*,*,*,*,一,イチ,イチ,s
本	名詞,接尾,助数詞,*,*,*,本,ホン,ホン,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
頑張っ	動詞,自立,*,*,五段・ラ行,連用タ接続,頑張る,ガンバッ,ガンバッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
まし	助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,i
お	接頭詞,名詞接続,*,*,*,*,お,オ,オ,i
仕事	名詞,サ変接続,*,*,*,*,仕事,シゴト,シゴト,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
今	名詞,副詞可能,*,*,*,*,今,イマ,イマ,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
どんな	連体詞,*,*,*,*,*,どんな,ドンナ,ドンナ,i
お	接頭詞,名詞接続,*,*,*,*,お,オ,オ,i
仕事	名詞,サ変接続,*,*,*,*,仕事,シゴト,シゴト,i
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,i
さ	動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ,i
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
る	動詞,非自立,*,*,一段,基本形,る,ル,ル,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,i
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
今	名詞,副詞可能,*,*,*,*,今,イマ,イマ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
トラック	名詞,一般,*,*,*,*,トラック,トラック,トラック,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
ドライバー	名詞,一般,*,*,*,*,ドライバー,ドライバー,ドライバー,s
やっ	動詞,自立,*,*,五段・ラ行,連用タ接続,やる,ヤッ,ヤッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
じゃあ	接続詞,*,*,*,*,*,じゃあ,ジャア,ジャー,i
、	記号,読点,*,*,*,*,、,、,、,i
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,i
トラック	名詞,一般,*,*,*,*,トラック,トラック,トラック,i
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,i
、	記号,読点,*,*,*,*,、,、,、,i
あの	フィラー,*,*,*,*,*,あの,アノ,アノ,i
、	記号,読点,*,*,*,*,、,、,、,i
仕事	名詞,サ変接続,*,*,*,*,仕事,シゴト,シゴト,i
で	助詞,格助詞,一般,*,*,*,で,デ,デ,i
どこ	名詞,代名詞,一般,*,*,*,どこ,ドコ,ドコ,i
ぐらい	助詞,副助詞,*,*,*,*,ぐらい,グライ,グライ,i
まで	助詞,副助詞,*,*,*,*,まで,マデ,マデ,i
行く	動詞,自立,*,*,五段・カ行促音便,基本形,行く,イク,イク,i
ん	助詞,終助詞,*,*,*,*,ん,ン,ン,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
近畿	名詞,固有名詞,地域,一般,*,*,近畿,キンキ,キンキ,s
一円	名詞,一般,*,*,*,*,一円,イチエン,イチエン,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
行く	動詞,自立,*,*,五段・カ行促音便,基本形,行く,イク,イク,s
し	助詞,接続助詞,*,*,*,*,し,シ,シ,s
、	記号,読点,*,*,*,*,、,、,、,s
遠かっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,遠い,トオカッ,トーカッ,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
九州	名詞,固有名詞,地域,一般,*,*,九州,キュウシュウ,キューシュー,s
、	記号,読点,*,*,*,*,、,、,、,s
名古屋	名詞,固有名詞,地域,一般,*,*,名古屋,ナゴヤ,ナゴヤ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
へえ	感動詞,*,*,*,*,*,へえ,ヘエ,ヘー,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
え	感動詞,*,*,*,*,*,え,エ,エ,i
、	記号,読点,*,*,*,*,、,、,、,i
じゃあ	接続詞,*,*,*,*,*,じゃあ,ジャア,ジャー,i
九州	名詞,固有名詞,地域,一般,*,*,九州,キュウシュウ,キューシュー,i
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,i
行く	動詞,自立,*,*,五段・カ行促音便,基本形,行く,イク,イク,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
だっ	助動詞,*,*,*,特殊・ダ,連用タ接続,だ,ダッ,ダッ,i
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,i
どれ	名詞,代名詞,一般,*,*,*,どれ,ドレ,ドレ,i
ぐらい	助詞,副助詞,*,*,*,*,ぐらい,グライ,グライ,i
時間	名詞,副詞可能,*,*,*,*,時間,ジカン,ジカン,i
かかる	動詞,自立,*,*,五段・ラ行,基本形,かかる,カカル,カカル,i
ん	助詞,終助詞,*,*,*,*,ん,ン,ン,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
大体	副詞,一般,*,*,*,*,大体,ダイタイ,ダイタイ,s
、	記号,読点,*,*,*,*,、,、,、,s
高速	名詞,一般,*,*,*,*,高速,コウソク,コーソク,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
やっ	助動詞,*,*,*,特殊・ヤ,連用タ接続,や,ヤッ,ヤッ,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
5	名詞,数,*,*,*,*,*,*,*,s
時間	名詞,接尾,助数詞,*,*,*,時間,ジカン,ジカン,s
7	名詞,数,*,*,*,*,*,*,*,s
時間	名詞,接尾,助数詞,*,*,*,時間,ジカン,ジカン,s
ぐらい	助詞,副助詞,*,*,*,*,ぐらい,グライ,グライ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
へえー	感動詞,*,*,*,*,*,へえー,ヘエー,ヘー,i
、	記号,読点,*,*,*,*,、,、,、,i
眠く	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,眠い,ネムク,ネムク,i
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,i
ん	助詞,終助詞,*,*,*,*,ん,ン,ン,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
眠たい	形容詞,自立,*,*,形容詞・アウオ段,基本形,眠たい,ネムタイ,ネムタイ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
眠たい	形容詞,自立,*,*,形容詞・アウオ段,基本形,眠たい,ネムタイ,ネムタイ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,i
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
やー	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤア,ヤー,i
、	記号,読点,*,*,*,*,、,、,、,i
え	感動詞,*,*,*,*,*,え,エ,エ,i
、	記号,読点,*,*,*,*,、,、,、,i
じゃあ	接続詞,*,*,*,*,*,じゃあ,ジャア,ジャー,i
、	記号,読点,*,*,*,*,、,、,、,i
トラック	名詞,一般,*,*,*,*,トラック,トラック,トラック,i
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,i
運転	名詞,サ変接続,*,*,*,*,運転,ウンテン,ウンテン,i
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
大変	名詞,形容動詞語幹,*,*,*,*,大変,タイヘン,タイヘン,i
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,i
こと	名詞,非自立,一般,*,*,*,こと,コト,コト,i
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,i
何	名詞,代名詞,一般,*,*,*,何,ナニ,ナニ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
大変	名詞,形容動詞語幹,*,*,*,*,大変,タイヘン,タイヘン,s
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,s
こと	名詞,非自立,一般,*,*,*,こと,コト,コト,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
、	記号,読点,*,*,*,*,、,、,、,s
そのー	フィラー,*,*,*,*,*,そのー,ソノー,ソノー,s
、	記号,読点,*,*,*,*,、,、,、,s
荷物	名詞,一般,*,*,*,*,荷物,ニモツ,ニモツ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
キッチン	名詞,一般,*,*,*,*,キッチン,キッチン,キッチン,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
、	記号,読点,*,*,*,*,、,、,、,s
キッチン	名詞,一般,*,*,*,*,キッチン,キッチン,キッチン,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
家	名詞,一般,*,*,*,*,家,イエ,イエ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
中	名詞,非自立,副詞可能,*,*,*,中,ナカ,ナカ,s
まで	助詞,副助詞,*,*,*,*,まで,マデ,マデ,s
搬入	名詞,サ変接続,*,*,*,*,搬入,ハンニュウ,ハンニュー,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,イウ,イウ,s
の	名詞,非自立,一般,*,*,*,の,ノ,ノ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
めんどくさい	形容詞,自立,*,*,形容詞・アウオ段,基本形,めんどくさい,メンドクサイ,メンドクサイ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
あー	フィラー,*,*,*,*,*,あー,アー,アー,i
、	記号,読点,*,*,*,*,、,、,、,i
それ	名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
セッティング	名詞,一般,*,*,*,*,セッティング,セッティング,セッティング,i
も	助詞,係助詞,*,*,*,*,も,モ,モ,i
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
あげる	動詞,非自立,*,*,一段,基本形,あげる,アゲル,アゲル,i
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,i
こと	名詞,非自立,一般,*,*,*,こと,コト,コト,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
ううん	感動詞,*,*,*,*,*,ううん,ウウン,ウーン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
セッティング	名詞,一般,*,*,*,*,セッティング,セッティング,セッティング,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
せえ	動詞,自立,*,*,サ変・スル,未然形・長音化,する,セエ,セー,s
へん	助動詞,*,*,*,特殊・ナイ,基本形,へん,ヘン,ヘン,s
ねん	助詞,終助詞,*,*,*,*,ねん,ネン,ネン,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
、	記号,読点,*,*,*,*,、,、,、,s
その	フィラー,*,*,*,*,*,その,ソノ,ソノ,s
、	記号,読点,*,*,*,*,、,、,、,s
ゆう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,いう,ユウ,ユー,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
台所	名詞,一般,*,*,*,*,台所,ダイドコロ,ダイドコロ,s
付近	名詞,接尾,一般,*,*,*,付近,フキン,フキン,s
まで	助詞,副助詞,*,*,*,*,まで,マデ,マデ,s
持っ	動詞,自立,*,*,五段・タ行,連用タ接続,持つ,モッ,モッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
行っ	動詞,非自立,*,*,五段・カ行促音便,連用タ接続,行く,イッ,イッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,s
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
それ	名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
納品	名詞,サ変接続,*,*,*,*,納品,ノウヒン,ノーヒン,s
て	助詞,格助詞,引用,*,*,*,て,テ,テ,s
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,イウ,イウ,s
形	名詞,一般,*,*,*,*,形,カタチ,カタチ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
スタイル	名詞,一般,*,*,*,*,スタイル,スタイル,スタイル,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
、	記号,読点,*,*,*,*,、,、,、,s
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,s
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
え	感動詞,*,*,*,*,*,え,エ,エ,i
、	記号,読点,*,*,*,*,、,、,、,i
じゃあ	接続詞,*,*,*,*,*,じゃあ,ジャア,ジャー,i
今まで	副詞,一般,*,*,*,*,今まで,イママデ,イママデ,i
、	記号,読点,*,*,*,*,、,、,、,i
こう	副詞,助詞類接続,*,*,*,*,こう,コウ,コー,i
個性	名詞,一般,*,*,*,*,個性,コセイ,コセイ,i
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ,i
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,i
家	名詞,一般,*,*,*,*,家,イエ,イエ,i
と	助詞,格助詞,一般,*,*,*,と,ト,ト,i
ゆう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,イウ,イウ,i
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,i
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,i
印象	名詞,一般,*,*,*,*,印象,インショウ,インショー,i
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ,i
やっ	助動詞,*,*,*,特殊・ヤ,連用タ接続,や,ヤッ,ヤッ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
搬入	名詞,サ変接続,*,*,*,*,搬入,ハンニュウ,ハンニュー,i
納入	名詞,サ変接続,*,*,*,*,納入,ノウニュウ,ノーニュー,i
作業	名詞,サ変接続,*,*,*,*,作業,サギョウ,サギョー,i
みたい	名詞,非自立,形容動詞語幹,*,*,*,みたい,ミタイ,ミタイ,i
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,i
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
んー	フィラー,*,*,*,*,*,んー,ンー,ンー,s
、	記号,読点,*,*,*,*,、,、,、,s
まず	副詞,一般,*,*,*,*,まず,マズ,マズ,s
荷物	名詞,一般,*,*,*,*,荷物,ニモツ,ニモツ,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
入れる	動詞,自立,*,*,一段,基本形,入れる,イレル,イレル,s
と	助詞,接続助詞,*,*,*,*,と,ト,ト,s
仮定	名詞,サ変接続,*,*,*,*,仮定,カテイ,カテイ,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
家	名詞,一般,*,*,*,*,家,イエ,イエ,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
建て	動詞,自立,*,*,一段,連用形,建てる,タテ,タテ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,s
家	名詞,一般,*,*,*,*,家,イエ,イエ,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
玄関	名詞,一般,*,*,*,*,玄関,ゲンカン,ゲンカン,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
めちゃくちゃ	副詞,一般,*,*,*,*,めちゃくちゃ,メチャクチャ,メチャクチャ,s
狭かっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,狭い,セマカッ,セマカッ,s
たり	助詞,並立助詞,*,*,*,*,たり,タリ,タリ,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
こうゆう	連体詞,*,*,*,*,*,こうゆう,コウユウ,コーユウ,s
廊下	名詞,一般,*,*,*,*,廊下,ロウカ,ローカ,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
こう	副詞,助詞類接続,*,*,*,*,こう,コウ,コー,s
部屋	名詞,一般,*,*,*,*,部屋,ヘヤ,ヘヤ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
入る	動詞,自立,*,*,五段・ラ行,基本形,入る,ハイル,ハイル,s
とこ	名詞,一般,*,*,*,*,とこ,トコ,トコ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
やたら	副詞,助詞類接続,*,*,*,*,やたら,ヤタラ,ヤタラ,s
狭い	形容詞,自立,*,*,形容詞・アウオ段,基本形,狭い,セマイ,セマイ,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
そういう	連体詞,*,*,*,*,*,そういう,ソウイウ,ソーユウ,s
の	名詞,非自立,一般,*,*,*,の,ノ,ノ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
たまに	副詞,一般,*,*,*,*,たまに,タマニ,タマニ,s
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
キッチン	名詞,一般,*,*,*,*,キッチン,キッチン,キッチン,i
入れる	動詞,自立,*,*,一段,基本形,入れる,イレル,イレル,i
気	名詞,非自立,一般,*,*,*,気,キ,キ,i
ない	形容詞,自立,*,*,形容詞・アウオ段,基本形,ない,ナイ,ナイ,i
やろ	助動詞,*,*,*,特殊・ヤ,未然形,や,ヤロ,ヤロ,i
みたい	名詞,非自立,形容動詞語幹,*,*,*,みたい,ミタイ,ミタイ,i
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,s
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,s
、	記号,読点,*,*,*,*,、,、,、,s
荷物	名詞,一般,*,*,*,*,荷物,ニモツ,ニモツ,s
入れる	動詞,自立,*,*,一段,基本形,入れる,イレル,イレル,s
気	名詞,非自立,一般,*,*,*,気,キ,キ,s
ない	形容詞,自立,*,*,形容詞・アウオ段,基本形,ない,ナイ,ナイ,s
やろ	助動詞,*,*,*,特殊・ヤ,未然形,や,ヤロ,ヤロ,s
みたい	名詞,非自立,形容動詞語幹,*,*,*,みたい,ミタイ,ミタイ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
こんなん	名詞,一般,副詞可能,*,*,*,こんなん,コンナン,コンナン,s
タンス	名詞,一般,*,*,*,*,タンス,タンス,タンス,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
入れ	動詞,自立,*,*,一段,未然形,入れる,イレ,イレ,s
へん	助動詞,*,*,*,特殊・ナイ,基本形,へん,ヘン,ヘン,s
や	助動詞,*,*,*,特殊・ヤ,未然形,や,ヤ,ヤ,s
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,s
