名前	名詞,一般,*,*,*,*,名前,ナマエ,ナマエ,i
住ん	動詞,自立,*,*,五段・マ行,連用タ接続,住む,スン,スン,s
どっ	動詞,非自立,*,*,五段・ラ行,連用タ接続・縮約形,て＋おる,ドッ,ドッ,s
てん	助動詞,*,*,*,特殊・タ,基本形,た,テン,テン,s
やん	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤン,ヤン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
二	名詞,数,*,*,*,*,二,ニ,ニ,s
ヶ月	名詞,接尾,助数詞,*,*,*,ヶ月,カゲツ,カゲツ,s
くらい	助詞,副助詞,*,*,*,*,くらい,クライ,クライ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
家	名詞,一般,*,*,*,*,家,イエ,イエ,i
潰れ	動詞,自立,*,*,一段,連用形,潰れる,ツブレ,ツブレ,i
たん	助動詞,*,*,*,特殊・タ,基本形,たん,タン,タン,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
潰れ	動詞,自立,*,*,一段,連用形,潰れる,ツブレ,ツブレ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
潰れ	動詞,自立,*,*,一段,連用形,潰れる,ツブレ,ツブレ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,ユウ,ユー,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
、	記号,読点,*,*,*,*,、,、,、,s
マンション	名詞,一般,*,*,*,*,マンション,マンション,マンション,s
やっ	助動詞,*,*,*,特殊・ヤ,連用タ接続,や,ヤッ,ヤッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
、	記号,読点,*,*,*,*,、,、,、,s
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
、	記号,読点,*,*,*,*,、,、,、,s
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
あれ	名詞,代名詞,一般,*,*,*,あれ,アレ,アレ,s
危ない	形容詞,自立,*,*,形容詞・アウオ段,基本形,危ない,アブナイ,アブナイ,s
し	助詞,接続助詞,*,*,*,*,し,シ,シ,s
、	記号,読点,*,*,*,*,、,、,、,s
荷物	名詞,一般,*,*,*,*,荷物,ニモツ,ニモツ,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
結構	副詞,一般,*,*,*,*,結構,ケッコウ,ケッコー,s
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
出し	動詞,自立,*,*,五段・サ行,連用形,出す,ダシ,ダシ,s
とっ	動詞,非自立,*,*,五段・ラ行,連用タ接続・縮約形,て＋おる,トッ,トッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
アメリカ	名詞,固有名詞,地域,国,*,*,アメリカ,アメリカ,アメリカ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
運ん	動詞,自立,*,*,五段・バ行,連用タ接続,運ぶ,ハコン,ハコン,s
どっ	動詞,非自立,*,*,五段・ラ行,連用タ接続・縮約形,て＋おる,ドッ,ドッ,s
てん	助動詞,*,*,*,特殊・タ,基本形,た,テン,テン,s
やん	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤン,ヤン,s
、	記号,読点,*,*,*,*,、,、,、,s
で	接続詞,*,*,*,*,*,で,デ,デ,s
ビザ	名詞,一般,*,*,*,*,ビザ,ビザ,ビザ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
取れ	動詞,自立,*,*,一段,未然形,取れる,トレ,トレ,s
んかっ	助動詞,*,*,*,特殊・ナイ,連用タ接続,ん,ンカッ,ンカッ,s
てん	助動詞,*,*,*,特殊・タ,基本形,た,テン,テン,s
、	記号,読点,*,*,*,*,、,、,、,s
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
阪神	名詞,固有名詞,地域,一般,*,*,阪神,ハンシン,ハンシン,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
震災	名詞,一般,*,*,*,*,震災,シンサイ,シンサイ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
あれ	名詞,代名詞,一般,*,*,*,あれ,アレ,アレ,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
、	記号,読点,*,*,*,*,、,、,、,s
で	接続詞,*,*,*,*,*,で,デ,デ,s
、	記号,読点,*,*,*,*,、,、,、,s
めっちゃ	副詞,一般,*,*,*,*,めっちゃ,メッチャ,メッチャ,s
時間	名詞,副詞可能,*,*,*,*,時間,ジカン,ジカン,s
かかっ	動詞,自立,*,*,五段・ラ行,連用タ接続,かかる,カカッ,カカッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
団地	名詞,一般,*,*,*,*,団地,ダンチ,ダンチ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
人	名詞,一般,*,*,*,*,人,ヒト,ヒト,s
たち	名詞,接尾,一般,*,*,*,たち,タチ,タチ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
みんな	名詞,代名詞,一般,*,*,*,みんな,ミンナ,ミンナ,s
アメリカ	名詞,固有名詞,地域,国,*,*,アメリカ,アメリカ,アメリカ,s
行っ	動詞,自立,*,*,五段・カ行促音便,連用タ接続,行く,イッ,イッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
と	助詞,格助詞,引用,*,*,*,と,ト,ト,s
思っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,思う,オモッ,オモッ,s
とっ	動詞,非自立,*,*,五段・ラ行,連用タ接続・縮約形,て＋おる,トッ,トッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
のに	助詞,接続助詞,*,*,*,*,のに,ノニ,ノニ,s
梅田	名詞,固有名詞,地域,一般,*,*,梅田,ウメダ,ウメダ,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
買い	動詞,自立,*,*,五段・ワ行促音便,連用形,買う,カイ,カイ,s
もん	名詞,非自立,一般,*,*,*,もん,モン,モン,s
行っ	動詞,自立,*,*,五段・カ行促音便,連用タ接続,行く,イッ,イッ,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
、	記号,読点,*,*,*,*,、,、,、,s
あれ	名詞,代名詞,一般,*,*,*,あれ,アレ,アレ,s
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
、	記号,読点,*,*,*,*,、,、,、,s
たまたま	副詞,一般,*,*,*,*,たまたま,タマタマ,タマタマ,s
会っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,会う,アッ,アッ,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
、	記号,読点,*,*,*,*,、,、,、,s
えっ	感動詞,*,*,*,*,*,えっ,エッ,エッ,s
谷川	名詞,一般,*,*,*,*,谷川,タニガワ,タニガワ,s
さん	名詞,接尾,人名,*,*,*,さん,サン,サン,s
どう	副詞,助詞類接続,*,*,*,*,どう,ドウ,ドー,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
たん	助動詞,*,*,*,特殊・タ,基本形,たん,タン,タン,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
みたい	名詞,非自立,形容動詞語幹,*,*,*,みたい,ミタイ,ミタイ,s
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
ゆわ	動詞,自立,*,*,五段・ワ行促音便,未然形,いう,イワ,ユワ,s
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ,s
とっ	動詞,非自立,*,*,五段・ラ行,連用タ接続・縮約形,て＋おる,トッ,トッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
らしくっ	助動詞,*,*,*,形容詞・イ段,連用テ接続,らしい,ラシクッ,ラシクッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
それで	接続詞,*,*,*,*,*,それで,ソレデ,ソレデ,s
アメリカ	名詞,固有名詞,地域,国,*,*,アメリカ,アメリカ,アメリカ,s
行っ	動詞,自立,*,*,五段・カ行促音便,連用タ接続,行く,イッ,イッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
幼稚園	名詞,一般,*,*,*,*,幼稚園,ヨウチエン,ヨーチエン,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
むこう	名詞,一般,*,*,*,*,むこう,ムコウ,ムコー,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
幼稚園	名詞,一般,*,*,*,*,幼稚園,ヨウチエン,ヨーチエン,s
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ,s
アメリカ	名詞,固有名詞,地域,国,*,*,アメリカ,アメリカ,アメリカ,s
行っ	動詞,自立,*,*,五段・カ行促音便,連用タ接続,行く,イッ,イッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
小	接頭詞,名詞接続,*,*,*,*,小,ショウ,ショー,s
、	記号,読点,*,*,*,*,、,、,、,s
幼稚園	名詞,一般,*,*,*,*,幼稚園,ヨウチエン,ヨーチエン,s
、	記号,読点,*,*,*,*,、,、,、,s
小１	名詞,一般,*,*,*,*,小１,ショウイチ,ショーイチ,s
、	記号,読点,*,*,*,*,、,、,、,s
小	接頭詞,名詞接続,*,*,*,*,小,ショウ,ショー,s
二	名詞,数,*,*,*,*,二,ニ,ニ,s
、	記号,読点,*,*,*,*,、,、,、,s
小３	名詞,一般,*,*,*,*,小３,ショウサン,ショーサン,s
と	助詞,格助詞,一般,*,*,*,と,ト,ト,s
アメリカ	名詞,固有名詞,地域,国,*,*,アメリカ,アメリカ,アメリカ,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
過ごし	動詞,自立,*,*,五段・サ行,連用形,過ごす,スゴシ,スゴシ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン,s
帰っ	動詞,自立,*,*,五段・ラ行,連用タ接続,帰る,カエッ,カエッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
き	動詞,非自立,*,*,カ変・クル,連用形,くる,キ,キ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
EOS
テネシー	名詞,固有名詞,地域,一般,*,*,テネシー,テネシー,テネシー,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
テネシー	名詞,固有名詞,地域,一般,*,*,テネシー,テネシー,テネシー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
テネシー	名詞,固有名詞,地域,一般,*,*,テネシー,テネシー,テネシー,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
バイブル	名詞,一般,*,*,*,*,バイブル,バイブル,バイブル,s
ベルト	名詞,一般,*,*,*,*,ベルト,ベルト,ベルト,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
ゆう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,ユウ,ユー,s
、	記号,読点,*,*,*,*,、,、,、,s
あの	フィラー,*,*,*,*,*,あの,アノ,アノ,s
むっちゃ	副詞,一般,*,*,*,*,むっちゃ,ムッチャ,ムッチャ,s
なん	名詞,代名詞,一般,*,*,*,なん,ナン,ナン,s
やろ	助動詞,*,*,*,特殊・ヤ,未然形,や,ヤロ,ヤロ,s
EOS
工業	名詞,一般,*,*,*,*,工業,コウギョウ,コーギョー,i
地帯	名詞,一般,*,*,*,*,地帯,チタイ,チタイ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
うん	感動詞,*,*,*,*,*,うん,ウン,ウン,s
、	記号,読点,*,*,*,*,、,、,、,s
工業	名詞,一般,*,*,*,*,工業,コウギョウ,コーギョー,s
地帯	名詞,一般,*,*,*,*,地帯,チタイ,チタイ,s
じゃ	助動詞,*,*,*,特殊・ジャ,未然形,じゃ,ジャ,ジャ,s
なくっ	助動詞,*,*,*,特殊・ナイ,連用テ接続,ない,ナクッ,ナクッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
EOS
だって	接続詞,*,*,*,*,*,だって,ダッテ,ダッテ,i
バイブル	名詞,一般,*,*,*,*,バイブル,バイブル,バイブル,i
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,i
もん	助詞,終助詞,*,*,*,*,もん,モン,モン,i
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,i
EOS
うん	感動詞,*,*,*,*,*,うん,ウン,ウン,s
、	記号,読点,*,*,*,*,、,、,、,s
あの	連体詞,*,*,*,*,*,あの,アノ,アノ,s
あれ	名詞,代名詞,一般,*,*,*,あれ,アレ,アレ,s
宗教	名詞,一般,*,*,*,*,宗教,シュウキョウ,シューキョー,s
、	記号,読点,*,*,*,*,、,、,、,s
あれ	名詞,代名詞,一般,*,*,*,あれ,アレ,アレ,s
キリスト教	名詞,一般,*,*,*,*,キリスト教,キリストキョウ,キリストキョー,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
ほんまに	副詞,一般,*,*,*,*,ほんまに,ホンマニ,ホンマニ,s
盛ん	名詞,形容動詞語幹,*,*,*,*,盛ん,サカン,サカン,s
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,s
地域	名詞,一般,*,*,*,*,地域,チイキ,チイキ,s
やっ	助動詞,*,*,*,特殊・ヤ,連用タ接続,や,ヤッ,ヤッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
EOS
タイタニック	名詞,固有名詞,一般,*,*,*,タイタニック,タイタニック,タイタニック,i
見れ	動詞,自立,*,*,一段,未然形,見れる,ミレ,ミレ,i
んかっ	助動詞,*,*,*,特殊・ナイ,連用タ接続,ん,ンカッ,ンカッ,i
たん	助動詞,*,*,*,特殊・タ,基本形,たん,タン,タン,i
け	助詞,終助詞,*,*,*,*,け,ケ,ケ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
うち	名詞,代名詞,一般,*,*,*,うち,ウチ,ウチ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
友達	名詞,一般,*,*,*,*,友達,トモダチ,トモダチ,s
、	記号,読点,*,*,*,*,、,、,、,s
タイタニック	名詞,固有名詞,一般,*,*,*,タイタニック,タイタニック,タイタニック,s
見	動詞,自立,*,*,一段,連用形,見る,ミ,ミ,s
し	動詞,接尾,*,*,五段・サ行,連用形,す,シ,シ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
もらえ	動詞,非自立,*,*,一段,連用形,もらえる,モラエ,モラエ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
なかっ	助動詞,*,*,*,特殊・ナイ,連用タ接続,ない,ナカッ,ナカッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
すごい	形容詞,自立,*,*,形容詞・アウオ段,基本形,すごい,スゴイ,スゴイ,i
なあ	助詞,終助詞,*,*,*,*,なあ,ナア,ナー,i
EOS
うち	名詞,代名詞,一般,*,*,*,うち,ウチ,ウチ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
そんなん	名詞,一般,副詞可能,*,*,*,そんなん,ソンナン,ソンナン,s
関係	名詞,サ変接続,*,*,*,*,関係,カンケイ,カンケイ,s
なかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,ない,ナカッ,ナカッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
さ	助詞,終助詞,*,*,*,*,さ,サ,サ,s
、	記号,読点,*,*,*,*,、,、,、,s
うち	名詞,代名詞,一般,*,*,*,うち,ウチ,ウチ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
友達	名詞,一般,*,*,*,*,友達,トモダチ,トモダチ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
タイタニック	名詞,固有名詞,一般,*,*,*,タイタニック,タイタニック,タイタニック,s
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ,s
、	記号,読点,*,*,*,*,、,、,、,s
