じゃ	接続詞,*,*,*,*,*,じゃ,ジャ,ジャ,i
甲東	名詞,固有名詞,地域,一般,*,*,甲東,コウトウ,コートー,s
小学校	名詞,一般,*,*,*,*,小学校,ショウガッコウ,ショーガッコー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,i
甲東	名詞,固有名詞,地域,一般,*,*,甲東,コウトウ,コートー,i
小学校	名詞,一般,*,*,*,*,小学校,ショウガッコウ,ショーガッコー,i
で	助詞,格助詞,一般,*,*,*,で,デ,デ,i
一番	名詞,副詞可能,*,*,*,*,一番,イチバン,イチバン,i
印象	名詞,一般,*,*,*,*,印象,インショウ,インショー,i
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,i
残っ	動詞,自立,*,*,五段・ラ行,連用タ接続,残る,ノコッ,ノコッ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
印象	名詞,一般,*,*,*,*,印象,インショウ,インショー,i
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,i
なん	名詞,代名詞,一般,*,*,*,なん,ナン,ナン,i
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,i
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
甲東	名詞,固有名詞,地域,一般,*,*,甲東,コウトウ,コートー,s
小学校	名詞,一般,*,*,*,*,小学校,ショウガッコウ,ショーガッコー,s
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
やろ	助動詞,*,*,*,特殊・ヤ,未然形,や,ヤロ,ヤロ,s
う	助動詞,*,*,*,不変化型,基本形,う,ウ,ウ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
まあ	フィラー,一般,*,*,*,*,まあ,マア,マー,s
一番	名詞,副詞可能,*,*,*,*,一番,イチバン,イチバン,s
印象	名詞,一般,*,*,*,*,印象,インショウ,インショー,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
残っ	動詞,自立,*,*,五段・ラ行,連用タ接続,残る,ノコッ,ノコッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
る	動詞,非自立,*,*,一段,基本形,る,ル,ル,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
なる	動詞,自立,*,*,五段・ラ行,基本形,なる,ナル,ナル,s
と	助詞,接続助詞,*,*,*,*,と,ト,ト,s
まあ	フィラー,一般,*,*,*,*,まあ,マア,マー,s
プール	名詞,一般,*,*,*,*,プール,プール,プール,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ,s
。	記号,句点,*,*,*,*,。,。,。,s？	記号,一般,*,*,*,*,？,？,？,i
EOS
どこ	名詞,代名詞,一般,*,*,*,どこ,ドコ,ドコ,i
で	助詞,格助詞,一般,*,*,*,で,デ,デ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,i
学校	名詞,一般,*,*,*,*,学校,ガッコウ,ガッコー,i
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,i
中	名詞,非自立,副詞可能,*,*,*,中,ナカ,ナカ,i
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,s
学校	名詞,一般,*,*,*,*,学校,ガッコウ,ガッコー,s
内	名詞,接尾,助数詞,*,*,*,内,ナイ,ナイ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
授業	名詞,サ変接続,*,*,*,*,授業,ジュギョウ,ジュギョー,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
プール	名詞,一般,*,*,*,*,プール,プール,プール,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
なるほど	感動詞,*,*,*,*,*,なるほど,ナルホド,ナルホド,i
ねー	助詞,終助詞,*,*,*,*,ねー,ネー,ネー,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
で	接続詞,*,*,*,*,*,で,デ,デ,i
、	記号,読点,*,*,*,*,、,、,、,i
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,i
後	名詞,副詞可能,*,*,*,*,後,アト,アト,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
