では	接続詞,*,*,*,*,*,では,デハ,デワ,i
ずっと	副詞,一般,*,*,*,*,ずっと,ズット,ズット,s
、	記号,読点,*,*,*,*,、,、,、,s
大学	名詞,一般,*,*,*,*,大学,ダイガク,ダイガク,s
行く	動詞,自立,*,*,五段・カ行促音便,基本形,行く,イク,イク,s
まで	助詞,副助詞,*,*,*,*,まで,マデ,マデ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
ずっと	副詞,一般,*,*,*,*,ずっと,ズット,ズット,s
地元	名詞,一般,*,*,*,*,地元,ジモト,ジモト,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
学校	名詞,一般,*,*,*,*,学校,ガッコウ,ガッコー,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
育っ	動詞,自立,*,*,五段・タ行,連用タ接続,育つ,ソダッ,ソダッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
まあ	フィラー,一般,*,*,*,*,まあ,マア,マー,s
子ども	名詞,一般,*,*,*,*,子ども,コドモ,コドモ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
時	名詞,非自立,副詞可能,*,*,*,時,トキ,トキ,s
やる	動詞,自立,*,*,五段・ラ行,基本形,やる,ヤル,ヤル,s
こと	名詞,非自立,一般,*,*,*,こと,コト,コト,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
言っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,言う,イッ,イッ,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
、	記号,読点,*,*,*,*,、,、,、,s
まあ	フィラー,一般,*,*,*,*,まあ,マア,マー,s
自然	名詞,形容動詞語幹,*,*,*,*,自然,シゼン,シゼン,s
しか	助詞,係助詞,*,*,*,*,しか,シカ,シカ,s
無い	助動詞,*,*,*,形容詞・イ段,基本形,無い,ナイ,ナイ,s
ので	助詞,接続助詞,*,*,*,*,ので,ノデ,ノデ,s
、	記号,読点,*,*,*,*,、,、,、,s
川	名詞,一般,*,*,*,*,川,カワ,カワ,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
泳い	動詞,自立,*,*,五段・ガ行,連用タ接続,泳ぐ,オヨイ,オヨイ,s
だり	助詞,並立助詞,*,*,*,*,だり,ダリ,ダリ,s
、	記号,読点,*,*,*,*,、,、,、,s
田んぼ	名詞,一般,*,*,*,*,田んぼ,タンボ,タンボ,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
蛙	名詞,一般,*,*,*,*,蛙,カワズ,カワズ,s
捕まえ	動詞,自立,*,*,一段,連用形,捕まえる,ツカマエ,ツカマエ,s
たり	助詞,並立助詞,*,*,*,*,たり,タリ,タリ,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
まし	助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
まあ	フィラー,一般,*,*,*,*,まあ,マア,マー,s
大学	名詞,一般,*,*,*,*,大学,ダイガク,ダイガク,s
行っ	動詞,自立,*,*,五段・カ行促音便,連用タ接続,行く,イッ,イッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
、	記号,読点,*,*,*,*,、,、,、,s
何	名詞,代名詞,一般,*,*,*,何,ナニ,ナニ,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
やろ	助動詞,*,*,*,特殊・ヤ,未然形,や,ヤロ,ヤロ,s
う	助動詞,*,*,*,不変化型,基本形,う,ウ,ウ,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
大学	名詞,一般,*,*,*,*,大学,ダイガク,ダイガク,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
時	名詞,非自立,副詞可能,*,*,*,時,トキ,トキ,s
何	名詞,代名詞,一般,*,*,*,何,ナニ,ナニ,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
まあ	フィラー,一般,*,*,*,*,まあ,マア,マー,s
大して	副詞,一般,*,*,*,*,大して,タイシテ,タイシテ,s
勉強	名詞,サ変接続,*,*,*,*,勉強,ベンキョウ,ベンキョー,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
せ	動詞,自立,*,*,サ変・スル,未然形,する,セ,セ,s
ん	助動詞,*,*,*,特殊・ナイ,基本形,ん,ン,ン,s
と	助詞,接続助詞,*,*,*,*,と,ト,ト,s
ずっと	副詞,一般,*,*,*,*,ずっと,ズット,ズット,s
遊ん	動詞,自立,*,*,五段・バ行,連用タ接続,遊ぶ,アソン,アソン,s
で	助詞,接続助詞,*,*,*,*,で,デ,デ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
、	記号,読点,*,*,*,*,、,、,、,s
で	接続詞,*,*,*,*,*,で,デ,デ,s
、	記号,読点,*,*,*,*,、,、,、,s
まあ	フィラー,一般,*,*,*,*,まあ,マア,マー,s
、	記号,読点,*,*,*,*,、,、,、,s
大学	名詞,一般,*,*,*,*,大学,ダイガク,ダイガク,s
時代	名詞,一般,*,*,*,*,時代,ジダイ,ジダイ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
結構	副詞,一般,*,*,*,*,結構,ケッコウ,ケッコー,s
海外	名詞,一般,*,*,*,*,海外,カイガイ,カイガイ,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
行く	動詞,自立,*,*,五段・カ行促音便,基本形,行く,イク,イク,s
の	名詞,非自立,一般,*,*,*,の,ノ,ノ,s
好き	名詞,形容動詞語幹,*,*,*,*,好き,スキ,スキ,s
やっ	助動詞,*,*,*,特殊・ヤ,連用タ接続,や,ヤッ,ヤッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,s
、	記号,読点,*,*,*,*,、,、,、,s
海外	名詞,一般,*,*,*,*,海外,カイガイ,カイガイ,s
旅行	名詞,サ変接続,*,*,*,*,旅行,リョコウ,リョコー,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
何	名詞,代名詞,一般,*,*,*,何,ナニ,ナニ,s
回	名詞,接尾,助数詞,*,*,*,回,カイ,カイ,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
行っ	動詞,自立,*,*,五段・カ行促音便,連用タ接続,行く,イッ,イッ,s
たり	助詞,並立助詞,*,*,*,*,たり,タリ,タリ,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
、	記号,読点,*,*,*,*,、,、,、,s
あと	名詞,一般,*,*,*,*,あと,アト,アト,s
まあ	フィラー,一般,*,*,*,*,まあ,マア,マー,s
、	記号,読点,*,*,*,*,、,、,、,s
ハワイ	名詞,固有名詞,地域,一般,*,*,ハワイ,ハワイ,ハワイ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
語学	名詞,一般,*,*,*,*,語学,ゴガク,ゴガク,s
学校	名詞,一般,*,*,*,*,学校,ガッコウ,ガッコー,s
行っ	動詞,自立,*,*,五段・カ行促音便,連用タ接続,行く,イッ,イッ,s
たり	助詞,並立助詞,*,*,*,*,たり,タリ,タリ,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
まあ	フィラー,一般,*,*,*,*,まあ,マア,マー,s
英語	名詞,一般,*,*,*,*,英語,エイゴ,エイゴ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
関学	名詞,固有名詞,組織,*,*,*,関学,カンガク,カンガク,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
言わ	動詞,自立,*,*,五段・ワ行促音便,未然形,言う,イワ,イワ,s
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
る	動詞,非自立,*,*,一段,基本形,る,ル,ル,s
ので	助詞,接続助詞,*,*,*,*,ので,ノデ,ノデ,s
、	記号,読点,*,*,*,*,、,、,、,s
英語	名詞,一般,*,*,*,*,英語,エイゴ,エイゴ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
よく	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,よい,ヨク,ヨク,s
勉強	名詞,サ変接続,*,*,*,*,勉強,ベンキョウ,ベンキョー,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
と	助詞,格助詞,一般,*,*,*,と,ト,ト,s
思い	動詞,自立,*,*,五段・ワ行促音便,連用形,思う,オモイ,オモイ,s
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
で	接続詞,*,*,*,*,*,で,デ,デ,s
、	記号,読点,*,*,*,*,、,、,、,s
まあ	フィラー,一般,*,*,*,*,まあ,マア,マー,s
就活	名詞,サ変接続,*,*,*,*,就活,シュウカツ,シューカツ,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
今	名詞,副詞可能,*,*,*,*,今,イマ,イマ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
地元	名詞,一般,*,*,*,*,地元,ジモト,ジモト,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
会社	名詞,一般,*,*,*,*,会社,カイシャ,カイシャ,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
働い	動詞,自立,*,*,五段・カ行イ音便,連用タ接続,働く,ハタライ,ハタライ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
い	動詞,非自立,*,*,一段,連用形,いる,イ,イ,s
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
なるほど	感動詞,*,*,*,*,*,なるほど,ナルホド,ナルホド,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
えっと	フィラー,*,*,*,*,*,えっと,エット,エット,i
じゃあ	接続詞,*,*,*,*,*,じゃあ,ジャア,ジャー,i
、	記号,読点,*,*,*,*,、,、,、,i
えーと	フィラー,*,*,*,*,*,えーと,エート,エート,i
、	記号,読点,*,*,*,*,、,、,、,i
お	接頭詞,名詞接続,*,*,*,*,お,オ,オ,i
仕事	名詞,サ変接続,*,*,*,*,仕事,シゴト,シゴト,i
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,i
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,i
、	記号,読点,*,*,*,*,、,、,、,i
通勤	名詞,サ変接続,*,*,*,*,通勤,ツウキン,ツーキン,i
で	助詞,格助詞,一般,*,*,*,で,デ,デ,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
どれ	名詞,代名詞,一般,*,*,*,どれ,ドレ,ドレ,i
ぐらい	助詞,副助詞,*,*,*,*,ぐらい,グライ,グライ,i
かかり	動詞,自立,*,*,五段・ラ行,連用形,かかる,カカリ,カカリ,i
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,i
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
通勤	名詞,サ変接続,*,*,*,*,通勤,ツウキン,ツーキン,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
二	名詞,数,*,*,*,*,二,ニ,ニ,s
十	名詞,数,*,*,*,*,十,ジュウ,ジュー,s
、	記号,読点,*,*,*,*,、,、,、,s
車	名詞,一般,*,*,*,*,車,クルマ,クルマ,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
二	名詞,数,*,*,*,*,二,ニ,ニ,s
十	名詞,数,*,*,*,*,十,ジュウ,ジュー,s
分	名詞,接尾,助数詞,*,*,*,分,フン,フン,s
ぐらい	助詞,副助詞,*,*,*,*,ぐらい,グライ,グライ,s
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
なるほど	感動詞,*,*,*,*,*,なるほど,ナルホド,ナルホド,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
じゃあ	接続詞,*,*,*,*,*,じゃあ,ジャア,ジャー,i
、	記号,読点,*,*,*,*,、,、,、,i
えーと	フィラー,*,*,*,*,*,えーと,エート,エート,i
、	記号,読点,*,*,*,*,、,、,、,i
茉奈	名詞,固有名詞,人名,名,*,*,茉奈,マナ,マナ,i
さん	名詞,接尾,人名,*,*,*,さん,サン,サン,i
、	記号,読点,*,*,*,*,、,、,、,i
もし	副詞,一般,*,*,*,*,もし,モシ,モシ,i
買い物	名詞,サ変接続,*,*,*,*,買い物,カイモノ,カイモノ,i
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,i
行か	動詞,自立,*,*,五段・カ行促音便,未然形,行く,イカ,イカ,i
れる	動詞,接尾,*,*,一段,基本形,れる,レル,レル,i
としたら	助詞,接続助詞,*,*,*,*,トシタラ,トシタラ,トシタラ,i
、	記号,読点,*,*,*,*,、,、,、,i
どこ	名詞,代名詞,一般,*,*,*,どこ,ドコ,ドコ,i
ぐらい	助詞,副助詞,*,*,*,*,ぐらい,グライ,グライ,i
まで	助詞,副助詞,*,*,*,*,まで,マデ,マデ,i
行か	動詞,自立,*,*,五段・カ行促音便,未然形,行く,イカ,イカ,i
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ,i
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
三宮	名詞,固有名詞,地域,一般,*,*,三宮,サンノミヤ,サンノミヤ,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
大阪	名詞,固有名詞,地域,一般,*,*,大阪,オオサカ,オーサカ,s
まで	助詞,副助詞,*,*,*,*,まで,マデ,マデ,s
行き	動詞,自立,*,*,五段・カ行促音便,連用形,行く,イキ,イキ,s
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
なるほど	感動詞,*,*,*,*,*,なるほど,ナルホド,ナルホド,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
それ	名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
、	記号,読点,*,*,*,*,、,、,、,i
えっと	フィラー,*,*,*,*,*,えっと,エット,エット,i
どう	副詞,助詞類接続,*,*,*,*,どう,ドウ,ドー,i
やっ	動詞,自立,*,*,五段・ラ行,連用タ接続,やる,ヤッ,ヤッ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
車	名詞,一般,*,*,*,*,車,クルマ,クルマ,s
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,s
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
なるほど	感動詞,*,*,*,*,*,なるほど,ナルホド,ナルホド,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
じゃ	接続詞,*,*,*,*,*,じゃ,ジャ,ジャ,i
大阪	名詞,固有名詞,地域,一般,*,*,大阪,オオサカ,オーサカ,i
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,i
、	記号,読点,*,*,*,*,、,、,、,i
あの	フィラー,*,*,*,*,*,あの,アノ,アノ,i
、	記号,読点,*,*,*,*,、,、,、,i
こう	副詞,助詞類接続,*,*,*,*,こう,コウ,コー,i
行く	動詞,自立,*,*,五段・カ行促音便,基本形,行く,イク,イク,i
機会	名詞,一般,*,*,*,*,機会,キカイ,キカイ,i
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,i
今	名詞,副詞可能,*,*,*,*,今,イマ,イマ,i
も	助詞,係助詞,*,*,*,*,も,モ,モ,i
あり	動詞,自立,*,*,五段・ラ行,連用形,ある,アリ,アリ,i
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
多い	形容詞,自立,*,*,形容詞・アウオ段,基本形,多い,オオイ,オーイ,s
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
えーと	フィラー,*,*,*,*,*,えーと,エート,エート,i
、	記号,読点,*,*,*,*,、,、,、,i
じゃあ	接続詞,*,*,*,*,*,じゃあ,ジャア,ジャー,i
、	記号,読点,*,*,*,*,、,、,、,i
どれ	名詞,代名詞,一般,*,*,*,どれ,ドレ,ドレ,i
ぐらい	助詞,副助詞,*,*,*,*,ぐらい,グライ,グライ,i
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,i
頻度	名詞,一般,*,*,*,*,頻度,ヒンド,ヒンド,i
で	助詞,格助詞,一般,*,*,*,で,デ,デ,i
行か	動詞,自立,*,*,五段・カ行促音便,未然形,行く,イカ,イカ,i
れる	動詞,接尾,*,*,一段,基本形,れる,レル,レル,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,i
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
週	名詞,一般,*,*,*,*,週,シュウ,シュー,s
、	記号,読点,*,*,*,*,、,、,、,s
週	名詞,一般,*,*,*,*,週,シュウ,シュー,s
一	名詞,数,*,*,*,*,一,イチ,イチ,s
回	名詞,接尾,助数詞,*,*,*,回,カイ,カイ,s
ぐらい	助詞,副助詞,*,*,*,*,ぐらい,グライ,グライ,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ずっと	副詞,一般,*,*,*,*,ずっと,ズット,ズット,s
遊ん	動詞,自立,*,*,五段・バ行,連用タ接続,遊ぶ,アソン,アソン,s
で	助詞,接続助詞,*,*,*,*,で,デ,デ,s
る	動詞,非自立,*,*,一段,基本形,る,ル,ル,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
なるほど	感動詞,*,*,*,*,*,なるほど,ナルホド,ナルホド,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
え	感動詞,*,*,*,*,*,え,エ,エ,i
、	記号,読点,*,*,*,*,、,、,、,i
じゃあ	接続詞,*,*,*,*,*,じゃあ,ジャア,ジャー,i
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,i
大阪	名詞,固有名詞,地域,一般,*,*,大阪,オオサカ,オーサカ,i
行く	動詞,自立,*,*,五段・カ行促音便,基本形,行く,イク,イク,i
目的	名詞,一般,*,*,*,*,目的,モクテキ,モクテキ,i
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,i
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,イウ,イウ,i
の	名詞,非自立,一般,*,*,*,の,ノ,ノ,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
、	記号,読点,*,*,*,*,、,、,、,i
大概	名詞,副詞可能,*,*,*,*,大概,タイガイ,タイガイ,i
何	名詞,代名詞,一般,*,*,*,何,ナニ,ナニ,i
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,i
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,s
、	記号,読点,*,*,*,*,、,、,、,s
やっぱ	副詞,一般,*,*,*,*,やっぱ,ヤッパ,ヤッパ,s
学生	名詞,一般,*,*,*,*,学生,ガクセイ,ガクセイ,s
