それで	接続詞,*,*,*,*,*,それで,ソレデ,ソレデ,i
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,i
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
えーと	フィラー,*,*,*,*,*,えーと,エート,エート,s
、	記号,読点,*,*,*,*,、,、,、,s
まあ	副詞,一般,*,*,*,*,まあ,マア,マー,s
あの	連体詞,*,*,*,*,*,あの,アノ,アノ,s
大学	名詞,一般,*,*,*,*,大学,ダイガク,ダイガク,s
卒業	名詞,サ変接続,*,*,*,*,卒業,ソツギョウ,ソツギョー,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
最初	名詞,一般,*,*,*,*,最初,サイショ,サイショ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
まあ	副詞,一般,*,*,*,*,まあ,マア,マー,s
大阪	名詞,固有名詞,地域,一般,*,*,大阪,オオサカ,オーサカ,s
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,s
、	記号,読点,*,*,*,*,、,、,、,s
勤務	名詞,サ変接続,*,*,*,*,勤務,キンム,キンム,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
なっ	動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
そっ	名詞,代名詞,一般,*,*,*,そっ,ソッ,ソッ,s
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ,s
三	名詞,数,*,*,*,*,三,サン,サン,s
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン,s
大阪	名詞,固有名詞,地域,一般,*,*,大阪,オオサカ,オーサカ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
おっ	動詞,自立,*,*,五段・ラ行,連用タ接続,おる,オッ,オッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
そっ	名詞,代名詞,一般,*,*,*,そっ,ソッ,ソッ,s
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ,s
東京	名詞,固有名詞,地域,一般,*,*,東京,トウキョウ,トーキョー,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
方	名詞,非自立,一般,*,*,*,方,ホウ,ホー,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
五	名詞,数,*,*,*,*,五,ゴ,ゴ,s
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン,s
い	動詞,自立,*,*,一段,連用形,いる,イ,イ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
まし	助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
んで	接続詞,*,*,*,*,*,んで,ンデ,ンデ,s
今	名詞,副詞可能,*,*,*,*,今,イマ,イマ,s
また	接続詞,*,*,*,*,*,また,マタ,マタ,s
関西	名詞,固有名詞,地域,一般,*,*,関西,カンサイ,カンサイ,s
出戻り	名詞,一般,*,*,*,*,出戻り,デモドリ,デモドリ,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
兵庫	名詞,固有名詞,地域,一般,*,*,兵庫,ヒョウゴ,ヒョーゴ,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
二	名詞,数,*,*,*,*,二,ニ,ニ,s
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
とこ	名詞,一般,*,*,*,*,とこ,トコ,トコ,s
っす	助動詞,*,*,*,特殊・デス,基本形,っす,ッス,ッス,s
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,i
会社	名詞,一般,*,*,*,*,会社,カイシャ,カイシャ,i
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,i
選ん	動詞,自立,*,*,五段・バ行,連用タ接続,選ぶ,エラン,エラン,i
だ	助動詞,*,*,*,特殊・タ,基本形,だ,ダ,ダ,i
きっかけ	名詞,一般,*,*,*,*,きっかけ,キッカケ,キッカケ,i
と	助詞,格助詞,一般,*,*,*,と,ト,ト,i
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,ユウ,ユー,i
の	名詞,非自立,一般,*,*,*,の,ノ,ノ,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
何	名詞,代名詞,一般,*,*,*,何,ナニ,ナニ,i
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,i
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
会社	名詞,一般,*,*,*,*,会社,カイシャ,カイシャ,s
選ん	動詞,自立,*,*,五段・バ行,連用タ接続,選ぶ,エラン,エラン,s
だ	助動詞,*,*,*,特殊・タ,基本形,だ,ダ,ダ,s
きっかけ	名詞,一般,*,*,*,*,きっかけ,キッカケ,キッカケ,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
いや	接続詞,*,*,*,*,*,いや,イヤ,イヤ,s
でも	接続詞,*,*,*,*,*,でも,デモ,デモ,s
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
、	記号,読点,*,*,*,*,、,、,、,s
十	名詞,数,*,*,*,*,十,ジュウ,ジュー,s
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン,s
前	名詞,副詞可能,*,*,*,*,前,マエ,マエ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
なー	助詞,終助詞,*,*,*,*,なー,ナー,ナー,s
ど	副詞,助詞類接続・縮約形,*,*,*,*,どう,ド,ド,s
やっ	助動詞,*,*,*,特殊・ヤ,連用タ接続,や,ヤッ,ヤッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
っけ	助詞,終助詞,*,*,*,*,っけ,ッケ,ッケ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
いや	接続詞,*,*,*,*,*,いや,イヤ,イヤ,s
でも	接続詞,*,*,*,*,*,でも,デモ,デモ,s
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
まあ	副詞,一般,*,*,*,*,まあ,マア,マー,s
、	記号,読点,*,*,*,*,、,、,、,s
なん	名詞,代名詞,一般,*,*,*,なん,ナン,ナン,s
やろ	助動詞,*,*,*,特殊・ヤ,未然形,や,ヤロ,ヤロ,s
、	記号,読点,*,*,*,*,、,、,、,s
せ	副詞,助詞類接続・短音化,*,*,*,*,そう,セ,セ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
なぁ	助詞,終助詞,*,*,*,*,なぁ,ナァ,ナー,s
、	記号,読点,*,*,*,*,、,、,、,s
最初	名詞,一般,*,*,*,*,最初,サイショ,サイショ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
別に	副詞,一般,*,*,*,*,別に,ベツニ,ベツニ,s
この	連体詞,*,*,*,*,*,この,コノ,コノ,s
業界	名詞,一般,*,*,*,*,業界,ギョウカイ,ギョーカイ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
興味	名詞,一般,*,*,*,*,興味,キョウミ,キョーミ,s
なかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,ない,ナカッ,ナカッ,s
てん	助詞,*,*,*,特殊・タ＋ん／接続・テ＋ん,基本形・縮約形,てん,テン,テン,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
、	記号,読点,*,*,*,*,、,、,、,s
まあ	フィラー,*,*,*,*,*,まあ,マア,マー,s
、	記号,読点,*,*,*,*,、,、,、,s
やっぱり	副詞,一般,*,*,*,*,やっぱり,ヤッパリ,ヤッパリ,s
何	名詞,代名詞,一般,*,*,*,何,ナニ,ナニ,s
回	名詞,接尾,助数詞,*,*,*,回,カイ,カイ,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
そういう	連体詞,*,*,*,*,*,そういう,ソウイウ,ソーユウ,s
ふう	名詞,非自立,形容動詞語幹,*,*,*,ふう,フウ,フー,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
就職	名詞,サ変接続,*,*,*,*,就職,シュウショク,シューショク,s
活動	名詞,サ変接続,*,*,*,*,活動,カツドウ,カツドー,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
いく	動詞,非自立,*,*,五段・カ行促音便,基本形,いく,イク,イク,s
中	名詞,非自立,副詞可能,*,*,*,中,ナカ,ナカ,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
、	記号,読点,*,*,*,*,、,、,、,s
んー	フィラー,*,*,*,*,*,んー,ンー,ンー,s
、	記号,読点,*,*,*,*,、,、,、,s
あっ	感動詞,*,*,*,*,*,あっ,アッ,アッ,s
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
これ	名詞,代名詞,一般,*,*,*,これ,コレ,コレ,s
おもろい	形容詞,自立,*,*,形容詞・アウオ段,基本形,おもろい,オモロイ,オモロイ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
みたい	名詞,非自立,形容動詞語幹,*,*,*,みたい,ミタイ,ミタイ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
、	記号,読点,*,*,*,*,、,、,、,s
まあ	副詞,一般,*,*,*,*,まあ,マア,マー,s
、	記号,読点,*,*,*,*,、,、,、,s
単なる	連体詞,*,*,*,*,*,単なる,タンナル,タンナル,s
興味	名詞,一般,*,*,*,*,興味,キョウミ,キョーミ,s
本位	名詞,一般,*,*,*,*,本位,ホンイ,ホンイ,s
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ,s
始まり	動詞,自立,*,*,五段・ラ行,連用形,始まる,ハジマリ,ハジマリ,s
―	記号,一般,*,*,*,*,―,―,―,s
の	助詞,終助詞,*,*,*,*,の,ノ,ノ,s
、	記号,読点,*,*,*,*,、,、,、,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
わけ	名詞,非自立,一般,*,*,*,わけ,ワケ,ワケ,s
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,s
興味	名詞,一般,*,*,*,*,興味,キョウミ,キョーミ,s
あん	動詞,自立,*,*,五段・ラ行撥音便,基本形,ある,アン,アン,s
ねん	助詞,終助詞,*,*,*,*,ねん,ネン,ネン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
興味	名詞,一般,*,*,*,*,興味,キョウミ,キョーミ,s
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ,s
入っ	動詞,自立,*,*,五段・ラ行,連用タ接続,入る,ハイッ,ハイッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
この	連体詞,*,*,*,*,*,この,コノ,コノ,s
仕事	名詞,サ変接続,*,*,*,*,仕事,シゴト,シゴト,s
選ん	動詞,自立,*,*,五段・バ行,連用タ接続,選ぶ,エラン,エラン,s
だ	助動詞,*,*,*,特殊・タ,基本形,だ,ダ,ダ,s
の	助詞,終助詞,*,*,*,*,の,ノ,ノ,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
思う	動詞,自立,*,*,五段・ワ行促音便,基本形,思う,オモウ,オモー,s
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
え	感動詞,*,*,*,*,*,え,エ,エ,i
、	記号,読点,*,*,*,*,、,、,、,i
じゃあ	接続詞,*,*,*,*,*,じゃあ,ジャア,ジャー,i
もう	副詞,一般,*,*,*,*,もう,モウ,モー,i
、	記号,読点,*,*,*,*,、,、,、,i
遡り	動詞,自立,*,*,五段・ラ行,連用形,遡る,サカノボリ,サカノボリ,i
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,i
が	助詞,接続助詞,*,*,*,*,が,ガ,ガ,i
、	記号,読点,*,*,*,*,、,、,、,i
大学生	名詞,一般,*,*,*,*,大学生,ダイガクセイ,ダイガクセイ,i
時代	名詞,一般,*,*,*,*,時代,ジダイ,ジダイ,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
何	名詞,代名詞,一般,*,*,*,何,ナニ,ナニ,i
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,i
さ	動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ,i
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
まし	助動詞,*,*,*,特殊・マス,連用形,ます,マシ,マシ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
大学	名詞,一般,*,*,*,*,大学,ダイガク,ダイガク,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
時	名詞,非自立,副詞可能,*,*,*,時,トキ,トキ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
おもに	副詞,一般,*,*,*,*,おもに,オモニ,オモニ,s
部活	名詞,一般,*,*,*,*,部活,ブカツ,ブカツ,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
なぁ	助詞,終助詞,*,*,*,*,なぁ,ナァ,ナー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
部活	名詞,一般,*,*,*,*,部活,ブカツ,ブカツ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ずっと	副詞,一般,*,*,*,*,ずっと,ズット,ズット,s
部活	名詞,一般,*,*,*,*,部活,ブカツ,ブカツ,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
し	助詞,接続助詞,*,*,*,*,し,シ,シ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
何	名詞,代名詞,一般,*,*,*,何,ナニ,ナニ,i
部	名詞,接尾,助数詞,*,*,*,部,ブ,ブ,i
でし	助動詞,*,*,*,特殊・デス,連用形,です,デシ,デシ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
弓道	名詞,一般,*,*,*,*,弓道,キュウドウ,キュードー,s
部	名詞,接尾,助数詞,*,*,*,部,ブ,ブ,s
お前	名詞,代名詞,一般,*,*,*,お前,オマエ,オマエ,s
と	助詞,格助詞,一般,*,*,*,と,ト,ト,s
一緒	名詞,サ変接続,*,*,*,*,一緒,イッショ,イッショ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
お前	名詞,代名詞,一般,*,*,*,お前,オマエ,オマエ,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
弓道	名詞,一般,*,*,*,*,弓道,キュウドウ,キュードー,s
部	名詞,接尾,助数詞,*,*,*,部,ブ,ブ,s
やろ	助動詞,*,*,*,特殊・ヤ,未然形,や,ヤロ,ヤロ,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
お前	名詞,代名詞,一般,*,*,*,お前,オマエ,オマエ,s
と	助詞,格助詞,一般,*,*,*,と,ト,ト,s
一緒	名詞,サ変接続,*,*,*,*,一緒,イッショ,イッショ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
んで	接続詞,*,*,*,*,*,んで,ンデ,ンデ,i
、	記号,読点,*,*,*,*,、,、,、,i
えー	フィラー,*,*,*,*,*,えー,エー,エー,i
弓道	名詞,一般,*,*,*,*,弓道,キュウドウ,キュードー,i
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,i
方	名詞,非自立,一般,*,*,*,方,ホウ,ホー,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
高校	名詞,一般,*,*,*,*,高校,コウコウ,コーコー,i
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,s
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,s
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
高校	名詞,一般,*,*,*,*,高校,コウコウ,コーコー,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
やっ	動詞,自立,*,*,五段・ラ行,連用タ接続,やる,ヤッ,ヤッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
高校	名詞,一般,*,*,*,*,高校,コウコウ,コーコー,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
初め	動詞,自立,*,*,一段,連用形,初める,ソメ,ソメ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
ほんで	接続詞,*,*,*,*,*,ほんで,ホンデ,ホンデ,s
まぁ	感動詞,*,*,*,*,*,まぁ,マァ,マー,s
、	記号,読点,*,*,*,*,、,、,、,s
大学	名詞,一般,*,*,*,*,大学,ダイガク,ダイガク,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
スポーツ	名詞,一般,*,*,*,*,スポーツ,スポーツ,スポーツ,s
推薦	名詞,サ変接続,*,*,*,*,推薦,スイセン,スイセン,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
声	名詞,一般,*,*,*,*,声,コエ,コエ,s
かかっ	動詞,自立,*,*,五段・ラ行,連用タ接続,かかる,カカッ,カカッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
、	記号,読点,*,*,*,*,、,、,、,s
あっ	感動詞,*,*,*,*,*,あっ,アッ,アッ,s
じゃあ	感動詞,*,*,*,*,*,じゃあ,ジャア,ジャー,s
すみませーん	感動詞,*,*,*,*,*,すみませーん,スミマセーン,スミマセーン,s
みたい	名詞,非自立,形容動詞語幹,*,*,*,みたい,ミタイ,ミタイ,s
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,s
感じ	名詞,一般,*,*,*,*,感じ,カンジ,カンジ,s
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
失礼	名詞,サ変接続,*,*,*,*,失礼,シツレイ,シツレイ,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
まーす	助動詞,*,*,*,特殊・マス,基本形,ます,マース,マース,s
みたい	名詞,非自立,形容動詞語幹,*,*,*,みたい,ミタイ,ミタイ,s
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,s
感じ	名詞,一般,*,*,*,*,感じ,カンジ,カンジ,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
、	記号,読点,*,*,*,*,、,、,、,s
入っ	動詞,自立,*,*,五段・ラ行,連用タ接続,入る,ハイッ,ハイッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
き	動詞,非自立,*,*,カ変・クル,連用形,くる,キ,キ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
んで	接続詞,*,*,*,*,*,んで,ンデ,ンデ,s
まあ	フィラー,*,*,*,*,*,まあ,マア,マー,s
四	名詞,数,*,*,*,*,四,ヨン,ヨン,s
年間	名詞,接尾,助数詞,*,*,*,年間,ネンカン,ネンカン,s
過ごし	動詞,自立,*,*,五段・サ行,連用形,過ごす,スゴシ,スゴシ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,ユウ,ユー,s
感じ	名詞,一般,*,*,*,*,感じ,カンジ,カンジ,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
弓道	名詞,一般,*,*,*,*,弓道,キュウドウ,キュードー,i
部	名詞,接尾,一般,*,*,*,部,ブ,ブ,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
結構	副詞,一般,*,*,*,*,結構,ケッコウ,ケッコー,i
あれ	名詞,代名詞,一般,*,*,*,あれ,アレ,アレ,i
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,i
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
どんな	連体詞,*,*,*,*,*,どんな,ドンナ,ドンナ,i
感じ	名詞,一般,*,*,*,*,感じ,カンジ,カンジ,i
でし	助動詞,*,*,*,特殊・デス,連用形,です,デシ,デシ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
結構	副詞,一般,*,*,*,*,結構,ケッコウ,ケッコー,i
厳しかっ	形容詞,自立,*,*,形容詞・イ段,連用タ接続,厳しい,キビシカッ,キビシカッ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
感じ	名詞,一般,*,*,*,*,感じ,カンジ,カンジ,i
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,i
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
まあ	副詞,一般,*,*,*,*,まあ,マア,マー,s
一	名詞,数,*,*,*,*,一,イチ,イチ,s
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン,s
目	名詞,接尾,一般,*,*,*,目,メ,メ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
地獄	名詞,一般,*,*,*,*,地獄,ジゴク,ジゴク,s
やっ	助動詞,*,*,*,特殊・ヤ,連用タ接続,や,ヤッ,ヤッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
ほんま	副詞,一般,*,*,*,*,ほんま,ホンマ,ホンマ,s
しんどかっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,しんどい,シンドカッ,シンドカッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
もー	感動詞,*,*,*,*,*,もー,モオ,モー,s
思い出し	動詞,自立,*,*,五段・サ行,連用形,思い出す,オモイダシ,オモイダシ,s
たく	助動詞,*,*,*,特殊・タイ,連用テ接続,たい,タク,タク,s
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
みんな	名詞,代名詞,一般,*,*,*,みんな,ミンナ,ミンナ,s
言っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,言う,ユッ,ユッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
、	記号,読点,*,*,*,*,、,、,、,s
