いけ	動詞,自立,*,*,一段,連用形,いける,イケ,イケ,i
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
結婚	名詞,サ変接続,*,*,*,*,結婚,ケッコン,ケッコン,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
主人	名詞,一般,*,*,*,*,主人,シュジン,シュジン,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
家	名詞,一般,*,*,*,*,家,イエ,イエ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
近く	名詞,副詞可能,*,*,*,*,近く,チカク,チカク,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
住む	動詞,自立,*,*,五段・マ行,基本形,住む,スム,スム,s
と	助詞,接続助詞,*,*,*,*,と,ト,ト,s
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,イウ,イウ,s
こと	名詞,非自立,一般,*,*,*,こと,コト,コト,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
宝塚	名詞,固有名詞,地域,一般,*,*,宝塚,タカラヅカ,タカラズカ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
住ん	動詞,自立,*,*,五段・マ行,連用タ接続,住む,スン,スン,s
で	助詞,接続助詞,*,*,*,*,で,デ,デ,s
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
えっと	フィラー,*,*,*,*,*,えっと,エット,エット,i
結婚	名詞,サ変接続,*,*,*,*,結婚,ケッコン,ケッコン,i
さ	動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ,i
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
の	名詞,非自立,一般,*,*,*,の,ノ,ノ,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
いつ	名詞,代名詞,一般,*,*,*,いつ,イツ,イツ,i
ぐらい	助詞,副助詞,*,*,*,*,ぐらい,グライ,グライ,i
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,i
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
結婚	名詞,サ変接続,*,*,*,*,結婚,ケッコン,ケッコン,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
の	名詞,非自立,一般,*,*,*,の,ノ,ノ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
、	記号,読点,*,*,*,*,、,、,、,s
二	名詞,数,*,*,*,*,二,ニ,ニ,s
千	名詞,数,*,*,*,*,千,セン,セン,s
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
二月	名詞,副詞可能,*,*,*,*,二月,ニガツ,ニガツ,s
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
旦那	名詞,一般,*,*,*,*,旦那,ダンナ,ダンナ,i
さん	名詞,接尾,人名,*,*,*,さん,サン,サン,i
と	助詞,格助詞,一般,*,*,*,と,ト,ト,i
出会わ	動詞,自立,*,*,五段・ワ行促音便,未然形,出会う,デアワ,デアワ,i
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
の	名詞,非自立,一般,*,*,*,の,ノ,ノ,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
いつ	名詞,代名詞,一般,*,*,*,いつ,イツ,イツ,i
ぐらい	助詞,副助詞,*,*,*,*,ぐらい,グライ,グライ,i
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,i
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
何	名詞,代名詞,一般,*,*,*,何,ナニ,ナニ,s
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
忘れ	動詞,自立,*,*,一段,連用形,忘れる,ワスレ,ワスレ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
けども	助詞,接続助詞,*,*,*,*,けども,ケドモ,ケドモ,s
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
、	記号,読点,*,*,*,*,、,、,、,s
うーん	感動詞,*,*,*,*,*,うーん,ウーン,ウーン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
二	名詞,数,*,*,*,*,二,ニ,ニ,s
千	名詞,数,*,*,*,*,千,セン,セン,s
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
年	名詞,一般,*,*,*,*,年,トシ,トシ,s
言う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,言う,ユウ,ユー,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
ええ	形容詞,非自立,*,*,形容詞・イイ,基本形,いい,エエ,エー,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
あー	フィラー,*,*,*,*,*,あー,アー,アー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
何	名詞,代名詞,一般,*,*,*,何,ナニ,ナニ,s
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
千	名詞,数,*,*,*,*,千,セン,セン,s
九	名詞,数,*,*,*,*,九,キュウ,キュー,s
百	名詞,数,*,*,*,*,百,ヒャク,ヒャク,s
九	名詞,数,*,*,*,*,九,キュウ,キュー,s
十	名詞,数,*,*,*,*,十,ジュウ,ジュー,s
八	名詞,数,*,*,*,*,八,ハチ,ハチ,s
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
きっかけ	名詞,一般,*,*,*,*,きっかけ,キッカケ,キッカケ,i
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,i
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
お見合い	名詞,サ変接続,*,*,*,*,お見合い,オミアイ,オミアイ,s
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
あ	感動詞,*,*,*,*,*,あ,ア,ア,i
、	記号,読点,*,*,*,*,、,、,、,i
お見合い	名詞,サ変接続,*,*,*,*,お見合い,オミアイ,オミアイ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
お見合い	名詞,サ変接続,*,*,*,*,お見合い,オミアイ,オミアイ,i
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,i
どんな	連体詞,*,*,*,*,*,どんな,ドンナ,ドンナ,i
感じ	名詞,一般,*,*,*,*,感じ,カンジ,カンジ,i
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,i
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
お見合い	名詞,サ変接続,*,*,*,*,お見合い,オミアイ,オミアイ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
、	記号,読点,*,*,*,*,、,、,、,s
んー	フィラー,*,*,*,*,*,んー,ンー,ンー,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
あの	連体詞,*,*,*,*,*,あの,アノ,アノ,s
着物	名詞,一般,*,*,*,*,着物,キモノ,キモノ,s
来	動詞,自立,*,*,カ変・来ル,連用形,来る,キ,キ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
じゃ	助動詞,*,*,*,特殊・ジャ,未然形,じゃ,ジャ,ジャ,s
なく	助動詞,*,*,*,特殊・ナイ,連用テ接続,ない,ナク,ナク,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
あの	連体詞,*,*,*,*,*,あの,アノ,アノ,s
普通	名詞,形容動詞語幹,*,*,*,*,普通,フツウ,フツー,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
でも	接続詞,*,*,*,*,*,でも,デモ,デモ,s
、	記号,読点,*,*,*,*,、,、,、,s
ホテル	名詞,一般,*,*,*,*,ホテル,ホテル,ホテル,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
両親	名詞,一般,*,*,*,*,両親,リョウシン,リョーシン,s
と	助詞,格助詞,一般,*,*,*,と,ト,ト,s
私	名詞,代名詞,一般,*,*,*,私,ワタシ,ワタシ,s
と	助詞,並立助詞,*,*,*,*,と,ト,ト,s
向こう	名詞,一般,*,*,*,*,向こう,ムコウ,ムコー,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
ご	接頭詞,名詞接続,*,*,*,*,ご,ゴ,ゴ,s
両親	名詞,一般,*,*,*,*,両親,リョウシン,リョーシン,s
と	助詞,並立助詞,*,*,*,*,と,ト,ト,s
おじいちゃん	名詞,一般,*,*,*,*,おじいちゃん,オジイチャン,オジーチャン,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
来	動詞,自立,*,*,カ変・来ル,連用形,来る,キ,キ,s
はっ	動詞,非自立,*,*,五段・ラ行,連用タ接続,はる,ハッ,ハッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
どんな	連体詞,*,*,*,*,*,どんな,ドンナ,ドンナ,i
こと	名詞,非自立,一般,*,*,*,こと,コト,コト,i
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,i
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
最初	名詞,一般,*,*,*,*,最初,サイショ,サイショ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
あの	連体詞,*,*,*,*,*,あの,アノ,アノ,s
ホテル	名詞,一般,*,*,*,*,ホテル,ホテル,ホテル,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
お茶	名詞,一般,*,*,*,*,お茶,オチャ,オチャ,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
みんな	名詞,代名詞,一般,*,*,*,みんな,ミンナ,ミンナ,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
喋っ	動詞,自立,*,*,五段・ラ行,連用タ接続,喋る,シャベッ,シャベッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
三	名詞,数,*,*,*,*,三,サン,サン,s
十	名詞,数,*,*,*,*,十,ジュウ,ジュー,s
分	名詞,接尾,助数詞,*,*,*,分,フン,フン,s
くらい	助詞,副助詞,*,*,*,*,くらい,クライ,クライ,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
若い	形容詞,自立,*,*,形容詞・アウオ段,基本形,若い,ワカイ,ワカイ,s
人	名詞,一般,*,*,*,*,人,ヒト,ヒト,s
たち	名詞,接尾,一般,*,*,*,たち,タチ,タチ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
どうぞ	副詞,一般,*,*,*,*,どうぞ,ドウゾ,ドーゾ,s
ご飯	名詞,一般,*,*,*,*,ご飯,ゴハン,ゴハン,s
でも	助詞,副助詞,*,*,*,*,でも,デモ,デモ,s
食べ	動詞,自立,*,*,一段,連用形,食べる,タベ,タベ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
き	動詞,非自立,*,*,カ変・クル,連用形,くる,キ,キ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
いう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,いう,ユウ,ユー,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
どっか	副詞,一般,*,*,*,*,どっか,ドッカ,ドッカ,s
行っ	動詞,自立,*,*,五段・カ行促音便,連用タ接続,行く,イッ,イッ,s
たん	助動詞,*,*,*,特殊・タ,基本形,たん,タン,タン,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,i
とき	名詞,非自立,副詞可能,*,*,*,とき,トキ,トキ,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
どこ	名詞,代名詞,一般,*,*,*,どこ,ドコ,ドコ,i
へ	助詞,格助詞,一般,*,*,*,へ,ヘ,エ,i
行っ	動詞,自立,*,*,五段・カ行促音便,連用タ接続,行く,イッ,イッ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,i
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
えー	フィラー,*,*,*,*,*,えー,エー,エー,s
どこ	名詞,代名詞,一般,*,*,*,どこ,ドコ,ドコ,s
行っ	動詞,自立,*,*,五段・カ行促音便,連用タ接続,行く,イッ,イッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
やろ	助動詞,*,*,*,特殊・ヤ,未然形,や,ヤロ,ヤロ,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
梅田	名詞,固有名詞,地域,一般,*,*,梅田,ウメダ,ウメダ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
出	動詞,自立,*,*,一段,連用形,出る,デ,デ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
なん	名詞,代名詞,一般,*,*,*,なん,ナン,ナン,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
喫茶店	名詞,一般,*,*,*,*,喫茶店,キッサテン,キッサテン,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
忘れ	動詞,自立,*,*,一段,連用形,忘れる,ワスレ,ワスレ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
けども	助詞,接続助詞,*,*,*,*,けども,ケドモ,ケドモ,s
一緒	名詞,サ変接続,*,*,*,*,一緒,イッショ,イッショ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
ご飯	名詞,一般,*,*,*,*,ご飯,ゴハン,ゴハン,s
食べ	動詞,自立,*,*,一段,連用形,食べる,タベ,タベ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
お茶	名詞,一般,*,*,*,*,お茶,オチャ,オチャ,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
帰っ	動詞,自立,*,*,五段・ラ行,連用タ接続,帰る,カエッ,カエッ,s
たん	助動詞,*,*,*,特殊・タ,基本形,たん,タン,タン,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
お見合い	名詞,サ変接続,*,*,*,*,お見合い,オミアイ,オミアイ,i
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,i
一	名詞,数,*,*,*,*,一,イチ,イチ,i
回	名詞,接尾,助数詞,*,*,*,回,カイ,カイ,i
で	助詞,格助詞,一般,*,*,*,で,デ,デ,i
終わる	動詞,自立,*,*,五段・ラ行,基本形,終わる,オワル,オワル,i
感じ	名詞,一般,*,*,*,*,感じ,カンジ,カンジ,i
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,i
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
あー	フィラー,*,*,*,*,*,あー,アー,アー,s
お見合い	名詞,サ変接続,*,*,*,*,お見合い,オミアイ,オミアイ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
、	記号,読点,*,*,*,*,、,、,、,s
あたし	名詞,代名詞,一般,*,*,*,あたし,アタシ,アタシ,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
初めて	副詞,一般,*,*,*,*,初めて,ハジメテ,ハジメテ,s
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,s
向こう	名詞,一般,*,*,*,*,向こう,ムコウ,ムコー,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
初めて	副詞,一般,*,*,*,*,初めて,ハジメテ,ハジメテ,s
やっ	助動詞,*,*,*,特殊・ヤ,連用タ接続,や,ヤッ,ヤッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
ほんま	副詞,一般,*,*,*,*,ほんま,ホンマ,ホンマ,s
やっ	助動詞,*,*,*,特殊・ヤ,連用タ接続,や,ヤッ,ヤッ,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
わりと	副詞,一般,*,*,*,*,わりと,ワリト,ワリト,s
一	名詞,数,*,*,*,*,一,イチ,イチ,s
回	名詞,接尾,助数詞,*,*,*,回,カイ,カイ,s
目	名詞,接尾,一般,*,*,*,目,メ,メ,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
こう	副詞,助詞類接続,*,*,*,*,こう,コウ,コー,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
こう	副詞,助詞類接続,*,*,*,*,こう,コウ,コー,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
言っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,言う,イッ,イッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
結婚	名詞,サ変接続,*,*,*,*,結婚,ケッコン,ケッコン,s
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル,s
まで	助詞,副助詞,*,*,*,*,まで,マデ,マデ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
早い	形容詞,自立,*,*,形容詞・アウオ段,基本形,早い,ハヤイ,ハヤイ,s
みたい	名詞,非自立,形容動詞語幹,*,*,*,みたい,ミタイ,ミタイ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
早く	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,早い,ハヤク,ハヤク,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
なさい	動詞,非自立,*,*,五段・ラ行特殊,連用形,なさる,ナサイ,ナサイ,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
なく	助動詞,*,*,*,特殊・ナイ,連用テ接続,ない,ナク,ナク,s
一	名詞,数,*,*,*,*,一,イチ,イチ,s
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン,s
半	名詞,数,*,*,*,*,半,ハン,ハン,s
くらい	助詞,副助詞,*,*,*,*,くらい,クライ,クライ,s
付き合っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,付き合う,ツキアッ,ツキアッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
結婚	名詞,サ変接続,*,*,*,*,結婚,ケッコン,ケッコン,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
なるほど	感動詞,*,*,*,*,*,なるほど,ナルホド,ナルホド,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
今	名詞,副詞可能,*,*,*,*,今,イマ,イマ,i
息子	名詞,一般,*,*,*,*,息子,ムスコ,ムスコ,i
さん	名詞,接尾,人名,*,*,*,さん,サン,サン,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
三	名詞,数,*,*,*,*,三,サン,サン,i
人	名詞,接尾,助数詞,*,*,*,人,ニン,ニン,i
いる	動詞,自立,*,*,一段,基本形,いる,イル,イル,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
でし	助動詞,*,*,*,特殊・デス,連用形,です,デシ,デシ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
っけ	助詞,終助詞,*,*,*,*,っけ,ッケ,ッケ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
三	名詞,数,*,*,*,*,三,サン,サン,s
人	名詞,接尾,助数詞,*,*,*,人,ニン,ニン,s
、	記号,読点,*,*,*,*,、,、,、,s
男の子	名詞,一般,*,*,*,*,男の子,オトコノコ,オトコノコ,s
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
もし	副詞,一般,*,*,*,*,もし,モシ,モシ,i
、	記号,読点,*,*,*,*,、,、,、,i
あの	連体詞,*,*,*,*,*,あの,アノ,アノ,i
機会	名詞,一般,*,*,*,*,機会,キカイ,キカイ,i
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,i
あっ	動詞,自立,*,*,五段・ラ行,連用タ接続,ある,アッ,アッ,i
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,i
お見合い	名詞,サ変接続,*,*,*,*,お見合い,オミアイ,オミアイ,i
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,i
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
