始め	動詞,自立,*,*,一段,連用形,始める,ハジメ,ハジメ,i
他	名詞,副詞可能,*,*,*,*,他,ホカ,ホカ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
ちょっと	副詞,助詞類接続,*,*,*,*,ちょっと,チョット,チョット,s
手	名詞,一般,*,*,*,*,手,テ,テ,s
出す	動詞,自立,*,*,五段・サ行,基本形,出す,ダス,ダス,s
感じ	名詞,一般,*,*,*,*,感じ,カンジ,カンジ,s
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,s
、	記号,読点,*,*,*,*,、,、,、,s
すみれ	名詞,一般,*,*,*,*,すみれ,スミレ,スミレ,s
部	名詞,接尾,助数詞,*,*,*,部,ブ,ブ,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,ユウ,ユー,s
ボランティア	名詞,一般,*,*,*,*,ボランティア,ボランティア,ボランティア,s
部	名詞,接尾,助数詞,*,*,*,部,ブ,ブ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
行っ	動詞,自立,*,*,五段・カ行促音便,連用タ接続,行く,イッ,イッ,s
たり	助詞,並立助詞,*,*,*,*,たり,タリ,タリ,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
まあ	副詞,一般,*,*,*,*,まあ,マア,マー,s
後	名詞,副詞可能,*,*,*,*,後,アト,アト,s
それ	名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,s
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
あ	感動詞,*,*,*,*,*,あ,ア,ア,s
、	記号,読点,*,*,*,*,、,、,、,s
そんな	連体詞,*,*,*,*,*,そんな,ソンナ,ソンナ,s
もん	名詞,非自立,一般,*,*,*,もん,モン,モン,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
部活	名詞,一般,*,*,*,*,部活,ブカツ,ブカツ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
関し	動詞,自立,*,*,五段・サ行,連用形,関す,カンシ,カンシ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,i
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,i
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
じゃあ	接続詞,*,*,*,*,*,じゃあ,ジャア,ジャー,i
、	記号,読点,*,*,*,*,、,、,、,i
部活	名詞,一般,*,*,*,*,部活,ブカツ,ブカツ,i
色々	副詞,助詞類接続,*,*,*,*,色々,イロイロ,イロイロ,i
やっ	動詞,自立,*,*,五段・ラ行,連用タ接続,やる,ヤッ,ヤッ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
みたい	名詞,非自立,形容動詞語幹,*,*,*,みたい,ミタイ,ミタイ,i
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,i
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,i
、	記号,読点,*,*,*,*,、,、,、,i
何でも	副詞,助詞類接続,*,*,*,*,何でも,ナンデモ,ナンデモ,i
いい	形容詞,自立,*,*,形容詞・イイ,基本形,いい,イイ,イー,i
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,i
、	記号,読点,*,*,*,*,、,、,、,i
軽く	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,軽い,カルク,カルク,i
、	記号,読点,*,*,*,*,、,、,、,i
部活	名詞,一般,*,*,*,*,部活,ブカツ,ブカツ,i
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,i
事	名詞,一般,*,*,*,*,事,コト,コト,i
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ,i
ちょっと	副詞,助詞類接続,*,*,*,*,ちょっと,チョット,チョット,i
思い出	名詞,一般,*,*,*,*,思い出,オモイデ,オモイデ,i
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,i
でも	助詞,副助詞,*,*,*,*,でも,デモ,デモ,i
いい	形容詞,非自立,*,*,形容詞・イイ,基本形,いい,イイ,イー,i
し	助詞,接続助詞,*,*,*,*,し,シ,シ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
喋っ	動詞,自立,*,*,五段・ラ行,連用タ接続,喋る,シャベッ,シャベッ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
もらえる	動詞,非自立,*,*,一段,基本形,もらえる,モラエル,モラエル,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
部活	名詞,一般,*,*,*,*,部活,ブカツ,ブカツ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
思い出	名詞,一般,*,*,*,*,思い出,オモイデ,オモイデ,s
やっ	助動詞,*,*,*,特殊・ヤ,連用タ接続,や,ヤッ,ヤッ,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
、	記号,読点,*,*,*,*,、,、,、,s
せ	副詞,助詞類接続・短音化,*,*,*,*,そう,セ,セ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
なあ	助詞,終助詞,*,*,*,*,なあ,ナア,ナー,s
、	記号,読点,*,*,*,*,、,、,、,s
やっぱり	副詞,一般,*,*,*,*,やっぱり,ヤッパリ,ヤッパリ,s
高校	名詞,一般,*,*,*,*,高校,コウコウ,コーコー,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
演劇	名詞,一般,*,*,*,*,演劇,エンゲキ,エンゲキ,s
部	名詞,接尾,助数詞,*,*,*,部,ブ,ブ,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
なあ	助詞,終助詞,*,*,*,*,なあ,ナア,ナー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
高校	名詞,一般,*,*,*,*,高校,コウコウ,コーコー,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
演劇	名詞,一般,*,*,*,*,演劇,エンゲキ,エンゲキ,s
部	名詞,接尾,助数詞,*,*,*,部,ブ,ブ,s
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,s
、	記号,読点,*,*,*,*,、,、,、,s
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
なんか	助詞,副助詞,*,*,*,*,なんか,ナンカ,ナンカ,s
、	記号,読点,*,*,*,*,、,、,、,s
毎日	名詞,副詞可能,*,*,*,*,毎日,マイニチ,マイニチ,s
発声	名詞,サ変接続,*,*,*,*,発声,ハッセイ,ハッセイ,s
練習	名詞,サ変接続,*,*,*,*,練習,レンシュウ,レンシュー,s
て	助詞,格助詞・縮約形,引用,*,*,*,って,テ,テ,s
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,ユウ,ユー,s
の	名詞,非自立,一般,*,*,*,の,ノ,ノ,s
やっ	動詞,自立,*,*,五段・ラ行,連用タ接続,やる,ヤッ,ヤッ,s
てん	助詞,*,*,*,特殊・タ＋ん／接続・テ＋ん,基本形・縮約形,てん,テン,テン,s
ねん	助詞,終助詞,*,*,*,*,ねん,ネン,ネン,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
、	記号,読点,*,*,*,*,、,、,、,s
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
発声	名詞,サ変接続,*,*,*,*,発声,ハッセイ,ハッセイ,s
練習	名詞,サ変接続,*,*,*,*,練習,レンシュウ,レンシュー,s
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,s
、	記号,読点,*,*,*,*,、,、,、,s
宮沢	名詞,固有名詞,人名,姓,*,*,宮沢,ミヤザワ,ミヤザワ,s
賢二	名詞,固有名詞,人名,名,*,*,賢二,ケンジ,ケンジ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
雨	名詞,一般,*,*,*,*,雨,アメ,アメ,s
ニモマケズ	名詞,固有名詞,一般,*,*,*,ニモマケズ,ニモマケズ,ニモマケズ,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,ユウ,ユー,s
詩	名詞,一般,*,*,*,*,詩,シ,シ,s
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,s
やん	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤン,ヤン,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
あれ	名詞,代名詞,一般,*,*,*,あれ,アレ,アレ,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
、	記号,読点,*,*,*,*,、,、,、,s
全部	名詞,副詞可能,*,*,*,*,全部,ゼンブ,ゼンブ,s
クリア	名詞,サ変接続,*,*,*,*,クリア,クリア,クリア,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
こと	名詞,非自立,一般,*,*,*,こと,コト,コト,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
雨	名詞,一般,*,*,*,*,雨,アメ,アメ,s
ニモマケズ	名詞,固有名詞,一般,*,*,*,ニモマケズ,ニモマケズ,ニモマケズ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
雨	名詞,一般,*,*,*,*,雨,アメ,アメ,s
ニモマケズ	名詞,固有名詞,一般,*,*,*,ニモマケズ,ニモマケズ,ニモマケズ,s
、	記号,読点,*,*,*,*,、,、,、,s
風邪	名詞,一般,*,*,*,*,風邪,カゼ,カゼ,s
ニモマケズ	名詞,固有名詞,一般,*,*,*,ニモマケズ,ニモマケズ,ニモマケズ,s
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,s
、	記号,読点,*,*,*,*,、,、,、,s
大雨	名詞,一般,*,*,*,*,大雨,オオアメ,オーアメ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
日	名詞,非自立,副詞可能,*,*,*,日,ヒ,ヒ,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
外	名詞,非自立,副詞可能,*,*,*,外,ホカ,ホカ,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
発声	名詞,サ変接続,*,*,*,*,発声,ハッセイ,ハッセイ,s
練習	名詞,サ変接続,*,*,*,*,練習,レンシュウ,レンシュー,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
台風	名詞,一般,*,*,*,*,台風,タイフウ,タイフー,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
中	名詞,非自立,副詞可能,*,*,*,中,ナカ,ナカ,s
でも	助詞,副助詞,*,*,*,*,でも,デモ,デモ,s
発声	名詞,サ変接続,*,*,*,*,発声,ハッセイ,ハッセイ,s
練習	名詞,サ変接続,*,*,*,*,練習,レンシュウ,レンシュー,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
雪	名詞,一般,*,*,*,*,雪,ユキ,ユキ,s
降っ	動詞,自立,*,*,五段・ラ行,連用タ接続,降る,フッ,フッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
吹雪い	動詞,自立,*,*,五段・カ行イ音便,連用タ接続,吹雪く,フブイ,フブイ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
る	動詞,非自立,*,*,一段,基本形,る,ル,ル,s
中	名詞,非自立,副詞可能,*,*,*,中,ナカ,ナカ,s
でも	助詞,副助詞,*,*,*,*,でも,デモ,デモ,s
発声	名詞,サ変接続,*,*,*,*,発声,ハッセイ,ハッセイ,s
練習	名詞,サ変接続,*,*,*,*,練習,レンシュウ,レンシュー,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
それ	名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
、	記号,読点,*,*,*,*,、,、,、,i
屋外	名詞,一般,*,*,*,*,屋外,オクガイ,オクガイ,i
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
屋外	名詞,一般,*,*,*,*,屋外,オクガイ,オクガイ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
よう	形容詞,自立,*,*,形容詞・アウオ段ウ音便,連用テ接続,よい,ヨウ,ヨー,i
やる	動詞,自立,*,*,五段・ラ行,基本形,やる,ヤル,ヤル,i
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,i
EOS
しかも	接続詞,*,*,*,*,*,しかも,シカモ,シカモ,s
ベランダ	名詞,一般,*,*,*,*,ベランダ,ベランダ,ベランダ,s
ちゃう	動詞,自立,*,*,五段・特殊,基本形,ちゃう,チャウ,チャウ,s
で	助詞,終助詞,*,*,*,*,で,デ,デ,s
、	記号,読点,*,*,*,*,、,、,、,s
屋上	名詞,一般,*,*,*,*,屋上,オクジョウ,オクジョー,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
屋上	名詞,一般,*,*,*,*,屋上,オクジョウ,オクジョー,i
、	記号,読点,*,*,*,*,、,、,、,i
屋上	名詞,一般,*,*,*,*,屋上,オクジョウ,オクジョー,i
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,i
解放	名詞,サ変接続,*,*,*,*,解放,カイホウ,カイホー,i
さ	動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ,i
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ,i
とっ	動詞,非自立,*,*,五段・ラ行,連用タ接続・縮約形,て＋おる,トッ,トッ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
ええと	フィラー,*,*,*,*,*,ええと,エエト,エート,s
、	記号,読点,*,*,*,*,、,、,、,s
解放	名詞,サ変接続,*,*,*,*,解放,カイホウ,カイホー,s
さ	動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ,s
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
る	動詞,非自立,*,*,一段,基本形,る,ル,ル,s
とこ	名詞,一般,*,*,*,*,とこ,トコ,トコ,s
と	助詞,格助詞,一般,*,*,*,と,ト,ト,s
解放	名詞,サ変接続,*,*,*,*,解放,カイホウ,カイホー,s
さ	動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ,s
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,s
と	助詞,接続助詞,*,*,*,*,と,ト,ト,s
この	連体詞,*,*,*,*,*,この,コノ,コノ,s
二	名詞,数,*,*,*,*,二,ニ,ニ,s
ヵ所	名詞,接尾,助数詞,*,*,*,ヵ所,カショ,カショ,s
あっ	動詞,自立,*,*,五段・ラ行,連用タ接続,ある,アッ,アッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
解放	名詞,サ変接続,*,*,*,*,解放,カイホウ,カイホー,s
さ	動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ,s
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
る	動詞,非自立,*,*,一段,基本形,る,ル,ル,s
所	名詞,非自立,副詞可能,*,*,*,所,トコロ,トコロ,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,ユウ,ユー,s
の	名詞,非自立,一般,*,*,*,の,ノ,ノ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
完全	名詞,形容動詞語幹,*,*,*,*,完全,カンゼン,カンゼン,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
、	記号,読点,*,*,*,*,、,、,、,s
まあ	副詞,一般,*,*,*,*,まあ,マア,マー,s
全部	名詞,副詞可能,*,*,*,*,全部,ゼンブ,ゼンブ,s
柵	名詞,一般,*,*,*,*,柵,サク,サク,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
張ら	動詞,自立,*,*,五段・ラ行,未然形,張る,ハラ,ハラ,s
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
、	記号,読点,*,*,*,*,、,、,、,s
まあ	副詞,一般,*,*,*,*,まあ,マア,マー,s
、	記号,読点,*,*,*,*,、,、,、,s
一応	副詞,助詞類接続,*,*,*,*,一応,イチオウ,イチオー,s
生徒	名詞,一般,*,*,*,*,生徒,セイト,セイト,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
自由	名詞,一般,*,*,*,*,自由,ジユウ,ジユー,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
行ける	動詞,自立,*,*,一段,基本形,行ける,イケル,イケル,s
形	名詞,一般,*,*,*,*,形,カタチ,カタチ,s
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
私	名詞,代名詞,一般,*,*,*,私,ワタシ,ワタシ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
行っ	動詞,自立,*,*,五段・カ行促音便,連用タ接続,行く,イッ,イッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
事	名詞,非自立,一般,*,*,*,事,コト,コト,s
ない	形容詞,自立,*,*,形容詞・アウオ段,基本形,ない,ナイ,ナイ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
、	記号,読点,*,*,*,*,、,、,、,s
後輩	名詞,一般,*,*,*,*,後輩,コウハイ,コーハイ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
中	名詞,非自立,副詞可能,*,*,*,中,ナカ,ナカ,s
やっ	助動詞,*,*,*,特殊・ヤ,連用タ接続,や,ヤッ,ヤッ,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
毎日	名詞,副詞可能,*,*,*,*,毎日,マイニチ,マイニチ,s
そこ	名詞,代名詞,一般,*,*,*,そこ,ソコ,ソコ,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
お昼	名詞,一般,*,*,*,*,お昼,オヒル,オヒル,s
食べ	動詞,自立,*,*,一段,連用形,食べる,タベ,タベ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
る	動詞,非自立,*,*,一段,基本形,る,ル,ル,s
子	名詞,一般,*,*,*,*,子,コ,コ,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
居っ	動詞,自立,*,*,五段・ラ行,連用タ接続,居る,オッ,オッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
へえ	感動詞,*,*,*,*,*,へえ,ヘエ,ヘー,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
なるほど	感動詞,*,*,*,*,*,なるほど,ナルホド,ナルホド,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
じゃあ	接続詞,*,*,*,*,*,じゃあ,ジャア,ジャー,i
えっと	フィラー,*,*,*,*,*,えっと,エット,エット,i
、	記号,読点,*,*,*,*,、,、,、,i
あの	フィラー,*,*,*,*,*,あの,アノ,アノ,i
、	記号,読点,*,*,*,*,、,、,、,i
演劇	名詞,一般,*,*,*,*,演劇,エンゲキ,エンゲキ,i
部	名詞,接尾,助数詞,*,*,*,部,ブ,ブ,i
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,i
こと	名詞,非自立,一般,*,*,*,こと,コト,コト,i
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ,i
もう	副詞,一般,*,*,*,*,もう,モウ,モー,i
ちょっと	副詞,助詞類接続,*,*,*,*,ちょっと,チョット,チョット,i
