それでは	接続詞,*,*,*,*,*,それでは,ソレデハ,ソレデワ,i
社	名詞,接尾,助数詞,*,*,*,社,シャ,シャ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
うち	名詞,非自立,一般,*,*,*,うち,ウチ,ウチ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
一	名詞,数,*,*,*,*,一,イチ,イチ,s
社	名詞,接尾,助数詞,*,*,*,社,シャ,シャ,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
働い	動詞,自立,*,*,五段・カ行イ音便,連用タ接続,働く,ハタライ,ハタライ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
関西	名詞,固有名詞,地域,一般,*,*,関西,カンサイ,カンサイ,i
弁	名詞,一般,*,*,*,*,弁,ベン,ベン,i
で	助詞,格助詞,一般,*,*,*,で,デ,デ,i
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
いや	感動詞,*,*,*,*,*,いや,イヤ,イヤ,s
、	記号,読点,*,*,*,*,、,、,、,s
そこ	名詞,代名詞,一般,*,*,*,そこ,ソコ,ソコ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
、	記号,読点,*,*,*,*,、,、,、,s
だって	接続詞,*,*,*,*,*,だって,ダッテ,ダッテ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
まあ	フィラー,一般,*,*,*,*,まあ,マア,マー,i
、	記号,読点,*,*,*,*,、,、,、,i
そ	副詞,助詞類接続・短音化,*,*,*,*,そう,ソ,ソ,i
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,i
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
そ	副詞,助詞類接続・短音化,*,*,*,*,そう,ソ,ソ,i
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,i
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,i
、	記号,読点,*,*,*,*,、,、,、,i
うん	感動詞,*,*,*,*,*,うん,ウン,ウン,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
え	感動詞,*,*,*,*,*,え,エ,エ,i
、	記号,読点,*,*,*,*,、,、,、,i
じゃあ	接続詞,*,*,*,*,*,じゃあ,ジャア,ジャー,i
一番	名詞,副詞可能,*,*,*,*,一番,イチバン,イチバン,i
大変	名詞,形容動詞語幹,*,*,*,*,大変,タイヘン,タイヘン,i
やっ	助動詞,*,*,*,特殊・ヤ,連用タ接続,や,ヤッ,ヤッ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
時	名詞,非自立,副詞可能,*,*,*,時,トキ,トキ,i
、	記号,読点,*,*,*,*,、,、,、,i
大変	名詞,形容動詞語幹,*,*,*,*,大変,タイヘン,タイヘン,i
やっ	助動詞,*,*,*,特殊・ヤ,連用タ接続,や,ヤッ,ヤッ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
こと	名詞,非自立,一般,*,*,*,こと,コト,コト,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
出来事	名詞,一般,*,*,*,*,出来事,デキゴト,デキゴト,i
みたい	名詞,非自立,形容動詞語幹,*,*,*,みたい,ミタイ,ミタイ,i
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
大変	名詞,形容動詞語幹,*,*,*,*,大変,タイヘン,タイヘン,s
やっ	助動詞,*,*,*,特殊・ヤ,連用タ接続,や,ヤッ,ヤッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
こと	名詞,非自立,一般,*,*,*,こと,コト,コト,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
、	記号,読点,*,*,*,*,、,、,、,s
だから	接続詞,*,*,*,*,*,だから,ダカラ,ダカラ,s
結局	名詞,副詞可能,*,*,*,*,結局,ケッキョク,ケッキョク,s
、	記号,読点,*,*,*,*,、,、,、,s
あのー	フィラー,*,*,*,*,*,あのー,アノー,アノー,s
、	記号,読点,*,*,*,*,、,、,、,s
人	名詞,一般,*,*,*,*,人,ヒト,ヒト,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
少ない	形容詞,自立,*,*,形容詞・アウオ段,基本形,少ない,スクナイ,スクナイ,s
わけ	名詞,非自立,一般,*,*,*,わけ,ワケ,ワケ,s
、	記号,読点,*,*,*,*,、,、,、,s
ずっと	副詞,一般,*,*,*,*,ずっと,ズット,ズット,s
少ない	形容詞,自立,*,*,形容詞・アウオ段,基本形,少ない,スクナイ,スクナイ,s
ねん	助詞,終助詞,*,*,*,*,ねん,ネン,ネン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
だから	接続詞,*,*,*,*,*,だから,ダカラ,ダカラ,s
担当	名詞,サ変接続,*,*,*,*,担当,タントウ,タントー,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
担当	名詞,サ変接続,*,*,*,*,担当,タントウ,タントー,s
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,s
、	記号,読点,*,*,*,*,、,、,、,s
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
、	記号,読点,*,*,*,*,、,、,、,s
そのー	フィラー,*,*,*,*,*,そのー,ソノー,ソノー,s
、	記号,読点,*,*,*,*,、,、,、,s
一つ	名詞,一般,*,*,*,*,一つ,ヒトツ,ヒトツ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
件	名詞,接尾,助数詞,*,*,*,件,ケン,ケン,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
一つ	名詞,一般,*,*,*,*,一つ,ヒトツ,ヒトツ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
品目	名詞,一般,*,*,*,*,品目,ヒンモク,ヒンモク,s
っ	助詞,格助詞・縮約形,連語,*,*,*,って,ッ,ッ,s
つう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,イウ,ツー,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
、	記号,読点,*,*,*,*,、,、,、,s
それ	名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
担当	名詞,サ変接続,*,*,*,*,担当,タントウ,タントー,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
期間	名詞,一般,*,*,*,*,期間,キカン,キカン,s
ずーっと	副詞,一般,*,*,*,*,ずーっと,ズーット,ズーット,s
それ	名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,s
ばっかり	助詞,副助詞,*,*,*,*,ばっかり,バッカリ,バッカリ,s
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,s
わけ	名詞,非自立,一般,*,*,*,わけ,ワケ,ワケ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
うん	感動詞,*,*,*,*,*,うん,ウン,ウン,i
うん	感動詞,*,*,*,*,*,うん,ウン,ウン,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
で	接続詞,*,*,*,*,*,で,デ,デ,s
、	記号,読点,*,*,*,*,、,、,、,s
あのー	フィラー,*,*,*,*,*,あのー,アノー,アノー,s
、	記号,読点,*,*,*,*,、,、,、,s
それだけ	副詞,助詞類接続,*,*,*,*,それだけ,ソレダケ,ソレダケ,s
ちごう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,違う,チゴウ,チゴー,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
他	名詞,副詞可能,*,*,*,*,他,ホカ,ホカ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
もの	名詞,非自立,一般,*,*,*,もの,モノ,モノ,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
、	記号,読点,*,*,*,*,、,、,、,s
一人	名詞,一般,*,*,*,*,一人,ヒトリ,ヒトリ,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
何	名詞,代名詞,一般,*,*,*,何,ナニ,ナニ,s
品目	名詞,一般,*,*,*,*,品目,ヒンモク,ヒンモク,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
扱わ	動詞,自立,*,*,五段・ワ行促音便,未然形,扱う,アツカワ,アツカワ,s
な	助動詞,*,*,*,特殊・ナイ,仮定形・縮約形,な,ナ,ナ,s
や	助詞,終助詞,*,*,*,*,や,ヤ,ヤ,s
し	助詞,接続助詞,*,*,*,*,し,シ,シ,s
、	記号,読点,*,*,*,*,、,、,、,s
で	接続詞,*,*,*,*,*,で,デ,デ,s
、	記号,読点,*,*,*,*,、,、,、,s
それ	名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
あのー	フィラー,*,*,*,*,*,あのー,アノー,アノー,s
、	記号,読点,*,*,*,*,、,、,、,s
多い	形容詞,自立,*,*,形容詞・アウオ段,基本形,多い,オオイ,オーイ,s
時	名詞,非自立,副詞可能,*,*,*,時,トキ,トキ,s
なんか	助詞,副助詞,*,*,*,*,なんか,ナンカ,ナンカ,s
やっ	助動詞,*,*,*,特殊・ヤ,連用タ接続,や,ヤッ,ヤッ,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
、	記号,読点,*,*,*,*,、,、,、,s
やっぱ	副詞,一般,*,*,*,*,やっぱ,ヤッパ,ヤッパ,s
、	記号,読点,*,*,*,*,、,、,、,s
これから	副詞,助詞類接続,*,*,*,*,これから,コレカラ,コレカラ,s
先	名詞,一般,*,*,*,*,先,サキ,サキ,s
また	接続詞,*,*,*,*,*,また,マタ,マタ,s
桃	名詞,一般,*,*,*,*,桃,モモ,モモ,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
出	動詞,自立,*,*,一段,連用形,出る,デ,デ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
き	動詞,非自立,*,*,カ変・クル,連用形,くる,キ,キ,s
よっ	動詞,自立,*,*,五段・ラ行,連用タ接続,よる,ヨッ,ヨッ,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
、	記号,読点,*,*,*,*,、,、,、,s
一	名詞,数,*,*,*,*,一,イチ,イチ,s
日	名詞,接尾,助数詞,*,*,*,日,ニチ,ニチ,s
、	記号,読点,*,*,*,*,、,、,、,s
千	名詞,数,*,*,*,*,千,セン,セン,s
杯	名詞,接尾,助数詞,*,*,*,杯,ハイ,ハイ,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
千	名詞,数,*,*,*,*,千,セン,セン,i
杯	名詞,接尾,助数詞,*,*,*,杯,ハイ,ハイ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
千	名詞,数,*,*,*,*,千,セン,セン,i
杯	名詞,接尾,助数詞,*,*,*,杯,ハイ,ハイ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
うん	感動詞,*,*,*,*,*,うん,ウン,ウン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
売っ	動詞,自立,*,*,五段・ラ行,連用タ接続,売る,ウッ,ウッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
いか	動詞,非自立,*,*,五段・カ行促音便,未然形,いく,イカ,イカ,s
な	助動詞,*,*,*,特殊・ナイ,仮定形・縮約形,な,ナ,ナ,s
あか	動詞,非自立,*,*,五段・カ行イ音便,未然形,あく,アカ,アカ,s
ん	助動詞,*,*,*,特殊・ナイ,基本形,ん,ン,ン,s
ねん	助詞,終助詞,*,*,*,*,ねん,ネン,ネン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
一人	名詞,一般,*,*,*,*,一人,ヒトリ,ヒトリ,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
や	助詞,終助詞,*,*,*,*,や,ヤ,ヤ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
んで	接続詞,*,*,*,*,*,んで,ンデ,ンデ,s
、	記号,読点,*,*,*,*,、,、,、,s
あのー	フィラー,*,*,*,*,*,あのー,アノー,アノー,s
、	記号,読点,*,*,*,*,、,、,、,s
それだけ	副詞,助詞類接続,*,*,*,*,それだけ,ソレダケ,ソレダケ,s
ちごう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,違う,チゴウ,チゴー,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
他	名詞,副詞可能,*,*,*,*,他,ホカ,ホカ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
あのー	フィラー,*,*,*,*,*,あのー,アノー,アノー,s
、	記号,読点,*,*,*,*,、,、,、,s
ブドウ	名詞,一般,*,*,*,*,ブドウ,ブドウ,ブドー,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
あっ	動詞,自立,*,*,五段・ラ行,連用タ接続,ある,アッ,アッ,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
いろんな	連体詞,*,*,*,*,*,いろんな,イロンナ,イロンナ,s
品目	名詞,一般,*,*,*,*,品目,ヒンモク,ヒンモク,s
あっ	動詞,自立,*,*,五段・ラ行,連用タ接続,ある,アッ,アッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
それ	名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
一人	名詞,一般,*,*,*,*,一人,ヒトリ,ヒトリ,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
みんな	名詞,代名詞,一般,*,*,*,みんな,ミンナ,ミンナ,s
やっ	動詞,自立,*,*,五段・ラ行,連用タ接続,やる,ヤッ,ヤッ,s
とる	動詞,非自立,*,*,五段・ラ行,基本形・縮約形,て＋おる,トル,トル,s
わけ	名詞,非自立,一般,*,*,*,わけ,ワケ,ワケ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
そのうち	副詞,一般,*,*,*,*,そのうち,ソノウチ,ソノウチ,s
一つ	名詞,一般,*,*,*,*,一つ,ヒトツ,ヒトツ,s
やっ	動詞,自立,*,*,五段・ラ行,連用タ接続,やる,ヤッ,ヤッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
いか	動詞,非自立,*,*,五段・カ行促音便,未然形,いく,イカ,イカ,s
な	助動詞,*,*,*,特殊・ナイ,仮定形・縮約形,な,ナ,ナ,s
あか	動詞,非自立,*,*,五段・カ行イ音便,未然形,あく,アカ,アカ,s
ん	助動詞,*,*,*,特殊・ナイ,基本形,ん,ン,ン,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
、	記号,読点,*,*,*,*,、,、,、,s
あの	フィラー,*,*,*,*,*,あの,アノ,アノ,s
、	記号,読点,*,*,*,*,、,、,、,s
冬場	名詞,一般,*,*,*,*,冬場,フユバ,フユバ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
結構	副詞,一般,*,*,*,*,結構,ケッコウ,ケッコー,s
、	記号,読点,*,*,*,*,、,、,、,s
あの	フィラー,*,*,*,*,*,あの,アノ,アノ,s
、	記号,読点,*,*,*,*,、,、,、,s
果物	名詞,一般,*,*,*,*,果物,クダモノ,クダモノ,s
て	助詞,格助詞・縮約形,引用,*,*,*,って,テ,テ,s
あら	動詞,自立,*,*,五段・ラ行,未然形,ある,アラ,アラ,s
へん	助動詞,*,*,*,特殊・ナイ,基本形,へん,ヘン,ヘン,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
、	記号,読点,*,*,*,*,、,、,、,s
暇	名詞,形容動詞語幹,*,*,*,*,暇,ヒマ,ヒマ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
夏場	名詞,一般,*,*,*,*,夏場,ナツバ,ナツバ,s
ん	助詞,格助詞,一般,*,*,*,ん,ン,ン,s
なっ	動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
、	記号,読点,*,*,*,*,、,、,、,s
また	接続詞,*,*,*,*,*,また,マタ,マタ,s
これ	名詞,代名詞,一般,*,*,*,これ,コレ,コレ,s
、	記号,読点,*,*,*,*,、,、,、,s
夏場	名詞,一般,*,*,*,*,夏場,ナツバ,ナツバ,s
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ,s
秋口	名詞,一般,*,*,*,*,秋口,アキグチ,アキグチ,s
なっ	動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
かなり	副詞,一般,*,*,*,*,かなり,カナリ,カナリ,s
忙しく	形容詞,自立,*,*,形容詞・イ段,連用テ接続,忙しい,イソガシク,イソガシク,s
なる	動詞,自立,*,*,五段・ラ行,基本形,なる,ナル,ナル,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
年がら年中	副詞,一般,*,*,*,*,年がら年中,ネンガラネンジュウ,ネンガラネンジュー,i
忙しい	形容詞,自立,*,*,形容詞・イ段,基本形,忙しい,イソガシイ,イソガシイ,i
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,i
こと	名詞,非自立,一般,*,*,*,こと,コト,コト,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
入社	名詞,サ変接続,*,*,*,*,入社,ニュウシャ,ニューシャ,i
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
何	名詞,代名詞,一般,*,*,*,何,ナニ,ナニ,i
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
だから	接続詞,*,*,*,*,*,だから,ダカラ,ダカラ,s
、	記号,読点,*,*,*,*,、,、,、,s
あれ	名詞,代名詞,一般,*,*,*,あれ,アレ,アレ,s
はー	感動詞,*,*,*,*,*,はー,ハア,ハー,s
、	記号,読点,*,*,*,*,、,、,、,s
何	名詞,代名詞,一般,*,*,*,何,ナニ,ナニ,s
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
茂子	名詞,固有名詞,人名,名,*,*,茂子,シゲコ,シゲコ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
なんぼ	副詞,助詞類接続,*,*,*,*,なんぼ,ナンボ,ナンボ,s
、	記号,読点,*,*,*,*,、,、,、,s
二	名詞,数,*,*,*,*,二,ニ,ニ,s
十	名詞,数,*,*,*,*,十,ジュウ,ジュー,s
、	記号,読点,*,*,*,*,、,、,、,s
二	名詞,数,*,*,*,*,二,ニ,ニ,s
十	名詞,数,*,*,*,*,十,ジュウ,ジュー,s
七	名詞,数,*,*,*,*,七,ナナ,ナナ,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ほんなら	接続詞,*,*,*,*,*,ほんなら,ホンナラ,ホンナラ,s
、	記号,読点,*,*,*,*,、,、,、,s
二	名詞,数,*,*,*,*,二,ニ,ニ,s
十	名詞,数,*,*,*,*,十,ジュウ,ジュー,s
九	名詞,数,*,*,*,*,九,キュウ,キュー,s
、	記号,読点,*,*,*,*,、,、,、,s
二	名詞,数,*,*,*,*,二,ニ,ニ,s
十	名詞,数,*,*,*,*,十,ジュウ,ジュー,s
九	名詞,数,*,*,*,*,九,キュウ,キュー,s
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
なん	動詞,自立,*,*,五段・ラ行撥音便,基本形,なる,ナン,ナン,s
の	助詞,終助詞,*,*,*,*,の,ノ,ノ,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
二	名詞,数,*,*,*,*,二,ニ,ニ,i
十	名詞,数,*,*,*,*,十,ジュウ,ジュー,i
九	名詞,数,*,*,*,*,九,キュウ,キュー,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
せ	副詞,助詞類接続・短音化,*,*,*,*,そう,セ,セ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
なー	助詞,終助詞,*,*,*,*,なー,ナー,ナー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
二	名詞,数,*,*,*,*,二,ニ,ニ,s
十	名詞,数,*,*,*,*,十,ジュウ,ジュー,s
九	名詞,数,*,*,*,*,九,キュウ,キュー,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
何で	副詞,一般,*,*,*,*,何で,ナンデ,ナンデ,i
そこ	名詞,代名詞,一般,*,*,*,そこ,ソコ,ソコ,i
行こ	動詞,自立,*,*,五段・カ行促音便,未然ウ接続,行く,イコ,イコ,i
う	助動詞,*,*,*,不変化型,基本形,う,ウ,ウ,i
と	助詞,格助詞,一般,*,*,*,と,ト,ト,i
思っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,思う,オモッ,オモッ,i
たん	助動詞,*,*,*,特殊・タ,基本形,たん,タン,タン,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
じゃあ	接続詞,*,*,*,*,*,じゃあ,ジャア,ジャー,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,i
大学	名詞,一般,*,*,*,*,大学,ダイガク,ダイガク,i
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
いや	感動詞,*,*,*,*,*,いや,イヤ,イヤ,s
だから	接続詞,*,*,*,*,*,だから,ダカラ,ダカラ,s
、	記号,読点,*,*,*,*,、,、,、,s
あのー	フィラー,*,*,*,*,*,あのー,アノー,アノー,s
元々	副詞,助詞類接続,*,*,*,*,元々,モトモト,モトモト,s
うち	名詞,代名詞,一般,*,*,*,うち,ウチ,ウチ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
農家	名詞,一般,*,*,*,*,農家,ノウカ,ノーカ,s
やっ	助動詞,*,*,*,特殊・ヤ,連用タ接続,や,ヤッ,ヤッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
、	記号,読点,*,*,*,*,、,、,、,s
あのー	フィラー,*,*,*,*,*,あのー,アノー,アノー,s
、	記号,読点,*,*,*,*,、,、,、,s
ほかに	副詞,一般,*,*,*,*,ほかに,ホカニ,ホカニ,s
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
文系	名詞,一般,*,*,*,*,文系,ブンケイ,ブンケイ,s
理系	名詞,一般,*,*,*,*,理系,リケイ,リケイ,s
