では	接続詞,*,*,*,*,*,では,デハ,デワ,i
ので	助詞,接続助詞,*,*,*,*,ので,ノデ,ノデ,s
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
ちょっと	副詞,助詞類接続,*,*,*,*,ちょっと,チョット,チョット,s
あのー	フィラー,*,*,*,*,*,あのー,アノー,アノー,s
、	記号,読点,*,*,*,*,、,、,、,s
常識	名詞,一般,*,*,*,*,常識,ジョウシキ,ジョーシキ,s
と	助詞,格助詞,一般,*,*,*,と,ト,ト,s
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,イウ,イウ,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
マナー	名詞,一般,*,*,*,*,マナー,マナー,マナー,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
身	名詞,一般,*,*,*,*,身,ミ,ミ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
つけ	動詞,自立,*,*,一段,連用形,つける,ツケ,ツケ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
失礼	名詞,形容動詞語幹,*,*,*,*,失礼,シツレイ,シツレイ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,s
落ち着い	動詞,自立,*,*,五段・カ行イ音便,連用タ接続,落ち着く,オチツイ,オチツイ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
女性	名詞,一般,*,*,*,*,女性,ジョセイ,ジョセイ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
なり	動詞,自立,*,*,五段・ラ行,連用形,なる,ナリ,ナリ,s
たい	助動詞,*,*,*,特殊・タイ,基本形,たい,タイ,タイ,s
と	助詞,格助詞,一般,*,*,*,と,ト,ト,s
思っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,思う,オモッ,オモッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
おり	動詞,非自立,*,*,五段・ラ行,連用形,おる,オリ,オリ,s
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
常識	名詞,一般,*,*,*,*,常識,ジョウシキ,ジョーシキ,i
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,i
例えば	接続詞,*,*,*,*,*,例えば,タトエバ,タトエバ,i
何	名詞,代名詞,一般,*,*,*,何,ナニ,ナニ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
常識	名詞,一般,*,*,*,*,常識,ジョウシキ,ジョーシキ,s
、	記号,読点,*,*,*,*,、,、,、,s
うーん	感動詞,*,*,*,*,*,うーん,ウーン,ウーン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
まあ	フィラー,一般,*,*,*,*,まあ,マア,マー,s
生活	名詞,サ変接続,*,*,*,*,生活,セイカツ,セイカツ,s
面	名詞,接尾,助数詞,*,*,*,面,メン,メン,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
おい	動詞,自立,*,*,一段,連用形,おいる,オイ,オイ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
敬語	名詞,一般,*,*,*,*,敬語,ケイゴ,ケイゴ,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
そのー	フィラー,*,*,*,*,*,そのー,ソノー,ソノー,s
、	記号,読点,*,*,*,*,、,、,、,s
歳上	名詞,形容動詞語幹,*,*,*,*,歳上,トシウエ,トシウエ,s
に対する	助詞,格助詞,連語,*,*,*,に対する,ニタイスル,ニタイスル,s
態度	名詞,一般,*,*,*,*,態度,タイド,タイド,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
色々	副詞,助詞類接続,*,*,*,*,色々,イロイロ,イロイロ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
メール	名詞,一般,*,*,*,*,メール,メール,メール,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
送り	動詞,自立,*,*,五段・ラ行,連用形,送る,オクリ,オクリ,s
方	名詞,非自立,一般,*,*,*,方,ホウ,ホー,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
とりあえず	副詞,助詞類接続,*,*,*,*,とりあえず,トリアエズ,トリアエズ,s
まとも	名詞,形容動詞語幹,*,*,*,*,まとも,マトモ,マトモ,s
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,s
レベル	名詞,一般,*,*,*,*,レベル,レベル,レベル,s
まで	助詞,副助詞,*,*,*,*,まで,マデ,マデ,s
達し	動詞,自立,*,*,五段・サ行,連用形,達す,タッシ,タッシ,s
たい	助動詞,*,*,*,特殊・タイ,基本形,たい,タイ,タイ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
と	助詞,格助詞,一般,*,*,*,と,ト,ト,s
思い	動詞,自立,*,*,五段・ワ行促音便,連用形,思う,オモイ,オモイ,s
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス,s
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
今	名詞,副詞可能,*,*,*,*,今,イマ,イマ,i
なんか	助詞,副助詞,*,*,*,*,なんか,ナンカ,ナンカ,i
それで	接続詞,*,*,*,*,*,それで,ソレデ,ソレデ,i
失敗	名詞,サ変接続,*,*,*,*,失敗,シッパイ,シッパイ,i
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
こと	名詞,非自立,一般,*,*,*,こと,コト,コト,i
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,i
あっ	動詞,自立,*,*,五段・ラ行,連用タ接続,ある,アッ,アッ,i
たん	助動詞,*,*,*,特殊・タ,基本形,たん,タン,タン,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
いーや	感動詞,*,*,*,*,*,いーや,イーヤ,イーヤ,s
、	記号,読点,*,*,*,*,、,、,、,s
でも	接続詞,*,*,*,*,*,でも,デモ,デモ,s
そんなに	副詞,一般,*,*,*,*,そんなに,ソンナニ,ソンナニ,s
めっちゃ	副詞,一般,*,*,*,*,めっちゃ,メッチャ,メッチャ,s
失敗	名詞,サ変接続,*,*,*,*,失敗,シッパイ,シッパイ,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
こと	名詞,非自立,一般,*,*,*,こと,コト,コト,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
なかっ	助動詞,*,*,*,特殊・ナイ,連用タ接続,ない,ナカッ,ナカッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
バイト	名詞,一般,*,*,*,*,バイト,バイト,バイト,s
始め	動詞,自立,*,*,一段,連用形,始める,ハジメ,ハジメ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
ばっかり	助詞,副助詞,*,*,*,*,ばっかり,バッカリ,バッカリ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
頃	名詞,非自立,副詞可能,*,*,*,頃,コロ,コロ,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
一	名詞,数,*,*,*,*,一,イチ,イチ,s
回	名詞,接尾,助数詞,*,*,*,回,カイ,カイ,s
注意	名詞,サ変接続,*,*,*,*,注意,チュウイ,チューイ,s
さ	動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ,s
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
なんか	助詞,副助詞,*,*,*,*,なんか,ナンカ,ナンカ,s
「	記号,括弧開,*,*,*,*,「,「,「,s
あそこ	名詞,代名詞,一般,*,*,*,あそこ,アソコ,アソコ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
お客	名詞,一般,*,*,*,*,お客,オキャク,オキャク,s
さん	名詞,接尾,人名,*,*,*,さん,サン,サン,s
ねー	助詞,終助詞,*,*,*,*,ねー,ネー,ネー,s
」	記号,括弧閉,*,*,*,*,」,」,」,s
みたい	名詞,非自立,形容動詞語幹,*,*,*,みたい,ミタイ,ミタイ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
「	記号,括弧開,*,*,*,*,「,「,「,s
持っ	動詞,自立,*,*,五段・タ行,連用タ接続,持つ,モッ,モッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ,s
」	記号,括弧閉,*,*,*,*,」,」,」,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
言わ	動詞,自立,*,*,五段・ワ行促音便,未然形,言う,イワ,イワ,s
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
時	名詞,非自立,副詞可能,*,*,*,時,トキ,トキ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
めちゃめちゃ	副詞,一般,*,*,*,*,めちゃめちゃ,メチャメチャ,メチャメチャ,s
指	名詞,一般,*,*,*,*,指,ユビ,ユビ,s
差し	動詞,自立,*,*,五段・サ行,連用形,差す,サシ,サシ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
「	記号,括弧開,*,*,*,*,「,「,「,s
あそこ	名詞,代名詞,一般,*,*,*,あそこ,アソコ,アソコ,s
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
」	記号,括弧閉,*,*,*,*,」,」,」,s
みたい	名詞,非自立,形容動詞語幹,*,*,*,みたい,ミタイ,ミタイ,s
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,s
感じ	名詞,一般,*,*,*,*,感じ,カンジ,カンジ,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
言っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,言う,イッ,イッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
こと	名詞,非自立,一般,*,*,*,こと,コト,コト,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
あっ	動詞,自立,*,*,五段・ラ行,連用タ接続,ある,アッ,アッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
それで	接続詞,*,*,*,*,*,それで,ソレデ,ソレデ,s
「	記号,括弧開,*,*,*,*,「,「,「,s
指	名詞,一般,*,*,*,*,指,ユビ,ユビ,s
差し	動詞,自立,*,*,五段・サ行,連用形,差す,サシ,サシ,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
あか	動詞,非自立,*,*,五段・カ行イ音便,未然形,あく,アカ,アカ,s
ん	助動詞,*,*,*,特殊・ナイ,基本形,ん,ン,ン,s
」	記号,括弧閉,*,*,*,*,」,」,」,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
言わ	動詞,自立,*,*,五段・ワ行促音便,未然形,言う,イワ,イワ,s
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
こと	名詞,非自立,一般,*,*,*,こと,コト,コト,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
あー	フィラー,*,*,*,*,*,あー,アー,アー,i
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
ほん	感動詞,*,*,*,*,*,ほん,ホン,ホン,i
じゃあ	接続詞,*,*,*,*,*,じゃあ,ジャア,ジャー,i
さ	助詞,終助詞,*,*,*,*,さ,サ,サ,i
、	記号,読点,*,*,*,*,、,、,、,i
子ども	名詞,一般,*,*,*,*,子ども,コドモ,コドモ,i
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,i
時	名詞,非自立,副詞可能,*,*,*,時,トキ,トキ,i
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,i
想像	名詞,サ変接続,*,*,*,*,想像,ソウゾウ,ソーゾー,i
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
二	名詞,数,*,*,*,*,二,ニ,ニ,i
十	名詞,数,*,*,*,*,十,ジュウ,ジュー,i
歳	名詞,接尾,助数詞,*,*,*,歳,サイ,サイ,i
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,i
どんなん	名詞,一般,副詞可能,*,*,*,どんなん,ドンナン,ドンナン,i
やっ	助動詞,*,*,*,特殊・ヤ,連用タ接続,や,ヤッ,ヤッ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
えー	フィラー,*,*,*,*,*,えー,エー,エー,s
、	記号,読点,*,*,*,*,、,、,、,s
いや	感動詞,*,*,*,*,*,いや,イヤ,イヤ,s
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
私	名詞,代名詞,一般,*,*,*,私,ワタシ,ワタシ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
十	名詞,数,*,*,*,*,十,ジュウ,ジュー,s
歳	名詞,接尾,助数詞,*,*,*,歳,サイ,サイ,s
ぐらい	助詞,副助詞,*,*,*,*,ぐらい,グライ,グライ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
頃	名詞,非自立,副詞可能,*,*,*,頃,コロ,コロ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
、	記号,読点,*,*,*,*,、,、,、,s
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
十	名詞,数,*,*,*,*,十,ジュウ,ジュー,s
五	名詞,数,*,*,*,*,五,ゴ,ゴ,s
歳	名詞,接尾,助数詞,*,*,*,歳,サイ,サイ,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
過ぎ	動詞,自立,*,*,一段,連用形,過ぎる,スギ,スギ,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
おばさん	名詞,一般,*,*,*,*,おばさん,オバサン,オバサン,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
ぐらい	助詞,副助詞,*,*,*,*,ぐらい,グライ,グライ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
レベル	名詞,一般,*,*,*,*,レベル,レベル,レベル,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
思っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,思う,オモッ,オモッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
二	名詞,数,*,*,*,*,二,ニ,ニ,s
十	名詞,数,*,*,*,*,十,ジュウ,ジュー,s
歳	名詞,接尾,助数詞,*,*,*,歳,サイ,サイ,s
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
全然	副詞,助詞類接続,*,*,*,*,全然,ゼンゼン,ゼンゼン,s
想像	名詞,サ変接続,*,*,*,*,想像,ソウゾウ,ソーゾー,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
なく	助動詞,*,*,*,特殊・ナイ,連用テ接続,ない,ナク,ナク,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
だから	接続詞,*,*,*,*,*,だから,ダカラ,ダカラ,s
全然	副詞,助詞類接続,*,*,*,*,全然,ゼンゼン,ゼンゼン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
なん	名詞,代名詞,一般,*,*,*,なん,ナン,ナン,s
やろ	助動詞,*,*,*,特殊・ヤ,未然形,や,ヤロ,ヤロ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
もっと	副詞,一般,*,*,*,*,もっと,モット,モット,s
大人	名詞,一般,*,*,*,*,大人,オトナ,オトナ,s
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,s
想像	名詞,サ変接続,*,*,*,*,想像,ソウゾウ,ソーゾー,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
かも	助詞,副助詞,*,*,*,*,かも,カモ,カモ,s
しれ	動詞,自立,*,*,一段,未然形,しれる,シレ,シレ,s
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
実際	名詞,一般,*,*,*,*,実際,ジッサイ,ジッサイ,i
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,i
二	名詞,数,*,*,*,*,二,ニ,ニ,i
十	名詞,数,*,*,*,*,十,ジュウ,ジュー,i
歳	名詞,接尾,助数詞,*,*,*,歳,サイ,サイ,i
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,i
なっ	動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
み	動詞,非自立,*,*,一段,連用形,みる,ミ,ミ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
大人	名詞,一般,*,*,*,*,大人,オトナ,オトナ,i
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,i
思う	動詞,自立,*,*,五段・ワ行促音便,基本形,思う,オモウ,オモー,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
いや	感動詞,*,*,*,*,*,いや,イヤ,イヤ,s
全然	副詞,助詞類接続,*,*,*,*,全然,ゼンゼン,ゼンゼン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
まあ	フィラー,一般,*,*,*,*,まあ,マア,マー,s
そら	名詞,代名詞・縮約形,*,*,*,*,それは,ソラ,ソラ,s
小ちゃい	形容詞,自立,*,*,形容詞・アウオ段,基本形,小ちゃい,チイチャイ,チイチャイ,s
頃	名詞,非自立,副詞可能,*,*,*,頃,コロ,コロ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
比べ	動詞,自立,*,*,一段,連用形,比べる,クラベ,クラベ,s
たら	助動詞,*,*,*,特殊・タ,仮定形,た,タラ,タラ,s
成長	名詞,サ変接続,*,*,*,*,成長,セイチョウ,セイチョー,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
でも	接続詞,*,*,*,*,*,でも,デモ,デモ,s
全然	副詞,助詞類接続,*,*,*,*,全然,ゼンゼン,ゼンゼン,s
こんな	連体詞,*,*,*,*,*,こんな,コンナ,コンナ,s
もん	名詞,非自立,一般,*,*,*,もん,モン,モン,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
みたい	名詞,非自立,形容動詞語幹,*,*,*,みたい,ミタイ,ミタイ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
、	記号,読点,*,*,*,*,、,、,、,s
感じ	名詞,一般,*,*,*,*,感じ,カンジ,カンジ,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
じゃあ	接続詞,*,*,*,*,*,じゃあ,ジャア,ジャー,i
里花	名詞,固有名詞,人名,名,*,*,里花,リカ,リカ,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
どこ	名詞,代名詞,一般,*,*,*,どこ,ドコ,ドコ,i
出身	名詞,一般,*,*,*,*,出身,シュッシン,シュッシン,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
京都	名詞,固有名詞,一般,*,*,*,京都,キョウト,キョート,s
出身	名詞,一般,*,*,*,*,出身,シュッシン,シュッシン,s
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ずっと	副詞,一般,*,*,*,*,ずっと,ズット,ズット,i
京都	名詞,固有名詞,一般,*,*,*,京都,キョウト,キョート,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
ずっと	副詞,一般,*,*,*,*,ずっと,ズット,ズット,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
三田	名詞,固有名詞,地域,一般,*,*,三田,ミタ,ミタ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
来る	動詞,自立,*,*,カ変・来ル,基本形,来る,クル,クル,s
まで	助詞,副助詞,*,*,*,*,まで,マデ,マデ,s
ずっと	副詞,一般,*,*,*,*,ずっと,ズット,ズット,s
京都	名詞,固有名詞,一般,*,*,*,京都,キョウト,キョート,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,i
京都	名詞,固有名詞,一般,*,*,*,京都,キョウト,キョート,i
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,i
人	名詞,一般,*,*,*,*,人,ヒト,ヒト,i
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,i
特徴	名詞,一般,*,*,*,*,特徴,トクチョウ,トクチョー,i
とか	助詞,並立助詞,*,*,*,*,とか,トカ,トカ,i
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,i
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
京都	名詞,固有名詞,一般,*,*,*,京都,キョウト,キョート,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
人	名詞,一般,*,*,*,*,人,ヒト,ヒト,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
特徴	名詞,一般,*,*,*,*,特徴,トクチョウ,トクチョー,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
、	記号,読点,*,*,*,*,、,、,、,s
京都	名詞,固有名詞,一般,*,*,*,京都,キョウト,キョート,s
人	名詞,一般,*,*,*,*,人,ヒト,ヒト,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
絶対	副詞,一般,*,*,*,*,絶対,ゼッタイ,ゼッタイ,s
京都	名詞,固有名詞,一般,*,*,*,京都,キョウト,キョート,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
どこ	名詞,代名詞,一般,*,*,*,どこ,ドコ,ドコ,s
より	助詞,格助詞,一般,*,*,*,より,ヨリ,ヨリ,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
