え	感動詞,*,*,*,*,*,え,エ,エ,i
なん	名詞,代名詞,一般,*,*,*,なん,ナン,ナン,i
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
えーと	フィラー,*,*,*,*,*,えーと,エート,エート,s
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ,s
、	記号,読点,*,*,*,*,、,、,、,s
十	名詞,数,*,*,*,*,十,ジュウ,ジュー,s
二	名詞,数,*,*,*,*,二,ニ,ニ,s
月	名詞,一般,*,*,*,*,月,ガツ,ガツ,s
、	記号,読点,*,*,*,*,、,、,、,s
十	名詞,数,*,*,*,*,十,ジュウ,ジュー,s
二	名詞,数,*,*,*,*,二,ニ,ニ,s
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
十	名詞,数,*,*,*,*,十,ジュウ,ジュー,s
二	名詞,数,*,*,*,*,二,ニ,ニ,s
月	名詞,一般,*,*,*,*,月,ガツ,ガツ,s
だ	助動詞,*,*,*,特殊・タ,基本形,だ,ダ,ダ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
八	名詞,数,*,*,*,*,八,ハチ,ハチ,s
十	名詞,数,*,*,*,*,十,ジュウ,ジュー,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
昭和	名詞,固有名詞,一般,*,*,*,昭和,ショウワ,ショーワ,i
十	名詞,数,*,*,*,*,十,ジュウ,ジュー,i
二	名詞,数,*,*,*,*,二,ニ,ニ,i
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
十	名詞,数,*,*,*,*,十,ジュウ,ジュー,s
二	名詞,数,*,*,*,*,二,ニ,ニ,s
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
だから	接続詞,*,*,*,*,*,だから,ダカラ,ダカラ,s
もうすぐ	副詞,一般,*,*,*,*,もうすぐ,モウスグ,モースグ,s
、	記号,読点,*,*,*,*,、,、,、,s
八	名詞,数,*,*,*,*,八,ハチ,ハチ,s
十	名詞,数,*,*,*,*,十,ジュウ,ジュー,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
なる	動詞,自立,*,*,五段・ラ行,基本形,なる,ナル,ナル,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
だ	助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
、	記号,読点,*,*,*,*,、,、,、,s
今	名詞,副詞可能,*,*,*,*,今,イマ,イマ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
とこ	名詞,一般,*,*,*,*,とこ,トコ,トコ,s
七	名詞,数,*,*,*,*,七,ナナ,ナナ,s
十	名詞,数,*,*,*,*,十,ジュウ,ジュー,s
、	記号,読点,*,*,*,*,、,、,、,s
まだ	副詞,助詞類接続,*,*,*,*,まだ,マダ,マダ,s
九	名詞,数,*,*,*,*,九,キュウ,キュー,s
歳	名詞,接尾,助数詞,*,*,*,歳,サイ,サイ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
えー	フィラー,*,*,*,*,*,えー,エー,エー,i
じゃあ	接続詞,*,*,*,*,*,じゃあ,ジャア,ジャー,i
、	記号,読点,*,*,*,*,、,、,、,i
行っ	動詞,自立,*,*,五段・カ行促音便,連用タ接続,行く,イッ,イッ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,i
小学校	名詞,一般,*,*,*,*,小学校,ショウガッコウ,ショーガッコー,i
、	記号,読点,*,*,*,*,、,、,、,i
中学校	名詞,一般,*,*,*,*,中学校,チュウガッコウ,チューガッコー,i
、	記号,読点,*,*,*,*,、,、,、,i
高校	名詞,一般,*,*,*,*,高校,コウコウ,コーコー,i
と	助詞,並立助詞,*,*,*,*,と,ト,ト,i
専門	名詞,一般,*,*,*,*,専門,センモン,センモン,i
学校	名詞,一般,*,*,*,*,学校,ガッコウ,ガッコー,i
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,i
っけ	助詞,終助詞,*,*,*,*,っけ,ッケ,ッケ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
うん	感動詞,*,*,*,*,*,うん,ウン,ウン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
専門	名詞,一般,*,*,*,*,専門,センモン,センモン,s
学校	名詞,一般,*,*,*,*,学校,ガッコウ,ガッコー,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
小学校	名詞,一般,*,*,*,*,小学校,ショウガッコウ,ショーガッコー,i
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ,i
、	記号,読点,*,*,*,*,、,、,、,i
まず	副詞,一般,*,*,*,*,まず,マズ,マズ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
小学校	名詞,一般,*,*,*,*,小学校,ショウガッコウ,ショーガッコー,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
ねー	助詞,終助詞,*,*,*,*,ねー,ネー,ネー,s
、	記号,読点,*,*,*,*,、,、,、,s
姫島	名詞,固有名詞,地域,一般,*,*,姫島,ヒメシマ,ヒメシマ,s
小学校	名詞,一般,*,*,*,*,小学校,ショウガッコウ,ショーガッコー,s
、	記号,読点,*,*,*,*,、,、,、,s
それ	名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ,s
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ,s
あっ	動詞,自立,*,*,五段・ラ行,連用タ接続,ある,アッ,アッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
る	動詞,非自立,*,*,一段,基本形,る,ル,ル,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
小学校	名詞,一般,*,*,*,*,小学校,ショウガッコウ,ショーガッコー,i
名前	名詞,一般,*,*,*,*,名前,ナマエ,ナマエ,i
書い	動詞,自立,*,*,五段・カ行イ音便,連用タ接続,書く,カイ,カイ,i
てん	助詞,*,*,*,特殊・タ＋ん／接続・テ＋ん,基本形・縮約形,てん,テン,テン,i
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
西淀川	名詞,固有名詞,地域,一般,*,*,西淀川,ニシヨドガワ,ニシヨドガワ,i
区	名詞,接尾,助数詞,*,*,*,区,ク,ク,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
だけど	接続詞,*,*,*,*,*,だけど,ダケド,ダケド,s
、	記号,読点,*,*,*,*,、,、,、,s
姫島	名詞,固有名詞,地域,一般,*,*,姫島,ヒメシマ,ヒメシマ,s
小学校	名詞,一般,*,*,*,*,小学校,ショウガッコウ,ショーガッコー,s
、	記号,読点,*,*,*,*,、,、,、,s
姫島	名詞,固有名詞,地域,一般,*,*,姫島,ヒメシマ,ヒメシマ,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
とこ	名詞,一般,*,*,*,*,とこ,トコ,トコ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
住ん	動詞,自立,*,*,五段・マ行,連用タ接続,住む,スン,スン,s
で	助詞,接続助詞,*,*,*,*,で,デ,デ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
の	名詞,非自立,一般,*,*,*,の,ノ,ノ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
覚え	動詞,自立,*,*,一段,連用形,覚える,オボエ,オボエ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
る	動詞,非自立,*,*,一段,基本形,る,ル,ル,s
し	助詞,接続助詞,*,*,*,*,し,シ,シ,s
、	記号,読点,*,*,*,*,、,、,、,s
姫島	名詞,固有名詞,地域,一般,*,*,姫島,ヒメシマ,ヒメシマ,s
小学校	名詞,一般,*,*,*,*,小学校,ショウガッコウ,ショーガッコー,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
一年生	名詞,一般,*,*,*,*,一年生,イチネンセイ,イチネンセイ,s
だけ	助詞,副助詞,*,*,*,*,だけ,ダケ,ダケ,s
行っ	動詞,自立,*,*,五段・カ行促音便,連用タ接続,行く,イッ,イッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
よう	名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー,s
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ,s
気	名詞,非自立,一般,*,*,*,気,キ,キ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
二	名詞,数,*,*,*,*,二,ニ,ニ,i
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン,i
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
どこ	名詞,代名詞,一般,*,*,*,どこ,ドコ,ドコ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
だから	接続詞,*,*,*,*,*,だから,ダカラ,ダカラ,s
、	記号,読点,*,*,*,*,、,、,、,s
戦争	名詞,サ変接続,*,*,*,*,戦争,センソウ,センソー,s
中	名詞,接尾,一般,*,*,*,中,チュウ,チュー,s
だっ	助動詞,*,*,*,特殊・ダ,連用タ接続,だ,ダッ,ダッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ,s
学校	名詞,一般,*,*,*,*,学校,ガッコウ,ガッコー,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
行け	動詞,自立,*,*,一段,未然形,行ける,イケ,イケ,s
なかっ	助動詞,*,*,*,特殊・ナイ,連用タ接続,ない,ナカッ,ナカッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
し	助詞,接続助詞,*,*,*,*,し,シ,シ,s
、	記号,読点,*,*,*,*,、,、,、,s
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
逃げ回っ	動詞,自立,*,*,五段・ラ行,連用タ接続,逃げ回る,ニゲマワッ,ニゲマワッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
の	名詞,非自立,一般,*,*,*,の,ノ,ノ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
覚え	動詞,自立,*,*,一段,連用形,覚える,オボエ,オボエ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
る	動詞,非自立,*,*,一段,基本形,る,ル,ル,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
だ	助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
、	記号,読点,*,*,*,*,、,、,、,s
それから	接続詞,*,*,*,*,*,それから,ソレカラ,ソレカラ,s
愛媛	名詞,固有名詞,地域,一般,*,*,愛媛,エヒメ,エヒメ,s
県	名詞,接尾,地域,*,*,*,県,ケン,ケン,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
、	記号,読点,*,*,*,*,、,、,、,s
えーと	フィラー,*,*,*,*,*,えーと,エート,エート,s
、	記号,読点,*,*,*,*,、,、,、,s
おじいちゃん	名詞,一般,*,*,*,*,おじいちゃん,オジイチャン,オジーチャン,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
上垣	名詞,固有名詞,人名,姓,*,*,上垣,ウエガキ,ウエガキ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
おじいちゃん	名詞,一般,*,*,*,*,おじいちゃん,オジイチャン,オジーチャン,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
えーと	フィラー,*,*,*,*,*,えーと,エート,エート,s
出生	名詞,サ変接続,*,*,*,*,出生,シュッショウ,シュッショー,s
地	名詞,一般,*,*,*,*,地,チ,チ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
、	記号,読点,*,*,*,*,、,、,、,s
出生	名詞,サ変接続,*,*,*,*,出生,シュッショウ,シュッショー,s
地	名詞,一般,*,*,*,*,地,チ,チ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
なる	動詞,自立,*,*,五段・ラ行,基本形,なる,ナル,ナル,s
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
まちがえ	動詞,自立,*,*,一段,連用形,まちがえる,マチガエ,マチガエ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
愛媛	名詞,固有名詞,地域,一般,*,*,愛媛,エヒメ,エヒメ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
愛媛	名詞,固有名詞,地域,一般,*,*,愛媛,エヒメ,エヒメ,s
県	名詞,接尾,地域,*,*,*,県,ケン,ケン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
が	接続詞,*,*,*,*,*,が,ガ,ガ,i
、	記号,読点,*,*,*,*,、,、,、,i
小学校	名詞,一般,*,*,*,*,小学校,ショウガッコウ,ショーガッコー,i
二	名詞,数,*,*,*,*,二,ニ,ニ,i
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン,i
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,i
時	名詞,非自立,副詞可能,*,*,*,時,トキ,トキ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
小学校	名詞,一般,*,*,*,*,小学校,ショウガッコウ,ショーガッコー,s
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ,s
、	記号,読点,*,*,*,*,、,、,、,s
ちょうど	副詞,一般,*,*,*,*,ちょうど,チョウド,チョード,s
二	名詞,数,*,*,*,*,二,ニ,ニ,s
年生	名詞,接尾,助数詞,*,*,*,年生,ネンセイ,ネンセイ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
時	名詞,非自立,副詞可能,*,*,*,時,トキ,トキ,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
ねー	助詞,終助詞,*,*,*,*,ねー,ネー,ネー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
そこ	名詞,代名詞,一般,*,*,*,そこ,ソコ,ソコ,s
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ,s
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
愛媛	名詞,固有名詞,地域,一般,*,*,愛媛,エヒメ,エヒメ,s
県	名詞,接尾,地域,*,*,*,県,ケン,ケン,s
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,s
、	記号,読点,*,*,*,*,、,、,、,s
ずうっと	副詞,一般,*,*,*,*,ずっと,ズウット,ズーット,s
、	記号,読点,*,*,*,*,、,、,、,s
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
中学校	名詞,一般,*,*,*,*,中学校,チュウガッコウ,チューガッコー,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
愛媛	名詞,固有名詞,地域,一般,*,*,愛媛,エヒメ,エヒメ,s
県	名詞,接尾,地域,*,*,*,県,ケン,ケン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
中学	名詞,一般,*,*,*,*,中学,チュウガク,チューガク,i
も	助詞,係助詞,*,*,*,*,も,モ,モ,i
愛媛	名詞,固有名詞,地域,一般,*,*,愛媛,エヒメ,エヒメ,i
やっ	助動詞,*,*,*,特殊・ヤ,連用タ接続,や,ヤッ,ヤッ,i
たん	助動詞,*,*,*,特殊・タ,基本形,たん,タン,タン,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
そう	副詞,助詞類接続,*,*,*,*,そう,ソウ,ソー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
中学校	名詞,一般,*,*,*,*,中学校,チュウガッコウ,チューガッコー,s
卒業	名詞,サ変接続,*,*,*,*,卒業,ソツギョウ,ソツギョー,s
、	記号,読点,*,*,*,*,、,、,、,s
そこ	名詞,代名詞,一般,*,*,*,そこ,ソコ,ソコ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
島	名詞,一般,*,*,*,*,島,シマ,シマ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
中学	名詞,一般,*,*,*,*,中学,チュウガク,チューガク,s
しか	助詞,係助詞,*,*,*,*,しか,シカ,シカ,s
なくっ	助動詞,*,*,*,特殊・ナイ,連用テ接続,ない,ナクッ,ナクッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
、	記号,読点,*,*,*,*,、,、,、,s
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
上	名詞,非自立,副詞可能,*,*,*,上,ウエ,ウエ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
地方	名詞,一般,*,*,*,*,地方,チホウ,チホー,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
出	動詞,自立,*,*,一段,連用形,出る,デ,デ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
いか	動詞,非自立,*,*,五段・カ行促音便,未然形,いく,イカ,イカ,s
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,s
と	助詞,接続助詞,*,*,*,*,と,ト,ト,s
駄目	名詞,形容動詞語幹,*,*,*,*,駄目,ダメ,ダメ,s
だっ	助動詞,*,*,*,特殊・ダ,連用タ接続,だ,ダッ,ダッ,s
たん	助動詞,*,*,*,特殊・タ,基本形,たん,タン,タン,s
ので	助詞,接続助詞,*,*,*,*,ので,ノデ,ノデ,s
、	記号,読点,*,*,*,*,、,、,、,s
大阪	名詞,固有名詞,地域,一般,*,*,大阪,オオサカ,オーサカ,s
弁	名詞,接尾,一般,*,*,*,弁,ベン,ベン,s
で	助詞,格助詞,一般,*,*,*,で,デ,デ,s
しゃべろ	動詞,自立,*,*,五段・ラ行,未然ウ接続,しゃべる,シャベロ,シャベロ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
別に	副詞,一般,*,*,*,*,別に,ベツニ,ベツニ,i
ええ	形容詞,自立,*,*,形容詞・イイ,基本形,いい,エエ,エー,i
よ	助詞,終助詞,*,*,*,*,よ,ヨ,ヨ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
普通	名詞,形容動詞語幹,*,*,*,*,普通,フツウ,フツー,i
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,i
うん	感動詞,*,*,*,*,*,うん,ウン,ウン,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
だから	接続詞,*,*,*,*,*,だから,ダカラ,ダカラ,s
、	記号,読点,*,*,*,*,、,、,、,s
おばあちゃん	名詞,一般,*,*,*,*,おばあちゃん,オバアチャン,オバアチャン,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
えーと	フィラー,*,*,*,*,*,えーと,エート,エート,s
、	記号,読点,*,*,*,*,、,、,、,s
松山	名詞,一般,*,*,*,*,松山,マツヤマ,マツヤマ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
愛媛	名詞,固有名詞,地域,一般,*,*,愛媛,エヒメ,エヒメ,s
県	名詞,接尾,地域,*,*,*,県,ケン,ケン,s
松山	名詞,一般,*,*,*,*,松山,マツヤマ,マツヤマ,s
市	名詞,接尾,地域,*,*,*,市,シ,シ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
松山	名詞,一般,*,*,*,*,松山,マツヤマ,マツヤマ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
専門	名詞,一般,*,*,*,*,専門,センモン,センモン,s
学校	名詞,一般,*,*,*,*,学校,ガッコウ,ガッコー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
うん	感動詞,*,*,*,*,*,うん,ウン,ウン,s
、	記号,読点,*,*,*,*,、,、,、,s
簿記	名詞,一般,*,*,*,*,簿記,ボキ,ボキ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
専門	名詞,一般,*,*,*,*,専門,センモン,センモン,s
学校	名詞,一般,*,*,*,*,学校,ガッコウ,ガッコー,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
その	連体詞,*,*,*,*,*,その,ソノ,ソノ,s
頃	名詞,非自立,副詞可能,*,*,*,頃,コロ,コロ,s
簿記	名詞,一般,*,*,*,*,簿記,ボキ,ボキ,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,ユウ,ユー,s
の	名詞,非自立,一般,*,*,*,の,ノ,ノ,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
流行っ	動詞,自立,*,*,五段・ラ行,連用タ接続,流行る,ハヤッ,ハヤッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
