つ	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,いう,ツ,ツ
封切う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,封切る,フウギウ,フーギー
封切う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,封切る,フウキウ,フーキー
逃げまどう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,逃げまどう,ニゲマドウ,ニゲマドー
わりきう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,わりきる,ワリキウ,ワリキー
ひしめきおう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,ひしめきあう,ヒシメキオウ,ヒシメキオー
立おう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,立あう,タチオウ,タチオー
わきあごう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,わきあがる,ワキアゴウ,ワキアゴー
大人ぶう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,大人ぶる,オトナブウ,オトナブー
満う	動詞,自立,*,*,五段・タ行ウ音便,連用タ接続,満つ,ミウ,ミー
埋う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,埋る,ウモウ,ウモー
だまし取う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,だまし取る,ダマシトウ,ダマシトー
めしあごう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,めしあがる,メシアゴウ,メシアゴー
くしけずう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,くしけずる,クシケズウ,クシケズー
つみとう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,つみとる,ツミトウ,ツミトー
さだもう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,さだまる,サダモウ,サダモー
睨み合う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,睨み合う,ニラミオウ,ニラミオー
苛立う	動詞,自立,*,*,五段・タ行ウ音便,連用タ接続,苛立つ,イラドウ,イラドー
慮う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,慮る,オモンバコウ,オモンバコー
怖じ気立う	動詞,自立,*,*,五段・タ行ウ音便,連用タ接続,怖じ気立つ,オジケドウ,オジケドー
黙う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,黙る,ダモウ,ダモー
いりびとう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,いりびたる,イリビトウ,イリビトー
定もう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,定まる,サダモウ,サダモー
語りおう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,語りあう,カタリオウ,カタリオー
わとう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,わたる,ワトウ,ワトー
ヒネう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,ヒネる,ヒネウ,ヒネー
ふりつもう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,ふりつもる,フリツモウ,フリツモー
出合う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,出合う,デオウ,デオー
かぶしょう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,かぶさる,カブシヨウ,カブシヨー
這う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,這う,ホウ,ホー
縫う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,縫う,ヌウ,ヌー
すみわとう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,すみわたる,スミワトウ,スミワトー
ゆすぶう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,ゆすぶる,ユスブウ,ユスブー
はねあごう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,はねあがる,ハネアゴウ,ハネアゴー
やじう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,やじる,ヤジウ,ヤジー
みかぎう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,みかぎる,ミカギウ,ミカギー
食さごう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,食さがる,クイサゴウ,クイサゴー
追い打う	動詞,自立,*,*,五段・タ行ウ音便,連用タ接続,追い打つ,オイウウ,オイウー
染もう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,染まる,ソモウ,ソモー
立ち迷う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,立ち迷う,タチマヨウ,タチマヨー
たちむこう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,たちむかう,タチムコウ,タチムコー
ふくれあごう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,ふくれあがる,フクレアゴウ,フクレアゴー
いいそこのう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,いいそこなう,イイソコノウ,イーソコノー
生い立う	動詞,自立,*,*,五段・タ行ウ音便,連用タ接続,生い立つ,オイトウ,オイトー
はむこう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,はむかう,ハムコウ,ハムコー
よそおう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,よそおう,ヨソオウ,ヨソオー
さむけどう	動詞,自立,*,*,五段・タ行ウ音便,連用タ接続,さむけだつ,サムケドウ,サムケドー
祀う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,祀る,マツウ,マツー
持ちきう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,持ちきる,モチキウ,モチキー
掻き曇う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,掻き曇る,カキクモウ,カキクモー
澄みきう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,澄みきる,スミキウ,スミキー
踏みきう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,踏みきる,フミキウ,フミキー
ほふう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,ほふる,ホフウ,ホフー
捻う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,捻る,ヒネウ,ヒネー
捻う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,捻る,ネジウ,ネジー
触り合う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,触り合う,フリオウ,フリオー
角張う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,角張る,カクボウ,カクボー
おそう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,おそう,オソウ,オソー
けやぶう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,けやぶる,ケヤブウ,ケヤブー
溶けおう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,溶けあう,トケオウ,トケオー
はぐう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,はぐる,ハグウ,ハグー
引き下ごう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,引き下がる,ヒキサゴウ,ヒキサゴー
引き締もう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,引き締まる,ヒキシモウ,ヒキシモー
おもいやう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,おもいやる,オモイヤウ,オモイヤー
ふとう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,ふとる,フトウ,フトー
うちまくう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,うちまくる,ウチマクウ,ウチマクー
明け残う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,明け残る,アケノコウ,アケノコー
くねう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,くねる,クネウ,クネー
ようどう	動詞,自立,*,*,五段・タ行ウ音便,連用タ接続,ようだつ,ヨウドウ,ヨウドー
食い違う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,食い違う,クイチゴウ,クイチゴー
手古摺う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,手古摺る,テコズウ,テコズー
立ちどもう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,立ちどまる,タチドモウ,タチドモー
はいりきう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,はいりきる,ハイリキウ,ハイリキー
捜しまおう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,捜しまわる,サガシマオウ,サガシマオー
ゆきわとう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,ゆきわたる,ユキワトウ,ユキワトー
料う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,料る,リョウウ,リョーー
せぐくもう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,せぐくまる,セグクモウ,セグクモー
わすれしょう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,わすれさる,ワスレシヨウ,ワスレシヨー
隠う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,隠る,コモウ,コモー
成さごう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,成さがる,ナリサゴウ,ナリサゴー
さえわとう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,さえわたる,サエワトウ,サエワトー
むち打う	動詞,自立,*,*,五段・タ行ウ音便,連用タ接続,むち打つ,ムチウウ,ムチウー
抗う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,抗う,アラゴウ,アラゴー
のう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,なる,ノウ,ノー
取り持う	動詞,自立,*,*,五段・タ行ウ音便,連用タ接続,取り持つ,トリモウ,トリモー
おもいあとう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,おもいあたる,オモイアトウ,オモイアトー
ひっくくう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,ひっくくる,ヒウククウ,ヒウククー
仰け反う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,仰け反る,ノケゾウ,ノケゾー
あざけう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,あざける,アザケウ,アザケー
飼う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,飼う,コウ,コー
かすめ取う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,かすめ取る,カスメトウ,カスメトー
角立う	動詞,自立,*,*,五段・タ行ウ音便,連用タ接続,角立つ,カドドウ,カドドー
ほこう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,ほこる,ホコウ,ホコー
くわおう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,くわわる,クワオウ,クワオー
差し上う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,差し上る,サシノボウ,サシノボー
踏ん切う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,踏ん切る,フンギウ,フンギー
ぬきはのう	動詞,自立,*,*,五段・タ行ウ音便,連用タ接続,ぬきはなつ,ヌキハノウ,ヌキハノー
ぼう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,ぼる,ボウ,ボー
蹲う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,蹲る,ウズクモウ,ウズクモー
締切う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,締切る,シメキウ,シメキー
挙ごう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,挙がる,アゴウ,アゴー
突っぱう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,突っぱる,ツウパウ,ツウパー
せう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,せる,セウ,セー
躙り寄う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,躙り寄る,ニジリヨウ,ニジリヨー
いさよう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,いさよう,イサヨウ,イサヨー
にげまおう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,にげまわる,ニゲマオウ,ニゲマオー
縁どう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,縁どる,フチドウ,フチドー
寝そべう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,寝そべる,ネソベウ,ネソベー
拾う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,拾う,ヒロウ,ヒロー
拾	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,拾う,ヒロ,ヒロ
降り懸う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,降り懸る,フリカコウ,フリカコー
植おう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,植わる,ウオウ,ウオー
飛あごう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,飛あがる,トビアゴウ,トビアゴー
たもちおう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,たもちあう,タモチオウ,タモチオー
語り合う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,語り合う,カタリオウ,カタリオー
加え持う	動詞,自立,*,*,五段・タ行ウ音便,連用タ接続,加え持つ,クワエモウ,クワエモー
あてはもう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,あてはまる,アテハモウ,アテハモー
折れ曲ごう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,折れ曲がる,オレマゴウ,オレマゴー
かきおくう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,かきおくる,カキオクウ,カキオクー
筋ぼう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,筋ばる,スジボウ,スジボー
散らぼう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,散らばる,チラボウ,チラボー
負こう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,負かる,マコウ,マコー
重のう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,重なる,カサノウ,カサノー
息張う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,息張る,イキボウ,イキボー
きおう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,きおう,キオウ,キオー
直う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,直る,ナオウ,ナオー
つんのめう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,つんのめる,ツンノメウ,ツンノメー
おいしげう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,おいしげる,オイシゲウ,オイシゲー
まるもう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,まるまる,マルモウ,マルモー
うまれかおう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,うまれかわる,ウマレカオウ,ウマレカオー
居直う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,居直る,イナオウ,イナオー
出会う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,出会う,デオウ,デオー
かいくぐう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,かいくぐる,カイクグウ,カイクグー
遵う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,遵う,シタゴウ,シタゴー
混じょう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,混ざる,マジヨウ,マジヨー
減う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,減る,ヘウ,ヘー
解け合う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,解け合う,トケオウ,トケオー
みまおう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,みまわる,ミマオウ,ミマオー
行のう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,行なう,オコノウ,オコノー
閉じ込もう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,閉じ込もる,トジコモウ,トジコモー
かりとう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,かりとる,カリトウ,カリトー
追っ払う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,追っ払う,オウパロウ,オウパロー
飛びのう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,飛びのる,トビノウ,トビノー
さかのぼう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,さかのぼる,サカノボウ,サカノボー
休ろう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,休らう,ヤスロウ,ヤスロー
生れかおう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,生れかわる,ウマレカオウ,ウマレカオー
瀬切う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,瀬切る,セギウ,セギー
洩う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,洩る,モウ,モー
つれそう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,つれそう,ツレソウ,ツレソー
哮う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,哮る,タケウ,タケー
後ずしょう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,後ずさる,アトズシヨウ,アトズシヨー
さえずう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,さえずる,サエズウ,サエズー
そこのう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,そこなう,ソコノウ,ソコノー
出ぼう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,出ばる,デボウ,デボー
仕舞う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,仕舞う,シモウ,シモー
暇どう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,暇どる,ヒマドウ,ヒマドー
晴あごう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,晴あがる,ハレアゴウ,ハレアゴー
くいおう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,くいあう,クイオウ,クイオー
切取う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,切取る,キリトウ,キリトー
与う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,与る,アズコウ,アズコー
ねごう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,ねがう,ネゴウ,ネゴー
嵌う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,嵌る,ハモウ,ハモー
いがみおう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,いがみあう,イガミオウ,イガミオー
はさみ切う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,はさみ切る,ハサミキウ,ハサミキー
ふんだくう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,ふんだくる,フンダクウ,フンダクー
にごう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,にごる,ニゴウ,ニゴー
頑ぼう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,頑ばる,ガンボウ,ガンボー
くみ取う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,くみ取る,クミトウ,クミトー
売りはろう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,売りはらう,ウリハロウ,ウリハロー
ふりしきう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,ふりしきる,フリシキウ,フリシキー
やすもう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,やすまる,ヤスモウ,ヤスモー
はせむこう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,はせむかう,ハセムコウ,ハセムコー
挙う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,挙る,アゴウ,アゴー
挙う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,挙る,コゾウ,コゾー
含もう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,含まる,フクモウ,フクモー
練う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,練る,ネウ,ネー
めしょう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,めさる,メシヨウ,メシヨー
はやもう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,はやまる,ハヤモウ,ハヤモー
入りびとう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,入りびたる,イリビトウ,イリビトー
あざのう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,あざなう,アザノウ,アザノー
伴う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,伴う,トモノウ,トモノー
宛てごう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,宛てがう,アテゴウ,アテゴー
見て取う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,見て取る,ミテトウ,ミテトー
しおう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,しわる,シオウ,シオー
揺すう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,揺する,ユスウ,ユスー
作う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,作る,ツクウ,ツクー
手折う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,手折る,タオウ,タオー
やしのう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,やしなう,ヤシノウ,ヤシノー
勤もう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,勤まる,ツトモウ,ツトモー
きりまくう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,きりまくる,キリマクウ,キリマクー
みまこう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,みまかる,ミマコウ,ミマコー
懸こう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,懸かる,カコウ,カコー
もう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,もる,モウ,モー
よろこびおう	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,よろこびあう,ヨロコビオウ,ヨロコビオー
伺う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,伺う,ウカゴウ,ウカゴー
差し昇う	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,差し昇る,サシノボウ,サシノボー
黒みがこう	動詞,自立,*,*,五段・ラ行ウ音便,連用タ接続,黒みがかる,クロミガコウ,クロミガコー
見失う	動詞,自立,*,*,五段・ワ行ウ音便,連用タ接続,見失う,ミウシノウ,ミウシノー
