問掛けれる	動詞,自立,*,*,一段・可能,基本形,問掛けれる,トイカケレル,トイカケレル
扱き雑ぜれ	動詞,自立,*,*,一段・可能,連用形,扱き雑ぜれる,コキマゼレ,コキマゼレ
扱き雑ぜれれ	動詞,自立,*,*,一段・可能,仮定形,扱き雑ぜれる,コキマゼレレ,コキマゼレレ
扱き雑ぜれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,扱き雑ぜれる,コキマゼレリャ,コキマゼレリャ
扱き雑ぜれん	動詞,自立,*,*,一段・可能,体言接続特殊,扱き雑ぜれる,コキマゼレン,コキマゼレン
呉れれる	動詞,自立,*,*,一段・可能,基本形,呉れれる,クレレル,クレレル
呉れれ	動詞,自立,*,*,一段・可能,未然形,呉れれる,クレレ,クレレ
呉れれ	動詞,自立,*,*,一段・可能,連用形,呉れれる,クレレ,クレレ
呉れれれ	動詞,自立,*,*,一段・可能,仮定形,呉れれる,クレレレ,クレレレ
呉れれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,呉れれる,クレレリャ,クレレリャ
萎れれる	動詞,自立,*,*,一段・可能,基本形,萎れれる,シオレレル,シオレレル
萎れれ	動詞,自立,*,*,一段・可能,未然形,萎れれる,シオレレ,シオレレ
萎れれ	動詞,自立,*,*,一段・可能,連用形,萎れれる,シオレレ,シオレレ
萎れれれ	動詞,自立,*,*,一段・可能,仮定形,萎れれる,シオレレレ,シオレレレ
萎れれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,萎れれる,シオレレリャ,シオレレリャ
萎れれん	動詞,自立,*,*,一段・可能,体言接続特殊,萎れれる,シオレレン,シオレレン
総べれる	動詞,自立,*,*,一段・可能,基本形,総べれる,スベレル,スベレル
総べれ	動詞,自立,*,*,一段・可能,未然形,総べれる,スベレ,スベレ
総べれ	動詞,自立,*,*,一段・可能,連用形,総べれる,スベレ,スベレ
総べれれ	動詞,自立,*,*,一段・可能,仮定形,総べれる,スベレレ,スベレレ
総べれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,総べれる,スベレリャ,スベレリャ
総べれん	動詞,自立,*,*,一段・可能,体言接続特殊,総べれる,スベレン,スベレン
思へれる	動詞,自立,*,*,一段・可能,基本形,思へれる,オモヘレル,オモエレル
思へれ	動詞,自立,*,*,一段・可能,未然形,思へれる,オモヘレ,オモエレ
思へれ	動詞,自立,*,*,一段・可能,連用形,思へれる,オモヘレ,オモエレ
思へれれ	動詞,自立,*,*,一段・可能,仮定形,思へれる,オモヘレレ,オモエレレ
思へれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,思へれる,オモヘレリャ,オモエレリャ
思へれん	動詞,自立,*,*,一段・可能,体言接続特殊,思へれる,オモヘレン,オモエレン
結論づけれる	動詞,自立,*,*,一段・可能,基本形,結論づけれる,ケツロンヅケレル,ケツロンズケレル
結論づけれ	動詞,自立,*,*,一段・可能,未然形,結論づけれる,ケツロンヅケレ,ケツロンズケレ
結論づけれ	動詞,自立,*,*,一段・可能,連用形,結論づけれる,ケツロンヅケレ,ケツロンズケレ
結論づけれれ	動詞,自立,*,*,一段・可能,仮定形,結論づけれる,ケツロンヅケレレ,ケツロンズケレレ
結論づけれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,結論づけれる,ケツロンヅケレリャ,ケツロンズケレリャ
結論づけれん	動詞,自立,*,*,一段・可能,体言接続特殊,結論づけれる,ケツロンヅケレン,ケツロンズケレン
吸付けれる	動詞,自立,*,*,一段・可能,基本形,吸付けれる,スイツケレル,スイツケレル
吸付けれ	動詞,自立,*,*,一段・可能,未然形,吸付けれる,スイツケレ,スイツケレ
吸付けれ	動詞,自立,*,*,一段・可能,連用形,吸付けれる,スイツケレ,スイツケレ
吸付けれれ	動詞,自立,*,*,一段・可能,仮定形,吸付けれる,スイツケレレ,スイツケレレ
吸付けれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,吸付けれる,スイツケレリャ,スイツケレリャ
吸付けれん	動詞,自立,*,*,一段・可能,体言接続特殊,吸付けれる,スイツケレン,スイツケレン
ごねれる	動詞,自立,*,*,一段・可能,基本形,ごねれる,ゴネレル,ゴネレル
ごねれ	動詞,自立,*,*,一段・可能,未然形,ごねれる,ゴネレ,ゴネレ
ごねれ	動詞,自立,*,*,一段・可能,連用形,ごねれる,ゴネレ,ゴネレ
ごねれれ	動詞,自立,*,*,一段・可能,仮定形,ごねれる,ゴネレレ,ゴネレレ
ごねれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,ごねれる,ゴネレリャ,ゴネレリャ
ごねれん	動詞,自立,*,*,一段・可能,体言接続特殊,ごねれる,ゴネレン,ゴネレン
挫けれる	動詞,自立,*,*,一段・可能,基本形,挫けれる,クジケレル,クジケレル
挫けれ	動詞,自立,*,*,一段・可能,未然形,挫けれる,クジケレ,クジケレ
挫けれ	動詞,自立,*,*,一段・可能,連用形,挫けれる,クジケレ,クジケレ
挫けれれ	動詞,自立,*,*,一段・可能,仮定形,挫けれる,クジケレレ,クジケレレ
挫けれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,挫けれる,クジケレリャ,クジケレリャ
挫けれん	動詞,自立,*,*,一段・可能,体言接続特殊,挫けれる,クジケレン,クジケレン
ぶんなげれる	動詞,自立,*,*,一段・可能,基本形,ぶんなげれる,ブンナゲレル,ブンナゲレル
ぶんなげれ	動詞,自立,*,*,一段・可能,未然形,ぶんなげれる,ブンナゲレ,ブンナゲレ
ぶんなげれ	動詞,自立,*,*,一段・可能,連用形,ぶんなげれる,ブンナゲレ,ブンナゲレ
ぶんなげれれ	動詞,自立,*,*,一段・可能,仮定形,ぶんなげれる,ブンナゲレレ,ブンナゲレレ
ぶんなげれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,ぶんなげれる,ブンナゲレリャ,ブンナゲレリャ
ぶんなげれん	動詞,自立,*,*,一段・可能,体言接続特殊,ぶんなげれる,ブンナゲレン,ブンナゲレン
うろたえれる	動詞,自立,*,*,一段・可能,基本形,うろたえれる,ウロタエレル,ウロタエレル
うろたえれ	動詞,自立,*,*,一段・可能,未然形,うろたえれる,ウロタエレ,ウロタエレ
うろたえれ	動詞,自立,*,*,一段・可能,連用形,うろたえれる,ウロタエレ,ウロタエレ
うろたえれれ	動詞,自立,*,*,一段・可能,仮定形,うろたえれる,ウロタエレレ,ウロタエレレ
うろたえれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,うろたえれる,ウロタエレリャ,ウロタエレリャ
うろたえれん	動詞,自立,*,*,一段・可能,体言接続特殊,うろたえれる,ウロタエレン,ウロタエレン
燃えれる	動詞,自立,*,*,一段・可能,基本形,燃えれる,モエレル,モエレル
燃えれ	動詞,自立,*,*,一段・可能,未然形,燃えれる,モエレ,モエレ
燃えれ	動詞,自立,*,*,一段・可能,連用形,燃えれる,モエレ,モエレ
燃えれれ	動詞,自立,*,*,一段・可能,仮定形,燃えれる,モエレレ,モエレレ
燃えれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,燃えれる,モエレリャ,モエレリャ
燃えれん	動詞,自立,*,*,一段・可能,体言接続特殊,燃えれる,モエレン,モエレン
辱めれる	動詞,自立,*,*,一段・可能,基本形,辱めれる,ハズカシメレル,ハズカシメレル
辱めれ	動詞,自立,*,*,一段・可能,未然形,辱めれる,ハズカシメレ,ハズカシメレ
辱めれ	動詞,自立,*,*,一段・可能,連用形,辱めれる,ハズカシメレ,ハズカシメレ
辱めれれ	動詞,自立,*,*,一段・可能,仮定形,辱めれる,ハズカシメレレ,ハズカシメレレ
辱めれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,辱めれる,ハズカシメレリャ,ハズカシメレリャ
辱めれん	動詞,自立,*,*,一段・可能,体言接続特殊,辱めれる,ハズカシメレン,ハズカシメレン
おったてれる	動詞,自立,*,*,一段・可能,基本形,おったてれる,オッタテレル,オッタテレル
おったてれ	動詞,自立,*,*,一段・可能,未然形,おったてれる,オッタテレ,オッタテレ
おったてれ	動詞,自立,*,*,一段・可能,連用形,おったてれる,オッタテレ,オッタテレ
おったてれれ	動詞,自立,*,*,一段・可能,仮定形,おったてれる,オッタテレレ,オッタテレレ
おったてれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,おったてれる,オッタテレリャ,オッタテレリャ
おったてれん	動詞,自立,*,*,一段・可能,体言接続特殊,おったてれる,オッタテレン,オッタテレン
仰けれる	動詞,自立,*,*,一段・可能,基本形,仰けれる,アオノケレル,アオノケレル
仰けれ	動詞,自立,*,*,一段・可能,未然形,仰けれる,アオノケレ,アオノケレ
仰けれ	動詞,自立,*,*,一段・可能,連用形,仰けれる,アオノケレ,アオノケレ
仰けれれ	動詞,自立,*,*,一段・可能,仮定形,仰けれる,アオノケレレ,アオノケレレ
仰けれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,仰けれる,アオノケレリャ,アオノケレリャ
仰けれん	動詞,自立,*,*,一段・可能,体言接続特殊,仰けれる,アオノケレン,アオノケレン
かかえれる	動詞,自立,*,*,一段・可能,基本形,かかえれる,カカエレル,カカエレル
かかえれ	動詞,自立,*,*,一段・可能,未然形,かかえれる,カカエレ,カカエレ
かかえれ	動詞,自立,*,*,一段・可能,連用形,かかえれる,カカエレ,カカエレ
かかえれれ	動詞,自立,*,*,一段・可能,仮定形,かかえれる,カカエレレ,カカエレレ
かかえれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,かかえれる,カカエレリャ,カカエレリャ
かかえれん	動詞,自立,*,*,一段・可能,体言接続特殊,かかえれる,カカエレン,カカエレン
いちづけれる	動詞,自立,*,*,一段・可能,基本形,いちづけれる,イチヅケレル,イチズケレル
いちづけれ	動詞,自立,*,*,一段・可能,未然形,いちづけれる,イチヅケレ,イチズケレ
いちづけれ	動詞,自立,*,*,一段・可能,連用形,いちづけれる,イチヅケレ,イチズケレ
いちづけれれ	動詞,自立,*,*,一段・可能,仮定形,いちづけれる,イチヅケレレ,イチズケレレ
いちづけれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,いちづけれる,イチヅケレリャ,イチズケレリャ
いちづけれん	動詞,自立,*,*,一段・可能,体言接続特殊,いちづけれる,イチヅケレン,イチズケレン
まるめれる	動詞,自立,*,*,一段・可能,基本形,まるめれる,マルメレル,マルメレル
まるめれ	動詞,自立,*,*,一段・可能,未然形,まるめれる,マルメレ,マルメレ
まるめれ	動詞,自立,*,*,一段・可能,連用形,まるめれる,マルメレ,マルメレ
まるめれれ	動詞,自立,*,*,一段・可能,仮定形,まるめれる,マルメレレ,マルメレレ
まるめれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,まるめれる,マルメレリャ,マルメレリャ
まるめれん	動詞,自立,*,*,一段・可能,体言接続特殊,まるめれる,マルメレン,マルメレン
しびれれる	動詞,自立,*,*,一段・可能,基本形,しびれれる,シビレレル,シビレレル
しびれれ	動詞,自立,*,*,一段・可能,未然形,しびれれる,シビレレ,シビレレ
しびれれ	動詞,自立,*,*,一段・可能,連用形,しびれれる,シビレレ,シビレレ
しびれれれ	動詞,自立,*,*,一段・可能,仮定形,しびれれる,シビレレレ,シビレレレ
しびれれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,しびれれる,シビレレリャ,シビレレリャ
しびれれん	動詞,自立,*,*,一段・可能,体言接続特殊,しびれれる,シビレレン,シビレレン
けおされれる	動詞,自立,*,*,一段・可能,基本形,けおされれる,ケオサレレル,ケオサレレル
けおされれ	動詞,自立,*,*,一段・可能,未然形,けおされれる,ケオサレレ,ケオサレレ
けおされれ	動詞,自立,*,*,一段・可能,連用形,けおされれる,ケオサレレ,ケオサレレ
けおされれれ	動詞,自立,*,*,一段・可能,仮定形,けおされれる,ケオサレレレ,ケオサレレレ
けおされれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,けおされれる,ケオサレレリャ,ケオサレレリャ
けおされれん	動詞,自立,*,*,一段・可能,体言接続特殊,けおされれる,ケオサレレン,ケオサレレン
受けれる	動詞,自立,*,*,一段・可能,基本形,受けれる,ウケレル,ウケレル
受けれ	動詞,自立,*,*,一段・可能,未然形,受けれる,ウケレ,ウケレ
受けれ	動詞,自立,*,*,一段・可能,連用形,受けれる,ウケレ,ウケレ
受けれれ	動詞,自立,*,*,一段・可能,仮定形,受けれる,ウケレレ,ウケレレ
受けれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,受けれる,ウケレリャ,ウケレリャ
受けれん	動詞,自立,*,*,一段・可能,体言接続特殊,受けれる,ウケレン,ウケレン
相入れれる	動詞,自立,*,*,一段・可能,基本形,相入れれる,アイイレレル,アイイレレル
相入れれ	動詞,自立,*,*,一段・可能,未然形,相入れれる,アイイレレ,アイイレレ
相入れれ	動詞,自立,*,*,一段・可能,連用形,相入れれる,アイイレレ,アイイレレ
相入れれれ	動詞,自立,*,*,一段・可能,仮定形,相入れれる,アイイレレレ,アイイレレレ
相入れれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,相入れれる,アイイレレリャ,アイイレレリャ
相入れれん	動詞,自立,*,*,一段・可能,体言接続特殊,相入れれる,アイイレレン,アイイレレン
捕われれる	動詞,自立,*,*,一段・可能,基本形,捕われれる,トラワレレル,トラワレレル
捕われれ	動詞,自立,*,*,一段・可能,未然形,捕われれる,トラワレレ,トラワレレ
捕われれ	動詞,自立,*,*,一段・可能,連用形,捕われれる,トラワレレ,トラワレレ
捕われれれ	動詞,自立,*,*,一段・可能,仮定形,捕われれる,トラワレレレ,トラワレレレ
捕われれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,捕われれる,トラワレレリャ,トラワレレリャ
捕われれん	動詞,自立,*,*,一段・可能,体言接続特殊,捕われれる,トラワレレン,トラワレレン
世ばなれれる	動詞,自立,*,*,一段・可能,基本形,世ばなれれる,ヨバナレレル,ヨバナレレル
世ばなれれ	動詞,自立,*,*,一段・可能,未然形,世ばなれれる,ヨバナレレ,ヨバナレレ
世ばなれれ	動詞,自立,*,*,一段・可能,連用形,世ばなれれる,ヨバナレレ,ヨバナレレ
世ばなれれれ	動詞,自立,*,*,一段・可能,仮定形,世ばなれれる,ヨバナレレレ,ヨバナレレレ
世ばなれれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,世ばなれれる,ヨバナレレリャ,ヨバナレレリャ
世ばなれれん	動詞,自立,*,*,一段・可能,体言接続特殊,世ばなれれる,ヨバナレレン,ヨバナレレン
そぼぬれれる	動詞,自立,*,*,一段・可能,基本形,そぼぬれれる,ソボヌレレル,ソボヌレレル
そぼぬれれ	動詞,自立,*,*,一段・可能,未然形,そぼぬれれる,ソボヌレレ,ソボヌレレ
そぼぬれれ	動詞,自立,*,*,一段・可能,連用形,そぼぬれれる,ソボヌレレ,ソボヌレレ
そぼぬれれれ	動詞,自立,*,*,一段・可能,仮定形,そぼぬれれる,ソボヌレレレ,ソボヌレレレ
そぼぬれれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,そぼぬれれる,ソボヌレレリャ,ソボヌレレリャ
そぼぬれれん	動詞,自立,*,*,一段・可能,体言接続特殊,そぼぬれれる,ソボヌレレン,ソボヌレレン
けがれれる	動詞,自立,*,*,一段・可能,基本形,けがれれる,ケガレレル,ケガレレル
けがれれ	動詞,自立,*,*,一段・可能,未然形,けがれれる,ケガレレ,ケガレレ
けがれれ	動詞,自立,*,*,一段・可能,連用形,けがれれる,ケガレレ,ケガレレ
けがれれれ	動詞,自立,*,*,一段・可能,仮定形,けがれれる,ケガレレレ,ケガレレレ
けがれれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,けがれれる,ケガレレリャ,ケガレレリャ
けがれれん	動詞,自立,*,*,一段・可能,体言接続特殊,けがれれる,ケガレレン,ケガレレン
引っ括めれる	動詞,自立,*,*,一段・可能,基本形,引っ括めれる,ヒックルメレル,ヒックルメレル
引っ括めれ	動詞,自立,*,*,一段・可能,未然形,引っ括めれる,ヒックルメレ,ヒックルメレ
引っ括めれ	動詞,自立,*,*,一段・可能,連用形,引っ括めれる,ヒックルメレ,ヒックルメレ
引っ括めれれ	動詞,自立,*,*,一段・可能,仮定形,引っ括めれる,ヒックルメレレ,ヒックルメレレ
引っ括めれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,引っ括めれる,ヒックルメレリャ,ヒックルメレリャ
引っ括めれん	動詞,自立,*,*,一段・可能,体言接続特殊,引っ括めれる,ヒックルメレン,ヒックルメレン
ひょうげれる	動詞,自立,*,*,一段・可能,基本形,ひょうげれる,ヒョウゲレル,ヒョーゲレル
ひょうげれ	動詞,自立,*,*,一段・可能,未然形,ひょうげれる,ヒョウゲレ,ヒョーゲレ
ひょうげれ	動詞,自立,*,*,一段・可能,連用形,ひょうげれる,ヒョウゲレ,ヒョーゲレ
ひょうげれれ	動詞,自立,*,*,一段・可能,仮定形,ひょうげれる,ヒョウゲレレ,ヒョーゲレレ
ひょうげれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,ひょうげれる,ヒョウゲレリャ,ヒョーゲレリャ
ひょうげれん	動詞,自立,*,*,一段・可能,体言接続特殊,ひょうげれる,ヒョウゲレン,ヒョーゲレン
ひょうげれる	動詞,自立,*,*,一段・可能,基本形,ひょうげれる,ヒョウゲレル,ヒョウゲレル
ひょうげれ	動詞,自立,*,*,一段・可能,未然形,ひょうげれる,ヒョウゲレ,ヒョウゲレ
ひょうげれ	動詞,自立,*,*,一段・可能,連用形,ひょうげれる,ヒョウゲレ,ヒョウゲレ
ひょうげれれ	動詞,自立,*,*,一段・可能,仮定形,ひょうげれる,ヒョウゲレレ,ヒョウゲレレ
ひょうげれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,ひょうげれる,ヒョウゲレリャ,ヒョウゲレリャ
ひょうげれん	動詞,自立,*,*,一段・可能,体言接続特殊,ひょうげれる,ヒョウゲレン,ヒョウゲレン
延べれる	動詞,自立,*,*,一段・可能,基本形,延べれる,ノベレル,ノベレル
延べれ	動詞,自立,*,*,一段・可能,未然形,延べれる,ノベレ,ノベレ
延べれ	動詞,自立,*,*,一段・可能,連用形,延べれる,ノベレ,ノベレ
延べれれ	動詞,自立,*,*,一段・可能,仮定形,延べれる,ノベレレ,ノベレレ
延べれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,延べれる,ノベレリャ,ノベレリャ
延べれん	動詞,自立,*,*,一段・可能,体言接続特殊,延べれる,ノベレン,ノベレン
繰下げれる	動詞,自立,*,*,一段・可能,基本形,繰下げれる,クリサゲレル,クリサゲレル
繰下げれ	動詞,自立,*,*,一段・可能,未然形,繰下げれる,クリサゲレ,クリサゲレ
繰下げれ	動詞,自立,*,*,一段・可能,連用形,繰下げれる,クリサゲレ,クリサゲレ
繰下げれれ	動詞,自立,*,*,一段・可能,仮定形,繰下げれる,クリサゲレレ,クリサゲレレ
繰下げれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,繰下げれる,クリサゲレリャ,クリサゲレリャ
繰下げれん	動詞,自立,*,*,一段・可能,体言接続特殊,繰下げれる,クリサゲレン,クリサゲレン
せれる	動詞,自立,*,*,一段・可能,基本形,せれる,セレル,セレル
せられ	動詞,自立,*,*,一段・可能,未然形,せれる,セラレ,セラレ
せりれ	動詞,自立,*,*,一段・可能,連用形,せれる,セリレ,セリレ
せれれ	動詞,自立,*,*,一段・可能,仮定形,せれる,セレレ,セレレ
せれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,せれる,セレリャ,セレリャ
せれん	動詞,自立,*,*,一段・可能,体言接続特殊,せれる,セレン,セレン
れせ	動詞,自立,*,*,一段・可能,体言接続特殊２,せれる,レセ,レセ
迎えれる	動詞,自立,*,*,一段・可能,基本形,迎えれる,ムカエレル,ムカエレル
迎えれ	動詞,自立,*,*,一段・可能,未然形,迎えれる,ムカエレ,ムカエレ
迎えれ	動詞,自立,*,*,一段・可能,連用形,迎えれる,ムカエレ,ムカエレ
迎えれれ	動詞,自立,*,*,一段・可能,仮定形,迎えれる,ムカエレレ,ムカエレレ
迎えれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,迎えれる,ムカエレリャ,ムカエレリャ
迎えれん	動詞,自立,*,*,一段・可能,体言接続特殊,迎えれる,ムカエレン,ムカエレン
押掛けれる	動詞,自立,*,*,一段・可能,基本形,押掛けれる,オシカケレル,オシカケレル
押掛けれ	動詞,自立,*,*,一段・可能,未然形,押掛けれる,オシカケレ,オシカケレ
押掛けれ	動詞,自立,*,*,一段・可能,連用形,押掛けれる,オシカケレ,オシカケレ
押掛けれれ	動詞,自立,*,*,一段・可能,仮定形,押掛けれる,オシカケレレ,オシカケレレ
押掛けれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,押掛けれる,オシカケレリャ,オシカケレリャ
押掛けれん	動詞,自立,*,*,一段・可能,体言接続特殊,押掛けれる,オシカケレン,オシカケレン
愁えれる	動詞,自立,*,*,一段・可能,基本形,愁えれる,ウレエレル,ウレエレル
愁えれ	動詞,自立,*,*,一段・可能,未然形,愁えれる,ウレエレ,ウレエレ
愁えれ	動詞,自立,*,*,一段・可能,連用形,愁えれる,ウレエレ,ウレエレ
愁えれれ	動詞,自立,*,*,一段・可能,仮定形,愁えれる,ウレエレレ,ウレエレレ
愁えれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,愁えれる,ウレエレリャ,ウレエレリャ
愁えれん	動詞,自立,*,*,一段・可能,体言接続特殊,愁えれる,ウレエレン,ウレエレン
ひとかわむけれる	動詞,自立,*,*,一段・可能,基本形,ひとかわむけれる,ヒトカワムケレル,ヒトカワムケレル
ひとかわむけれ	動詞,自立,*,*,一段・可能,未然形,ひとかわむけれる,ヒトカワムケレ,ヒトカワムケレ
ひとかわむけれ	動詞,自立,*,*,一段・可能,連用形,ひとかわむけれる,ヒトカワムケレ,ヒトカワムケレ
ひとかわむけれれ	動詞,自立,*,*,一段・可能,仮定形,ひとかわむけれる,ヒトカワムケレレ,ヒトカワムケレレ
ひとかわむけれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,ひとかわむけれる,ヒトカワムケレリャ,ヒトカワムケレリャ
ひとかわむけれん	動詞,自立,*,*,一段・可能,体言接続特殊,ひとかわむけれる,ヒトカワムケレン,ヒトカワムケレン
立替えれる	動詞,自立,*,*,一段・可能,基本形,立替えれる,タテカエレル,タテカエレル
立替えれ	動詞,自立,*,*,一段・可能,未然形,立替えれる,タテカエレ,タテカエレ
立替えれ	動詞,自立,*,*,一段・可能,連用形,立替えれる,タテカエレ,タテカエレ
立替えれれ	動詞,自立,*,*,一段・可能,仮定形,立替えれる,タテカエレレ,タテカエレレ
立替えれりゃ	動詞,自立,*,*,一段・可能,仮定縮約１,立替えれる,タテカエレリャ,タテカエレリャ
立替えれん	動詞,自立,*,*,一段・可能,体言接続特殊,立替えれる,タテカエレン,タテカエレン
ひいでれる	動詞,自立,*,*,一段・可能,基本形,ひいでれる,ヒイデレル,ヒーデレル
ひいでれ	動詞,自立,*,*,一段・可能,未然形,ひいでれる,ヒイデレ,ヒーデレ
ひいでれ	動詞,自立,*,*,一段・可能,連用形,ひいでれる,ヒイデレ,ヒーデレ
