あって	副詞,一般,*,*,*,*,あって,アッテ,アッテ
イラーンって	副詞,一般,*,*,*,*,イラーンって,イラーンッテ,イラーンッテ
イランって	副詞,一般,*,*,*,*,イランって,イランッテ,イランッテ
イラーンっと	副詞,一般,*,*,*,*,イラーンっと,イラーンット,イラーンット
イラーンッて	副詞,一般,*,*,*,*,イラーンッて,イラーンッテ,イラーンッテ
イランッと	副詞,一般,*,*,*,*,イランッと,イランッと,イランッと
イラーンッと	副詞,一般,*,*,*,*,イラーンッと,イラーンット,イラーンット
いらん	副詞,一般,*,*,*,*,いらん,イラン,イラン
いらーん	副詞,一般,*,*,*,*,いらーん,イラーン,イラーン
いらー	副詞,一般,*,*,*,*,いらー,イラー,イラー
イラン	副詞,一般,*,*,*,*,イラン,イラン,イラン
イラーン	副詞,一般,*,*,*,*,イラーン,イラーン,イラーン
イラー	副詞,一般,*,*,*,*,イラー,イラー,イラー
うっ	副詞,一般,*,*,*,*,うっ,ウッ,ウッ
うって	副詞,一般,*,*,*,*,うって,ウッテ,ウッテ
うーって	副詞,一般,*,*,*,*,うーって,ウーッテ,ウーッテ
うっと	副詞,一般,*,*,*,*,うっと,ウット,ウット
うーっと	副詞,一般,*,*,*,*,うーっと,ウーット,ウーット
ウって	副詞,一般,*,*,*,*,ウって,ウッテ,ウッテ
ウーって	副詞,一般,*,*,*,*,ウーって,ウーッテ,ウーッテ
ウっと	副詞,一般,*,*,*,*,ウっと,ウット,ウット
ウーっと	副詞,一般,*,*,*,*,ウーっと,ウーット,ウーット
ウッて	副詞,一般,*,*,*,*,ウッて,ウッテ,ウッテ
ウーッて	副詞,一般,*,*,*,*,ウーッて,ウーッテ,ウーッテ
ウッと	副詞,一般,*,*,*,*,ウッと,ウット,ウット
ウーッと	副詞,一般,*,*,*,*,ウーッと,ウーット,ウーット
うんて	副詞,一般,*,*,*,*,うんて,ウンテ,ウンテ
うーんて	副詞,一般,*,*,*,*,うーんて,ウーンテ,ウーンテ
うんと	副詞,一般,*,*,*,*,うんと,ウント,ウント
うーんと	副詞,一般,*,*,*,*,うーんと,ウーント,ウーント
うんって	副詞,一般,*,*,*,*,うんって,ウンテ,ウンテ
うーんって	副詞,一般,*,*,*,*,うーんって,ウーンッテ,ウーンッテ
うんっと	副詞,一般,*,*,*,*,うんっと,ウンット,ウンット
うーんっと	副詞,一般,*,*,*,*,うーんっと,ウーンット,ウーンット
ウンて	副詞,一般,*,*,*,*,ウンて,ウンテ,ウンテ
ウーンて	副詞,一般,*,*,*,*,ウーンて,ウーンテ,ウーンテ
ウンて	副詞,一般,*,*,*,*,ウンて,ウンテ,ウンテ
ウーンと	副詞,一般,*,*,*,*,ウーンと,ウーント,ウーント
ウンって	副詞,一般,*,*,*,*,ウンって,ウンテ,ウンテ
ウンッて	副詞,一般,*,*,*,*,ウンッて,ウンッテ,ウンッテ
ウーンって	副詞,一般,*,*,*,*,ウーンって,ウーンッテ,ウーンッテ
ウンって	副詞,一般,*,*,*,*,ウンって,ウンッテ,ウンッテ
ウーンっと	副詞,一般,*,*,*,*,ウーンっと,ウーンット,ウーンット
ウーンッて	副詞,一般,*,*,*,*,ウーンッて,ウーンッテ,ウーンッテ
ウンッと	副詞,一般,*,*,*,*,ウンッと,ウンッと,ウンッと
ウーンッと	副詞,一般,*,*,*,*,ウーンッと,ウーンット,ウーンット
うん	副詞,一般,*,*,*,*,うん,ウン,ウン
うーん	副詞,一般,*,*,*,*,うーん,ウーン,ウーン
うー	副詞,一般,*,*,*,*,うー,ウー,ウー
ウン	副詞,一般,*,*,*,*,ウン,ウン,ウン
ウーン	副詞,一般,*,*,*,*,ウーン,ウーン,ウーン
ウー	副詞,一般,*,*,*,*,ウー,ウー,ウー
うわっ	副詞,一般,*,*,*,*,うわっ,ウワッ,ウワッ
うわって	副詞,一般,*,*,*,*,うわって,ウワッテ,ウワッテ
うわーって	副詞,一般,*,*,*,*,うわーって,ウワーッテ,ウワーッテ
うわっと	副詞,一般,*,*,*,*,うわっと,ウワット,ウワット
うわーっと	副詞,一般,*,*,*,*,うわーっと,ウワーット,ウワーット
ウワって	副詞,一般,*,*,*,*,ウワって,ウワッテ,ウワッテ
ウワーって	副詞,一般,*,*,*,*,ウワーって,ウワーッテ,ウワーッテ
ウワっと	副詞,一般,*,*,*,*,ウワっと,ウワット,ウワット
ウワーっと	副詞,一般,*,*,*,*,ウワーっと,ウワーット,ウワーット
ウワッて	副詞,一般,*,*,*,*,ウワッて,ウワッテ,ウワッテ
ウワーッて	副詞,一般,*,*,*,*,ウワーッて,ウワーッテ,ウワーッテ
ウワッと	副詞,一般,*,*,*,*,ウワッと,ウワット,ウワット
ウワーッと	副詞,一般,*,*,*,*,ウワーッと,ウワーット,ウワーット
うわんて	副詞,一般,*,*,*,*,うわんて,ウワンテ,ウワンテ
うわーんて	副詞,一般,*,*,*,*,うわーんて,ウワーンテ,ウワーンテ
うわんと	副詞,一般,*,*,*,*,うわんと,ウワント,ウワント
うわーんと	副詞,一般,*,*,*,*,うわーんと,ウワーント,ウワーント
うわんって	副詞,一般,*,*,*,*,うわんって,ウワンテ,ウワンテ
うわーんって	副詞,一般,*,*,*,*,うわーんって,ウワーンッテ,ウワーンッテ
うわんっと	副詞,一般,*,*,*,*,うわんっと,ウワンット,ウワンット
うわーんっと	副詞,一般,*,*,*,*,うわーんっと,ウワーンット,ウワーンット
ウワンて	副詞,一般,*,*,*,*,ウワンて,ウワンテ,ウワンテ
ウワーンて	副詞,一般,*,*,*,*,ウワーンて,ウワーンテ,ウワーンテ
ウワンて	副詞,一般,*,*,*,*,ウワンて,ウワンテ,ウワンテ
ウワーンと	副詞,一般,*,*,*,*,ウワーンと,ウワーント,ウワーント
ウワンって	副詞,一般,*,*,*,*,ウワンって,ウワンテ,ウワンテ
ウワンッて	副詞,一般,*,*,*,*,ウワンッて,ウワンッテ,ウワンッテ
ウワーンって	副詞,一般,*,*,*,*,ウワーンって,ウワーンッテ,ウワーンッテ
ウワンって	副詞,一般,*,*,*,*,ウワンって,ウワンッテ,ウワンッテ
ウワーンっと	副詞,一般,*,*,*,*,ウワーンっと,ウワーンット,ウワーンット
ウワーンッて	副詞,一般,*,*,*,*,ウワーンッて,ウワーンッテ,ウワーンッテ
ウワンッと	副詞,一般,*,*,*,*,ウワンッと,ウワンッと,ウワンッと
ウワーンッと	副詞,一般,*,*,*,*,ウワーンッと,ウワーンット,ウワーンット
うわん	副詞,一般,*,*,*,*,うわん,ウワン,ウワン
うわーん	副詞,一般,*,*,*,*,うわーん,ウワーン,ウワーン
うわー	副詞,一般,*,*,*,*,うわー,ウワー,ウワー
ウワン	副詞,一般,*,*,*,*,ウワン,ウワン,ウワン
ウワーン	副詞,一般,*,*,*,*,ウワーン,ウワーン,ウワーン
ウワー	副詞,一般,*,*,*,*,ウワー,ウワー,ウワー
えっ	副詞,一般,*,*,*,*,えっ,エッ,エッ
えって	副詞,一般,*,*,*,*,えって,エッテ,エッテ
えーって	副詞,一般,*,*,*,*,えーって,エーッテ,エーッテ
えっと	副詞,一般,*,*,*,*,えっと,エット,エット
えーっと	副詞,一般,*,*,*,*,えーっと,エーット,エーット
エって	副詞,一般,*,*,*,*,エって,エッテ,エッテ
エーって	副詞,一般,*,*,*,*,エーって,エーッテ,エーッテ
エっと	副詞,一般,*,*,*,*,エっと,エット,エット
エーっと	副詞,一般,*,*,*,*,エーっと,エーット,エーット
エッて	副詞,一般,*,*,*,*,エッて,エッテ,エッテ
エーッて	副詞,一般,*,*,*,*,エーッて,エーッテ,エーッテ
エッと	副詞,一般,*,*,*,*,エッと,エット,エット
エーッと	副詞,一般,*,*,*,*,エーッと,エーット,エーット
えんて	副詞,一般,*,*,*,*,えんて,エンテ,エンテ
えーんて	副詞,一般,*,*,*,*,えーんて,エーンテ,エーンテ
えんと	副詞,一般,*,*,*,*,えんと,エント,エント
えーんと	副詞,一般,*,*,*,*,えーんと,エーント,エーント
えんって	副詞,一般,*,*,*,*,えんって,エンテ,エンテ
えーんって	副詞,一般,*,*,*,*,えーんって,エーンッテ,エーンッテ
えんっと	副詞,一般,*,*,*,*,えんっと,エンット,エンット
えーんっと	副詞,一般,*,*,*,*,えーんっと,エーンット,エーンット
エンて	副詞,一般,*,*,*,*,エンて,エンテ,エンテ
エーンて	副詞,一般,*,*,*,*,エーンて,エーンテ,エーンテ
エンて	副詞,一般,*,*,*,*,エンて,エンテ,エンテ
エーンと	副詞,一般,*,*,*,*,エーンと,エーント,エーント
エンって	副詞,一般,*,*,*,*,エンって,エンテ,エンテ
エンッて	副詞,一般,*,*,*,*,エンッて,エンッテ,エンッテ
エーンって	副詞,一般,*,*,*,*,エーンって,エーンッテ,エーンッテ
エンって	副詞,一般,*,*,*,*,エンって,エンッテ,エンッテ
エーンっと	副詞,一般,*,*,*,*,エーンっと,エーンット,エーンット
エーンッて	副詞,一般,*,*,*,*,エーンッて,エーンッテ,エーンッテ
エンッと	副詞,一般,*,*,*,*,エンッと,エンッと,エンッと
エーンッと	副詞,一般,*,*,*,*,エーンッと,エーンット,エーンット
えん	副詞,一般,*,*,*,*,えん,エン,エン
えーん	副詞,一般,*,*,*,*,えーん,エーン,エーン
えー	副詞,一般,*,*,*,*,えー,エー,エー
エン	副詞,一般,*,*,*,*,エン,エン,エン
エーン	副詞,一般,*,*,*,*,エーン,エーン,エーン
エー	副詞,一般,*,*,*,*,エー,エー,エー
おっ	副詞,一般,*,*,*,*,おっ,オッ,オッ
おって	副詞,一般,*,*,*,*,おって,オッテ,オッテ
おーって	副詞,一般,*,*,*,*,おーって,オーッテ,オーッテ
おっと	副詞,一般,*,*,*,*,おっと,オット,オット
おーっと	副詞,一般,*,*,*,*,おーっと,オーット,オーット
オって	副詞,一般,*,*,*,*,オって,オッテ,オッテ
オーって	副詞,一般,*,*,*,*,オーって,オーッテ,オーッテ
オっと	副詞,一般,*,*,*,*,オっと,オット,オット
オーっと	副詞,一般,*,*,*,*,オーっと,オーット,オーット
オッて	副詞,一般,*,*,*,*,オッて,オッテ,オッテ
オーッて	副詞,一般,*,*,*,*,オーッて,オーッテ,オーッテ
オッと	副詞,一般,*,*,*,*,オッと,オット,オット
オーッと	副詞,一般,*,*,*,*,オーッと,オーット,オーット
おんて	副詞,一般,*,*,*,*,おんて,オンテ,オンテ
おーんて	副詞,一般,*,*,*,*,おーんて,オーンテ,オーンテ
おんと	副詞,一般,*,*,*,*,おんと,オント,オント
おーんと	副詞,一般,*,*,*,*,おーんと,オーント,オーント
おんって	副詞,一般,*,*,*,*,おんって,オンテ,オンテ
おーんって	副詞,一般,*,*,*,*,おーんって,オーンッテ,オーンッテ
おんっと	副詞,一般,*,*,*,*,おんっと,オンット,オンット
おーんっと	副詞,一般,*,*,*,*,おーんっと,オーンット,オーンット
オンて	副詞,一般,*,*,*,*,オンて,オンテ,オンテ
オーンて	副詞,一般,*,*,*,*,オーンて,オーンテ,オーンテ
オンて	副詞,一般,*,*,*,*,オンて,オンテ,オンテ
オーンと	副詞,一般,*,*,*,*,オーンと,オーント,オーント
オンって	副詞,一般,*,*,*,*,オンって,オンテ,オンテ
オンッて	副詞,一般,*,*,*,*,オンッて,オンッテ,オンッテ
オーンって	副詞,一般,*,*,*,*,オーンって,オーンッテ,オーンッテ
オンって	副詞,一般,*,*,*,*,オンって,オンッテ,オンッテ
オーンっと	副詞,一般,*,*,*,*,オーンっと,オーンット,オーンット
オーンッて	副詞,一般,*,*,*,*,オーンッて,オーンッテ,オーンッテ
オンッと	副詞,一般,*,*,*,*,オンッと,オンッと,オンッと
オーンッと	副詞,一般,*,*,*,*,オーンッと,オーンット,オーンット
おん	副詞,一般,*,*,*,*,おん,オン,オン
おーん	副詞,一般,*,*,*,*,おーん,オーン,オーン
おー	副詞,一般,*,*,*,*,おー,オー,オー
オン	副詞,一般,*,*,*,*,オン,オン,オン
オーン	副詞,一般,*,*,*,*,オーン,オーン,オーン
オー	副詞,一般,*,*,*,*,オー,オー,オー
かっ	副詞,一般,*,*,*,*,かっ,カッ,カッ
かって	副詞,一般,*,*,*,*,かって,カッテ,カッテ
かーって	副詞,一般,*,*,*,*,かーって,カーッテ,カーッテ
かっと	副詞,一般,*,*,*,*,かっと,カット,カット
かーっと	副詞,一般,*,*,*,*,かーっと,カーット,カーット
カって	副詞,一般,*,*,*,*,カって,カッテ,カッテ
カーって	副詞,一般,*,*,*,*,カーって,カーッテ,カーッテ
カっと	副詞,一般,*,*,*,*,カっと,カット,カット
カーっと	副詞,一般,*,*,*,*,カーっと,カーット,カーット
カッて	副詞,一般,*,*,*,*,カッて,カッテ,カッテ
カーッて	副詞,一般,*,*,*,*,カーッて,カーッテ,カーッテ
カッと	副詞,一般,*,*,*,*,カッと,カット,カット
カーッと	副詞,一般,*,*,*,*,カーッと,カーット,カーット
かんて	副詞,一般,*,*,*,*,かんて,カンテ,カンテ
かーんて	副詞,一般,*,*,*,*,かーんて,カーンテ,カーンテ
かんと	副詞,一般,*,*,*,*,かんと,カント,カント
かーんと	副詞,一般,*,*,*,*,かーんと,カーント,カーント
かんって	副詞,一般,*,*,*,*,かんって,カンテ,カンテ
かーんって	副詞,一般,*,*,*,*,かーんって,カーンッテ,カーンッテ
かんっと	副詞,一般,*,*,*,*,かんっと,カンット,カンット
かーんっと	副詞,一般,*,*,*,*,かーんっと,カーンット,カーンット
カンて	副詞,一般,*,*,*,*,カンて,カンテ,カンテ
カーンて	副詞,一般,*,*,*,*,カーンて,カーンテ,カーンテ
カンて	副詞,一般,*,*,*,*,カンて,カンテ,カンテ
カーンと	副詞,一般,*,*,*,*,カーンと,カーント,カーント
カンって	副詞,一般,*,*,*,*,カンって,カンテ,カンテ
カンッて	副詞,一般,*,*,*,*,カンッて,カンッテ,カンッテ
カーンって	副詞,一般,*,*,*,*,カーンって,カーンッテ,カーンッテ
カンって	副詞,一般,*,*,*,*,カンって,カンッテ,カンッテ
カーンっと	副詞,一般,*,*,*,*,カーンっと,カーンット,カーンット
カーンッて	副詞,一般,*,*,*,*,カーンッて,カーンッテ,カーンッテ
カンッと	副詞,一般,*,*,*,*,カンッと,カンッと,カンッと
カーンッと	副詞,一般,*,*,*,*,カーンッと,カーンット,カーンット
かん	副詞,一般,*,*,*,*,かん,カン,カン
かーん	副詞,一般,*,*,*,*,かーん,カーン,カーン
かー	副詞,一般,*,*,*,*,かー,カー,カー
カン	副詞,一般,*,*,*,*,カン,カン,カン
カーン	副詞,一般,*,*,*,*,カーン,カーン,カーン
カー	副詞,一般,*,*,*,*,カー,カー,カー
がっ	副詞,一般,*,*,*,*,がっ,ガッ,ガッ
がって	副詞,一般,*,*,*,*,がって,ガッテ,ガッテ
がーって	副詞,一般,*,*,*,*,がーって,ガーッテ,ガーッテ
がっと	副詞,一般,*,*,*,*,がっと,ガット,ガット
がーっと	副詞,一般,*,*,*,*,がーっと,ガーット,ガーット
ガって	副詞,一般,*,*,*,*,ガって,ガッテ,ガッテ
ガーって	副詞,一般,*,*,*,*,ガーって,ガーッテ,ガーッテ
ガっと	副詞,一般,*,*,*,*,ガっと,ガット,ガット
ガーっと	副詞,一般,*,*,*,*,ガーっと,ガーット,ガーット
ガッて	副詞,一般,*,*,*,*,ガッて,ガッテ,ガッテ
ガーッて	副詞,一般,*,*,*,*,ガーッて,ガーッテ,ガーッテ
ガッと	副詞,一般,*,*,*,*,ガッと,ガット,ガット
ガーッと	副詞,一般,*,*,*,*,ガーッと,ガーット,ガーット
がんて	副詞,一般,*,*,*,*,がんて,ガンテ,ガンテ
がーんて	副詞,一般,*,*,*,*,がーんて,ガーンテ,ガーンテ
がんと	副詞,一般,*,*,*,*,がんと,ガント,ガント
がーんと	副詞,一般,*,*,*,*,がーんと,ガーント,ガーント
がんって	副詞,一般,*,*,*,*,がんって,ガンテ,ガンテ
がーんって	副詞,一般,*,*,*,*,がーんって,ガーンッテ,ガーンッテ
がんっと	副詞,一般,*,*,*,*,がんっと,ガンット,ガンット
がーんっと	副詞,一般,*,*,*,*,がーんっと,ガーンット,ガーンット
ガンて	副詞,一般,*,*,*,*,ガンて,ガンテ,ガンテ
ガーンて	副詞,一般,*,*,*,*,ガーンて,ガーンテ,ガーンテ
ガンて	副詞,一般,*,*,*,*,ガンて,ガンテ,ガンテ
ガーンと	副詞,一般,*,*,*,*,ガーンと,ガーント,ガーント
ガンって	副詞,一般,*,*,*,*,ガンって,ガンテ,ガンテ
ガンッて	副詞,一般,*,*,*,*,ガンッて,ガンッテ,ガンッテ
ガーンって	副詞,一般,*,*,*,*,ガーンって,ガーンッテ,ガーンッテ
ガンって	副詞,一般,*,*,*,*,ガンって,ガンッテ,ガンッテ
ガーンっと	副詞,一般,*,*,*,*,ガーンっと,ガーンット,ガーンット
ガーンッて	副詞,一般,*,*,*,*,ガーンッて,ガーンッテ,ガーンッテ
ガンッと	副詞,一般,*,*,*,*,ガンッと,ガンッと,ガンッと
ガーンッと	副詞,一般,*,*,*,*,ガーンッと,ガーンット,ガーンット
がん	副詞,一般,*,*,*,*,がん,ガン,ガン
がーん	副詞,一般,*,*,*,*,がーん,ガーン,ガーン
がー	副詞,一般,*,*,*,*,がー,ガー,ガー
ガン	副詞,一般,*,*,*,*,ガン,ガン,ガン
ガーン	副詞,一般,*,*,*,*,ガーン,ガーン,ガーン
ガー	副詞,一般,*,*,*,*,ガー,ガー,ガー
からっ	副詞,一般,*,*,*,*,からっ,カラッ,カラッ
からって	副詞,一般,*,*,*,*,からって,カラッテ,カラッテ
からーって	副詞,一般,*,*,*,*,からーって,カラーッテ,カラーッテ
からっと	副詞,一般,*,*,*,*,からっと,カラット,カラット
からーっと	副詞,一般,*,*,*,*,からーっと,カラーット,カラーット
カラって	副詞,一般,*,*,*,*,カラって,カラッテ,カラッテ
カラーって	副詞,一般,*,*,*,*,カラーって,カラーッテ,カラーッテ
カラっと	副詞,一般,*,*,*,*,カラっと,カラット,カラット
カラーっと	副詞,一般,*,*,*,*,カラーっと,カラーット,カラーット
カラッて	副詞,一般,*,*,*,*,カラッて,カラッテ,カラッテ
カラーッて	副詞,一般,*,*,*,*,カラーッて,カラーッテ,カラーッテ
カラッと	副詞,一般,*,*,*,*,カラッと,カラット,カラット
カラーッと	副詞,一般,*,*,*,*,カラーッと,カラーット,カラーット
からんて	副詞,一般,*,*,*,*,からんて,カランテ,カランテ
からーんて	副詞,一般,*,*,*,*,からーんて,カラーンテ,カラーンテ
からんと	副詞,一般,*,*,*,*,からんと,カラント,カラント
からーんと	副詞,一般,*,*,*,*,からーんと,カラーント,カラーント
からんって	副詞,一般,*,*,*,*,からんって,カランテ,カランテ
からーんって	副詞,一般,*,*,*,*,からーんって,カラーンッテ,カラーンッテ
からんっと	副詞,一般,*,*,*,*,からんっと,カランット,カランット
からーんっと	副詞,一般,*,*,*,*,からーんっと,カラーンット,カラーンット
カランて	副詞,一般,*,*,*,*,カランて,カランテ,カランテ
カラーンて	副詞,一般,*,*,*,*,カラーンて,カラーンテ,カラーンテ
カランて	副詞,一般,*,*,*,*,カランて,カランテ,カランテ
カラーンと	副詞,一般,*,*,*,*,カラーンと,カラーント,カラーント
カランって	副詞,一般,*,*,*,*,カランって,カランテ,カランテ
カランッて	副詞,一般,*,*,*,*,カランッて,カランッテ,カランッテ
カラーンって	副詞,一般,*,*,*,*,カラーンって,カラーンッテ,カラーンッテ
カランって	副詞,一般,*,*,*,*,カランって,カランッテ,カランッテ
カラーンっと	副詞,一般,*,*,*,*,カラーンっと,カラーンット,カラーンット
カラーンッて	副詞,一般,*,*,*,*,カラーンッて,カラーンッテ,カラーンッテ
カランッと	副詞,一般,*,*,*,*,カランッと,カランッと,カランッと
カラーンッと	副詞,一般,*,*,*,*,カラーンッと,カラーンット,カラーンット
からん	副詞,一般,*,*,*,*,からん,カラン,カラン
からーん	副詞,一般,*,*,*,*,からーん,カラーン,カラーン
からー	副詞,一般,*,*,*,*,からー,カラー,カラー
カラン	副詞,一般,*,*,*,*,カラン,カラン,カラン
カラーン	副詞,一般,*,*,*,*,カラーン,カラーン,カラーン
カラー	副詞,一般,*,*,*,*,カラー,カラー,カラー
がくっ	副詞,一般,*,*,*,*,がくっ,ガクッ,ガクッ
がくって	副詞,一般,*,*,*,*,がくって,ガクッテ,ガクッテ
がくーって	副詞,一般,*,*,*,*,がくーって,ガクーッテ,ガクーッテ
がくっと	副詞,一般,*,*,*,*,がくっと,ガクット,ガクット
がくーっと	副詞,一般,*,*,*,*,がくーっと,ガクーット,ガクーット
ガクって	副詞,一般,*,*,*,*,ガクって,ガクッテ,ガクッテ
ガクーって	副詞,一般,*,*,*,*,ガクーって,ガクーッテ,ガクーッテ
ガクっと	副詞,一般,*,*,*,*,ガクっと,ガクット,ガクット
ガクーっと	副詞,一般,*,*,*,*,ガクーっと,ガクーット,ガクーット
ガクッて	副詞,一般,*,*,*,*,ガクッて,ガクッテ,ガクッテ
ガクーッて	副詞,一般,*,*,*,*,ガクーッて,ガクーッテ,ガクーッテ
ガクッと	副詞,一般,*,*,*,*,ガクッと,ガクット,ガクット
ガクーッと	副詞,一般,*,*,*,*,ガクーッと,ガクーット,ガクーット
がくんて	副詞,一般,*,*,*,*,がくんて,ガクンテ,ガクンテ
がくーんて	副詞,一般,*,*,*,*,がくーんて,ガクーンテ,ガクーンテ
がくんと	副詞,一般,*,*,*,*,がくんと,ガクント,ガクント
がくーんと	副詞,一般,*,*,*,*,がくーんと,ガクーント,ガクーント
がくんって	副詞,一般,*,*,*,*,がくんって,ガクンテ,ガクンテ
がくーんって	副詞,一般,*,*,*,*,がくーんって,ガクーンッテ,ガクーンッテ
がくんっと	副詞,一般,*,*,*,*,がくんっと,ガクンット,ガクンット
がくーんっと	副詞,一般,*,*,*,*,がくーんっと,ガクーンット,ガクーンット
ガクンて	副詞,一般,*,*,*,*,ガクンて,ガクンテ,ガクンテ
ガクーンて	副詞,一般,*,*,*,*,ガクーンて,ガクーンテ,ガクーンテ
ガクンて	副詞,一般,*,*,*,*,ガクンて,ガクンテ,ガクンテ
ガクーンと	副詞,一般,*,*,*,*,ガクーンと,ガクーント,ガクーント
ガクンって	副詞,一般,*,*,*,*,ガクンって,ガクンテ,ガクンテ
ガクンッて	副詞,一般,*,*,*,*,ガクンッて,ガクンッテ,ガクンッテ
ガクーンって	副詞,一般,*,*,*,*,ガクーンって,ガクーンッテ,ガクーンッテ
ガクンって	副詞,一般,*,*,*,*,ガクンって,ガクンッテ,ガクンッテ
ガクーンっと	副詞,一般,*,*,*,*,ガクーンっと,ガクーンット,ガクーンット
ガクーンッて	副詞,一般,*,*,*,*,ガクーンッて,ガクーンッテ,ガクーンッテ
ガクンッと	副詞,一般,*,*,*,*,ガクンッと,ガクンッと,ガクンッと
ガクーンッと	副詞,一般,*,*,*,*,ガクーンッと,ガクーンット,ガクーンット
がくん	副詞,一般,*,*,*,*,がくん,ガクン,ガクン
がくーん	副詞,一般,*,*,*,*,がくーん,ガクーン,ガクーン
がくー	副詞,一般,*,*,*,*,がくー,ガクー,ガクー
ガクン	副詞,一般,*,*,*,*,ガクン,ガクン,ガクン
ガクーン	副詞,一般,*,*,*,*,ガクーン,ガクーン,ガクーン
ガクー	副詞,一般,*,*,*,*,ガクー,ガクー,ガクー
がつっ	副詞,一般,*,*,*,*,がつっ,ガツッ,ガツッ
