あつこわ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,あつかう,アツコワ,アツコワ
向かいおわ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,向かいあう,ムカイオワ,ムカイオワ
でおわ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,であう,デオワ,デオワ
出会わ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,出会う,デオワ,デオワ
でおわ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,であう,デオワ,デオワ
さそわ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,さそう,サソワ,サソワ
誘わ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,誘う,サソワ,サソワ
さそわ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,さそう,サソワ,サソワ
はろわ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,はらう,ハロワ,ハロワ
払わ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,払う,ハロワ,ハロワ
はろわ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,はらう,ハロワ,ハロワ
わろわ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,わらう,ワロワ,ワロワ
笑わ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,笑う,ワロワ,ワロワ
わろわ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,わらう,ワロワ,ワロワ
まちごわ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,まちがう,マチゴワ,マチゴワ
間違わ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,間違う,マチゴワ,マチゴワ
まちごわ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,まちがう,マチゴワ,マチゴワ
手つどわ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,手つだう,テツドワ,テツドワ
手伝わ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,手伝う,テツドワ,テツドワ
手つどわ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,手つだう,テツドワ,テツドワ
つこわ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,つかう,ツコワ,ツコワ
使わ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,使う,ツコワ,ツコワ
つこわ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,つかう,ツコワ,ツコワ
おわ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,あう,オワ,オワ
会わ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,会う,オワ,オワ
おわ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,あう,オワ,オワ
とわ	動詞,自立,*,*,五段・タ行,未然形,立つ,トワ,トワ
とわ	動詞,自立,*,*,五段・タ行,未然形,立つ,トワ,トワ
立わ	動詞,自立,*,*,五段・タ行,未然形,立つ,トワ,トワ
もろわ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,貰う,モロワ,モロワ
もろわ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,貰う,モロワ,モロワ
習わ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,習う,ナロワ,ナロワ
おわ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,あう,オワ,オワ
思わ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,思う,オモワ,オモワ
つくわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,つくる,ツクワ,ツクワ
つくわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,つくる,ツクワ,ツクワ
しもわ	動詞,非自立,*,*,五段・ワ行ウ音便,未然形,しまう,シモワ,シモワ
しもわ	動詞,非自立,*,*,五段・ワ行ウ音便,未然形,しまう,シモワ,シモワ
ちごわ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,違う,チゴワ,チゴワ
ちごわ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,違う,チゴワ,チゴワ
おもわ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,おもう,オモワ,オモワ
おもわ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,おもう,オモワ,オモワ
言わ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,言う,ユワ,ユワ
いわ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,いう,ユワ,ユワ
ゆわ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,いう,ユワ,ユワ
ゆわ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,いう,ユワ,ユワ
看取わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,看取る,ミトワ,ミトワ
封切わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,封切る,フウギワ,フーギワ
封切わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,封切る,フウキワ,フーキワ
逃げまどわ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,逃げまどう,ニゲマドワ,ニゲマドワ
わりきわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,わりきる,ワリキワ,ワリキワ
ひしめきあわ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,ひしめきあう,ヒシメキオワ,ヒシメキオワ
立あわ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,立あう,タチオワ,タチオワ
わきあがわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,わきあがる,ワキアゴワ,ワキアゴワ
大人ぶわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,大人ぶる,オトナブワ,オトナブワ
満わ	動詞,自立,*,*,五段・タ行,未然形,満つ,ミワ,ミワ
埋わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,埋る,ウモワ,ウモワ
だまし取わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,だまし取る,ダマシトワ,ダマシトワ
めしあがわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,めしあがる,メシアゴワ,メシアゴワ
くしけずわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,くしけずる,クシケズワ,クシケズワ
つみとわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,つみとる,ツミトワ,ツミトワ
さだまわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,さだまる,サダモワ,サダモワ
睨み合わ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,睨み合う,ニラミオワ,ニラミオワ
苛立わ	動詞,自立,*,*,五段・タ行,未然形,苛立つ,イラドワ,イラドワ
慮わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,慮る,オモンバコワ,オモンバコワ
怖じ気立わ	動詞,自立,*,*,五段・タ行,未然形,怖じ気立つ,オジケドワ,オジケドワ
黙わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,黙る,ダモワ,ダモワ
いりびたわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,いりびたる,イリビトワ,イリビトワ
定まわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,定まる,サダモワ,サダモワ
語りあわ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,語りあう,カタリオワ,カタリオワ
わたわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,わたる,ワトワ,ワトワ
ヒネわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,ヒネる,ヒネワ,ヒネワ
ふりつもわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,ふりつもる,フリツモワ,フリツモワ
出合わ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,出合う,デオワ,デオワ
かぶさわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,かぶさる,カブシヨワ,カブシヨワ
這わ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,這う,ホワ,ホワ
縫わ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,縫う,ヌワ,ヌワ
すみわたわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,すみわたる,スミワトワ,スミワトワ
ゆすぶわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,ゆすぶる,ユスブワ,ユスブワ
はねあがわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,はねあがる,ハネアゴワ,ハネアゴワ
やじわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,やじる,ヤジワ,ヤジワ
みかぎわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,みかぎる,ミカギワ,ミカギワ
食さがわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,食さがる,クイサゴワ,クイサゴワ
追い打わ	動詞,自立,*,*,五段・タ行,未然形,追い打つ,オイウワ,オイウワ
染まわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,染まる,ソモワ,ソモワ
立ち迷わ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,立ち迷う,タチマヨワ,タチマヨワ
たちむかわ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,たちむかう,タチムコワ,タチムコワ
ふくれあがわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,ふくれあがる,フクレアゴワ,フクレアゴワ
いいそこなわ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,いいそこなう,イイソコノワ,イーソコノワ
生い立わ	動詞,自立,*,*,五段・タ行,未然形,生い立つ,オイトワ,オイトワ
はむかわ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,はむかう,ハムコワ,ハムコワ
よそおわ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,よそおう,ヨソオワ,ヨソオワ
さむけだわ	動詞,自立,*,*,五段・タ行,未然形,さむけだつ,サムケドワ,サムケドワ
祀わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,祀る,マツワ,マツワ
持ちきわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,持ちきる,モチキワ,モチキワ
掻き曇わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,掻き曇る,カキクモワ,カキクモワ
澄みきわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,澄みきる,スミキワ,スミキワ
踏みきわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,踏みきる,フミキワ,フミキワ
ほふわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,ほふる,ホフワ,ホフワ
捻わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,捻る,ヒネワ,ヒネワ
捻わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,捻る,ネジワ,ネジワ
触り合わ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,触り合う,フリオワ,フリオワ
角張わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,角張る,カクボワ,カクボワ
おそわ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,おそう,オソワ,オソワ
けやぶわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,けやぶる,ケヤブワ,ケヤブワ
溶けあわ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,溶けあう,トケオワ,トケオワ
はぐわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,はぐる,ハグワ,ハグワ
引き下がわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,引き下がる,ヒキサゴワ,ヒキサゴワ
引き締まわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,引き締まる,ヒキシモワ,ヒキシモワ
おもいやわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,おもいやる,オモイヤワ,オモイヤワ
ふとわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,ふとる,フトワ,フトワ
うちまくわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,うちまくる,ウチマクワ,ウチマクワ
明け残わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,明け残る,アケノコワ,アケノコワ
くねわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,くねる,クネワ,クネワ
ようだわ	動詞,自立,*,*,五段・タ行,未然形,ようだつ,ヨウドワ,ヨウドワ
食い違わ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,食い違う,クイチゴワ,クイチゴワ
手古摺わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,手古摺る,テコズワ,テコズワ
立ちどまわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,立ちどまる,タチドモワ,タチドモワ
はいりきわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,はいりきる,ハイリキワ,ハイリキワ
捜しまわわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,捜しまわる,サガシマヲワ,サガシマヲワ
ゆきわたわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,ゆきわたる,ユキワトワ,ユキワトワ
料わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,料る,リョウワ,リョーワ
せぐくまわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,せぐくまる,セグクモワ,セグクモワ
わすれさわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,わすれさる,ワスレシヨワ,ワスレシヨワ
隠わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,隠る,コモワ,コモワ
成さがわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,成さがる,ナリサゴワ,ナリサゴワ
さえわたわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,さえわたる,サエワトワ,サエワトワ
むち打わ	動詞,自立,*,*,五段・タ行,未然形,むち打つ,ムチウワ,ムチウワ
抗わ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,抗う,アラゴワ,アラゴワ
なわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,なる,ノワ,ノワ
取り持わ	動詞,自立,*,*,五段・タ行,未然形,取り持つ,トリモワ,トリモワ
おもいあたわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,おもいあたる,オモイアトワ,オモイアトワ
ひっくくわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,ひっくくる,ヒウククワ,ヒウククワ
仰け反わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,仰け反る,ノケゾワ,ノケゾワ
あざけわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,あざける,アザケワ,アザケワ
飼わ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,飼う,コワ,コワ
かすめ取わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,かすめ取る,カスメトワ,カスメトワ
角立わ	動詞,自立,*,*,五段・タ行,未然形,角立つ,カドドワ,カドドワ
ほこわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,ほこる,ホコワ,ホコワ
くわわわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,くわわる,クワヲワ,クワヲワ
差し上わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,差し上る,サシノボワ,サシノボワ
踏ん切わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,踏ん切る,フンギワ,フンギワ
ぬきはなわ	動詞,自立,*,*,五段・タ行,未然形,ぬきはなつ,ヌキハノワ,ヌキハノワ
ぼわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,ぼる,ボワ,ボワ
蹲わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,蹲る,ウズクモワ,ウズクモワ
締切わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,締切る,シメキワ,シメキワ
挙がわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,挙がる,アゴワ,アゴワ
突っぱわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,突っぱる,ツウパワ,ツウパワ
せわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,せる,セワ,セワ
躙り寄わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,躙り寄る,ニジリヨワ,ニジリヨワ
いさよわ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,いさよう,イサヨワ,イサヨワ
にげまわわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,にげまわる,ニゲマヲワ,ニゲマヲワ
縁どわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,縁どる,フチドワ,フチドワ
寝そべわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,寝そべる,ネソベワ,ネソベワ
拾わ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,拾う,ヒロワ,ヒロワ
拾わ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,拾う,ヒロワ,ヒロワ
降り懸わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,降り懸る,フリカコワ,フリカコワ
植わわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,植わる,ウヲワ,ウヲワ
飛あがわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,飛あがる,トビアゴワ,トビアゴワ
たもちあわ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,たもちあう,タモチオワ,タモチオワ
語り合わ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,語り合う,カタリオワ,カタリオワ
加え持わ	動詞,自立,*,*,五段・タ行,未然形,加え持つ,クワエモワ,クワエモワ
あてはまわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,あてはまる,アテハモワ,アテハモワ
折れ曲がわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,折れ曲がる,オレマゴワ,オレマゴワ
かきおくわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,かきおくる,カキオクワ,カキオクワ
筋ばわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,筋ばる,スジボワ,スジボワ
散らばわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,散らばる,チラボワ,チラボワ
負かわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,負かる,マコワ,マコワ
重なわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,重なる,カサノワ,カサノワ
息張わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,息張る,イキボワ,イキボワ
きおわ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,きおう,キオワ,キオワ
直わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,直る,ナオワ,ナオワ
つんのめわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,つんのめる,ツンノメワ,ツンノメワ
おいしげわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,おいしげる,オイシゲワ,オイシゲワ
まるまわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,まるまる,マルモワ,マルモワ
うまれかわわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,うまれかわる,ウマレカヲワ,ウマレカヲワ
居直わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,居直る,イナオワ,イナオワ
出会わ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,出会う,デオワ,デオワ
かいくぐわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,かいくぐる,カイクグワ,カイクグワ
遵わ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,遵う,シタゴワ,シタゴワ
混ざわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,混ざる,マジヨワ,マジヨワ
減わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,減る,ヘワ,ヘワ
解け合わ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,解け合う,トケオワ,トケオワ
みまわわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,みまわる,ミマヲワ,ミマヲワ
行なわ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,行なう,オコノワ,オコノワ
閉じ込もわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,閉じ込もる,トジコモワ,トジコモワ
かりとわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,かりとる,カリトワ,カリトワ
追っ払わ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,追っ払う,オウパロワ,オウパロワ
飛びのわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,飛びのる,トビノワ,トビノワ
さかのぼわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,さかのぼる,サカノボワ,サカノボワ
休らわ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,休らう,ヤスロワ,ヤスロワ
生れかわわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,生れかわる,ウマレカヲワ,ウマレカヲワ
瀬切わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,瀬切る,セギワ,セギワ
洩わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,洩る,モワ,モワ
つれそわ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,つれそう,ツレソワ,ツレソワ
哮わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,哮る,タケワ,タケワ
後ずさわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,後ずさる,アトズシヨワ,アトズシヨワ
さえずわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,さえずる,サエズワ,サエズワ
そこなわ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,そこなう,ソコノワ,ソコノワ
みいわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,みいる,ミイワ,ミイワ
出ばわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,出ばる,デボワ,デボワ
仕舞わ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,仕舞う,シモワ,シモワ
暇どわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,暇どる,ヒマドワ,ヒマドワ
晴あがわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,晴あがる,ハレアゴワ,ハレアゴワ
くいあわ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,くいあう,クイオワ,クイオワ
切取わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,切取る,キリトワ,キリトワ
与わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,与る,アズコワ,アズコワ
ねがわ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,ねがう,ネゴワ,ネゴワ
嵌わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,嵌る,ハモワ,ハモワ
いがみあわ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,いがみあう,イガミオワ,イガミオワ
はさみ切わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,はさみ切る,ハサミキワ,ハサミキワ
ふんだくわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,ふんだくる,フンダクワ,フンダクワ
にごわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,にごる,ニゴワ,ニゴワ
頑ばわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,頑ばる,ガンボワ,ガンボワ
くみ取わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,くみ取る,クミトワ,クミトワ
売りはらわ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,売りはらう,ウリハロワ,ウリハロワ
ふりしきわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,ふりしきる,フリシキワ,フリシキワ
やすまわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,やすまる,ヤスモワ,ヤスモワ
はせむかわ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,はせむかう,ハセムコワ,ハセムコワ
挙わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,挙る,アゴワ,アゴワ
挙わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,挙る,コゾワ,コゾワ
含まわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,含まる,フクモワ,フクモワ
練わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,練る,ネワ,ネワ
めさわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,めさる,メシヨワ,メシヨワ
はいわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,はいる,ハイワ,ハイワ
造わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,造る,ツクワ,ツクワ
はやまわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,はやまる,ハヤモワ,ハヤモワ
入りびたわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,入りびたる,イリビトワ,イリビトワ
あざなわ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,あざなう,アザノワ,アザノワ
伴わ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,伴う,トモノワ,トモノワ
宛てがわ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,宛てがう,アテゴワ,アテゴワ
見て取わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,見て取る,ミテトワ,ミテトワ
しわわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,しわる,シヲワ,シヲワ
揺すわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,揺する,ユスワ,ユスワ
作わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,作る,ツクワ,ツクワ
手折わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,手折る,タオワ,タオワ
やしなわ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,やしなう,ヤシノワ,ヤシノワ
勤まわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,勤まる,ツトモワ,ツトモワ
きりまくわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,きりまくる,キリマクワ,キリマクワ
みまかわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,みまかる,ミマコワ,ミマコワ
懸かわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,懸かる,カコワ,カコワ
もわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,もる,モワ,モワ
よろこびあわ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,よろこびあう,ヨロコビオワ,ヨロコビオワ
伺わ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,伺う,ウカゴワ,ウカゴワ
差し昇わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,差し昇る,サシノボワ,サシノボワ
黒みがかわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,黒みがかる,クロミガコワ,クロミガコワ
見失わ	動詞,自立,*,*,五段・ワ行ウ音便,未然形,見失う,ミウシノワ,ミウシノワ
漬かわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,漬かる,ツコワ,ツコワ
筋張わ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,筋張る,スジボワ,スジボワ
張りきわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,張りきる,ハリキワ,ハリキワ
舐めずわ	動詞,自立,*,*,五段・ラ行ウ音便,未然形,舐めずる,ナメズワ,ナメズワ
