悠介	名詞,固有名詞,人名,名,*,*,悠介,ユウスケ,ユースケ
UVERworld	名詞,固有名詞,組織,*,*,*,UVERworld,UVERworld,UVERworld
Uverworld	名詞,固有名詞,組織,*,*,*,Uverworld,Uverworld,Uverworld
V	名詞,一般,*,*,*,*,V,V,V
W	名詞,一般,*,*,*,*,W,W,W
WiFi	名詞,一般,*,*,*,*,WiFi,WiFi,WiFi
Wifi	名詞,一般,*,*,*,*,Wifi,Wifi,Wifi
Wii	名詞,固有名詞,一般,*,*,*,Wii,Wii,Wii
アン	名詞,固有名詞,人名,名,*,*,アン,アン,アン
X	名詞,一般,*,*,*,*,X,X,X
Y	名詞,一般,*,*,*,*,Y,Y,Y
YOUTUBE	名詞,固有名詞,一般,*,*,*,YOUTUBE,YOUTUBE,YOUTUBE
Yahoo	名詞,一般,*,*,*,*,Yahoo,Yahoo,Yahoo
YouTube	名詞,固有名詞,一般,*,*,*,YouTube,YouTube,YouTube
Youtube	名詞,固有名詞,一般,*,*,*,Youtube,Youtube,Youtube
Z	名詞,一般,*,*,*,*,Z,Z,Z
iPad	名詞,一般,*,*,*,*,iPad,iPad,iPad
iPhone	名詞,一般,*,*,*,*,iPhone,iPhone,iPhone
iPod	名詞,一般,*,*,*,*,iPod,iPod,iPod
ipad	名詞,一般,*,*,*,*,ipad,ipad,ipad
iphone	名詞,一般,*,*,*,*,iphone,iphone,iphone
ipod	名詞,一般,*,*,*,*,ipod,ipod,ipod
twitter	名詞,固有名詞,一般,*,*,*,twitter,twitter,twitter
wifi	名詞,一般,*,*,*,*,wifi,wifi,wifi
youtube	名詞,固有名詞,一般,*,*,*,youtube,youtube,youtube
あや	名詞,固有名詞,人名,名,*,*,あやか,アヤカ,アヤカ
あやか	名詞,固有名詞,人名,名,*,*,あやか,アヤカ,アヤカ
あらいもん	名詞,一般,*,*,*,*,あらいもん,アライモン,アライモン
いきもん	名詞,一般,*,*,*,*,いきもん,イキモン,イキモン
いちんち	名詞,一般・縮約形,*,*,*,*,いちにち,イチンチ,イチンチ
いっちばん	名詞,副詞可能,*,*,*,*,いっちばん,イッチバン,イチッバン
いれもん	名詞,一般,*,*,*,*,いれもん,イレモン,イレモン
うっそ	名詞,一般,*,*,*,*,うっそ,ウッソ,ウッソ
うっとこ	名詞,一般・縮約形,*,*,*,*,うちのところ,ウットコ,ウトッコ
えべっさん	名詞,一般,*,*,*,*,えべっさん,エベッサン,エベッサン
おかん	名詞,一般,*,*,*,*,おかん,オカン,オカン
おしピン	名詞,一般,*,*,*,*,おしピン,オシピン,オシピン
おじい	名詞,一般,*,*,*,*,おじい,オジイ,オジー
おじん	名詞,一般・縮約形,*,*,*,*,おじん,オジン,オジン
おとん	名詞,一般,*,*,*,*,おとん,オトン,オトン
おねえ	名詞,一般・縮約形,*,*,*,*,おねえ,オネエ,オネエ
おはぎ	名詞,一般,*,*,*,*,おはぎ,オハギ,オハギ
おばあ	名詞,一般,*,*,*,*,おばあ,オバア,オバー
おばん	名詞,一般・縮約形,*,*,*,*,おばん,オバン,オバン
お萩	名詞,一般,*,*,*,*,お萩,オハギ,オハギ
かいもん	名詞,一般,*,*,*,*,かいもん,カイモン,カイモン
かたっぽ	名詞,一般,*,*,*,*,かたっぽ,カタッポ,カタッポ
かな	名詞,固有名詞,人名,名,*,*,かな,カナ,カナ
かなこ	名詞,固有名詞,人名,名,*,*,かなこ,カナコ,カナコ
から揚げ	名詞,一般,*,*,*,*,から揚げ,カラアゲ,カラアゲ
かりゆし	名詞,固有名詞,組織,*,*,*,かりゆし,カリユシ,カリユシ
かわり	名詞,形容動詞語幹,*,*,*,*,かわり,カワリ,カワリ
かんじ	名詞,一般,*,*,*,*,かんじ,カンジ,カンジ
がたい	名詞,一般,*,*,*,*,がたい,がたい,がたい
がり勉	名詞,一般,*,*,*,*,がり勉,がり勉,がり勉
がり勉	名詞,一般,*,*,*,*,がり勉,ガリベン,ガリベン
くだもん	名詞,一般,*,*,*,*,くだもん,クダモン,クダモン
けい	名詞,固有名詞,人名,名,*,*,けい,ケイ,ケー
けいこ	名詞,固有名詞,人名,名,*,*,けいこ,ケイコ,ケーコ
しょう	名詞,固有名詞,人名,名,*,*,しょう,ショウ,ショー
じゃんけん	名詞,一般,*,*,*,*,じゃんけん,ジャンケン,ジャンケン
じゅん	名詞,固有名詞,人名,名,*,*,じゅん,ジュン,ジュン
ずぼん	名詞,一般,*,*,*,*,ずぼん,ズボン,ズボン
たてもん	名詞,一般,*,*,*,*,たてもん,タテモン,タテモン
たべもん	名詞,一般,*,*,*,*,たべもん,タベモン,タベモン
ため口	名詞,一般,*,*,*,*,ため口,タメグチ,タメグチ
ため語	名詞,一般,*,*,*,*,ため語,タメゴ,タメゴ
ちい	名詞,固有名詞,人名,名,*,*,ちい,チイ,チー
ちゃり	名詞,一般,*,*,*,*,ちゃり,チャリ,チャリ
ちゃりんこ	名詞,一般,*,*,*,*,ちゃりんこ,チャリンコ,チャリンコ
ちゃーりー	名詞,一般,*,*,*,*,ちゃーりー,チャーリー,チャーリー
ちー	名詞,固有名詞,人名,名,*,*,ちー,チー,チー
とっかえひっかえ	名詞,サ変接続,*,*,*,*,とっかえひっかえ,トッカエヒッカエ,トッカエヒッカエ
なお	名詞,固有名詞,人名,名,*,*,なお,ナオ,ナオ
なおき	名詞,固有名詞,人名,名,*,*,なおき,ナオキ,ナオキ
なおこ	名詞,固有名詞,人名,名,*,*,なおこ,ナオコ,ナオこ
なわとび	名詞,一般,*,*,*,*,なわとび,ナワトビ,ナワトビ
のみもん	名詞,一般,*,*,*,*,のみもん,ノミモン,ノミモン
はないちもんめ	名詞,一般,*,*,*,*,はないちもんめ,ハナイチモンメ,ハナイチモンメ
ばあば	名詞,一般,*,*,*,*,ばあば,バアバ,バーバ
ばればれ	名詞,一般,*,*,*,*,ばればれ,バレバレ,バレバレ
ぱーぷる	名詞,固有名詞,組織,*,*,*,ぱーぷる,ぱーぷる,ぱーぷる
ひいおじいさん	名詞,一般,*,*,*,*,ひいおじいさん,ヒイオジイサン,ヒーオジーサン
ひいおじいちゃん	名詞,一般,*,*,*,*,ひいおじいちゃん,ヒイオジイチャン,ヒーオジーチャン
ひいおばあさん	名詞,一般,*,*,*,*,ひいおばあさん,ヒイオバーサン,ヒーオバーサン
ひいおばあちゃん	名詞,一般,*,*,*,*,ひいおばあちゃん,ヒイオバーチャン,ヒーオバーチャン
ひいじいさん	名詞,一般,*,*,*,*,ひいじいさん,ヒイジイサン,ヒージーサン
ひいじいちゃん	名詞,一般,*,*,*,*,ひいじいちゃん,ヒイジイチャン,ヒージーチャン
ひいばあさん	名詞,一般,*,*,*,*,ひいばあさん,ヒイバーサン,ヒーバーサン
ひいばあちゃん	名詞,一般,*,*,*,*,ひいばあちゃん,ヒイバーチャン,ヒーバーチャン
ぷー太郎	名詞,一般,*,*,*,*,ぷー太郎,プーラロウ,プータロー
へたっぴ	名詞,一般,*,*,*,*,へたっぴ,ヘタッピ,ヘタッピ
ぼったくり	名詞,一般,*,*,*,*,ぼったくり,ボッタクリ,ボッタクリ
まあ	名詞,固有名詞,人名,名,*,*,まあ,マア,マー
まき	名詞,固有名詞,人名,名,*,*,まき,マキ,マキ
まこ	名詞,固有名詞,人名,名,*,*,まこ,マコ,マコ
まぜまぜ	名詞,サ変接続,*,*,*,*,まぜまぜ,マゼマゼ,マゼマゼ
まー	名詞,固有名詞,人名,名,*,*,まー,マア,マー
もっかい	名詞,一般・縮約形,*,*,*,*,もういっかい,モッカイ,モッカイ
もん	名詞,一般,*,*,*,*,もん,モン,モン
やすもん	名詞,一般,*,*,*,*,やすもん,ヤスモン,ヤスモン
わかもん	名詞,一般,*,*,*,*,わかもん,ワカモン,ワカモン
アウトレット	名詞,一般,*,*,*,*,アウトレット,アウトレット,アウトレット
アバウト	名詞,形容動詞語幹,*,*,*,*,アバウト,アバウト,アバウト
アプリ	名詞,一般,*,*,*,*,アプリ,アプリ,アプリ
アルフォート	名詞,一般,*,*,*,*,アルフォート,アルフォート,アルフォート
イケメン	名詞,一般,*,*,*,*,イケメン,イケメン,イケメン
イジメ	名詞,一般,*,*,*,*,イジメ,イジメ,イジメ
ウィキペディア	名詞,固有名詞,一般,*,*,*,ウィキペディア,ウィキペディア,ウィキペディア
ウインドウショッピング	名詞,サ変接続,*,*,*,*,ウインドウショッピング,ウインドウショッピング,ウインドウショッピング
ウッディタウン	名詞,固有名詞,地域,一般,*,*,ウッディタウン,ウッディタウン,ウッディタウン
ウルトラマン	名詞,固有名詞,人名,名,*,*,ウルトラマン,ウルトラマン,ウルトラマン
オカン	名詞,一般,*,*,*,*,オカン,オカン,オカン
オトン	名詞,一般,*,*,*,*,オトン,オトン,オトン
オンオフ	名詞,一般,*,*,*,*,オンオフ,オンオフ,オンオフ
カルチャーショック	名詞,サ変接続,*,*,*,*,カルチャーショック,カルチャーショック,カルチャーショック
カロスキル	名詞,一般,*,*,*,*,カロスキル,カロスキル,カロスキル
カロスキル	名詞,一般,*,*,*,*,カロスキル,カロスキル,カロスキル
カードゲーム	名詞,一般,*,*,*,*,カードゲーム,カードゲーム,カードゲーム
カードゲーム	名詞,一般,*,*,*,*,カードゲーム,カードゲーム,カードゲーム
ガールズグループ	名詞,一般,*,*,*,*,ガールズグループ,ガールズグループ,ガールズグループ
キル	名詞,一般,*,*,*,*,キル,キル,キル
ギミック	名詞,一般,*,*,*,*,ギミック,ギミック,ギミック
クラスメイト	名詞,一般,*,*,*,*,クラスメイト,クラスメイト,クラスメイト
ケアレスミス	名詞,一般,*,*,*,*,ケアレスミス,ケアレスミス,ケアレスミス
ケータイ	名詞,一般,*,*,*,*,ケータイ,ケータイ,ケータイ
ゲーセン	名詞,一般,*,*,*,*,ゲーセン,ゲーセン,ゲーセン
コボル	名詞,一般,*,*,*,*,コボル,コボル,コボル
サプリメント	名詞,一般,*,*,*,*,サプリメント,サプリメント,サプリメント
サーティーワン	名詞,固有名詞,組織,*,*,*,サーティーワン,サーティーワン,サーティーワン
ショットガン	名詞,一般,*,*,*,*,ショットガン,ショットガン,ショットガン
ジャグリング	名詞,一般,*,*,*,*,ジャグリング,ジャグリング,ジャグリング
ジャニーズ	名詞,固有名詞,組織,*,*,*,ジャニーズ,ジャニーズ,ジャニーズ
ジョーシン	名詞,固有名詞,組織,*,*,*,ジョーシン,ジョーシン,ジョーシン
スイーツ	名詞,一般,*,*,*,*,スイーツ,スイーツ,スイーツ
スケボー	名詞,一般,*,*,*,*,スケボー,スケボー,スケボー
スタバ	名詞,固有名詞,組織,*,*,*,スタバ,スタバ,スタバ
ストーカー	名詞,一般,*,*,*,*,ストーカー,ストーカー,ストーカー
スナイパーライフル	名詞,一般,*,*,*,*,スナイパーライフル,スナイパーライフル,スナイパーライフル
スピーキング	名詞,一般,*,*,*,*,スピーキング,スピーキング,スピーキング
スペアリブ	名詞,一般,*,*,*,*,スペアリブ,スペアリブ,スペアリブ
スマッシュブラザーズ	名詞,固有名詞,一般,*,*,*,スマッシュブラザーズ,スマッシュブラザーズ,スマッシュブラザーズ
スマブラ	名詞,固有名詞,一般,*,*,*,スマブラ,スマブラ,スマブラ
スマホ	名詞,一般,*,*,*,*,スマホ,スマホ,スマホ
セジョンホテル	名詞,一般,*,*,*,*,セジョンホテル,セジョンホテル,セジョンホテル
タチ	名詞,一般,*,*,*,*,たち,タチ,タチ
タッチパネル	名詞,一般,*,*,*,*,タッチパネル,タッチパネル,タッチパネル
タッチパネル	名詞,一般,*,*,*,*,タッチパネル,タッチパネル,タッチパネル
タッパー	名詞,一般,*,*,*,*,タッパー,タッパー,タッパー
タメ口	名詞,一般,*,*,*,*,タメ口,タメグチ,タメグチ
タメ語	名詞,一般,*,*,*,*,タメ語,タメゴ,タメゴ
ダイエー	名詞,固有名詞,組織,*,*,*,ダイエー,ダイエー,ダイエー
チャイ	名詞,一般,*,*,*,*,チャイ,チャイ,チャイ
チャリ	名詞,一般,*,*,*,*,チャリ,チャリ,チャリ
チャリンコ	名詞,一般,*,*,*,*,チャリンコ,チャリンコ,チャリンコ
チャーリー	名詞,一般,*,*,*,*,チャーリー,チャーリー,チャーリー
チューハイ	名詞,一般,*,*,*,*,チューハイ,チューハイ,チューハイ
ツイッター	名詞,一般,*,*,*,*,ツイッター,ツイッター,ツイッター
ツレ	名詞,一般,*,*,*,*,ツレ,ツレ,ツレ
ディズニーシー	名詞,固有名詞,組織,*,*,*,ディズニーシー,ディズニーシー,ディズニーシー
ディズニーランド	名詞,固有名詞,組織,*,*,*,ディズニーランド,ディズニーランド,ディズニーランド
ディズニーランドホテル	名詞,固有名詞,組織,*,*,*,ディズニーランドホテル,ディズニーランドホテル,ディズニーランドホテル
ディズニーリゾート	名詞,固有名詞,組織,*,*,*,ディズニーリゾート,ディズニーリゾート,ディズニーリゾート
デイゲーム	名詞,一般,*,*,*,*,デイゲーム,デイゲーム,デイゲーム
トロント	名詞,固有名詞,地域,一般,*,*,トロント,トロント,トロント
ドラゴンボール	名詞,固有名詞,一般,*,*,*,ドラゴンボール,ドラゴンボール,ドラゴンボール
ナビ	名詞,一般,*,*,*,*,ナビ,ナビ,ナビ
ニューヨークタイムズ	名詞,固有名詞,一般,*,*,*,ニューヨークタイムズ,ニューヨークタイムズ,ニューヨークタイムズ
ニート	名詞,一般,*,*,*,*,ニート,ニート,ニート
ネットサーフィン	名詞,サ変接続,*,*,*,*,ネットサーフィン,ネットサーフィン,ネットサーフィン
ハリーポッター	名詞,固有名詞,一般,*,*,*,ハリーポッター,ハリーポッター,ハリーポッター
ハリーポッター	名詞,固有名詞,一般,*,*,*,ハリーポッター,ハリーポッター,ハリーポッター
バラエティ	名詞,一般,*,*,*,*,バラエティ,バラエティ,バラエティ
バレバレ	名詞,一般,*,*,*,*,ばればれ,バレバレ,バレバレ
バンクーバー	名詞,固有名詞,地域,一般,*,*,バンクーバー,バンクーバー,バンクーバー
バーボン	名詞,一般,*,*,*,*,バーボン,バーボン,バーボン
パズドラ	名詞,固有名詞,一般,*,*,*,パズドラ,パズドラ,パズドラ
パワハラ	名詞,一般,*,*,*,*,パワハラ,パワハラ,パワハラ
ピーラー	名詞,一般,*,*,*,*,ピーラー,ピーラー,ピーラー
フルスイング	名詞,一般,*,*,*,*,フルスイング,フルスイング,フルスイング
ブレード	名詞,一般,*,*,*,*,ブレード,ブレード,ブレード
ブログ	名詞,一般,*,*,*,*,ブログ,ブログ,ブログ
プレステ	名詞,固有名詞,一般,*,*,*,プレステ,プレステ,プレステ
プー太郎	名詞,一般,*,*,*,*,プー太郎,プーラロウ,プータロー
ベイブレード	名詞,固有名詞,一般,*,*,*,ベイブレード,ベイブレード,ベイブレード
ホイップ	名詞,一般,*,*,*,*,ホイップ,ホイップ,ホイップ
ボッタクリ	名詞,一般,*,*,*,*,ボッタクリ,ボッタクリ,ボッタクリ
ポケモン	名詞,一般,*,*,*,*,ポケモン,ポケモン,ポケモン
ポンタ	名詞,固有名詞,一般,*,*,*,ポンタ,ポンタ,ポンタ
マイク	名詞,固有名詞,人名,名,*,*,マイク,マイク,マイク
マゼマゼ	名詞,一般,*,*,*,*,マゼマゼ,マゼマゼ,マゼマゼ
マチュピチュ	名詞,固有名詞,地域,一般,*,*,マチュピチュ,マチュピチュ,マチュピチュ
ミスド	名詞,固有名詞,組織,*,*,*,ミスド,ミスド,ミスド
モンハン	名詞,固有名詞,一般,*,*,*,モンハン,モンハン,モンハン
ヤフオク	名詞,一般,*,*,*,*,ヤフオク,ヤフオク,ヤフオク
ヤムチャ	名詞,固有名詞,一般,*,*,*,ヤムチャ,ヤムチャ,ヤムチャ
ユニクロ	名詞,固有名詞,組織,*,*,*,ユニクロ,ユニクロ,ユニクロ
ユニバ	名詞,固有名詞,組織,*,*,*,ユニバ,ユニバ,ユニバ
ライティング	名詞,一般,*,*,*,*,ライティング,ライティング,ライティング
ララポート	名詞,固有名詞,組織,*,*,*,ララポート,ララポート,ララポート
ラーニング	名詞,一般,*,*,*,*,ラーニング,ラーニング,ラーニング
リコーダー	名詞,一般,*,*,*,*,リコーダー,リコーダー,リコーダー
リブ	名詞,一般,*,*,*,*,リブ,リブ,リブ
リプレイ	名詞,一般,*,*,*,*,リプレイ,リプレイ,リプレイ
レア	名詞,形容動詞語幹,*,*,*,*,レア,レア,レア
レトロ	名詞,形容動詞語幹,*,*,*,*,レトロ,レトロ,レトロ
レノボ	名詞,固有名詞,組織,*,*,*,レノボ,レノボ,レノボ
ローズバッド	名詞,一般,*,*,*,*,ローズバッド,ローズバッド,ローズバッド
ワンオク	名詞,固有名詞,組織,*,*,*,ワンオク,ワンオク,ワンオク
ヴィッセル	名詞,固有名詞,組織,*,*,*,ヴィッセル,ヴィッセル,ヴィッセル
三田	名詞,固有名詞,地域,一般,*,*,三田,サンダ,サンダ
上が原	名詞,固有名詞,組織,*,*,*,上が原,ウエガハラ,ウエガハラ
上ヶ原	名詞,固有名詞,組織,*,*,*,上ヶ原,ウエガハラ,ウエガハラ
上捨都	名詞,固有名詞,地域,一般,*,*,上捨都,ウエサト,ウエサト
下ネタ	名詞,一般,*,*,*,*,下ネタ,シモネタ,シモネタ
下手っぴ	名詞,一般,*,*,*,*,下手っぴ,ヘタッピ,ヘタッピ
中1	名詞,一般,*,*,*,*,中1,チュウイチ,チューイチ
中2	名詞,一般,*,*,*,*,中2,チュウニ,チューニ
中3	名詞,一般,*,*,*,*,中3,チュウサン,チューサン
中一	名詞,一般,*,*,*,*,中一,チュウイチ,チューイチ
中三	名詞,一般,*,*,*,*,中三,チュウサン,チューサン
中二	名詞,一般,*,*,*,*,中二,チュウニ,チューニ
中川	名詞,固有名詞,人名,名,*,*,中川,ナカガワ,ナカガワ
中米	名詞,固有名詞,地域,一般,*,*,中米,チュウベイ,チューベー
中高	名詞,一般,*,*,*,*,中高,チュウコウ,チューコー
中１	名詞,一般,*,*,*,*,中１,チュウイチ,チューイチ
中２	名詞,一般,*,*,*,*,中２,チュウニ,チューニ
中３	名詞,一般,*,*,*,*,中３,チュウサン,チューサン
交流会	名詞,一般,*,*,*,*,交流会,コウリュウカイ,コウリュウカイ
代わり	名詞,形容動詞語幹,*,*,*,*,代わり,カワリ,カワリ
住適	名詞,固有名詞,組織,*,*,*,住適,スミテキ,スミテキ
健太	名詞,固有名詞,人名,名,*,*,健太,ケンタ,ケンタ
入もん	名詞,一般,*,*,*,*,入もん,イレモン,イレモン
入れもん	名詞,一般,*,*,*,*,入れもん,イレモン,イレモン
八尾市	名詞,固有名詞,地域,一般,*,*,八尾市,ヤオシ,ヤオシ
内蒙古	名詞,固有名詞,地域,一般,*,*,内蒙古,ナイモウコ,ナイモーコ
写め	名詞,一般,*,*,*,*,写め,シャメ,シャメ
写メ	名詞,一般,*,*,*,*,写メ,シャメ,シャメ
南草	名詞,固有名詞,地域,一般,*,*,南草,ミナクサ,ミナクサ
